5th European Particle Accelerator Conf.,EPAC'96,"Sitges, Spain",Jun. 1996,e96
6th European Particle Accelerator Conf.,EPAC'98,"Stockholm, Sweden",Jun. 1998,e98
1st Asian Particle Accelerator Conf.,APAC'98,"Tsukuba, Japan",Mar. 1998,a98
18th Particle Accelerator Conf.,PAC'99,"New York, NY, USA",Mar. 1999,p99
17th Particle Accelerator Conf.,PAC'97,"Vancouver, Canada",May 1997,pac97
19th Int. Linac Conf.,LINAC'98,"Chicago, IL, USA",Aug. 1998,l98
7th European Particle Accelerator Conf.,EPAC'00,"Vienna, Austria",Jun. 2000,e00
7th Int. Conf. on Accelerator and Large Experimental Control Systems,ICALEPCS'99,"Trieste, Italy",Oct. 1999,ica99
19th Particle Accelerator Conf.,PAC'01,"Chicago, IL, USA",Jun. 2001,p01
20th Linear Accelerator Conf.,LINAC'00,"Monterey, CA, USA",Aug. 2000,l00
8th European Particle Accelerator Conf.,EPAC'02,"Paris, France",Jun. 2002,e02
14th Particle Accelerator Conf.,PAC'91,"San Francisco, CA, USA",May 1991,p91
15th Particle Accelerator Conf.,PAC'93,"Washington D.C., USA",Mar. 1993,p93
2nd Asian Particle Accelerator Conf.,APAC'01,"Beijing, China",Sep. 2001,a01
12th Particle Accelerator Conf.,PAC'87,"Washington D.C., USA",Mar. 1987,p87
13th Particle Accelerator Conf.,PAC'89,"Chicago, IL, USA",Mar. 1989,p89
8th Int. Conf. on Accelerator and Large Experimental Control Systems,ICALEPCS'01,"San Jose, CA, USA",Nov. 2001,ica01
2nd Particle Accelerator Conf.,PAC'67,"Washington D.C., USA",Mar. 1967,p67
16th Int. Conf. on Cyclotrons and Their Applications,Cyclotrons'01,"East Lansing, MI, USA",May 2001,c01
18th Int. Linear Accelerator Conf.,LINAC'96,"Geneva, Switzerland",Aug. 1996,l96
20th Particle Accelerator Conf.,PAC'03,"Portland, OR, USA",May 2003,p03
21st Linear Accelerator Conf.,LINAC'02,"Gyeongju, Korea",Aug. 2002,l02
5th European Workshop on Beam Diagnostics and Instrumentation for Particle Accelerators,DIPAC'01,"Grenoble, France",May 2001,d01
6th European Workshop on Beam Diagnostics and Instrumentation for Particle Accelerators,DIPAC'03,"Mainz, Germany",May 2003,d03
1st Particle Accelerator Conf.,PAC'65,"Washington D.C., USA",Mar. 1965,p65
3rd Particle Accelerator Conf.,PAC'69,"Washington D.C., USA",Mar. 1969,p69
6th Particle Accelerator Conf.,PAC'75,"Washington D.C., USA",Mar. 1975,p75
5th Particle Accelerator Conf.,PAC'73,"San Francisco, CA, USA",Mar. 1973,p73
9th Particle Accelerator Conf.,PAC'81,"Washington D.C., USA",Mar. 1981,p81
10th Particle Accelerator Conf.,PAC'83,"Santa Fe, NM, USA",Mar. 1983,p83
11th Particle Accelerator Conf.,PAC'85,"Vancouver, Canada",May 1985,p85
19th Russian Particle Accelerator Conf.,RuPAC'04,"Dubna, Russia",Oct. 2004,r04
9th Int. Conf. on Accelerator and Large Experimental Control Systems,ICALEPCS'03,"Gyeongju, Korea",Oct. 2003,ica03
9th European Particle Accelerator Conf.,EPAC'04,"Lucerne, Switzerland",Jul. 2004,e04
7th Particle Accelerator Conf.,PAC'77,"Chicago, IL, USA",Mar. 1977,p77
4th Particle Accelerator Conf.,PAC'71,"Chicago, IL, USA",Mar. 1971,p71
4th European Workshop on Beam Diagnostics and Instrumentation for Particle Accelerators,DIPAC'99,"Chester, UK",May 1999,d99
26th Int. Free Electron Laser Conf. & 11th FEL Users Workshop,FEL'04,"Trieste, Italy",Aug.-Sep. 2004,f04
8th Particle Accelerator Conf.,PAC'79,"San Francisco, CA, USA",Mar. 1979,p79
22nd Linear Accelerator Conf.,LINAC'04,"Lübeck, Germany",Aug. 2004,l04
16th Particle Accelerator Conf.,PAC'95,"Dallas, TX, USA",May 1995,p95
17th Int. Conf. on Cyclotrons and Their Applications,Cyclotrons'04,"Tokyo, Japan",Oct. 2004,c04
3rd European Particle Accelerator Conf.,EPAC'92,"Berlin, Germany",Mar. 1992,e92
4th European Particle Accelerator Conf.,EPAC'94,"London, UK",Jun.-Jul. 1994,e94
21st Particle Accelerator Conf.,PAC'05,"Knoxville, TN, USA",May 2005,p05
27th Int. Free Electron Laser Conf.,FEL'05,"Palo Alto, CA, USA",Aug. 2005,f05
3rd Asian Particle Accelerator Conf.,APAC'04,"Gyeongju, Korea",Mar. 2004,a04
7th European Workshop on Beam Diagnostics and Instrumentation for Particle Accelerators,DIPAC'05,"Lyon, France",Jun. 2005,d05
1st European Particle Accelerator Conf.,EPAC'88,"Rome, Italy",Jun. 1988,e88
2nd European Particle Accelerator Conf.,EPAC'90,"Nice, France",Jun. 1990,e90
10th Int. Conf. on Accelerator and Large Experimental Control Systems,ICALEPCS'05,"Geneva, Switzerland",Oct. 2005,ica05
10th European Particle Accelerator Conf.,EPAC'06,"Edinburgh, UK",Jun. 2006,e06
37th ICFA Advanced Beam Dynamics Workshop on Future Light Sources,FLS'06,"Hamburg, Germany",May 2006,fls06
28th Int. Free Electron Laser Conf.,FEL'06,"Berlin, Germany",Aug.-Sep. 2006,f06
23rd Linear Accelerator Conf.,LINAC'06,"Knoxville, TN, USA",Aug. 2006,l06
9th Int. Computational Accelerator Physics Conf.,ICAP'06,"Chamonix, Switzerland",Oct. 2006,icap06
39th ICFA Advanced Beam Dynamics Workshop on High-Intensity and High-Brightness Hadron Beams,HB'06,"Tsukuba, Japan",May-Jun. 2006,abdwhb06
20th Russian Particle Accelerator Conf. on Charged Particle Accelerators,RuPAC'06,"Novosibirsk, Russia",Sep. 2006,r06
22nd Particle Accelerator Conf.,PAC'07,"Albuquerque, NM, USA",Jun. 2007,p07
4th Asian Particle Accelerator Conf.,APAC'07,"Indore, India",Jan.-Feb. 2007,a07
6th Workshop on Beam Cooling and Related Topics,COOL'07,"Bad Kreuznach, Germany",Sep. 2007,cl07
11th Int. Conf. on Accelerator and Large Experimental Control Systems,ICALEPCS'07,"Oak Ridge, TN, USA",Oct. 2007,ica07
29th Int. Free Electron Laser Conf.,FEL'07,"Novosibirsk, Russia",Aug. 2007,f07
11th European Particle Accelerator Conf.,EPAC'08,"Genoa, Italy",Jun. 2008,e08
21st Russian Particle Accelerator Conf.,RuPAC'08,"Zvenigorod, Russia",Sep.-Oct. 2008,r08
18th Int. Conf. on Cyclotrons and Their Applications,Cyclotrons'07,"Giardini-Naxos, Italy",Oct. 2007,c07
41st Advanced ICFA Beam Dynamics Workshop on Energy Recovery Linacs,ERL'07,"Daresbury, UK",May 2007,erl07
7th Int. Workshop on Personal Computers and Particle Accelerator Controls,PCaPAC'08,"Ljbuljana, Slovenia",Oct. 2008,pc08
8th European Workshop on Beam Diagnostics and Instrumentation for Particle Accelerators,DIPAC'07,"Venice, Italy",May 2007,d07
1st Int. Conf. RF Superconductivity,SRF'80,"Karlsruhe, Germany",Jul. 1980,srf80
2nd Int. Conf. RF Superconductivity,SRF'84,"Geneva, Switzerland",Jul. 1984,srf84
40th ICFA Advanced Beam Dynamics Workshop on High Luminosity e+e- Factories,Factories'08,"Novosibirsk, Russia",Apr. 2008,fac08
18th Int. Workshop on ECR Ion Sources,ECRIS'08,"Chicago, IL, USA",Sep. 2008,ecris08
30th Int. Free Electron Laser Conf.,FEL'08,"Gyeongju, Korea",Aug. 2008,FEL2008
13th Int. Conf. RF Superconductivity,SRF'07,"Beijing, China",Oct. 2007,srf2007
Int. Conf. on Isochronous Cyclotrons,Cyclotrons'66,"Gatlinburg, TN, USA",Aug. 1966,c66
3rd Int. Conf. RF Superconductivity,SRF'87,"Lemont, IL, USA",Sep. 1987,srf87
9th European Workshop on Beam Diagnostics and Instrumentation for Particle Accelerators,DIPAC'09,"Basel, Switzerland",May 2009,d09
42nd ICFA Advanced Beam Dynamics Workshop on High-Intensity and High-Brightness Hadron Beams,HB'08,"Nashville, TN, USA",Aug. 2008,HB2008
14th Int. Conf. RF Superconductivity,SRF'09,"Berlin, Germany",Sep. 2009,SRF2009
10th Workshop RF Superconductivity,SRF'01,"Tsukuba, Japan",Sep. 2001,srf01
24th Linear Accelerator Conf.,LINAC'08,"Victoria, Canada",Sep.-Oct. 2008,LINAC08
5th Int. Cyclotron Conf.,Cyclotrons'69,"Oxford, UK",Sep. 1969,c69
13th Beam Instrumentation Workshop,BIW'08,"Lake Tahoe, CA, USA",May 2008,BIW2008
31st Int. Free Electron Laser Conf.,FEL'09,"Liverpool, UK",Aug. 2009,FEL2009
Int. Conf. on Sector-Focused Cyclotrons and Meson Factories,Cyclotrons'63,"Geneva, Switzerland",Apr. 1963,c63
8th Int. Conf. RF Superconductivity,SRF'97,"Padova, Italy",Oct. 1997,SRF97
6th Int. Conf. RF Superconductivity,SRF'93,"Newport News, VA, USA",Oct. 1993,SRF93
1st Int. Particle Accelerator Conf.,IPAC'10,"Kyoto, Japan",May 2010,IPAC10
11th Int. Conf. on Heavy Ion Accelerator Technology,HIAT'09,"Venice, Italy",Jun. 2009,HIAT2009
12th Int. Conf. on Accelerator and Large Experimental Control Systems,ICALEPCS'09,"Kobe, Japan",Oct. 2009,icalepcs2009
45th ICFA Advanced Beam Dynamics Workshop on  Energy Recovery LINAC Workshop,ERL'09,"Ithaca, NY, USA",Jun. 2009,ERL2009
11th Workshop RF Superconductivity,SRF'03,"Lübeck, Germany",Sep. 2003,SRF2003
5th Int. Conf. RF Superconductivity,SRF'91,"Hamburg, Germany",Aug. 1991,SRF91
22nd Russian Particle Accelerator Conf.,RuPAC'10,"Protvino, Russia",Sep.-Oct. 2010,r10
8th Int. Workshop on Personal Computers and Particle Accelerator Controls,PCaPAC'10,"Saskatoon, Canada",Oct. 2010,pcapac2010
7th Workshop on Beam Cooling and Related Topics,COOL'09,"Lanzhou, China",Aug.-Sep. 2009,COOL2009
4th Int. Conf. RF Superconductivity,SRF'89,"Tsukuba, Japan",Aug. 1989,SRF89
14th Beam Instrumentation Workshop,BIW'10,"Santa Fe, NM, USA",May 2010,BIW2010
23rd Particle Accelerator Conf.,PAC'09,"Vancouver, Canada",May 2009,PAC2009
Conf. on Sector-Focused Cyclotrons,Cyclotrons'59,"Oak Ridge, TN, USA",Jul. 1959,c59
10th Int. Computational Accelerator Physics Conf.,ICAP'09,"San Francisco, CA, USA",Aug.-Sep. 2009,ICAP2009
46th ICFA Advanced Beam Dynamics Workshop on High-Intensity and High-Brightness Hadron Beams,HB'10,"Morschach, Switzerland",Sep.-Oct. 2010,HB2010
9th Int. Conf. RF Superconductivity,SRF'99,"Santa Fe, NM, USA",Nov. 1999,SRF99
7th Int. Conf. RF Superconductivity,SRF'95,"Gif-sur-Yvette, France",Oct. 1995,SRF95
32nd Int. Free Electron Laser Conf.,FEL'10,"Malmö, Sweden",Aug. 2010,FEL2010
25th Linear Accelerator Conf.,LINAC'10,"Tsukuba, Japan",Sep. 2010,LINAC2010
12th Int. Conf. RF Superconductivity,SRF'05,"Ithaca, NY, USA",Jul. 2005,SRF2005
19th Int. Workshop on ECR Ion Sources,ECRIS'10,"Grenoble, France",Aug. 2010,ECRIS2010
2nd Int. Particle Accelerator Conf.,IPAC'11,"San Sebastian, Spain",Sep. 2011,IPAC2011
24th Particle Accelerator Conf.,PAC'11,"New York, NY, USA",Mar.-Apr. 2011,PAC2011
8th Workshop on Beam Cooling and Related Topics,COOL'11,"Alushta, Ukraine",Sep. 2011,COOL2011
10th European Workshop on Beam Diagnostics and Instrumentation for Particle Accelerators,DIPAC'11,"Hamburg, Germany",May 2011,DIPAC2011
13th Int. Conf. on Accelerator and Large Experimental Control Systems,ICALEPCS'11,"Grenoble, France",Oct. 2011,icalepcs2011
19th Int. Conf. on Cyclotrons and their Applications,Cyclotrons'10,"Lanzhou, China",Sep. 2010,Cyclotrons2010
6th Int. Cyclotron Conf.,Cyclotrons'72,"Vancouver, Canada",Jul. 1972,c72
15th Int. Conf. RF Superconductivity,SRF'11,"Chicago, IL, USA",Jul. 2011,SRF2011
33rd Int. Free Electron Laser Conf.,FEL'11,"Shanghai, China",Aug. 2011,FEL2011
3rd Int. Particle Accelerator Conf.,IPAC'12,"New Orleans, LA, USA",,IPAC2012
11th Int. Computational Accelerator Physics Conf.,ICAP'12,"Rostock-Warnemunde, Germany",Aug. 2012,ICAP2012
12th Int. Conf. on Heavy Ion Accelerator Technology,HIAT'12,"Chicago, IL, USA",Jun. 2012,HIAT2012
