mocnb01,"G. Rehm, M.G. Abbott, A.F.D. Morgan, J. Rowland, I. Uzun, Diamond, Oxfordshire","Measurement of Lattice Parameters Without Visible Disturbance to User Beam at Diamond Light Source",44 48,
mocnb02,"E. Griesmayer, B. Dehning, D. Dobos, E. Effinger, H. Pernegger, CERN, Geneva","Diamond Detectors as Beam Monitors",49 52,
mocnb03,"P. Ilinski, BNL, Upton, Long Island, New York","Residual Gas X-ray Beam Position Monitor for PETRA-III",53 57,
mocnb04,"J.M. Byrd, LBNL, Berkeley, California; J. Arthur, SLAC, Menlo Park, California; L.R. Doolittle, LBNL, Berkeley, California; J.C. Frisch, SLAC, Menlo Park, California; G. Huang, J.W. Staples, LBNL, Berkeley, California; W.E. White, SLAC, Menlo Park, California; R.B. Wilcox, LBNL, Berkeley, California","Femtosecond Synchronization of Laser Systems for the LCLS",58 62,
mofnb01,"F. Löhl, CLASSE, Ithaca, New York","Femtosecond Resolution Beam Arrival Time Monitor",99 98,
mofnb02,"K.E. Hacker, DESY, Hamburg","Beam Arrival-Time and Position Measurements Using Electro-Optical Sampling of Pickup Signals",7 16,
mofnb03,"M. Wilinski, BNL, Upton, Long Island, New York","A Winning Tradition: The Faraday Cup Award",17 19,
moianb01,"H. Loos, SLAC, Menlo Park, California","Operational Performance of LCLS Beam Instrumentation",34 43,
moimnb01,"O.R. Jones, CERN, Geneva","Commissioning and First Performance of the LHC Beam Instrumentation",22 29,
moimnb02,"A.V. Aleksandrov, ORNL, Oak Ridge, Tennessee","The SNS Beam Diagnostics Experience and Lessons Learned",30 33,
moknb01,"W.S. Gibbs, J.D. Gilpatrick, LANL, Los Alamos, New Mexico","Accelerators at Los Alamos Today",20 20,
moknb02,"K.W. Jones, J.D. Gilpatrick, LANL, Los Alamos, New Mexico","Looking Beyond LANSCE: The MaRIE Facility",21 21,
movnb01,"L. Shaw, C.D. Ziomek, ZTEC Instruments, Albuquerque","Advanced Modular Oscilloscopes and Digitizers Optimized for Accelerator Applications",63 67,
thimnb01,"V. Schlott, PSI, Villigen","Highlights from DIPAC 2009",566 571,
