frm1cco05,"A. Denker, C.R. Rethfeldt, J.R. Roehrich (Röhrich) [HZB, Berlin, Germany] D. Cordini, J. Heufelder, R. Stark, A. Weber [Charite, Berlin, Germany] ","Advocacy for a Dedicated 70 MeV Proton Therapy Facility",416 418,
frm1cio01,"Y. Jongen [IBA, Louvain-la-Neuve, Belgium] ","Review on Cyclotrons for Cancer Therapy",398 403,
frm1cio03,"N.A. Morozov, V. Aleksandrov, S. Gurskiy, G.A. Karamysheva, N.Yu. Kazarinov, S.A. Kostromin, E. Samsonov, V. Shevtsov, G. Shirkov, E. Syresin, A. Tuzikov [JINR, Dubna, Moscow Region, Russia] M. Abs, A. Blondin, Y. Jongen, W.J.G.M. Kleeven, D. Vandeplassche, S. Zaremba [IBA, Louvain-la-Neuve, Belgium] O. Karamyshev [JINR/DLNP, Dubna, Moscow region, Russia] ","IBA-JINR 400 MeV/u Superconducting Cyclotron for Hadron Therapy",404 409,
frm1cio04,"J.M. Schippers [PSI, Villigen, Switzerland] ","Fast Scanning Techniques for Cancer Therapy with Hadrons - a Domain of Cyclotrons",410 415,
frm2cco04,"T. Mitsumoto, K. Fujita, T. Ogasawara, H. Tsutsui, S. Yajima [SHI, Tokyo, Japan] A. Maruhashi, Y. Sakurai, H. Tanaka [KURRI, Osaka, Japan] ","BNCT System Using 30 MeV H- Cyclotron",430 432,
frm2cio01,"P. Schmor [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] ","Review of Cyclotrons Used in the Production of Radio-Isotopes for Biomedical Applications",419 424,
frm2cio02,"M. Fan [HUST, Wuhan, People's Republic of China] ","Medical Cyclotron and Development in China",425 429,
moa1cio01,"J.W. Stetson, G. Machicoane, F. Marti, D.R. Poe [NSCL, East Lansing, Michigan, USA] ","Intense Beam Operation of the NSCL/MSU Cyclotrons",27 32,
moa1cio02,"G.G. Gulbekyan [JINR, Dubna, Moscow Region, Russia] ","High Intensity Cyclotrons for Super Heavy Elements Research of FLNR JINR",33 36,
moa2cco02,"J.L. Conradie, L.S. Anthony, A.H. Botha, M.A. Crombie, J.G. De Villiers, J.L.G. Delsink, W. Duckitt, D.T. Fourie, M.E. Hogan, I.H. Kohler, C. Lussi, R.H. McAlister, H.W. Mostert, S.S. Ntshangase, J.V. Pilcher, P.F. Rohwer, M. Sakildien, N. Stodart, R.W. Thomae, M.J. Van Niekerk, D. de Villiers, P.A. van Schalkwyk [iThemba LABS, Somerset West, South Africa] C. Boehme (C. Böhme) [UniDo/IBS, Dortmund, Germany] J. Dietrich [FZJ, Jülich, Germany] Z. Kormány [ATOMKI, Debrecen, Hungary] ","Current Status of the Cyclotron Facilities and Future Projects at iThemba Labs",42 44,
moa2cco03,"K. Yoshiki Franzen, P.W. Casey, A. Hodgkinson, M. Kireeff Covo, D. Leitner, C.M. Lyneis, L. Phair, P. Pipersky [LBNL, Berkeley, California, USA] ","Status of the LBNL 88-Inch Cyclotron High-Voltage Injection Upgrade Project",45 47,
moa2cio01,"Y.J. Yuan, X.H. Cai, D.Q. Gao, Y. He, L.Z. Ma, X. Ma, R.S. Mao, Y.W. Su, X.L. Tu, J.W. Xia, H.S. Xu, Z. Xu, J.C. Yang, X.D. Yang, X.T. Yang, Y.P. Yang, W. Zhang, H.W. Zhao [IMP, Lanzhou, People's Republic of China] ","HIRFL-CSR Facility Status and Development",37 41,
mom1cio02,"M.K. Craddock [UBC amp; TRIUMF, Vancouver, British Columbia, Canada] ","Eighty Years of Cyclotrons",1 8,
mom2cco03,"S. Brandenburg, J.P.M. Beijers, M.A. Hevinga, M.A. Hofstee, H.R. Kremers, V. Mironov, J. Mulder, S. Saminathan, A. Sen [KVI, Groningen, The Netherlands] ","Progress towards High Intensity Heavy Ion Beams at the AGOR-Facility",21 23,
mom2cco04,"D.P. May, R.E. Tribble [Texas Aamp;M University Cyclotron Institute, College Station, Texas, USA] F.P. Abegglen, G. Chubaryan, G.J. Derrig, G.J. Kim, G. Tabacaru [Texas Aamp;M University, Cyclotron Institute, College Station, USA] ","Recent Progress on the Facility Upgrade for Accelerated Radioactive Beams at Texas A&M",24 26,
mom2cio01,"A. Goto [RIKEN Nishina Center, Wako, Japan] ","Review of High Power Cyclotrons for Heavy Ion Beams",9 15,
mom2cio02,"F. Chautard [GANIL, Caen, France] ","Intense Beam Operation at GANIL",16 20,
mopcp002,"L.Z. Ma, Q.G. Yao [IMP, Lanzhou, People's Republic of China] ","The Isochronous Magnetic Field Optimization of HITFiL Cyclotron",48 50,
mopcp003,"P. Saidi Bidokhti [PPRC, Tehran, Iran] M. Sadeghi [Agricultural, Medical amp; Industrial Research School, Gohadasht, Iran] A. Shirazi [Tehran University, Faculty of Medicine, Tehran, Iran] ","Application of Cyclotrons in Brachytherapy",51 53,
mopcp005,"Y.T. Petrusenko, D.Y. Barankov, D.O. Irzhevskyi, S.M. Shkyryda [NSC/KIPT, Kharkov, Ukraine] R. Hoelzle (R. Hölzle) [FZJ, Jülich, Germany] ","Kharkov Compact Cyclotron CV-28: Present and Future Status",54 56,
mopcp008,"U. Panda, T. Bhattacharjee, R. Dey, A. Mandal, S. Pal [DAE/VECC, Calcutta, India] ","Control System of Cryogenic Plant for Superconducting Cyclotron at VECC",57 59,
mopcp009,"S.K. Thakur, R.K. Bhandari, A. De, Y. Kumar, J.S.P. Prasad, S. Saha, S.S. Som, T.P. Tiwari [DAE/VECC, Calcutta, India] ","Development of Power Supplies for 3-, 240 kW RF System with Crowbar Protection for Superconducting Cyclotron at VECC",60 62,
mopcp010,"R. Gebel, R. Brings, O. Felden, R. Maier [FZJ, Jülich, Germany] ","Activities at the COSY/Jülich Injector Cyclotron JULIC",63 65,
mopcp011,"R. Risler, S.P. Banerian, J.G. Douglas, R.C. Emery, I.J. Kalet, G.E. Laramore, D.D. Reid [University of Washington Medical Center, Seattle, USA] ","25 Years of Continuous Operation of the Seattle Clinical Cyclotron Facility",66 68,
mopcp013,"Z. Chen, D.Z. Chen, K.F. Liu, B. Qin [HUST, Wuhan, People's Republic of China] ","Magnetic Field Calculation and Magnet Shimming Simulation for the CYCHU-10 Cyclotron",69 71,
mopcp014,"J.M. Schippers, D.C. Kiselev, R. Luescher (Lüscher), O. Morath, M. Wohlmuther [PSI, Villigen, Switzerland] B. Amrein, P. Frey, M. Kostezer, A. Schmidt, G. Steen [PSI-LRF, Villigen, PSI, Switzerland] ","Activation of a 250 MeV SC-cyclotron for Protontherapy",72 74,
mopcp015,"A. Denker, C.R. Rethfeldt, J.R. Roehrich (Röhrich) [HZB, Berlin, Germany] D. Cordini, J. Heufelder, R. Stark, A. Weber [Charite, Berlin, Germany] ","Status of the HZB# Cyclotron: Eye Tumour Therapy in Berlin",75 77,
mopcp016,"K. Hatanaka, M. Fukuda, M. Kibayashi, S. Morinobu, K. Nagayama, T. Saito, H. Tamura, T. Yorita [RCNP, Osaka, Japan] ","Present Status of the RCNP Cyclotron Facility",78 80,
mopcp017,"V. Sabaiduc, D. Du, W. Gyles, R.R. Johnson, K. Suthanthiran [BCSI, Vancouver, BC, Canada] E.P. Conard [PAC sprl, Dion Valmont, Belgium] W.Z. Gelbart [ASD, Garden Bay, Canada] ","New High Intensity Compact Negative Hydrogen Ion Cyclotrons",81 83,
mopcp018,"D. van Rooyen, K.J. Gajewski, B. Gålnander, B. LundstrÃ¶m, M. Pettersson, A.V. Prokofiev [TSL, Uppsala, Sweden] ","Experience of Cyclotron Operation with Beam Sharing at TSL, Uppsala",84 86,
mopcp019,"T. Yuyama, I. Ishibori, T. Ishizaka, H. Kashiwagi, S. Kurashima, N. Miyawaki, T. Nara, S. Okumura, W. Yokota, K. Yoshida, Y. Yuri [JAEA/TARRI, Gunma-ken, Japan] ","Present Status of JAEA AVF Cyclotron Facility",87 89,
mopcp020,"O.N. Borisov [JINR, Dubna, Moscow Region, Russia] ","Beam Extraction of the Heavy Ions from the U-400M Cyclotron",90 92,
mopcp021,"T. Stephani, U. Behrens, H. Röcken [VMS-PT, Bergisch Gladbach, Germany] C. Baumgarten [PSI, Villigen, Switzerland] ","Automated Operation and Optimization of the VARIAN 250 MeV Superconducting Compact Proton Cyclotron",93 95,
