mooa02,"H. Loos [SLAC, Menlo Park, California, USA] ","Beam Instrumentation for X-ray FELs",99 98,
moob01,"C. Bloomer, G. Rehm, C.A. Thomas [Diamond, Oxfordshire, United Kingdom] ","An Aperture Backscatter X-ray Beam Position Monitor at Diamond",6 8,
moob02,"G.G. Manahan, M.P. Anania, C. Aniculaesei, E. Brunetti, S. Cipiccia, B. Ersfeld, M.R. Islam, R.C. Issac, D.A. Jaroszynski, R.P. Shanks, G.H. Welsh, S.M. Wiggins [USTRAT/SUPA, Glasgow, United Kingdom] ","Emittance and Energy Spread Measurements of Relativistic Electrons From Laser-Driven Accelerator",9 11,
moob03,"H. Aoyagi, T. Aoki, T. Bizen, K. Fukami, N. Nariyama, S. Suzuki [JASRI/SPring-8, Hyogo-ken, Japan] Y. Asano, T. Itoga, H. Kitamura, T. Tanaka [RIKEN/SPring-8, Hyogo, Japan] ","Diamond-based Beam Halo Monitor Equipped with RF Fingers for SACLA",12 14,
moob04,"P. Evtushenko, S.V. Benson, D. Douglas [JLAB, Newport News, Virginia, USA] ","Bunch Compression, RF Curvature Correction and R55, T555 and U5555 Measurements at JLab FEL",15 17,
mooc01,"M. Wendt [Fermilab, Batavia, USA] ","Overview of Recent Trends and Developments for BPM Systems",18 22,
mooc02,"A. Lyapin, R. Ainsworth, S.T. Boogert, G.E. Boorman, F.J. Cullinan, N.Y. Joshi [JAI, Egham, Surrey, United Kingdom] A.S. Aryshev, Y. Honda, T. Tauchi, N. Terunuma, J. Urakawa [KEK, Ibaraki, Japan] J.C. Frisch, D.J. McCormick, J. Nelson, T.J. Smith, G.R. White [SLAC, Menlo Park, California, USA] A. Heo, E.-S. Kim, H.-S. Kim, Y.I. Kim [KNU, Deagu, Republic of Korea] M.C. Ross [Fermilab, Batavia, USA] ","Cavity BPM System for ATF2",23 25,
mooc03,"M. Ferianis, A.O. Borga, P. Craievich, R. De Monte, G. Gaio, M. Predonzani [ELETTRA, Basovizza, Italy] M. Dal Forno [DIEIT, Trieste, Italy] ","The Fermi@Elettra Cavity BPM System: Description and Commissioning Results",26 28,
mopd01,"V.V. Smaluk [BINP, Novosibirsk, Russia] E.A. Bekhtenev, V.P. Cherepanov, G.V. Karpov, V. Kuzminykh, O.I. Meshkov [BINP SB RAS, Novosibirsk, Russia] I. Pinayev, O. Singh, K. Vetter [BNL, Upton, Long Island, New York, USA] ","Beam Diagnostics for the NSLS-II Booster",29 31,
mopd02,"C. Viviani, G. Balbinot, J. Bosser, M. Caldara, H. Caracciolo, M.A. Garella, V. Lante, A. Parravicini, M. Pullia [CNAO Foundation, Milan, Italy] ","The CNAO Qualification Monitor",32 34,
mopd03,"D. Reggiani, B. Blarer, P.-A. Duperrex, G. Dzieglewski, F. Heinrich, A.C. Mezger, U. Rohrer, K. Thomsen, M. Wohlmuther [PSI, Villigen, Switzerland] ","The Beam Safety System of the PSI UCN Source",35 37,
