mocoak01,"H.W. Zhao, Y. Cao, Y.C. Feng, X.H. Guo, J.Y. Li, W. Lu, L.T. Sun, D. Xie, X.Z. Zhang, H. Zhao [IMP, Lanzhou, People's Republic of China] ","SECRAL Status and First Beam Test at 24GHz",1 3,
mocoak02,"L.T. Sun, J. Brandon, D.G. Cole, M. Doleans, G. Machicoane, D. Morris, T. Ropponen, L. Tobos [NSCL, East Lansing, Michigan, USA] E. Pozdeyev [FRIB, East Lansing, Michigan, USA] ","Intense Beam Production with SuSI",4 7,
mocoak03,"T. Nakagawa, Y. Higurashi, J. Ohnishi [RIKEN Nishina Center, Wako, Japan] T. Aihara, M. Tamura [SHI Accelerator Service Ltd., Tokyo, Japan] ","Status of RIKEN SC-ECRIS",8 10,
mocoak04,"D. Leitner, P. Ferracin, A. Hodgkinson, M. Leitner, T.J. Loew, C.M. Lyneis, G.L. Sabbi [LBNL, Berkeley, California, USA] G. Machicoane, E. Pozdeyev [NSCL, East Lansing, Michigan, USA] ","Status of the VENUS ECR Ion Source",11 13,
mocobk01,"G. Machicoane, M. Doleans, O.K. Kester, T. Ropponen, L.T. Sun, X. Wu [NSCL, East Lansing, Michigan, USA] D. Leitner [LBNL, Berkeley, California, USA] E. Pozdeyev, E. Tanke [FRIB, East Lansing, Michigan, USA] ","ECR Ion Sources for the Facility for Rare Isotope Beams (FRIB) Project at Michigan State University",14 16,
mocobk02,"S.L. Bogomolov, V.B. Bekhterev, V.M. Drobin, A. Efremov, B. Gikal, G.G. Gulbekyan, Yu.K. Kostyukhov, N. Lebedev, V.N. Loginov, V.V. Seleznev, Yu. Yazvitsky [JINR, Dubna, Moscow Region, Russia] ","Present Status of FLNR (JINR) ECR Ion Sources",17 19,
mocobk03,"A. Kitagawa, M. Muramatsu, Y. Sakamoto [NIRS, Chiba-shi, Japan] S. Biri [ATOMKI, Debrecen, Hungary] A.G. Drentje [KVI, Groningen, The Netherlands] T.F. Fujita [National Institute of Radiological Sciences, Chiba, Japan] T. Sakuma, N. Sasaki, T. Sasano, W. Takasugi [AEC, Chiba, Japan] ","Status of Ion Sources at HIMAC",20 22,
mocobk04,"F.W. Meyer, M.E. Bannister, S. Deng, I.N. Draganic (Draganić), J.W. Hale, P.R. Harris, C.C. Havener, H.F. Krause, C.R. Vane [ORNL, Oak Ridge, Tennessee, USA] ","Recent Activities at the ORNL Multicharged Ion Research Facility (MIRF)",23 25,
mocock01,"A.C.C. Villari, C. Bieth, W. Bougy, B.N. Brionne, X. Donzel, G. Gaubert, R. Leroy, A. Sineau, O. Tasset, C. Vallerand [PANTECHNIK, BAYEUX, France] T. Thuillier [LPSC, Grenoble, France] ","PK-ISIS: a New Superconducting ECR Ion Source at Pantechnik",26 26,
mocock02,"G. Rodrigues, R.N. Dutt, D. Kanjilal, P.S. Lakshmy, Y. Mathur, U.K. Rao, A. Roy [IUAC, New Delhi, India] R. Baskaran [IGCAR, Channai, India] ","3D Simulation Studies and Optimization of Magnetic Holes of HTS-ECRIS for Improving the Extraction Efficiency and Intensities of Highly Charged Ions",27 29,
mocock03,"D. Xie, W. Lu, X.Z. Zhang, H.W. Zhao [IMP, Lanzhou, People's Republic of China] ","Design Study of a Higher Magnetic Field SC ECRIS at IMP",30 32,
mocock04,"M. Marie-Jeanne, J. Jacob, T. Lamy, L. Latrasse [LPSC, Grenoble Cedex, France] F. Debray, J. Matera, R. Pfister, C. Trophime [GHMFL, Grenoble, France] ","Measurement of the Sixty GHz ECR Ion Source using Megawatt Magnets - SEISM Magnetic Field Map",33 36,
mocock05,"L. Maunoury, P. Delahaye, M. Dubois, P. Jardin, P. Leherissier (Lehérissier), M. Michel, J.Y. Pacquet [GANIL, Caen, France] S. Biri [ATOMKI, Debrecen, Hungary] X. Donzel, G. Gaubert, R. Leroy, A.C.C. Villari [PANTECHNIK, BAYEUX, France] C. Pierret [CIMAP, Caen, France] ","Multigan®: a New Multicharged Ion Source Based on Axisymetric Magnetic Structure",37 39,
mopot001,"M. Muramatsu, S. Hojo, A. Kitagawa [NIRS, Chiba-shi, Japan] Y. Kijima [Mitsubishi Electric Corp., Energy amp; Public Infrastructure Systems Center, Kobe, Japan] H. Miyazaki, K. Sawada, T. Ueno [SHI, Ehime, Japan] K. Torikai, S. Yamada [Gunma University, Heavy-Ion Medical Research Center, Maebashi-Gunma, Japan] M. Tsuchiyama, S. Ueda [Mitsubishi Electric Corp., Energy Systems Centre, Kobe, Japan] ","Operation of KeiGM for the Carbon Ion Therapy Facility at Gunma University",40 42,
mopot002,"T. Uchida, H. Minezaki, Y. Yoshida [Toyo University, Kawagoe-shi, Saitama, Japan] T. Asaji, K. Tanaka [Tateyama Machine Co. Ltd., Toyama-shi, Japan] S. Biri, R. Rácz [ATOMKI, Debrecen, Hungary] Y. Kato [Osaka University, Graduate School of Engineering, Osaka, Japan] A. Kitagawa, M. Muramatsu [NIRS, Chiba-shi, Japan] ","Two-Chamber Configuration of the Bio-Nano ECRIS",43 45,
