frxa01,"R. Gobin, G. Adroit, D. Bogard, N. Chauvin, O. Delferriere (O. Delferrière), Y. Gauthier, P. Girardot, F. Harrault, J.L. Jannin, D. Loiseau, P. Mattei, A. Roger, F. Senee (F. Senée), O. Tuske [CEA/DSM/IRFU, France] ","High Intensity Beam Production at CEA/Saclay for the IFMIF Project",182 184,
frxa02,"L.T. Sun, Y. Cao, J.Q. Li, J.Y. Li, B.H. Ma, H. Wang, J.W. Xia, D. Xie, W.H. Zhang, X.Z. Zhang, H.W. Zhao [IMP, Lanzhou, People's Republic of China] ","All Permanent Magnet ECR Ion Source Development and Operation Status at IMP",185 189,
frxa03,"T. Palchan, F.G. Kondev, S.A. Kondrashev, C. Nair, R.C. Pardo, R.H. Scott, R.C. Vondrasek [ANL, Argonne, USA] W. Bauder, P. Collon [University of Notre Dame, Indiana, USA] J.F. Berg, T. Maddock, G. Palmotti, M. Salvatores, G. Youinou [INL, Idaho Falls, Idaho, USA] G. Imel [ISU, Pocatello, Idaho, USA] M. Paul [The Hebrew University of Jerusalem, The Racah Institute of Physics, Jerusalem, Israel] M. Salvatores [CEA Cadarache, Saint Paul Lez Durance, France] ","Laser Ablation of Actinides into an Electron Cyclotron Resonance Ion Sources for Accelerator Mass Spectroscopy",190 194,
frya01,"P. Jardin, O. Bajeat, C. Barue, C. Canet, P. Delahaye, M. Dubois, M. Dupuis, J.L. Flambard, R. Frigot, C. Leboucher, P. Leherissier (P. Lehérissier), F. Lemagnen, L. Maunoury, O. Osmond, J. Piot, E.K. Traykov [GANIL, Caen, France] B.J.P. Gall [IPHC, Strasbourg Cedex 2, France] C. Peaucelle [IN2P3 IPNL, Villeurbanne, France] J. Rubert, T. Thuillier [LPSC, Grenoble Cedex, France] O. Tuske [CEA/DSM/IRFU, France] ","ECRISs at GANIL Today and Tomorrow",195 199,
frya02,"A. Kitagawa, M. Muramatsu [NIRS, Chiba-shi, Japan] A.G. Drentje [KVI, Groningen, The Netherlands] T.F. Fujita [National Institute of Radiological Sciences, Chiba, Japan] M. Kanazawa [SAGA HIMAT, Saga, Japan] N. Sasaki, W. Takasugi [AEC, Chiba, Japan] E. Takeshita, S. Yamada [Gunma University, Heavy-Ion Medical Research Center, Maebashi-Gunma, Japan] ","Status of ECR Ion Sources for Carbon-ion Radiotherapy in Japan",200 202,
frya03,"H. A. Koivisto, J. Arje (J.E. Ärje), T. Kalvas, J.P.O. Komppula, R.J. Kronholm, J.P. Laulainen, O.A. Tarvainen, V. Toivanen [JYFL, Jyvaskyla, Finland] ","ECRIS Related Research and Development Work at JYFL and Some Future Prospects",203 207,
thxo01,"D. Xie, W. Lu, L.Z. Ma, L.T. Sun, X.Z. Zhang, H.W. Zhao, L. Zhu [IMP, Lanzhou, People's Republic of China] ","Optimization of the New SC Magnetic Structure Design with a Hybrid Magnet",149 152,
thxo02,"J.Y. Benitez, K.Y. Franzen, C.M. Lyneis, L. Phair, M.M. Strohmeier [LBNL, Berkeley, California, USA] G. Machicoane [FRIB, East Lansing, Michigan, USA] L.T. Sun [IMP, Lanzhou, People's Republic of China] ","Current Developments of the VENUS Ion Source in Research and Operations",153 158,
thxo03,"Y. Higurashi, M. Fujimaki, H. Haba, O. Kamigaito, M. Kidera, M. Komiyama, J. Ohnishi, K. Ozeki [RIKEN Nishina Center, Wako, Japan] T. Aihara, M. Tamura, A. Uchiyama [SHI Accelerator Service Ltd., Tokyo, Japan] ","Recent RIKEN 28 GHz SC-ECRIS Results",159 162,
thyo01,"F. Ames, R.A. Baartman, P.G. Bricault, K. Jayamanna, A. Mjøs [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] ","Operation of an ECRIS Charge State Breeder at TRIUMF",163 166,
