plt005,"K.-J. Kim [ANL, Argonne, USA] ","An Oscillator Configuration of an X-Ray Free-Electron Laser for Exceptional Spectral Purity and Stability",99 98,
plt008,"T. Hayakawa [JAEA, Ibaraki-ken, Japan] ","Applications of High-brightness Gamma-rays from ERLs",5 9,
psp001,"X. Cui, J.Q. Wang, S.H. Wang [IHEP Beijing, Beijing, People's Republic of China] ","Lattice Design and Beam Dynamics of ERL-TF in IHEP, Beijing",127 129,
psp007,"V.D. Shemelin, P.R. Carriere [CLASSE, Ithaca, New York, USA] ","Individual Half-cells Frequency Measurements of a Dumbbell Cavity",130 132,
psp019,"J.L. McCarter [UVa, Charlottesville, Virginia, USA] R.R. Mammei, M. Poelker, R. Suleiman [JLAB, Newport News, Virginia, USA] T. Rao, J. Smedley [BNL, Upton, Long Island, New York, USA] ","Charge Lifetime, Emittance, and Surface Analysis Studies of K2CsSb Photocathode in a JLab DC High Voltage Gun",133 136,
psp020,"I. Ito [ISSP/SRL, Chiba, Japan] R.K. Kasahara, S. Nakamura [Ibaraki University, Hitachi, Ibaraki, Japan] N. Nakamura [KEK, Ibaraki, Japan] K. Torizuka, D. Yoshitomi [AIST, Tsukuba, Japan] ","Recent Progress of an Yb-doped Fiber Laser System for an ERL-based Light Source",137 139,
psp021,"M. Sawamura [JAEA/ERL, Ibaraki, Japan] R. Hajima, R. Nagai, N. Nishimori [JAEA, Ibaraki-ken, Japan] ","Design of ERL Spoke Cavity for Non-destructive Assay Research",140 143,
wg1000,"B.M. Dunham [CLASSE, Ithaca, New York, USA] A. Arnold [HZDR, Dresden, Germany] S.A. Belomestnykh, T. Rao [BNL, Upton, Long Island, New York, USA] S.V. Benson, C. Hernandez-Garcia, R. Suleiman [JLAB, Newport News, Virginia, USA] D.C. Nguyen [LANL, Los Alamos, New Mexico, USA] N. Nishimori [JAEA, Ibaraki-ken, Japan] T. Quast [HZB, Berlin, Germany] M. Yamamoto [KEK, Ibaraki, Japan] ","ERL2011 Summaries of Working Group 1",10 29,
wg1010,"H. Bluem, D. Dowell, A.M.M. Todd, L.M. Young [AES, Princeton, New Jersey, USA] ","High Brightness Thermionic Electron Gun Performance",30 35,
wg2000,"C.E. Mayes [CLASSE, Ithaca, New York, USA] N. Nakamura [KEK, Ibaraki, Japan] ","ERL2011 Summary of Working Group 2 Beam Dynamics",36 48,
wg2007,"S. Huang, J.E. Chen, L. Lin, K.X. Liu, S.W. Quan, F. Zhu [PKU, Beijing, People's Republic of China] ","Optics Layout for the ERL Test Facility at Peking University",49 51,
wg2009,"S.H. Wang, J. Cao, S.Y. Chen, Y.L. Chi, X. Cui, J. Gao, X.P. Li, S. Liu, W.B. Liu, H.H. Lu, G.W. Wang, J.Q. Wang, Q. Xiao, J.Y. Zhai, Z.S. Zhou [IHEP Beijing, Beijing, People's Republic of China] J.Q. Xu [Insititute of High Energy Physics (IHEP), People's Republic of China] ","Design Studies on the ERL Test Facility at IHEP-Beijing",52 55,
wg2012,"R. Hajima [JAEA, Ibaraki-ken, Japan] ","Generation of High-Brightness Gamma-Rays from Energy-Recovery Linac",56 59,
wg2013,"G.N. Kulipanov, Ya.V. Getmanov, O.A. Shevchenko, A.N. Skrinsky, A.G. Tribendis, N. Vinokurov, V. Volkov [BINP SB RAS, Novosibirsk, Russia] ","Multiturn ERL X-ray Source (MARS) Feasibility Study",60 63,
wg2014,"A.V. Fedotov, D. Kayran [BNL, Upton, Long Island, New York, USA] ","Wake Fields and Energy Spread for the eRHIC ERL",64 67,
wg2017,"D. Zhou [KEK, Ibaraki, Japan] ","Calculation of CSR Impedance using Mesh Method",68 72,
wg2019,"A.V. Fedotov [BNL, Upton, Long Island, New York, USA] ","Intra-beam Scattering and its Application to ERL",73 77,
wg2025,"J.G. Hwang, E.-S. Kim [Kyungpook National University, Daegu, Republic of Korea] T. Miyajima [KEK, Ibaraki, Japan] ","Investigation of the Effect of Space Charge in the compact-Energy Recovery Linac",78 82,
wg3002,"H. Hitomi, H. Hara, F. Inoue, K. Kanaoka, K. Sennyu, T. Yanagisawa [MHI, Kobe, Japan] ","Fabrication of Superconducting RF Cavity at MHI",83 86,
wg3003,"M. Sawamura [Japan Atomic Energy Agency (JAEA), Gamma-ray Non-Destructive Assay Research Group, Tokai-mura, Ibaraki-ken, Japan] E. Cenni [Sokendai, Ibaraki, Japan] T. Furuya, H. Sakai, K. Umemori [KEK, Ibaraki, Japan] K. Shinoe [ISSP/SRL, Chiba, Japan] ","HOM Properties of Main Linac for cERL in Japan",87 90,
wg3006,"H. Sakai, T. Furuya, N. Nakamura, M. Sato, K. Umemori [KEK, Ibaraki, Japan] E. Cenni [Sokendai, Ibaraki, Japan] M. Sawamura [JAEA, Ibaraki-ken, Japan] K. Shinoe [ISSP/SRL, Chiba, Japan] ","Development of Input Coupler for Compact ERL Main Linac",91 96,
wg3016,"M. Sawabe., H. Hayano, A. Komiya, H. Monjushiro, T. Saeki, M. Satou [KEK, Ibaraki, Japan] ","Long-Term Monitoring of 3rd-period EP-electrolyte in STF-EP Facility at KEK",97 101,
wg3036,"J.K. Sekutowicz [DESY, Hamburg, Germany] ","Improved Heat Conduction Feedthroughs for HOM Couplers at DESY",102 104,
wg4000,"D.M. Gassner [BNL, Upton, Long Island, New York, USA] T. Obina [KEK, Ibaraki, Japan] ","Closing Plenary Summary of Working Group 4 Instrumentation and Controls for ERL2011",105 109,
wg4001,"H. Maesaka, H. Ego, C. Kondo, T. Ohshima, Y. Otake, T. Sakurai [RIKEN SPring-8 Center, Sayo-cho, Sayo-gun, Hyogo, Japan] N. Hosoda, S. Matsubara, K. Yanagida [JASRI/SPring-8, Hyogo-ken, Japan] S.I. Inoue [SES, Hyogo-pref., Japan] ","Design and Performance of the Synchronization System and Beam Diagnostic Instruments for SACLA",110 115,
wg5003,"S.L. Kramer [BNL, Upton, Long Island, New York, USA] ","NSLS-II Beam Loss Monitor System*",116 120,
wg5005,"T. Bizen [JASRI/SPring-8, Hyogo, Japan] ","Brief Review of the Approaches to Elucidate the Mechanism of the Radiation-induced Demagnetization",121 126,
