plt01,"K. Aulenbacher, J. Diefenbach, R.G. Heine, F. Schlander [IKP, Mainz, Germany] ","Status of the MESA Accelerator",99 98,
plt03,"O.A. Shevchenko, V.S. Arbuzov, E.N. Dementyev, B.A. Dovzhenko, Ya.V. Getmanov, E.I. Gorniker, B.A. Knyazev, E.I. Kolobanov, A.A. Kondakov, V.R. Kozak, E.V. Kozyrev, S.A. Krutikhin, V.V. Kubarev, G.N. Kulipanov, E.A. Kuper, I.V. Kuptsov, G.Y. Kurkin, L.E. Medvedev, L.A. Mironenko, V.K. Ovchar, V.M. Petrov, A.M. Pilan, V.M. Popik, V.V. Repkov, T.V. Salikova, M.A. Scheglov, I.K. Sedlyarov, S.S. Serednyakov, A.N. Skrinsky, S.V. Tararyshkin, V.G. Tcheskidov, A.G. Tribendis, N. Vinokurov, M.G. Vlasenko, P. Vobly, V. Volkov [BINP SB RAS, Novosibirsk, Russia] N. Vinokurov [KAERI, Daejon, Republic of Korea] ","Commissioning Status and Further Development of the Novosibirsk Multiturn ERL",6 10,
ps04,"Y. Jiao [IHEP, Beijing, People's Republic of China] ","Beam Dynamics Studies on the Injector of the IHEP ERL Test Facility",90 92,
ps06,"X.P. Li, J.S. Cao, S.Y. Chen, Y.L. Chi, Y. Jiao, J. Liu, R.L. Liu, K. Lv, S. Pei, X.H. Peng, D.R. Sun, G.W. Wang, J.Q. Wang, S.H. Wang, O. Xiao, J.R. Zhang, T. Zhang, Z.S. Zhou [IHEP, Beijing, People's Republic of China] J.Q. Xu [Insititute of High Energy Physics (IHEP), People's Republic of China] ","Progress on the Construction of IHEP 500kV Photocathode DC Gun System",93 96,
ps09,"F. Hug, T. Kuerzeder (T. Kürzeder), N. Pietralla [TU Darmstadt, Darmstadt, Germany] ","Upcoming Measurements of Transverse Beam Break-Up at the Superconducting Recirculating Electron Accelerator S-DALINAC",97 99,
ps11,"D.M. Gassner, C. Liu, R.J. Michnoff, T.A. Miller, M.G. Minty, M. Wilinski [BNL, Upton, Long Island, New York, USA] ","Status of the BNL ERL Instrumentation",100 105,
ps13,"T.V. Salikova, M. Petrichenkov, A.V. Repkov, O.A. Shevchenko, N. Vinokurov [BINP SB RAS, Novosibirsk, Russia] ","Radiation Monitoring at Novosibirsk FEL",106 107,
ps14,"T.A. Miller, S. Bellavia, I. Ben-Zvi, J.M. Fite, D.M. Gassner [BNL, Upton, Long Island, New York, USA] ","Instrumentation Designs for Beam Distribution Measurements in the ERL Beam Dump at BNL",108 111,
ps15,"H. Hara, K. Sennyu [MHI, Kobe, Japan] ","The Development of Cryomodule for c-ERL at MHI",112 114,
wg101,"J. Teichert, A. Arnold, H. Buettig (H. Büttig), U. Lehnert, P.N. Lu, P. Michel, P. Murcek, R. Schurig, H. Vennekate, R. Xiang [HZDR, Dresden, Germany] T. Kamps, J. Rudolph [HZB, Berlin, Germany] P. Kneisel [JLAB, Newport News, Virginia, USA] I. Will [MBI, Berlin, Germany] ","Progress of SRF Gun Development and Operation at the ELBE Accelerator",11 15,
wg102,"S. Sakanaka, M. Adachi, S. Adachi, M. Akemoto, D.A. Arakawa, S. Asaoka, K. Enami, K. Endo, S. Fukuda, T. Furuya, K. Haga, K. Hara, K. Harada, T. Honda, Y. Honda, H. Honma, T. Honma, K. Hosoyama, K. Hozumi, A. Ishii, E. Kako, Y. Kamiya, H. Katagiri, H. Kawata, Y. Kobayashi, Y. Kojima, Y. Kondou, O. A. Konstantinova, T. Kume, T. Matsumoto, H. Matsumura, H. Matsushita, S. Michizono, T. Miura, T. Miyajima, H. Miyauchi, S. Nagahashi, H. Nakai, H. Nakajima, N. Nakamura, K. Nakanishi, K. Nakao, K.N. Nigorikawa, T. Nogami, S. Noguchi, S. Nozawa, T. Obina, T. Ozaki, F. Qiu, H. Sagehashi, H. Sakai, S. Sasaki, K. Satoh, M. Satoh, Y. Seimiya, T. Shidara, M. Shimada, K. Shinoe, T. Shioya, T. Shishido, M. Tadano, T. Tahara, T. Takahashi, R. Takai, T. Takenaka, Y. Tanimoto, M. Tobiyama, K. Tsuchiya, T. Uchiyama, A. Ueda, K. Umemori, K. Watanabe, M. Yamamoto, Y. Yamamoto, Y. Yano, M. Yoshida [KEK, Ibaraki, Japan] E. Cenni [Sokendai, Ibaraki, Japan] R. Hajima, S.M. Matsuba, R. Nagai, N. Nishimori, M. Sawamura, T. Shizuma [JAEA, Ibaraki-ken, Japan] J.G. Hwang [KNU, Deagu, Republic of Korea] H. Iijima, M. Kuriki [HU/AdSM, Higashi-Hiroshima, Japan] H. Takaki [ISSP/SRL, Chiba, Japan] ","Construction and Commissioning of Compact-ERL Injector at KEK",16 21,
wg104,"A.S. Terekhov, V.V. Bakin, D.V. Gorshkov, S.N. Kosolobov, H.E. Scheibler [ISP, Novosibirsk, Russia] ","Studies of NEA-photocathodes",22 27,
wg108,"M. Yamamoto, Y. Honda, M. Kobayashi, T. Miyajima, T. Uchiyama [KEK, Ibaraki, Japan] R. Hajima, S.M. Matsuba, R. Nagai, N. Nishimori [JAEA, Ibaraki-ken, Japan] M. Kuriki [HU/AdSM, Higashi-Hiroshima, Japan] H. Kurisu [Yamaguchi University, Ube-Shi, Japan] M. Kuwahara [Nagoya University, Nagoya, Japan] H. Yoshida [AIST, Tsukuba, Japan] ","Construction of the 2nd 500 kV Photocathode DC-gun at KEK",28 31,
