mopbth003,"T. Atkinson, A.V. Bondarenko, A.N. Matveenko, Y. Petenev [HZB, Berlin, Germany] ","The Femto-Science Factory: A Multi-turn ERL Based Light Source",99 98,
mopcth010,"N. Nakamura, S. Chen, T. Furuya, K. Haga, I. Hanyu, K. Harada, T. Honda, Y. Honda, E. Kako, Y. Kamiya, R. Kato, H. Kawata, Y. Kobayashi, T. Konomi, T. Kubo, S. Michizono, T. Miyajima, H. Nakai, T. Obina, K. Oide, H. Sakai, S. Sakanaka, M. Shimada, K. Tsuchiya, K. Umemori, M. Yamamoto [KEK, Ibaraki, Japan] R. Hajima, N. Nishimori [JAEA, Ibaraki-ken, Japan] ","Design Work of the ERL-FEL as the High Intense EUV Light Source",4 9,
mopdth014,"D. Kayran, Z. Altinbas, D.R. Beavis, S.A. Belomestnykh, I. Ben-Zvi, S. Deonarine, D.M. Gassner, R.C. Gupta, H. Hahn, L.R. Hammons, C. Ho, J.P. Jamilkowski, P. K. Kankiya, N. Laloudakis, R.F. Lambiase, V. Litvinenko, G.J. Mahler, L. Masi, G.T. McIntyre, T.A. Miller, J. Morris, D. Phillips, V. Ptitsyn, T. Rao, T. Seda, B. Sheehy, L. Smart, K.S. Smith, T. Srinivasan-Rao, A.N. Steszyn, R. Than, E. Wang, D. Weiss, H. Xie, W. Xu, A. Zaltsman [BNL, Upton, Long Island, New York, USA] S.A. Belomestnykh, I. Ben-Zvi, L.R. Hammons, D. Kayran, V. Litvinenko, V. Ptitsyn [Stony Brook University, Stony Brook, USA] ","Status and Commissioning Results of the R&D ERL at BNL",10 14,
thialh2069,"I. Alexander, K. Aulenbacher, V. Bechthold, B. Ledroit, C. Matejcek [IKP, Mainz, Germany] ","Diagnostic Test-Beam-Line for the MESA Injector",91 96,
thpcth075,"A.C. Bartnik [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] T. Kamps [HZB, Berlin, Germany] ","Summary of WG1 on Injectors - ERL 2015",103 106,
thpcth076,"M. Abo-Bakr [HZB, Berlin, Germany] V. Ptitsyn [BNL, Upton, Long Island, New York, USA] ","ERL Beam Dynamics and Optics: A Summary of Working Group 2 at the ERL Workshop 2015",107 110,
thpcth077,"C.M. Gulliford [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] T. Obina [KEK, Tsukuba, Japan] ","Summary of WG3 on Instrumentation, Controls, and Beam Losses - ERL 2015",111 114,
thpdth078,"H. Sakai [KEK, Ibaraki, Japan] E. Jensen [CERN, Geneva, Switzerland] ","ERL 2015 Summary of Workging Group 4 RF and Superconductiong RF",115 120,
thpdth079,"V. Litvinenko [Stony Brook University, Stony Brook, USA] O.S. Brüning [CERN, Geneva, Switzerland] ","Summary of WG5 on ERL Applications - ERL 2015",121 125,
thpthl072,"M. Schmeißer, A. Jankowiak, T. Kamps, J. Kuehn (J. Kühn) [HZB, Berlin, Germany] ","CsK2Sb Photocathode Development for BERLinPro",97 99,
thpthl073,"N. Nishimori, R. Hajima, R. Nagai, M. Sawamura [JAEA, Ibaraki-ken, Japan] ","Development of a Multialkali Photocathode Preparation System",100 102,
