moa02,"O.A. Shevchenko, V.S. Arbuzov, K.N. Chernov, I.V. Davidyuk, E.N. Dementyev, B.A. Dovzhenko, Ya.V. Getmanov, B.A. Knyazev, E.I. Kolobanov, A.A. Kondakov, V.R. Kozak, E.V. Kozyrev, V.V. Kubarev, G.N. Kulipanov, E.A. Kuper, I.V. Kuptsov, G.Y. Kurkin, L.E. Medvedev, S.V. Motygin, V.N. Osipov, V.K. Ovchar, V.M. Petrov, A.M. Pilan, V.M. Popik, V.V. Repkov, T.V. Salikova, M.A. Scheglov, I.K. Sedlyarov, G.V. Serdobintsev, S.S. Serednyakov, A.N. Skrinsky, S.V. Tararyshkin, V.G. Tcheskidov, A.G. Tribendis, N. Vinokurov, P. Vobly [BINP SB RAS, Novosibirsk, Russia] ","First Lasing of the Third Stage of Novosibirsk FEL",99 98,
mob01,"W.M. Fawley [Elettra-Sincrotrone Trieste S.C.p.A., Basovizza, Italy] W.M. Fawley [SLAC, Menlo Park, California, USA] ","Three-Plus Decades of Tapered Undulator FEL Physics",5 6,
mob02,"Z. Huang [SLAC, Menlo Park, California, USA] ","X-Ray FEL R&D: Brighter, Better and Cheaper",7 9,
mob03,"E. Hemsing [SLAC, Menlo Park, California, USA] ","Transforming the FEL: Coherence, Complex Structures, and Exotic Beams",10 16,
moc02,"E. Schneidmiller, M.V. Yurkov [DESY, Hamburg, Germany] ","Optimization of a High Efficiency Free Electron Laser Amplifier",17 23,
moc03,"S. Di Mitri [Elettra-Sincrotrone Trieste S.C.p.A., Basovizza, Italy] S. Spampinati [Cockcroft Institute, Warrington, Cheshire, United Kingdom] ","Estimate of Free-Electron Laser Gain Length in the Presence of Electron Beam Collective Effects",24 28,
moc04,"G.L. Wang, D.X. Dai, G.R. Wu, X.M. Yang, W.Q. Zhang [DICP, Dalian, People's Republic of China] ","Operating of SXFEL in a Single Stage High Gain Harmonic Generation Scheme",29 33,
mod01,"N. Nishimori [JAEA, Ibaraki-ken, Japan] ","Review of Experimental Results from High Brightness DC Guns: Highlights in FEL Applications",269 273,
mod02,"P. Piot [Fermilab, Batavia, Illinois, USA] P. Piot [Northern Illinois University, DeKalb, Illinois, USA] ","Overview of Alternative Bunching and Current-shaping Techniques for Low-Energy Electron Beams",274 279,
mod03,"H.J. Qian, J. Feng, D. Filippetto, J.R. Nasiatka, H.A. Padmore, F. Sannibale [LBNL, Berkeley, California, USA] R.K. Li, J.F. Schmerge, F. Zhou [SLAC, Menlo Park, California, USA] ","Alkali Cathode Testing for LCLS-II at APEX",280 284,
mod04,"G. Vashchenko, P. Boonpornprasert, J.D. Good, M. Gross (M. Groß), H. Huck, I.I. Isaev, D.K. Kalantaryan, G. Kourkafas, M. Krasilnikov, D. Malyutin, D. Melkumyan, A. Oppelt, M. Otevrel (M. Otevřel), Y. Renier, T. Rublack, F. Stephan [DESY Zeuthen, Zeuthen, Germany] G. Asova [INRNE, Sofia, Bulgaria] M. A. Bakr [Assiut University, Assiut, Egypt] C. Hernandez-Garcia [JLab, Newport News, Virginia, USA] O. Lishilin, G. Pathak [Uni HH, Hamburg, Germany] Q.T. Zhao [IMP/CAS, Lanzhou, People's Republic of China] ","Emittance Measurements of the Electron Beam at PITZ for the Commissioning Phase of the European X-FEL",285 288,
mop004,"H. Jeevakhan, P.K. Purohit [NITTTR, Bhopal, India] G. Mishra [Devi Ahilya University, Indore, India] ","Influence of Horizantal Constant Magnetic Field on Harmonic Undulator Radiations and Gain",34 37,
mop008,"G. Geloni [XFEL.EU, Hamburg, Germany] V. Kocharyan, E. Saldin [DESY, Hamburg, Germany] ","Theoretical Computation of the Polarization Characteristics of an X-Ray Free-Electron Laser with Planar Undulator",38 42,
mop009,"N. Balal, V.L. Bratman, E. Magori [Ariel University, Ariel, Israel] V.L. Bratman [IAP/RAS, Nizhny Novgorod, Russia] ","Efficient Electron Sources of Coherent Spontaneous Radiation with Combined Helical and Uniform Magnetic Fields",43 45,
mop010,"Z.G. He, Q.K. Jia, L. Wang, W. Xu, S.C. Zhang [USTC/NSRL, Hefei, Anhui, People's Republic of China] ","Linac Design of the IR-FEL Project in CHINA",46 48,
mop011,"J.A. Clarke, D. Angal-Kalinin, A.D. Brynes, R.K. Buckley, S.R. Buckley, L.S. Cowie, D.J. Dunning, B.D. Fell, P. Goudket, A.R. Goulden, P.C. Hornickel, F. Jackson, S.P. Jamison, J.K. Jones, K.B. Marinov, P.A. McIntosh, J.W. McKenzie, K.J. Middleman, B.L. Militsyn, A.J. Moss, B.D. Muratori, M.D. Roper, L.K. Rudge, Y.M. Saveliev, B.J.A. Shepherd, R.J. Smith, S.L. Smith, E.W. Snedden, M. Surman, T.T. Thakker, N. Thompson, R. Valizadeh, A.E. Wheelhouse, P.H. Williams [STFC/DL/ASTeC, Daresbury, Warrington, Cheshire, United Kingdom] R.B. Appleby, K. Hanahoe, O. Mete Apsimon, H.L. Owen, G.X. Xia [UMAN, Manchester, United Kingdom] P. Atkinson, N. Bliss, R.J. Cash, N.A. Collomb, G. Cox, G.P. Diakun, S. Dobson, A. Gallagher, S.A. Griffiths, C. Hill, C. Hodgkinson, D.M.P. Holland, T.J. Jones, B.G. Martlew, J. Williams [STFC/DL, Daresbury, Warrington, Cheshire, United Kingdom] R. Bartolini, I.P.S. Martin [DLS, Oxfordshire, United Kingdom] S.T. Boogert, E. Yamakawa [Royal Holloway, University of London, Surrey, United Kingdom] G. Burt, P.N. Ratoff [Lancaster University, Lancaster, United Kingdom] L.T. Campbell, A.J.T. Colin, J. Henderson, B. Hidding, B.W.J. McNeil (B.W.J. MᶜNeil) [USTRAT/SUPA, Glasgow, United Kingdom] A.M. Kolano [University of Huddersfield, Huddersfield, United Kingdom] A. Lyapin [JAI, Egham, Surrey, United Kingdom] V.V. Paramonov, A.K. Skasyrskaya [RAS/INR, Moscow, Russia] J.D.A. Smith [TXUK, Warrington, United Kingdom] S. Spampinati [Cockcroft Institute, Warrington, Cheshire, United Kingdom] Y. Wei, C.P. Welsch, A. Wolski [The University of Liverpool, Liverpool, United Kingdom] ","Status of CLARA, a New FEL Test Facility",49 53,
mop012,"N.S. Mirian, K. Hayashi, M. Katoh, J. Yamazaki [UVSOR, Okazaki, Japan] M. Hosaka, Y. Takashima [Nagoya University, Nagoya, Japan] T. Konomi, N. Yamamoto [KEK, Ibaraki, Japan] H. Zen [Kyoto University, Kyoto, Japan] ","Present Status of Source Development Station at UVSOR-III",54 56,
