cpl01,"R.A. Baartman, TRIUMF, Vancouver; G. Franchetti, GSI, Darmstadt; E. Métral, CERN, Geneva","Summary of Group A: Beam Dynamics in High Intensity Circular Machines",482 484,
cpl02,"A.V. Aleksandrov, ORNL, Oak Ridge, Tennessee; I. Hofmann, GSI, Darmstadt; J.-M. Lagniel, GANIL, Caen","Summary Report of the Working Group B: Beam Dynamics in High Intensity Linacs",485 486,
cpl03,"D. Raparia, BNL, Upton, Long Island, New York; S.M. Cousineau, ORNL, Oak Ridge, Tennessee","Summary Report for Working Group C: Accelerator System Design, Injection, Extraction, Collimation",487 488,
cpl04,"J. Galambos, ORNL, Oak Ridge, Tennessee; T. Koseki, KEK, Ibaraki","Commissioning Strategies, Operations and Performance, Beam Loss Management, Activation, Machine Protection",489 492,
cpl05,"P.N. Ostroumov, ANL, Argonne, Illinois; F. Gerigk, CERN, Geneva","Closing Plenary Summary of Working Group E: High-Intensity Linacs & Rings: New Facilities and Concepts",493 495,
cpl06,"M. Wendt, Fermilab, Batavia, Illinois; T. Toyama, KEK, Ibaraki","Closing Plenary Summary of Working Group F: Diagnostics and Instrumentation for High-Intensity Beams",496 498,
opl01,"J. Galambos, ORNL, Oak Ridge, Tennessee","High Intensity Challenges at the Spallation Neutron Source",99 98,
opl02,"H. Hotchi, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken","Status of J-PARC Commissioning",6 15,
opl03,"E.N. Shaposhnikova, CERN, Geneva","Intensity Upgrade Plans for CERN-LHC Injectors",16 21,
opl04,"O. Boine-Frankenheim, GSI, Darmstadt","High Intensity Challenges of the FAIR Project",22 22,
opl05,"G. Apollinari, Fermilab, Batavia, Illinois","Project X as a Way to Intensity Frontier Physics",23 31,
opl06,"L.R. Prost, P. Derwent, Fermilab, Batavia, Illinois","The State of the Art in Hadron Beam Cooling",32 39,
wga01,"Y.H. Chin, KEK, Ibaraki; J. Kamiya, Y. Shobuda, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; K. Takata, T. Toyama, KEK, Ibaraki","Impedance and Beam Instability Issues at J-PARC Rings",40 44,
wga02,"B. Salvant, EPFL, Lausanne; G. Arduini, CERN, Geneva; R. Calaga, BNL, Upton, Long Island, New York; E. Métral, G. Papotti, D. Quatraro, G. Rumolo, R.J. Steinhagen, R. Tomás, CERN, Geneva","Transverse Mode-Coupling Instability in the CERN SPS: Comparing HEADTAIL Simulations with Beam Measurements",45 47,
wga03,"F. Roncarolo, UMAN, Manchester; F. Caspers, T. Kroyer, E. Métral, CERN, Geneva; B. Salvant, EPFL, Lausanne","Measurement of the Transverse Resistive Wall Impedance of a LHC Graphite Collimator at Low Frequency",48 52,
wga04,"V. Ptitsyn, N.P. Abreu, M. Blaskiewicz, J.M. Brennan, W. Fischer, R.C. Lee, C. Montag, S. Tepikian, BNL, Upton, Long Island, New York","Crossing Transition at RHIC",53 57,
wga05,"V.A. Lebedev, A.V. Burov, Fermilab, Batavia, Illinois","Transverse Instabilities of Coasting Beams With Space Charge",58 62,
wga06,"A.V. Burov, V.A. Lebedev, Fermilab, Batavia, Illinois","Coherent Synchrobetatron Resonance at the FNAL Booster",63 65,
wga07,"V. Kornilov, O. Boine-Frankenheim, GSI, Darmstadt","Simulation Study of Transverse Coherent Instabilities in Intense Bunches with Space Charge and Image Currents",66 68,
wga08,"J.F. Amundson, P. Spentzouris, E.G. Stern, Fermilab, Batavia, Illinois","Simulation Studies of the Interplay Between Space-Charge and Impedance Effects of the Fermilab Main Injector",69 71,
wga09,"H.J. Kim, Fermilab, Batavia, Illinois; N.P. Abreu, W. Fischer, BNL, Upton, Long Island, New York; T. Sen, Fermilab, Batavia, Illinois","Simulations of Wire Compensator in RHIC",72 74,
wga10,"A.V. Fedotov, I. Ben-Zvi, X. Chang, A. Kayran, V. Litvinenko, E. Pozdeyev, T. Satogata, BNL, Upton, Long Island, New York","Beam Dynamics Limits for Low-Energy RHIC Operation",75 77,
wga11,"C. Papadopoulos, I. Haber, R.A. Kishek, P.G. O'Shea, M. Reiser, UMD, College Park, Maryland","Simulation Studies of Halo Creation and Regeneration in Intense Charged Particle Beams",78 80,
wga12,"D.L. Bruhwiler, G.I. Bell, Tech-X, Boulder, Colorado; I. Ben-Zvi, BNL, Upton, Long Island, New York; Y.S. Derbenev, Jefferson Lab, Newport News, Virginia; V. Litvinenko, BNL, Upton, Long Island, New York; A.V. Sobol, Tech-X, Boulder, Colorado","Simulation of Coherent Electron Cooling for High-Intensity Hadron Colliders",81 81,
wga13,"M. Xiao, Fermilab, Batavia, Illinois","Measurements and Corrections of the Recycler Lattice at Fermilab",82 84,
wga14,"V.A. Lebedev, A.V. Burov, Fermilab, Batavia, Illinois","Coupling and its Effects on Beam Dynamics",85 88,
wga15,"Z. Liu, IUCF, Bloomington, Indiana; S.M. Cousineau, J. Galambos, J.A. Holmes, ORNL, Oak Ridge, Tennessee; X. Huang, SLAC, Menlo Park, California; M.A. Plum, ORNL, Oak Ridge, Tennessee","Orbit Response Matrix Analysis Applied at SNS Ring",89 91,
wga16,"S.M. Cousineau, V.V. Danilov, C. Deibele, M.A. Plum, ORNL, Oak Ridge, Tennessee","Instability Observations in the Spallation Neutron Source Accumulator Ring",92 96,
wga17,"M.A. Furman, LBNL, Berkeley, California","Electron-Cloud Build-up Simulations for FNAL Main Injector",97 105,
wga18,"R.J. Macek, LANL, Los Alamos, New Mexico; A. A. Browman, TechSource, Santa Fe, New Mexico; J.S. Kolski, R.C. McCrady, L. Rybarcyk, T. Spickermann, T. Zaugg, LANL, Los Alamos, New Mexico","Recent Observations, Experiments and Simulations of Electron Cloud Effects at the LANL PSR",106 111,
wga19,"R.M. Zwaska, The University of Texas at Austin, Austin, Texas","Electron Cloud Studies at the Fermilab Main Injector",112 112,
wga20,"I. Hofmann, GSI, Darmstadt","Space Charge Resonances in High-Intensity Beams",113 117,
wga21,"X. Pang, S.-Y. Lee, IUCF, Bloomington, Indiana; K.Y. Ng, Fermilab, Batavia, Illinois; F. Wang, X. Wang, IUCF, Bloomington, Indiana","Emittance Growth Scaling Laws in Resonance Crossing",118 127,
wga22,"G. Franchetti, W.B. Bayer, F. Becker, O. Chorniy, P. Forck, T. Giacomini, I. Hofmann, M. Kirk, T.S. Mohite, C. Omet, A.S. Parfenova, P. Schütt, GSI, Darmstadt","The S317 Experiment on High Intensity Beam Loss and Emittance Growth",128 130,
wga24,"A.Y. Molodozhentsev, E. Forest, KEK, Ibaraki","Simulation of Resonances and Beam Loss for the J-PARC Main Ring",131 133,
wga25,"M. Martini, M. Aiba, C. Carli, CERN, Geneva","Evolution Beam Parameters During Injection and Storage of the High Brightness Beams Envisaged for the Linac4 Injection into the CERN PS Booster",134 136,
wga26,"J.A. Holmes, S.M. Cousineau, V.V. Danilov, M.A. Plum, A.P. Shishlo, ORNL, Oak Ridge, Tennessee","High Intensity Effects in the SNS Accumulator Ring",137 142,
