fro1au01,"S. Machida [STFC/RAL/ASTeC, Chilton, Didcot, Oxon, United Kingdom] Y.H. Chin [KEK, Ibaraki, Japan] J.A. Holmes [ORNL, Oak Ridge, Tennessee, USA] ","WG-A Summary",443 445,
fro1au02,"D. Raparia [BNL, Upton, Long Island, New York, USA] Y. He [IMP, Lanzhou, People's Republic of China] I. Hofmann [GSI, Darmstadt, Germany] ","WG B- Beam Dynamics in High Intensity Linacs",446 447,
fro1au03,"S.M. Lund [FRIB, East Lansing, Michigan, USA] G. Franchetti [GSI, Darmstadt, Germany] H. Okamoto [HU/AdSM, Higashi-Hiroshima, Japan] ","Working Group C Summary: Computational Challenges, New Concepts, and New Projects",448 452,
fro2au02,"M.G. Minty [BNL, Upton, Long Island, New York, USA] R. Dölling [PSI, Villigen PSI, Switzerland] N.V. Mokhov [Fermilab, Batavia, Illinois, USA] T. Toyama [J-PARC, KEK  JAEA, Ibaraki-ken, Japan] ","Summary from Working Group F: Instrumentation and Beam Material Interactions",453 460,
mopab02,"J.L. Abelleira, W. Bartmann, J. Borburgh, E. Bravin, U. Raich [CERN, Geneva, Switzerland] ","Progress in the Upgrade of the CERN PS Booster Recombination",24 28,
mopab04,"H. V. Smith, B. Jones [STFC/RAL/ISIS, Chilton, Didcot, Oxon, United Kingdom] ","An Overview of the Preparation and Characteristics of the ISIS Stripping Foil",29 33,
mopab05,"C. Liu, K.A. Drees, A. Marusic, M.G. Minty, C. Montag [BNL, Upton, Long Island, New York, USA] ","Global Optics Correction for Low Energy RHIC Run",34 36,
mopab08,"C. Liu, M. Blaskiewicz, J.M. Brennan, K. Mernick, M.G. Minty, C. Montag, K.S. Smith [BNL, Upton, Long Island, New York, USA] ","Longitudinal Dynamics Simulation at Transition Crossing in RHIC with New Landau Cavity",37 39,
mopab10,"G. Sterbini, A. Blas, S.S. Gilardoni [CERN, Geneva, Switzerland] ","Beam-based Performance of the CERN PS Transverse Feedback",40 44,
mopab11,"I. Karpov [TEMF, TU Darmstadt, Darmstadt, Germany] O. Boine-Frankenheim, V. Kornilov [GSI, Darmstadt, Germany] ","Transverse Decoherence of Ion Bunches with Space Charge and Feedback System",45 49,
mopab12,"J.S. Eldred [Indiana University, Bloomington, Indiana, USA] J.S. Eldred, R.M. Zwaska [Fermilab, Batavia, Illinois, USA] ","Slip-stacking Dynamics and the 20 Hz Booster",50 56,
