a-01,"M. Bousonville, GSI, Darmstadt; J. Rausch, TU Darmstadt, Darmstadt","Reference Signal Generation with Direct Digital Synthesis for FAIR",218 222,
a-03,"A. Plotnikov, E. Floch, E. Mustafin, E. Schubert, T. Seidl, GSI, Darmstadt; A. Smolyakov, ITEP, Moscow; I. Strašík, GSI, Darmstadt","Preparation of the Irradiation Test and Cave HHD of GSI Darmstadt",223 226,
a-04,"E. Mustafin, GSI, Darmstadt; L.N. Latysheva, RAS/INR, Moscow; E. Floch, A. Plotnikov, E. Schubert, T. Seidl, GSI, Darmstadt; A. Smolyakov, ITEP, Moscow; I. Strašík, GSI, Bratislava","Irradiation of Superconducting Magnet Components for FAIR",227 230,
a-05,"I. Strašík, E. Floch, E. Mustafin, A. Plotnikov, E. Schubert, T. Seidl, A. Smolyakov, GSI, Darmstadt","Depth-Profiling of the Residual Activity Induced by High-Energy Uranium Ions in Thin Stainless Steel Target",231 235,
a-06,"G.N. Kropachev, A. Aleev, A.D. Fertman, R.P. Kuibeda, T.V. Kulevoy, A.A. Nikitin, S.V. Rogozhkin, A.I. Semennikov, ITEP, Moscow; M. Cavenago, INFN/LNL, Legnaro","ITEP Heavy Ion RFQ Output Line Upgrade for Experiments of Reactor Material Investigation under Irradiation",236 240,
b-01,"S. Ito, H. Matsuzaki, A. Morita, NEM, Tokyo","Current Status Report of RAPID, The University of Tokyo",241 244,
c-01,"G. Hahn, D. H. An, H.J. Yim, Y.S. Kim, KIRAMS, Seoul","Conceptual Design of a Radio Frequency Quadrupole for the Heavy-Ion Medical Facility",245 246,
c-02,"A. Parravicini, S. Alpegiani, G. Balbinot, G. Bazzano, D. Bianculli, J. Bosser, E. Bressi, G. Burato, G. Butella, M. Caldara, E. Chiesa, L. Falbo, A. Ferrari, F. Generani, F. Gerardi, L. Lanzavecchia, R. Monferrato, V. Mutti, M. Nodari, M. Pezzetta, A. Portalupi, C. Priano, M. Pullia, S. Rossi, M. Scotti, M. Spairani, E. Vacchieri, CNAO, Milan; A. Reiter, GSI, Darmstadt; C. Biscari, INFN/LNF, Frascati; C. Roncolato, INFN/LNL, Legnaro; S. Vitulli, CNAO, Milano; C. Sanelli, INFN/LNF, Frascati; L. Celona, G. Ciavola, S. Gammino, F. Maimone, INFN/LNS, Catania; B. Schlitt, GSI, Darmstadt; L. Frosini, G. Venchi, University of Pavia, Pavia; M. Ferrarini, Politecnico di Milano, Milano","Commissioning of the CNAO LEBT and Sources",247 250,
c-03,"A. Parravicini, G. Balbinot, CNAO, Milano; C. Biscari, INFN/LNF, Frascati; J. Bosser, E. Bressi, M. Caldara, L. Lanzavecchia, M. Pullia, M. Spairani, CNAO, Milano","Beam Diagnostics in the CNAO Injection Lines Commissioning",251 255,
c-04,"M. Leitner, F. Bieniosek, LBNL, Berkeley; E.P. Gilson, PPPL, Princeton; J.W. Kwan, G. Logan, LBNL, Berkeley; J.J. Barnard, A. Friedman, B. Sharp, LLNL, Livermore; W.L. Waldron, LBNL, Berkeley; R. Davidson, PPPL, Princeton","NDCX-II, a New Induction Linear Accelerator for Warm Dense Matter Research",256 260,
c-05,"M. Marchetto, R.E. Laxdal, F. Yan, TRIUMF, Vancouver","Decelerating Heavy Ion Beams Using the ISAC DTL",261 265,
