frm1c01,"Y. Iwata, T. Furukawa, Y. Hara, S. Matsuba, S. Mori, K. Noda, S. Sato, T. Shirai, K. Shoda, R. Tansho [NIRS, Chiba-shi, Japan] N. Amemiya [Kyoto University, Kyoto, Japan] H. Arai, T. Fujimoto [AEC, Chiba, Japan] T.F. Fujita, K. Mizushima, Y. Saraya [National Institute of Radiological Sciences, Chiba, Japan] Y. Nagamoto, T. Orikasa, S. Takayama [Toshiba, Tokyo, Japan] T. Ogitsu [KEK, Ibaraki, Japan] ","Present Status of a Superconducting Rotating-Gantry for Carbon Therapy",288 290,
frm1c03,"K.W. Leo [Malaysian Nuclear Agency, Kajang, Malaysia] T. Adachi, T. Kawakubo, T. Monma, K. Takayama [KEK, Ibaraki, Japan] T. Adachi, K. Takayama [Sokendai, Ibaraki, Japan] T.S. Dixit [SAMEER, Mumbai, India] K. Takayama [TIT, Yokohama, Japan] ","A Compact Hadron Driver for Cancer Therapies with Continuous Energy Sweep Scanning",291 293,
frm1c04,"R.V. Hariwal, S. Kedia, R. Mehta [IUAC, New Delhi, India] H.K. Malik [Indian Institute of Technology, New Delhi, India] V.A. Verzilov [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] ","Design, Fabrication and Testing of Compact Diagnostic System at IUAC",294 296,
frm2c01,"J. Choinski [Warsaw University, Warsaw, Poland] P. Gmaj [HIL, Warsaw, Poland] ","Heavy Ion Laboratory, University of Warsaw - a Unique Research Center in Poland",297 299,
frm2i01,"A. Chakrabarti [VECC, Kolkata, India] ","Radioactive Ion Beams Programme at Vecc Kolkata, Indian Efforts",300 303,
moa1c01,"H. Hasebe, N. Fukunishi, H. Imao, O. Kamigaito, M. Kase, H. Kuboki, H. Okuno [RIKEN Nishina Center, Wako, Japan] ","History of Solid Disk Improvement for Rotating Charge Stripper",17 19,
moa1c02,"O. Kamalou, O. Bajeat, F. Chautard, P. Delahaye, M. Dubois, L. Maunoury, G. Normand, A. Savalle [GANIL, Caen, France] J. Angot, T. Lamy [LPSC, Grenoble Cedex, France] ","GANIL Operation Status and New Range of Post-Accelerated Exotic Beams",20 22,
moa1c03,"A. Calanna, L. Calabretta, G. Cuttone, G. Dagostino, D. Rifuggiato, A.D. Russo [INFN/LNS, Catania, Italy] A. Radovinsky [MIT/PSFC, Cambridge, Massachusetts, USA] ","Proposal to Increase the Extracted Beam Power from the LNS-INFN Superconducting Cyclotron",23 26,
moa1i01,"N. Fukunishi [RIKEN Nishina Center, Wako, Japan] ","Review of Heavy-Ion Cyclotrons",11 16,
moa2c01,"K. Kamakura, M. Fukuda, K. Hatanaka, S. Morinobu, K. Nagayama, T. Saito, K. Shimada, H. Tamura, H. Ueda, Y. Yasuda, T. Yorita [RCNP, Osaka, Japan] ","Design of a Sector Magnet for High Temperature Superconducting Injector Cyclotron",27 29,
