mocb01,"H. Fukuma, A. Arinaga, J.W. Flanagan, H. Ikeda, H. Ishii, S. Kanaeda, K. Mori, M. Tejima, M. Tobiyama [KEK, Ibaraki, Japan] G. Bonvicini, H. Farhat, R.S. Gillard [Wayne State University, USA] G.S. Varner [University of Hawaii, Honolulu, HI, USA] ","Beam Instrumentation for the SuperKEKB Rings",6 10,
mocb02,"B. Keil, R. Baldinger, R. Ditter, W. Koprek, R. Kramert, G. Marinkovic, M. Roggli, M. Stadler, D.M. Treyer [PSI, Villigen PSI, Switzerland] ","A Generic BPM Electronics Platform for European XFEL, SwissFEL and SLS",11 15,
mocb03,"Z.C. Chen, Y.B. Leng, Y. Xiong, W.M. Zhou [SSRF, Shanghai, People's Republic of China] ","Modeling and Performance Evaluation of DCCTs in SSRF",16 19,
mocb04,"K.P. Wootton, R.P. Rassool, G. Taylor [The University of Melbourne, Melbourne, Australia] M.J. Boland, B.C.C. Cowie, R.T. Dowd, Y.E. Tan [ASCo, Clayton, Victoria, Australia] Y. Papaphilippou [CERN, Geneva, Switzerland] ","Vertical Emittance Measurements using a Vertical Undulator",20 23,
mocc01,"L.M. Bobb, N. Chritin, T. Lefevre (T. Lefèvre) [CERN, Geneva, Switzerland] M.G. Billing [CLASSE, Ithaca, New York, USA] L.M. Bobb, V. Karataev [JAI, Egham, Surrey, United Kingdom] ","UV/X-ray Diffraction Radiation for Non-intercepting Micron-scale Beam Size Measurement",24 28,
mocc03,"Y. Okayasu, S. Matsubara, T. Togashi [JASRI/SPring-8, Hyogo-ken, Japan] M. Aoyama [JAEA/Kansai, Kyoto, Japan] A. Iwasaki, S. Owada [The University of Tokyo, Tokyo, Japan] T. Matsukawa [RIKEN ASI, Sendai, Miyagi, Japan] H. Minamide [RIKEN Advanced Science Insititute, Sendai, Miyagi, Japan] K. Ogawa, T. Sato, H. Tomizawa [RIKEN SPring-8 Center, Sayo-cho, Sayo-gun, Hyogo, Japan] E. Takahashi [RIKEN, Saitama, Japan] ","The First Electron Bunch Measurement by means of DAST Organic EO Crystals",29 33,
mocc04,"S. Matsubara, Y. Otake [RIKEN/SPring-8, Hyogo, Japan] S.I. Inoue [SES, Hyogo-pref., Japan] H. Maesaka [RIKEN Spring-8 Harima, Hyogo, Japan] ","Improvement of Screen Monitor with Suppression of Coherent-OTR Effect for SACLA",34 37,
moia02,"A. Miura [JAEA/J-PARC, Tokai-mura, Japan] ","Progress of Beam Instumentation in J-PARC Linac",99 98,
moic02,"H. Maesaka, H. Ego, C. Kondo, T. Ohshima, Y. Otake, H. Tomizawa [RIKEN SPring-8 Center, Sayo-cho, Sayo-gun, Hyogo, Japan] S. Matsubara, T. Matsumoto, K. Yanagida [JASRI/SPring-8, Hyogo, Japan] ","Electron Beam Diagnostic System for the Japanese XFEL, SACLA",38 46,
mopa01,"C. Belver-Aguilar, A. Faus-Golfe [IFIC, Valencia, Spain] M.J. Barnes [CERN, Geneva, Switzerland] F. Toral [CIEMAT, Madrid, Spain] ","Design Study of the Striplines for the Extraction Kicker of the CLIC Damping Rings",47 49,
mopa02,"S.D. Dhole, S. Akhter, V.N. Bhoraskar, B.J. Patil [University of Pune, Pune, India] S.T. Chavan, R. Krishnan, S.N. Pethe [SAMEER, Mumbai, India] ","270 degree Electron Beam Bending System using Two Sector Magnets for Therapy Application",50 53,
mopa04,"S.D. Dhole, V.N. Bhoraskar, B.J. Patil, N.S. Shinde [University of Pune, Pune, India] ","An Electron Beam Profile Monitor for the Race-track Microtron",54 56,
mopa06,"K. Thomsen, J. Devlaminck [PSI, Villigen PSI, Switzerland] ","VIMOS, New Capabilities for an Optical Safety System",57 59,
mopa07,"S. Hojo, A. Goto, T. Honma, K. Katagiri, A. Sugiura [NIRS, Chiba-shi, Japan] Y. Takahashi [AEC, Chiba, Japan] ","Development of a Phase Probe for the NIRS Small Cyclotron HM-18",60 62,
mopa08,"F. Tamura, M. Nomura, A. Schnase, T. Shimada, M. Yamamoto [JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken, Japan] K. Hara, K. Hasegawa, C. Ohmori, M. Toda, M. Yoshii [KEK, Tokai, Ibaraki, Japan] ","Various Usages of Wall Current Monitors for Commissioning of RF Systems in J-PARC Synchrotrons",63 65,
mopa09,"W. Vigano (W. Viganò), B. Dehning, E. Effinger, G.G. Venturini, C. Zamantzas [CERN, Geneva, Switzerland] ","Comparison of Three Different Concepts of High Dynamic Range and Dependability Optimised Current Measurement Digitisers for Beam Loss Systems",66 70,
mopa10,"E. Griesmayer, P. Kavrigin [CIVIDEC Instrumentation, Wien, Austria] T. Baer, B. Dehning, D. Dobos, E. Effinger, H. Pernegger [CERN, Geneva, Switzerland] M. Hempel [BTU, Cottbus, Germany] ","Diamond Detectors for LHC",71 73,
mopa12,"G.G. Venturini, F. Anghinolfi, B. Dehning [CERN, Geneva, Switzerland] M. Kayal [EPFL, Lausanne, Switzerland] ","Characterization of a Wide Dynamic-range, Radiation-tolerant Charge-digitizer ASIC for Monitoring of Beam Losses",74 78,
mopa13,"C. Bloomer, G. Rehm [Diamond, Oxfordshire, United Kingdom] ","Real-time Calculation of Scale Factors of X-ray Beam Position Monitors during User Operation",79 82,
