frcoaab01,"K.-U. Kasemir, X.H. Chen [ORNL, Oak Ridge, Tennessee, USA] E.T. Berryman [NSCL, East Lansing, Michigan, USA] ","CSS Scan System",1461 1464,
frcoaab02,"B.C. Heisen, D. Boukhelef, S.G. Esenov, S. Hauf, I. Kozlova, L.G. Maia, A. Parenti, J. Szuba, K. Weger, K. Wrona, C. Youngman [XFEL.EU, Hamburg, Germany] ","Karabo: An Integrated Software Framework Combining Control, Data Management, and Scientific Computing Tasks",1465 1468,
frcoaab03,"N. Schwarz, F. De Carlo, A. Glowacki, J.P. Hammonds, F. Khan, K. Yue [ANL, Argonne, USA] ","Experiment Control and Analysis for High-Resolution Tomography",1469 1472,
frcoaab04,"D.E. Speck, B.A. Conrad, S.R. Hahn, P.D. Reisdorf, S.M. Reisdorf [LLNL, Livermore, California, USA] ","Data Driven Campaign Management at the National Ignition Facility",1473 1476,
frcoaab05,"C. Cocho, F. Cecillon, A. Elaazzouzi, Y. Le Goc, J. Locatelli, P. Mutti, H. Ortiz, J. Ratel [ILL, Grenoble, France] ","JOGL Live Rendering Techniques in Data Acquisition Systems",1477 1480,
frcoaab06,"R. Borghes, V. Chenda, A. Curri, G. Kourousias, M. Lonza, M. Prica, M. Pugliese [Elettra-Sincrotrone Trieste S.C.p.A., Basovizza, Italy] G. Passos [STFC/RAL/ISIS, Chilton, Didcot, Oxon, United Kingdom] ","A Common Software Framework for FEL Data Acquisition and Experiment Management at FERMI",1481 1484,
frcoaab07,"P.Ch. Chochula, A. Augustinus, A.N. Kurepin, M. Lechman, O. Pinazza, P. Rosinsky (P. Rosinský) [CERN, Geneva, Switzerland] A.N. Kurepin [RAS/INR, Moscow, Russia] O. Pinazza [INFN-Bologna, Bologna, Italy] ","Operational Experience with the ALICE Detector Control System",1485 1488,
frcoaab08,"S. Petitdemange, L. Claustre, A. Homs, R. Homs Regojo, E. Papillon [ESRF, Grenoble, France] ","The LIMA Project Update",1489 1492,
frcobab03,"G. Manduchi, A. Luchetta, C. Taliercio [Consorzio RFX, Associazione Euratom-ENEA sulla Fusione, Padova, Italy] ","The New Multicore Real-time Control System of the RFX-mod Experiment",1493 1496,
frcobab04,"K. Furukawa, R. Ichimiya, M. Iwasaki, H. Kaji, F. Miyahara, T.T. Nakamura, M. Satoh, T. Suwada [KEK, Ibaraki, Japan] ","Beam Feedback System Challenges at SuperKEKB Injector Linac",1497 1500,
frcobab05,"F. Severino, M. Harvey, T. Hayes, G. Narayan, K.S. Smith [BNL, Upton, Long Island, New York, USA] ","Distributed Feedback Loop Implementation in the RHIC Low Level RF Platform",1501 1504,
