fra3o01,"M. Marquarding [CASS, Epping, Australia] ","Past, Present and Future of the ASKAP Monitoring and Control System",1162 1164,
fra3o02,"J. Nicoloso [CEA/DAM/DIF, Arpajon, France] ","The Laser Magajoule Facility: Control System Status Report",1165 1168,
fra3o03,"M. Janousch, A.D. Alarcon, A. Ambrosch, D. Anicic, A.G. Bertrand, K. Bitterli, H. Brands, P. Bucher, T. Celcer, P. Chevtsov, E.J. Divall, S.G. Ebner, M. Gasche, A. Gobbo, F. Haemmerli, C.E. Higgs, T. Hovel, T. Humar, G. Janser, G. Jud, B. Kalantari, R. Kapeller, R.A. Krempaska (R.A. Krempaská), D.J. Lauk, M.P. Laznovsky, C. Luscher, H. Lutz, D. Maier-Manojlovic, F. Märki, T. Pal, W. Portmann, S.G. Rees, T. Zamofing, C. Zellweger, D. Zimoch, E. Zimoch [PSI, Villigen PSI, Switzerland] ","Overview and Status of the SwissFEL Project at PSI",1169 1172,
frb3o01,"C.Y. Liao, Y.-T. Chang, J. Chen, Y.-S. Cheng, P.C. Chiu, K.T. Hsu, S.Y. Hsu, K.H. Hu, C. H. Huang, C.H. Kuo, D. Lee, C.-J. Wang, C.Y. Wu [NSRRC, Hsinchu, Taiwan] ","Commissioning of the TPS Control System",1173 1176,
frb3o02,"T. Korhonen, R. Andersson, F. Bellorini, S.L. Birch, D.P. Brodrick, H. Carling, J. Cereijo García, R.N. Fernandes, L. Fernandez, B. Gallese, S.R. Gysin, E. Laface, N. Levchenko, M. Mansouri Sharifabad, A. Monera Martinez, R. Mudingay, A. Nordt, D. Paulic, D.P. Piso, K. Rathsman, M. Rescic (M. Reščič), G. Trahern, M. Zaera-Sanz [ESS, Lund, Sweden] N. Claesson, U. Rojec, K. Strnisa (K. Strniša), A.A. Söderqvist [Cosylab, Ljubljana, Slovenia] ","Status of the European Spallation Source Control System",1177 1181,
moa3o01,"L.R. Brederode [SKA South Africa, National Research Foundation of South Africa, Cape Town, South Africa] A. Marassi [INAF-OAT, Trieste, Italy] S. Riggi [INAF-OACT, Catania, Italy] ","SKA Telescope Manager Project Status Report",99 98,
moa3o02,"R. Bacher, A. Aghababyan, P.K. Bartkiewicz, T. Boeckmann, B. Bruns, M.R. Clausen, T. Delfs, P. Duval, L. Froehlich (L. Fröhlich), W. Gerhardt, C. Gindler, J. Hatje, O. Hensler, J.M. Jäger, R. Kammering, S. Karstensen, H. Keller, V. Kocharyan, O. Korth, A. Labudda, T. Limberg, S.M. Meykopff, M. Moeller (M. Möller), J. Penning, A. Petrosyan, G. Petrosyan, L.P. Petrosyan, V. Petrosyan, P. Pototzki, K.R. Rehlich, S. Rettig-Labusga, H.R. Rickens, G. Schlesselmann, B. Schoeneburg, E. Sombrowski, M. Staack, C. Stechmann, J. Szczesny, J. Wilgen, T. Wilksen, H. Wu [DESY, Hamburg, Germany] S. Abeghyan, A. Beckmann, D. Boukhelef, N. Coppola, S.G. Esenov, B. Fernandes, P. Gessler, G. Giambartolomei, S. Hauf, B.C. Heisen, S. Karabekyan, M. Kumar, L.G. Maia, A. Parenti, A. Silenzi, H. Sotoudi Namin, J. Szuba, M. Teichmann, J. Tolkiehn, K. Weger, J. Wiggins, K. Wrona, M. Yakopov, C. Youngman [XFEL.EU, Hamburg, Germany] ","The Large Scale European XFEL Control System: Overview and Status of the Commissioning",5 8,
mob3o03,"V.H. Hardion, Y. Cerenius, F. H. Hennies, K. Larsson, J. Lidon-Simon (J. Lidón-Simon), M. Sjöström, D.P. Spruce [MAX-lab, Lund, Sweden] ","MAX IV Laboratory, Milestones and Lessons Learned",9 13,
mob3o04,"M. Iwasaki, A. Akiyama, K. Furukawa, H. Kaji, T. Naito, T.T. Nakamura, J.-I. Odagiri, S. Sasaki [KEK, Ibaraki, Japan] T. Aoyama, M. Fujita, T. Nakamura, K. Yoshii [Mitsubishi Electric System  Service Co., Ltd, Tsukuba, Japan] K. Asano, M. Hirose [KIS, Ibaraki, Japan] Y. Iitsuka, N. Yoshifuji [EJIT, Hitachi, Ibaraki, Japan] ","The Construction Status of the SuperKEKB Control System",14 17,
moc3o01,"T. Birke, F. Falkenstern, R. Mueller (R. Müller), A. Schaelicke (A. Schälicke) [HZB, Berlin, Germany] ","Comprehensive Fill Pattern Control Engine: Key to Top-Up Operation Quality",18 21,
moc3o02,"E. Blanco Vinuela, B. Bradu, R. Marti Martinez [CERN, Geneva, Switzerland] R. Mazaeda, L. de Frutos, C. de Prada [University of Valladolid, Valladolid, Spain] ","PIDTUNE: A PID Autotuning Software Tool on UNICOS CPC",22 25,
