fr1iopk01,"B. Mustapha, P.N. Ostroumov, ANL, Argonne","Optimization Algorithms for Accelerator Physics Problems",245 250,
fr1iopk02,N/A,N/A,99 98,
fr1iopk09,"M. Borland, L. Emery, ANL, Argonne; W. Guo, BNL, Upton, Long Island, New York; V. Sajaev, A. Xiao, ANL, Argonne","Application of Direct Methods of Optimizing Storage Ring Dynamic and Momentum Apertures",255 258,
mo3iodn01,"N. Okuda, University of Tokyo, Tokyo; K. Yokoya, KEK, Ibaraki","Impedance Estimation by Parabolic Partial Differential Equation for Rectangular Taper",27 29,
mo3iopk03,"C.E. Mitchell, A. Dragt, UMD, College Park, Maryland","Calculation of Realistic Charged-Particle Transfer Maps",99 98,
mo3iopk04,"R.L. Warnock, Y. Cai, SLAC, Menlo Park, California; J.A. Ellison, UNM, Albuquerque, New Mexico","Construction of Large-Period Symplectic Maps by Interpolative Methods",6 11,
mo4iodn02,N/A,N/A,99 98,
mo4iodn03,"H. Kawaguchi, Y. Fujita, Muroran Institute of Technology, Department of Electrical and Electronic Engineering, Muroran","Portable High Performance Computing for Microwave Simulation by FDTD/FIT Machines",35 37,
mo4iodn05,"S.L. Manikonda, ANL, Argonne; M. Berz, K. Makino, MSU, East Lansing, Michigan","High-Order Differential Algebra Methods for PDEs Including Rigorous Error Verification",38 41,
mo4iopk02,"J. Xu, B. Mustapha, J.A. Nolen, P.N. Ostroumov, ANL, Argonne","Highly Scalable Numerical Methods for Simulation of Space Charge Dominated Beams",12 17,
mo4iopk04,"F. Lin, A.U. Luccio, N. Malitsky, W. Morse, BNL, Upton, Long Island, New York; C.J. Onderwater, KVI, Groningen; Y.F. Orlov, CLASSE, Ithaca, New York; Y. Semertzidis, BNL, Upton, Long Island, New York; R.M. Talman, CLASSE, Ithaca, New York","Overview of (Some) Computational Approaches in Spin Studies",18 22,
mo4iopk05,"G. Pöplau, U. van Rienen, Rostock University, Faculty of Computer Science and Electrical Engineering, Rostock","An Efficient 3D Space Charge Routine with Self-Adaptive Discretization",23 26,
th1iodn01,"S. Franke, W. Ackermann, T. Weiland, TEMF, TU Darmstadt, Darmstadt","A Fast and Universal Vlasov Solver for Beam Dynamics Simulations in 3D",208 211,
th1iodn04,"D.A. White, M.L. Stowell, LLNL, Livermore, California","Discretizing Transient Curent Densities in the Maxwell Equations",212 217,
th1iopk02,"H. Okamoto, HU/AdSM, Higashi-Hiroshima; M. Ikegami, JAEA/Kansai, Kyoto; H. Sugimoto, HU/AdSM, Higashi-Hiroshima; J. Wei, TUB, Beijing; Y. Yuri, JAEA/TARRI, Gunma-ken","Modeling of Ultra-cold and Crystalline Ion Beams",151 156,
th1iopk04,"A. Friedman, J.J. Barnard, R.H. Cohen, LLNL, Livermore, California; R.C. Davidson, M. Dorf, PPPL, Princeton, New Jersey; A. Faltens, LBNL, Berkeley, California; D.P. Grote, LLNL, Livermore, California; E. Henestroza, J.-Y. Jung, LBNL, Berkeley, California; I. Kaganovich, PPPL, Princeton, New Jersey; J.W. Kwan, E. P. Lee, M. Leitner, LBNL, Berkeley, California; S.M. Lund, W. M. Sharp, LLNL, Livermore, California; J.-L. Vay, W.L. Waldron, LBNL, Berkeley, California","Developing the Physics Design for NDCX-II, a Unique Pulse-Compressing Ion Accelerator",157 162,
th2iodn01,"M. Ikegami, KEK, Ibaraki; T. Morishita, H. Sako, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; G.B. Shen, BNL, Upton, Long Island, New York","Simulation and Commissioning of J-PARC Linac Using the IMPACT Code",218 223,
th2iodn04,"J.J. Yang, TUB, Beijing; J.J. Yang, H.J. Yao, T.J. Zhang, CIAE, Beijing","Physics Problem Study For A 100 MeV, 500 Microamp H- Beam Compact Cyclotron",224 228,
th2iopk01,"G. Bassi, The University of Liverpool, Liverpool; J.A. Ellison, K.A. Heinemann, UNM, Albuquerque, New Mexico","Self Field of Sheet Bunch: A Search for Improved Methods",163 168,
th2iopk02,"D.M. Zhou, K. Ohmi, K. Oide, K. Shibata, Y. Suetsugu, KEK, Ibaraki","Simulation of Microwave Instability in LER of KEKB And SuperKEKB",169 172,
th2iopk04,"A. Xiao, M. Borland, X.W. Dong, ANL, Argonne","Study of Beam-Scattering Effects for a Proposed APS ERL Upgrade",173 178,
th3iodn02,"B.G. Pine, D.J. Adams, B. Jones, C.M. Warsop, R.E. Williamson, STFC/RAL/ISIS, Chilton, Didcot, Oxon","Space Charge Simulations for ISIS",229 234,
th3iopk01,"Y.D. Liu, N. Wang, IHEP Beijing, Beijing","The Simulation of the Electron Cloud Instability in BEPCII and CSNS/RCS",179 183,
th3iopk03,"T.V. Gorlov, A.P. Shishlo, ORNL, Oak Ridge, Tennessee","Modeling Laser Stripping with the Python ORBIT Code",184 189,
th3iopk04,"F.W. Jones, R.A. Baartman, Y.-N. Rao, TRIUMF, Vancouver","Using Geant4-based Tools to Simulate a Proton Extraction and Transfer Line",190 195,
th4iodn02,"B. Erdelyi, Northern Illinois University, DeKalb, Illinois","An Integrated Beam Optics-Nuclear Processes Framework in COSY Infinity and Its Applications to FRIB",235 238,
th4iodn04,"S.Y. Xu, S.X. Fang, S. Wang, IHEP Beijing, Beijing","The Study on the Space Charge Effects of RCS/CSNS",239 244,
th4iopk02,"G. Clemente, W.A. Barth, L. Groening, GSI, Darmstadt; A. Kolomiets, S. Minaev, ITEP, Moscow; A. Orzhekhovskaya, GSI, Darmstadt; U. Ratzinger, R. Tiede, IAP, Frankfurt am Main; S.G. Yaramyshev, GSI, Darmstadt","End To End Simulations of the GSI Linear Accelerator Facility",196 201,
th4iopk03,"H. De Gersem, KU Leuven, Kortrijk; S. Koch, T. Weiland, TEMF, TU Darmstadt, Darmstadt","Aperture and Beam-Tube Models for Accelerator Magnets",202 207,
thpsc003,"G. Andonian, RadiaBeam, Marina del Rey; G. Andonian, UCLA, Los Angeles, California; S. Reiche, PSI, Villigen; M. Ruelas, RadiaBeam, Marina del Rey","RadTrack: A User-Friendly, Modular Code to Calculate the Emission Processes from High-Brightness Electron Beams",259 261,
thpsc004,"G. Asova, S. Khodyachykh, M. Krasilnikov, F. Stephan, DESY Zeuthen, Zeuthen; I.I. Tsakov, INRNE, Sofia","Tomographic Reconstruction of a Beam Phase Space from Limited Projection Data",262 265,
thpsc006,"Y.K. Batygin, G. Bollen, C. Campbell, F. Marti, D.J. Morrissey, G.K. Pang, S. Schwarz, NSCL, East Lansing, Michigan","Particle-In-Cell Simulation of Electron-Helium Plasma in Cyclotron Gas Stopper",266 269,
thpsc010,"V. Schoefer, L. A. Ahrens, K.A. Brown, A.U. Luccio, W.W. MacKay, T. Roser, BNL, Upton, Long Island, New York","Including Partial Siberian Snakes Into the AGS Online Model",270 272,
thpsc011,"T. Flisgen, G. Pöplau, U. van Rienen, Rostock University, Faculty of Computer Science and Electrical Engineering, Rostock","A Fast Point to Point Interaction Model for Charged Particle Bunches By Means of Nonequispaced Fast Fourier Transform (NFFT)",273 276,
thpsc012,"Y.-C. Chao, F. Ames, R.A. Baartman, I.V. Bylinskii, TRIUMF, Vancouver; S. Dechoudhury, DAE/VECC, Calcutta; G. Goh, SFU, Burnaby, BC; S.R. Koscielniak, R.E. Laxdal, M. Marchetto, L. Merminga, TRIUMF, Vancouver; V. Naik, DAE/VECC, Calcutta; V.A. Verzilov, F. Yan, V. Zvyagintsev, TRIUMF, Vancouver","TRIUMF-VECC Electron Linac Beam Dynamics Optimization",277 280,
thpsc013,"E. Cormier-Michel, LBNL, Berkeley, California; D.L. Bruhwiler, B.M. Cowan, Tech-X, Boulder, Colorado; E. Esarey, C.G.R. Geddes, W. Leemans, LBNL, Berkeley, California; K. Paul, Tech-X, Boulder, Colorado; C.B. Schroeder, LBNL, Berkeley, California","Design of 10 GeV Laser Wakefield Accelerator Stages with Shaped Laser Modes",281 284,
thpsc017,"M.M. Dehler, PSI, Villigen","Multipole Effects in the RF Gun for the PSI Injector",285 288,
thpsc018,"B. Erdelyi, Northern Illinois University, DeKalb, Illinois; S.L. Manikonda, ANL, Argonne","An Application of Differential Algebraic Methods and Liouville's Theorem: Uniformization of Gaussian Beams",289 291,
thpsc019,"L.L. Bandura, ANL, Argonne; B. Erdelyi, Northern Illinois University, DeKalb, Illinois","COSY Extensions for Beam-Material Interactions",292 295,
thpsc020,"A.S. Hofler, P. Evtushenko, F. Marhauser, JLAB, Newport News, Virginia","Optimizing SRF Gun Cavity Profiles in a Genetic Algorithm Framework",296 299,
thpsc021,"V. Ivanov, Muons, Inc, Batavia","Computational Models forChannel Plate Simulations",300 303,
thpsc022,"H.J. Kim, T. Sen, Fermilab, Batavia","Recent Improvement of Tracking Code BBSIMC",304 307,
thpsc023,"M.J. Lee, W.J. Corbett, J. Wu, SLAC, Menlo Park, California","A New Model-Independent Method for Optimization of Machine Settings and Electron Beam Parameters",308 310,
thpsc026,"A. Lunin, I.G. Gonin, A. Latina, N. Solyak, V.P. Yakovlev, Fermilab, Batavia","RF-Kick Caused by the Couplers in the ILC Acceleration Structure",311 313,
thpsc028,"A. Markovi, G. Pöplau, U. van Rienen, Rostock University, Faculty of Computer Science and Electrical Engineering, Rostock","Computation of a Two Variable Wake Field Induced by an Electron Cloud",314 317,
thpsc030,"S. Marsching, M. Fitterer, S. Hillenbrand, N. Hiller, A. Hofmann, KIT, Karlsruhe; E. Huttel, FZK, Karlsruhe; V. Judin, M. Klein, A.-S. Müller, KIT, Karlsruhe; N.J. Smale, FZK, Eggenstein; K.G. Sonnad, KIT, Karlsruhe","A High-Level Interface for the ANKA Control System",318 321,
thpsc031,"J.M. Maus, R.A. Jameson, A. Schempp, IAP, Frankfurt am Main","PteqHI Development and Code Comparing",322 325,
thpsc035,"H. Nishimura, LBNL, Berkeley, California","Tracy#",326 329,
thpsc036,"E.W. Nissen, B. Erdelyi, Northern Illinois University, DeKalb, Illinois","Modeling Single Particle Dynamics in Low Energy and Small Radius Accelerators",330 332,
thpsc037,"H. Okuno, RIKEN Nishina Center, Wako; A. Adelmann, PSI, Villigen; J.J. Yang, CIAE, Beijing","Possibility of Round Beam Formation in RIBF Cyclotrons",333 336,
thpsc041,"B.G. Pine, D.J. Adams, C.M. Warsop, R.E. Williamson, STFC/RAL/ISIS, Chilton, Didcot, Oxon","Set Code Development and Space Charge Studies on ISIS",337 339,
thpsc047,"G.V. Romanov, A. Lunin, Fermilab, Batavia","Complete RF Design of the HINS RFQ with CST MWS and HFSS",340 342,
thpsc049,"T. Schietinger, PSI, Villigen","H5PartRoot - A Visualization And Post-Processing Tool For Accelerator Simulations",343 346,
thpsc050,"H. Shang, M. Borland, L. Emery, R. Soliday, Y. Wang, ANL, Argonne","Parallel SDDS: A Scientific High-Performance I/O Interface",347 350,
thpsc052,"A.P. Shishlo, T.V. Gorlov, J.A. Holmes, ORNL, Oak Ridge, Tennessee","The Python Shell for the ORBIT Code",351 354,
thpsc054,"Y. Wang, M. Borland, H. Shang, R. Soliday, A. Xiao, ANL, Argonne","Recent Progress on Parallel ELEGANT",355 358,
thpsc056,"S.P. Weathersby, A. Novokhatski, SLAC, Menlo Park, California","Beam Fields in an Integrated Cavity, Coupler, and Window Configuration",359 362,
