frxaa01,"Y. Cai [SLAC, Menlo Park, California, USA] ","Theory of Microwave Instability and Coherent Synchrotron Radiation in Electron Storage Rings",3774 3778
frxca01,"O.R. Jones [CERN, Geneva, Switzerland] ","First Years Experience of LHC Beam Instrumentation",3779 3783
fryaa01,"K. Noda [NIRS, Chiba-shi, Japan] ","Review of Hadron Therapy Accelerators Worldwide and Future Trends",3784 3788
fryba01,"S. Peggs [ESS, Lund, Sweden] ","The European Spallation Source",3789 3793
fryca01,"J. Duncan [UK Mission for Multilateral Arms Control amp; Disarmament, Cointrin, Geneva, Switzerland] ","Towards a World Without Nuclear Weapons: How can Scientists Help?",3794 3797
mooca01,"A. Burrill, G.K. Davis, F. Marhauser, C.E. Reece, A.V. Reilly, M. Stirbet [JLAB, Newport News, Virginia, USA] ","Production and Testing Experience with the SRF Cavities for the CEBAF 12 GeV Upgrade",26 28
mooca02,"W. Farabolini, F. Peauger [CEA/DSM/IRFU, France] J. Barranco, S. Bettoni, B. Constance, R. Corsini, M. Csatari, S. Doebert (Döbert), A. Dubrovskiy, C. Hessler (Heßler), T. Persson, G. Riddone, P.K. Skowronski (Skowroński), F. Tecker [CERN, Geneva, Switzerland] D. Gudkov, A. Solodko [JINR, Dubna, Moscow Region, Russia] M. Jacewicz, T. Muranaka, A. Palaia, R.J.M.Y. Ruber, V.G. Ziemann [Uppsala University, Uppsala, Sweden] ","Two Beam Test Stand Experiments in the CTF3 Facility",29 31
mooca03,"S. Guiducci, M.E. Biagini [INFN/LNF, Frascati (Roma), Italy] G. Dugan, M.A. Palmer, D. L. Rubin [CLASSE, Ithaca, New York, USA] J. Gao, D. Wang [IHEP Beijing, Beijing, People's Republic of China] M.T.F. Pivi, Y. Sun [SLAC, Menlo Park, California, USA] J. Urakawa [KEK, Ibaraki, Japan] ","Updates to the International Linear Collider Damping Rings Baseline Design",32 34
moocb01,"M. Ikegami [KEK, Ibaraki, Japan] T. Morishita [JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken, Japan] ","Study on the Realignment Plan for J-PARC Linac after the Tohoku Earthquake in Japan",44 46
moocb02,"Y. Otake, C. Kondo, H. Maesaka [RIKEN Spring-8 Harima, Hyogo, Japan] H. Ego, S. Matsubara, T. Matsumoto, T. Sakurai, H. Tomizawa, K. Yanagida [JASRI/SPring-8, Hyogo-ken, Japan] S.I. Inoue [SES, Hyogo-pref., Japan] ","Commissioning and Performance of the Beam Monitor System for XFEL/SPring-8 ``SACLA''",47 49
moocb03,"A.V. Aleksandrov [ORNL, Oak Ridge, Tennessee, USA] ","A Novel Method for Quasi-non-interceptive Beam Profile Measurement in a Linac",50 52
mooda01,"M. Liepe, D.L. Hartill, G.H. Hoffstaetter, S. Posen, P. Quigley, V. Veshcherevich [CLASSE, Ithaca, New York, USA] ","Experience with the Cornell ERL Injector SRF Cryomodule during High Beam Current Operation",35 37
mooda02,"D. Kostin, K. Jensch, L. Lilje, A. Matheisen, W.-D. Moeller (Möller), P. Schilling, M. Schmoekel (Schmökel), N.J. Walker, H. Weise [DESY, Hamburg, Germany] C. Adolphsen, C.D. Nantista [SLAC, Menlo Park, California, USA] M. Akemoto, S. Fukuda, K. Hara, H. Hayano, N. Higashi, E. Kako, H. Katagiri, Y. Kojima, Y. Kondo, T. Matsumoto, H. Matsushita, S. Michizono, T. Miura, H. Nakai, H. Nakajima, K. Nakanishi, S. Noguchi, N. Ohuchi, T. Saeki, M. Satoh, T. Shidara, T. Shishido, T. Takenaka, A. Terashima, N. Toge, K. Tsuchiya, K. Watanabe, S. Yamaguchi, A. Yamamoto, Y. Yamamoto, K. Yokoya [KEK, Ibaraki, Japan] T.T. Arkan, S. Barbanotti, M.A. Battistoni, H. Carter, M.S. Champion, A. Hocker, R.D. Kephart, J.S. Kerby, D.V. Mitchell, T.J. Peterson, Y.M. Pischalnikov, M.C. Ross, W. Schappert, B.E. Smith [Fermilab, Batavia, USA] A. Bosotti, C. Pagani, R. Paparella, P. Pierini [INFN/LASA, Segrate (MI), Italy] ","S1-Global Module Tests at STF/KEK",38 40
mooda03,"A. Neumann, W. Anders, R. Barday, A. Jankowiak, T. Kamps, J. Knobloch, O. Kugeler, A.N. Matveenko, T. Quast, J. Rudolph, S.G. Schubert, J. Voelker (Völker) [HZB, Berlin, Germany] P. Kneisel [JLAB, Newport News, Virginia, USA] R. Nietubyc [The Andrzej Soltan Institute for Nuclear Studies, Centre Swierk, Swierk/Otwock, Poland] J.K. Sekutowicz [DESY, Hamburg, Germany] J. Smedley [BNL, Upton, Long Island, New York, USA] V. Volkov [BINP SB RAS, Novosibirsk, Russia] G. Weinberg [FHI, Berlin, Germany] I. Will [MBI, Berlin, Germany] ","First Characterization of a Fully Superconducting RF Photoinjector Cavity",41 43
moodb01,"P.A.P. Nghiem, R.D. Duperrier, A. Mosnier, D. Uriot [CEA/DSM/IRFU, France] N. Chauvin, O. Delferriere (Delferrière), W. Simeoni [CEA/IRFU, Gif-sur-Yvette, France] M. Comunian [INFN/LNL, Legnaro (PD), Italy] C. Oliver [CIEMAT, Madrid, Spain] ","Dynamics of the IFMIF Very High-intensity Beam",53 55
moodb02,"S. Molloy, M. Lindroos, S. Peggs [ESS, Lund, Sweden] R. Ainsworth [Royal Holloway, University of London, Surrey, United Kingdom] R.J.M.Y. Ruber [Uppsala University, Uppsala, Sweden] ","RF Modeling Plans for the European Spallation Source",56 58
moodb03,"S.G. Yaramyshev, W.A. Barth, I. Hofmann, A. Orzhekhovskaya [GSI, Darmstadt, Germany] B. Zielbauer [HIJ, Jena, Germany] ","Capture and Transport of the Laser Accelerated Ion Beams for the LIGHT Project",59 61
mopc001,"R.T. Dowd, G. LeBlanc, K. Zingre [ASCo, Clayton, Victoria, Australia] ","Linac Waveguide Upgrade at the Australian Synchrotron Light Source",62 64
mopc002,"T.K. Charles, K. Ryan [Monash University, Melbourne, Australia] M.J. Boland [ASCo, Clayton, Victoria, Australia] G. Riddone [CERN, Geneva, Switzerland] A. Samoshkin [JINR, Dubna, Moscow Region, Russia] ","Flow Induced Vibrations of the CLIC X-band Accelerating Structures",65 67
mopc004,"V. Serriere (V. Serrière), A.K. Bandyopadhyay, D. Boilot, L. Goirand, J. Jacob, B. Ogier, A. Triantafyllou [ESRF, Grenoble, France] ","352.2 MHz HOM Damped Normal Conducting ESRF Cavity: Design and Fabrication",68 70
mopc005,"J. Jacob, G. Gautier, M.L. Langlois, J.M. Mercier [ESRF, Grenoble, France] ","352.2 MHz – 150 kW Solid State Amplifiers at the ESRF",71 73
mopc006,"M. Heilmann, O. Meusel, D. Mäder, U. Ratzinger, A. Schempp [IAP, Frankfurt am Main, Germany] ","A Coupled RFQ-IH Combination for the Neutron Source FRANZ",74 76
mopc007,"V. Vogel, K. Floettmann (Flöttmann), S. Schreiber [DESY, Hamburg, Germany] ","Cold Photocathode RF Gun",77 79
mopc009,"H. Shaker [IPM, Tehran, Iran] F. Ghasemi [sbu, Tehran, Iran] H. Shaker [CERN, Geneva, Switzerland] ","Design of a Pi/2 Mode S-Band Low Energy TW Electron Linear Accelerator",80 82
mopc010,"C. Serpico, P. Delgiusto, A. Fabris, F. Gelmetti, M.M. Milloch, A. Salom, D. Wang [ELETTRA, Basovizza, Italy] ","Phase-Modulation SLED Operation Mode at Elettra",83 85
mopc012,"M.M. Dehler, A. Citterio, R. Zennaro [PSI, Villigen, Switzerland] S. Atieh, D. Gudkov, S. Lebet, G. Riddone, J. Shi [CERN, Geneva, Switzerland] G. D'Auria, C. Serpico [ELETTRA, Basovizza, Italy] ","Fabrication of the CERN/PSI/ST X-band Accelerating Structures",86 88
mopc013,"D. Alesini, R. Boni, G. Di Pirro, R. D. Di Raddo, M. Ferrario, A. Gallo, V.L. Lollo, F. Marcellini [INFN/LNF, Frascati (Roma), Italy] G. Campogiani, A. Mostacci, L. Palumbo, S. Persichelli, V. Spizzo [Rome University La Sapienza, Roma, Italy] T. Higo, K. Kakihara, S. Matsumoto [KEK, Ibaraki, Japan] S. Verdú-Andrés [TERA, Novara, Italy] ","Design, Fabrication and High Power RF Test of a C-band Accelerating Structure for Feasibility Study of the SPARC Photo-injector Energy Upgrade",89 91
mopc014,"M. Kuriki, H. Iijima, Y.M. Masumoto [HU/AdSM, Higashi-Hiroshima, Japan] H. Hayano, H. Sugiyama, J. Urakawa, K. Watanabe [KEK, Ibaraki, Japan] G. Isoyama, R. Kato [ISIR, Osaka, Japan] S. Kashiwagi [Tohoku University, Research Center for Electron Photon Science, Sendai, Japan] Y. Takahashi [Sokendai, Ibaraki, Japan] ","RF Processing of L-band RF Gun for KEK-STF",92 94
mopc015,"T. Taniuchi, H. Hanaki, S. Suzuki [JASRI/SPring-8, Hyogo-ken, Japan] A. Miura, K. Shinohara, S. Tsuruoka [Nihon Koshuha Co. Ltd, Yokohama, Japan] ","S-band Vacuum Isolator and Circulator for Injector System of SPring-8 Linac",95 97
mopc016,"Y. Morita, T. Kageyama [KEK, Ibaraki, Japan] J. Kameda [ICRR, Chiba, Japan] S. Yamashita [ICEPP, Tokyo, Japan] ","Development of a New RF Accelerating Cavity for J-PARC Ring Accelerator",98 100
mopc017,"S. Maebara [JAEA, Ibaraki-ken, Japan] ","Thermal Analyses of an RF Input Coupler for the IFMIF/EVEDA RFQ Linac",101 103
mopc018,"T. Inagaki, C. Kondo, T. Ohshima, Y. Otake, T. Sakurai, K. Shirasawa [RIKEN SPring-8 Center, Sayo-cho, Sayo-gun, Hyogo, Japan] T. Shintake [RIKEN Spring-8 Harima, Hyogo, Japan] ","Operation Status of C-band High Gradient Accelerator for XFEL/SPring-8 (SACLA)",104 106
