fr1grc04,"H. Huang, L. Ahrens, M. Bai, K.A. Brown, C.J. Gardner, J.W. Glenn, F. Lin, A.U. Luccio, W.W. MacKay, T. Roser, V. Schoefer, BNL, Upton, Long Island, New York; H.M. Spinka, ANL, Argonne; S. Tepikian, N. Tsoupas, BNL, Upton, Long Island, New York; D.G. Underwood, ANL, Argonne; K. Yip, A. Zelenski, K. Zeno, BNL, Upton, Long Island, New York","AGS Polarized Proton Operation in Run 2009",4251 4253,
fr1grc05,"M. Lamont, R. Alemany-Fernandez, R. Bailey, P. Collier, B. Goddard, V. Kain, A. Macpherson, L. Ponce, S. Redaelli, W. Venturini Delsolaro, J. Wenninger, CERN, Geneva","The LHC Injection Tests",4254 4258,
fr1gri01,"V. Litvinenko, BNL, Upton, Long Island, New York","Coherent Electron Cooling",4236 4240,
fr1gri02,"S.D. Holmes, Fermilab, Batavia","Project X at Fermilab: Prospects and Plans",4241 4245,
fr1gri03,"M. Steck, R. Bär, U. Blell, C. Dimopoulou, A. Dolinskyy, P. Forck, B. Franzke, O.E. Gorda, V. Gostishchev, U. Jandewerth, T. Katayama, H. Klingbeil, K. Knie, A. Krämer, U. Laier, H. Leibrock, S.A. Litvinov, C. Mühle, GSI, Darmstadt; D. Möhl, CERN, Geneva; F. Nolden, C. Peschke, P. Petri, H. Ramakers, I. Schurig, M. Schwickert, GSI, Darmstadt; L. Thorndahl, CERN, Geneva; H. Welker, GSI, Darmstadt","Advanced Design of the FAIR Storage Ring Complex",4246 4250,
fr1pbc04,"A. Valishev, G. Annala, D.S. Bollinger, B.M. Hanna, A. Jansson, T.R. Johnson, R.S. Moore, D.A. Still, C.-Y. Tan, X. Zhang, Fermilab, Batavia","Recent Tevatron Operational Experience",4230 4232,
fr1pbc05,"F. Zimmermann, CERN, Geneva; H. Aksakal, N.U, Nigde; F. Bordry, H.-H. Braun, O.S. Brüning, H. Burkhardt, CERN, Geneva; S. Chattopadhyay, Cockcroft Institute, Warrington, Cheshire; A.K. Çiftçi, Ankara University, Faculty of Sciences, Tandogan/Ankara; J.B. Dainton, Cockcroft Institute, Warrington, Cheshire; A.L. Eide, R. Garoby, B.J. Holzer, J.M. Jowett, CERN, Geneva; M. Klein, The University of Liverpool, Liverpool; T.P.R. Linnecar, K.H. Meß, CERN, Geneva; T. Omori, KEK, Ibaraki; J.A. Osborne, L. Rinolfi, D. Schulte, CERN, Geneva; S. Sultansoy, TOBB ETU, Ankara; R. Tomás, J. Tuckmantel, CERN, Geneva; J. Urakawa, KEK, Ibaraki; A. Vivoli, CERN, Geneva; F.J. Willeke, BNL, Upton, Long Island, New York; A. de Roeck, CERN, Geneva","The Large Hadron-Electron Collider (LHeC) at the LHC",4233 4235,
fr1pbi01,"C. Montag, BNL, Upton, Long Island, New York","RHIC Progress and Future",4216 4220,
fr1pbi02,"R. Milner, MIT, Middleton, Massachusetts","Overview of Electron-Ion Collider Initiatives",4221 4224,
fr1pbi03,"J.-P. Koutchouk, F. Zimmermann, CERN, Geneva","LHC Upgrade Scenarios",4225 4229,
fr1rac04,"S. Bettoni, E. Adli, R. Corsini, A.E. Dabrowski, S. Döbert, D. Manglunki, P.K. Skowronski, F. Tecker, CERN, Geneva","Achievements in CTF3 and Commissioning Status",4210 4212,
fr1rac05,"K. Kubo, S. Kuroda, T. Okugi, KEK, Ibaraki; K.G. Panagiotidis, A. Wolski, The University of Liverpool, Liverpool; M. Woodley, SLAC, Menlo Park, California","Update on Optics Modelling for the ATF Damping Ring at KEK",4213 4215,
fr1rai01,"R. Tomás, CERN, Geneva","CLIC Overview",4195 4199,
