froaa2,"M. Blaskiewicz, V.H. Ranjbar [BNL, Upton, Long Island, New York, USA] ","Transverse Beam Transfer Functions via the Vlasov Equation",1427 1429,
froaa3,"C.H. Rivetta, J.M. Cesaratto, J.D. Fox, K.M. Pollock, O. Turgut [SLAC, Menlo Park, California, USA] H. Bartosik, W. Höfle, G. Kotzian, K.S.B. Li [CERN, Geneva, Switzerland] ","Control of Intrabunch Dynamics at CERN SPS Ring using 3.2 GS/s Digital Feedback Channel",1430 1433,
froaa4,"Y. Yuri [JAEA/TARRI, Gunma-ken, Japan] ","Simulation Study on Transverse Laser Cooling and Ordering of Heavy-Ion Beams in a Storage Ring",1434 1436,
froaa5,"J.P. Sikora, M.G. Billing, J.V. Conway, J.A. Crittenden, J.A. Lanzoni, Y. Li [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Electron Cloud Measurements Using a Shielded Pickup in a Quadrupole at CesrTA",1437 1439,
froaa6,"H.D. Zhang, B.L. Beaudoin, R.A. Kishek [UMD, College Park, Maryland, USA] ","Experimental Study of Halo Formation in Space Charge Dominated Beam",1440 1442,
frxb1,"Y. Iwata, T. Furukawa, Y. Hara, K. Mizushima, T.M. Murakami, K. Noda, S. Sato, T. Shirai, K. Shoda, S.S. Suzuki [NIRS, Chiba-shi, Japan] N. Amemiya [Kyoto University, Kyoto, Japan] H. Arai, T. Fujimoto [AEC, Chiba, Japan] T.F. Fujita [National Institute of Radiological Sciences, Chiba, Japan] Y. Nagamoto, T. Orikasa, S. Takayama, T. Yazawa [Toshiba, Tokyo, Japan] T. Obana [NIFS, Gifu, Japan] T. Ogitsu [KEK, Ibaraki, Japan] ","Superconducting Gantry and Other Developments at HIMAC",1463 1467,
fryaa1,"J. Galambos [ORNL, Oak Ridge, Tennessee, USA] ","SNS Performance and the Next Generation of High Power Accelerators",1443 1447,
fryaa2,"M. Lindroos, M. Eshraqi, D.P. McGinnis [ESS, Lund, Sweden] ","The European Spallation Source",1448 1452,
fryba1,"J. Wei, N.K. Bultman, F. Casagrande, C. Compton, K.D. Davidson, J. DeKamp, B. Drewyor, K. Elliott, A. Facco, P.E. Gibson, T . Glasmacher, K. Holland, M.J. Johnson, S. Jones, D. Leitner, M. Leitner, G. Machicoane, F. Marti, D. Morris, J.A. Nolen, J.P. Ozelis, S. Peng, J. Popielarski, L. Popielarski, E. Pozdeyev, T. Russo, K. Saito, J.J. Savino, R.C. Webber, M. Williams, T. Xu, Y. Yamazaki, A. Zeller, Y. Zhang, Q. Zhao [FRIB, East Lansing, USA] D. Arenius, V. Ganni [JLAB, Newport News, Virginia, USA] A. Facco [INFN/LNL, Legnaro (PD), Italy] R.E. Laxdal [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] J.A. Nolen [ANL, Argonne, USA] ","Progress towards the Facility for Rare Isotope Beams",1453 1457,
fryba2,"D. Leitner, D.M. Alt, T. Baumann, C. Benatti, K. Cooper, B. Durickovic, K. Kittimanapun, S.W. Krause, A. Lapierre, L.Y. Lin, F. Montes, D.J. Morrissey, R. Rencsok, J.A. Rodriguez, S. Schwarz, C. Sumithrarachchi, M.J. Syphers, S. Williams, W. Wittmer [NSCL, East Lansing, Michigan, USA] X. Wu [FRIB, East Lansing, Michigan, USA] ","Status of the Rare Isotope Reaccelerator Facility REA",1458 1462,
frybb1,"Y. Ivanyushenkov [ANL, Argonne, USA] ","Advances in Superconducting Undulators",1468 1472,
frybb2,"R.B. Saethre [ORNL RAD, Oak Ridge, Tennessee, USA] D.E. Anderson, C. Deibele, V.V. Peplov, M.P. Stockli [ORNL, Oak Ridge, Tennessee, USA] ","Development and Operation of the SNS Fast Chopper Systems",1473 1477,
mooaa1,"V.D. Shiltsev [Fermilab, Batavia, USA] ","Colliders - "Quo Vadis?": Past 20 Years, Next 20 Years, and Beyond",11 13,
mooaa2,"A.L. Romanov, D.E. Berkaev, A.S. Kasaev, I. Koop, A.N. Kyrpotin, A.P. Lysenko, E. Perevedentsev, V.P. Prosvetov, Yu. A. Rogovsky, A.I. Senchenko, P.Yu. Shatunov, Y.M. Shatunov, D.B. Shwartz, A.N. Skrinsky, I.M. Zemlyansky, Yu.M. Zharinov [BINP SB RAS, Novosibirsk, Russia] ","Status of the Electron-Positron Collider VEPP-2000",14 18,
mooab2,"R. Bartolini, N.P. Hammond, J. Kay, R.P. Walker [Diamond, Oxfordshire, United Kingdom] T. Pulampong [JAI, Oxford, United Kingdom] ","Ultra-low Emittance Upgrade Options for the Diamond Light Source",24 26,
mooba1,"S.R. Koscielniak [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] ","ARIEL Electron Linac",46 48,
mooba2,"A. Zelenski, G. Atoian, J.M. Fite, D. Raparia, J. Ritter, D. Steski [BNL, Upton, Long Island, New York, USA] V.I. Davydenko, A.A. Ivanov, A. Kolmogorov [BINP SB RAS, Novosibirsk, Russia] V.S. Klenov, V. Zubets [RAS/INR, Moscow, Russia] ","The RHIC Polarized Source Upgrade",49 51,
moobb1,"P. Muggli [MPI, Muenchen, Germany] ","The AWAKE Proton-Driven Plasma Wakefield Acceleration Experiment at CERN",72 74,
moodb1,"A. Valishev, S. Nagaitsev [Fermilab, Batavia, USA] V.V. Danilov [ORNL, Oak Ridge, Tennessee, USA] D.N. Shatilov [BINP SB RAS, Novosibirsk, Russia] ","Beam-Beam Limit in an Integrable System",75 77,
moodb2,"T.V. Zolkin [University of Chicago, Chicago, Illinois, USA] Y. Kharkov, I.A. Morozov [BINP SB RAS, Novosibirsk, Russia] S. Nagaitsev [Fermilab, Batavia, USA] ","A Model Ring With Exactly Solvable Nonlinear Motion",78 80,
mopac01,"A. Bonatto, R. Pakter, F.B. Rizzato [IF-UFRGS, Porto Alegre, Brazil] A. Bonatto, S.R. Lopes [UFPR, Curitiba, Brazil] C. Bonatto [UFPel, Pelotas, Brazil] R.P. Nunes [UFRGS, Porto Alegre, Brazil] ","Nonparaxial Transverse Effects on the Propagation of Nonlinear Electromagnetic Pulses",81 83,
mopac02,"P. Muggli [MPI, Muenchen, Germany] E. Adli, S.J. Gessner, M.J. Hogan, S.Z. Li, M.D. Litos [SLAC, Menlo Park, California, USA] Y. Fang [USC, Los Angeles, California, USA] C. Joshi, K.A. Marsh, W.B. Mori, N. Vafaei-Najafabadi [UCLA, Los Angeles, California, USA] N.C. Lopes, L.O. Silva, J. Vieira [Instituto Superior Tecnico, Lisbon, Portugal] O. Reimann [MPI-P, München, Germany] ","Electron and Positron Bunch Self-modulation Experiments at SLAC-FACET",84 86,
mopac07,"B.R. Poole [LLNL, Livermore, California, USA] J.R. Harris, S.V. Milton [CSU, Fort Collins, Colorado, USA] ","Photonic Crystal as a Passively Driven Structure to Boost Beam Energy",87 89,
mopac10,"A. A. Sahai, T.C. Katsouleas [Duke ECE, Durham, North Carolina, USA] W.B. Mori, F.S. Tsung [UCLA, Los Angeles, California, USA] ","Long Term Evolution of Plasma Wakefields",90 92,
