frioa01,"W. Schappert, Y.M. Pischalnikov [Fermilab, Batavia, USA] ","Adaptive Compensation for Lorentz Force Detuning in Superconducting RF Cavities",940 942,
frioa02,"Z.A. Conway, M.P. Kelly, P.N. Ostroumov [ANL, Argonne, USA] K.W. Shepard [TechSource, Los Alamos, NM, USA] ","Innovative Tuner Designs For Low Beta SRF Cavities",943 945,
frioA03,N/A,N/A,99 98,
frioa04,"Y. Gómez Martínez, T. Cabanel, J. Giraud, R. Micoud, M. Migliore, J. Morfin, F. Vezzu [LPSC, Grenoble Cedex, France] P.-E. Bernaudin, P. Bosland [CEA/DSM/IRFU, France] G. Olry [IPN, Orsay, France] ","Power Couplers for Spiral-2",947 950,
frioa05,"H. Sakai [KEK, Ibaraki, Japan] ","Overview of CW Input Couplers for ERL",951 955,
frioa06,"K. Umemori, T. Furuya, E. Kako, S. Noguchi, H. Sakai, M. Satoh, T. Shishido, K. Watanabe, Y. Yamamoto [KEK, Ibaraki, Japan] E. Cenni [Sokendai, Ibaraki, Japan] M. Sawamura [JAEA, Ibaraki-ken, Japan] K. Shinoe [ISSP/SRL, Chiba, Japan] ","Construction of cERL Cryomodules for Injector and Main Linac",956 961,
frioa07,"A. Neumann, W. Anders, R. Barday, A. Jankowiak, T. Kamps, J. Knobloch, O. Kugeler, A.N. Matveenko, T. Quast, J. Rudolph, S.G. Schubert, J. Voelker (Völker) [HZB, Berlin, Germany] P. Kneisel [JLAB, Newport News, Virginia, USA] G. Lorenz [FHI, Berlin, Germany] R. Nietubyc [The Andrzej Soltan Institute for Nuclear Studies, Centre Swierk, Swierk/Otwock, Poland] J.K. Sekutowicz [DESY, Hamburg, Germany] J. Smedley [BNL, Upton, Long Island, New York, USA] I. Will [MBI, Berlin, Germany] ","SRF Photoinjector Tests at HoBiCat",962 968,
friob01,"J.K. Hao, J.E. Chen, L. Lin, K.X. Liu, X.Y. Lu, S.W. Quan, B.C. Zhang, K. Zhao, F. Zhu [PKU/IHIP, Beijing, People's Republic of China] ","SRF Activities at Peking University",969 972,
friob02,"F. Zhu, J.E. Chen, J.K. Hao, S. Huang, L. Lin, K.X. Liu, X.Y. Lu, S.W. Quan, F. Wang, H.M. Xie, K. Zhao [PKU/IHIP, Beijing, People's Republic of China] ","STATUS OF THE DC-SRF PHOTOINJECTOR FOR PKU-SETF",973 976,
friob03,"S. Fu, H. Chen, Y.L. Chi, S.X. Fang, L. Ma, W.M. Pan, J.Y. Tang, C. Zhang [IHEP Beijing, Beijing, People's Republic of China] Y. He, H.W. Zhao [IMP, Lanzhou, People's Republic of China] ","Chinese Plan for ADS and CSNS",977 982,
friob04,"P. Singh [BARC, Mumbai, India] ","SRF Accelerator for Indian ADS Program: Present & Future Prospects",983 987,
friob05,"R. Calaga [BNL, Upton, Long Island, New York, USA] ","Crab Crossing for LHC Upgrade",988 993,
friob06,"M. Lindroos [CERN, Geneva, Switzerland] R. Ainsworth [Royal Holloway, University of London, Surrey, United Kingdom] R.D. Duperrier [CEA/DSM/IRFU, France] S. Molloy, S. Peggs, K. Rathsman, R. Zeng [ESS, Lund, Sweden] R.J.M.Y. Ruber [Uppsala University, Uppsala, Sweden] ","The ESS Accelerator",994 998,
moioa01,"D. Reschke [DESY, Hamburg, Germany] ","Challenges in SRF Module Production for the European XFEL",2 6,
moioa02,"A. Yamamoto [KEK, Ibaraki, Japan] M.C. Ross [Fermilab, Batavia, USA] N.J. Walker [DESY, Hamburg, Germany] ","Advances in SRF Development for ILC",7 12,
moioA03,N/A,N/A,99 98,
moioa04,"C.E. Reece [JLAB, Newport News, Virginia, USA] ","SRF Challenges for Improving Operational Electron Linacs",14 19,
moiob01,N/A,N/A,99 98,
moiob02,N/A,N/A,99 98,
moiob03,N/A,N/A,99 98,
moiob04,"S.A. Belomestnykh [BNL, Upton, Long Island, New York, USA] ","Survey of SRF Guns",23 26,
moiob05,"M. Jensen [Diamond, Oxfordshire, United Kingdom] ","Operational Experience with SRF Cavities for Light Sources",27 31,
moiob06,N/A,N/A,99 98,
mopo001,N/A,N/A,99 98,
mopo003,"T.J. Peterson, M.H. Foley, C.M. Ginsburg, C.J. Grimm, J.S. Kerby, Y. Orlov [Fermilab, Batavia, USA] R. Ghosh, G. Gilankar, A. Jain, P. Khare, P.K. Kush, A. Laxminarayanan [RRCAT, Indore (M.P.), India] ","650 MHz Cryomodules for Project X at Fermilab – Requirements and Concepts",34 38,
mopo004,"P. Murcek, A. Arnold, H. Buettig (Büttig), D. Janssen, M. Justus, P. Michel, G.S. Staats, J. Teichert, R. Xiang [HZDR, Dresden, Germany] P. Kneisel [JLAB, Newport News, Virginia, USA] ","Modified SRF Photoinjector for the ELBE at HZDR",39 42,
