fraa01,"R. Paparella [INFN/LASA, Segrate (MI), Italy] ","Overview of Recent Tuner Development on Elliptical and Low-Beta Cavities",1425 1431,
fraa03,"E.R. Harms, C.M. Baffes, K. Carlson, B.E. Chase, D.J. Crawford, E. Cullerton, D.R. Edstrom, A. Hocker, A.L. Klebaner, M.J. Kucera, J.R. Leibfritz, J.N. Makara, D. McDowell, O.A. Nezhevenko, D.J. Nicklaus, Y.M. Pischalnikov, P.S. Prieto, J. Reid, W. Schappert, W.M. Soyars, P. Varghese, A. Warner [Fermilab, Batavia, Illinois, USA] ","High Gradient Performance in Fermilab ILC Cryomodule",1432 1436,
fraa04,"F. Furuta, B. Clasby, R.G. Eichhorn, B. Elmore, G.M. Ge, D. Gonnella, D.L. Hall, G.H. Hoffstaetter, R.P.K. Kaplan, J.J. Kaufman, M. Liepe, T.I. O'Connell, S. Posen, P. Quigley, D.M. Sabol, J. Sears, E.N. Smith, V. Veshcherevich [Cornell University (CLASSE), Cornell Laboratory for Accelerator-Based Sciences and Education, Ithaca, New York, USA] ","Performance of the Cornell ERL Main Linac Prototype Cryomodule",1437 1442,
fraa05,"F. Zhu, J.E. Chen, L.W. Feng, Y. Gao, J.K. Hao, S. Huang, L. Lin, K.X. Liu, S.W. Quan, F. Wang, X.D. Wen, D.H. Zhuang [PKU, Beijing, People's Republic of China] ","A 1.3 GHz Cryomodule with 2x9-Cell Cavity for SETF at Peking University",1443 1445,
fraa06,"S.J. Miller, B. Bird, G.D. Bryant, B. Bullock, N.K. Bultman, F. Casagrande, C. Compton, A. Facco, P.E. Gibson, J.D. Hulbert, D. Morris, J. Popielarski, L. Popielarski, M.A. Reaume, R.J. Rose, K. Saito, M. Shuptar, J.T. Simon, B.P. Tousignant, J. Wei, K. Witgen, T. Xu [FRIB, East Lansing, Michigan, USA] A. Facco [INFN/LNL, Legnaro (PD), Italy] ","Construction and Performance of FRIB Quarter Wave Prototype Cryomodule",1446 1452,
frba01,"H. Dzitko, N. Bazin, A. Bruniquel, P. Charon, S. Chel, G. Devanz, G. Disset, P. Gastinel, P. Hardy, J. Neyret, J. Relland, B. Renard, N. Sellami, M.R. Vallcorba-Carbonell [CEA/IRFU, Gif-sur-Yvette, France] N. Berton, P. Contrepois, V.M. Hennion, H. Jenhani, O. Piquet [CEA/DSM/IRFU, France] D. Gex, G. Phillips [F4E, Germany] A. Kasughai [Japan Atomic Energy Agency (JAEA), International Fusion Energy Research Center (IFERC), Rokkasho, Kamikita, Aomori, Japan] J. Knaster [IFMIF/EVEDA, Rokkasho, Japan] D. Regidor, F. Toral [CIEMAT, Madrid, Spain] ","Technical and Logistical Challenges for IFMIF-LIPAC Cryomodule Construction",1453 1459,
frba02,"F. Carra, A. Amorim Carvalho, K. Artoos, S. Atieh, I. Aviles Santillana, A.B. Boucherie, J.P. Brachet, K. Brodzinski, R. Calaga, O. Capatina, T. Capelli, L. Dassa, T. Dijoud, H.M. Durand, G. Favre, L.M.A. Ferreira, P. Freijedo Menendez, M. Garlasché (M. Garlaschè), M. Guinchard, N. Kuder, S.A.E. Langeslag, R. Leuxe, A. Macpherson, P. Minginette, E. Montesinos, F. Motschmann, C. Parente, L. Prever-Loiri, D. Pugnat, E. Rigutto, V. Rude, M. Sosin, G. Vandoni, G. Villiger, C. Zanoni [CERN, Geneva, Switzerland] S.A. Belomestnykh, S. Verdú-Andrés, Q. Wu, B. P. Xiao [BNL, Upton, Long Island, New York, USA] G. Burt [Lancaster University, Lancaster, United Kingdom] S.U. De Silva, J.R. Delayen, R.G. Olave, R.G. Olave, H. Park [ODU, Norfolk, Virginia, USA] T.J. Jones, N. Templeton [STFC/DL, Daresbury, Warrington, Cheshire, United Kingdom] Z. Li [SLAC, Menlo Park, California, USA] K.B. Marinov, S.M. Pattalwar [STFC/DL/ASTeC, Daresbury, Warrington, Cheshire, United Kingdom] T.H. Nicol [Fermilab, Batavia, Illinois, USA] A. Ratti [LBNL, Berkeley, California, USA] ","Crab Cavity and Cryomodule Development for HL-LHC",1460 1466,
frba03,"R.D. Kephart, B.E. Chase, I.V. Gonin, A. Grassellino, S. Kazakov, T.N. Khabiboulline, S. Nagaitsev, R.J. Pasquinelli, S. Posen, O.V. Pronitchev, A. Romanenko, V.P. Yakovlev [Fermilab, Batavia, Illinois, USA] S. Biedron, S.V. Milton, N. Sipahi [CSU, Fort Collins, Colorado, USA] S. Chattopadhyay [Northern Illinois Univerity, Dekalb, Illinois, USA] P. Piot [Northern Illinois University, DeKalb, Illinois, USA] ","SRF, Compact Accelerators for Industry & Society",1467 1473,
frba04,"R. Calaga, O. Brunner, A.C. Butterworth, E. Jensen [CERN, Geneva, Switzerland] ","SRF for Future Circular Colliders",1474 1480,
moaa01,"K. Saito, H. Ao, N.K. Bultman, E.E. Burkhardt, F. Casagrande, S. Chouhan, C. Compton, J.L. Crisp, K.D. Davidson, K. Elliott, F. Feyzi, A.D. Fox, P.E. Gibson, L. Hodges, K. Holland, G. Kiupel, S.M. Lidia, I.M. Malloch, D. Miller, S.J. Miller, D. Morris, D. Norton, J. Popielarski, L. Popielarski, A.P. Rauch, R.J. Rose, T. Russo, S. Shanab, M. Shuptar, S. Stark, G.J. Velianoff, D.R. Victory, J. Wei, T. Xu, T. Xu, Y. Yamazaki, Q. Zhao, Z. Zheng [FRIB, East Lansing, Michigan, USA] S.K. Chandrasekaran [Fermilab, Batavia, Illinois, USA] A. Facco [INFN/LNL, Legnaro (PD), Italy] K. Hosoyama, M. Masuzawa [KEK, Ibaraki, Japan] R.E. Laxdal [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] M.X. Xu [IMP/CAS, Lanzhou, People's Republic of China] ","FRIB Project: Moving to Production Phase",99 98,
moaa02,"D. Reschke [DESY, Hamburg, Germany] ","Recent Progress with EU-XFEL",14 23,
