srf89a01,"R. Sundelin, B. Almeida, M. Augustine, R. Bennett, J. Brawley, U.H. Brown, R. Bundy, I. Campisi, B. Carpenter, S. Cook, R. Dawes, L.R. Doolittle, T. Elliott, E. Feldl, K. Finger, W.F. Folsom, E. Folts, A. Guerra, J. Heckman, A. Heidt, C. Hughes, K. Jordan, J.P. Kelley, P. Kneisel, C. Liang, J. Lilley, K. Macha, D. Machie, T. Mann, L. Martin, J. Mazyck, B. Moss, G.R. Myneni, V. Nguyen, J. Pace, J. Parkinson, J. Pauley, H.L. Phillips, T. Powers, C. Reece, J.D. Riel, J. Robb, W.F. Schneider, A. Sibley, K. Smith, E. Stitts, G.R. Sundeen, J. Susta, J. Takacs, B.M. Thornton, L. Turlington, B. Umphlett, J.V. Duke, J. Wall, L. Wells, H.L. Whitehead, L. Williams, M. Wiseman, CEBAF, Newport News, Virginia","RF Superconductivity at CEBAF",
srf89a02,"G. Cavallari, C. Arnaud, Ph. Bernard, D. Bloess, E. Chiaveri, E. Ciapala, W. Erdt, G. Geschonke, I. Gorine, D. Güsewell, E. Haebel, H. Lengeler, G. Passardi, J. Schmid, R. Stierlin, J. Tückmantel, W. Weingarten, CERN, Geneva","Status Report on Superconducting Nb Cavities for LEP",
srf89a03,"J. Kirchgessner, D. Moffat, H. Padamsee, D. Rubin, J. Sears, Q.S. Shu, Cornell University, Ithaca, New York","Superconducting RF Activities at Cornell University",
srf89a04,"H.-D. Gräf, K. Alrutz-Ziemssen, D. Flasche, V. Huck, M. Knirsch, W. Lotz, A. Richter, T. Rietdorf, P. Schardt, E. Spamer, A. Stascheck, O. Titze, W. Voigt, H. Weise, W. Ziegler, TH Darmstadt, Darmstadt","Performance of the Accelerating Cavities at the Superconducting Darmstadt Linear Accelerator ( S-DALINAC )",
srf89a05,"W.-D. Möller, B. Dwersteg, T. Friesen, W. Körber, A. Matheisen, D. Proch, D. Renken, J. Sekutowicz, DESY, Hamburg","RF Superconductivity at DESY",
srf89a06,"F. Tazzioli, R. Boni, A. Cattoni, A. Gallo, U. Gambardella, D. Di Gioacchino, G. Modestino, B. Spataro, S. Tazzari, C. Vaccarezza, INFN/LNF, Frascati (Roma); R. Parodi, INFN Genova, Genova; C. Pagani, L. Serafini, Università di Milano and INFN Dipartimento di Fisica, Milano","Activities on RF Superconductivity in Frascati, Genova, Milano Laboratories",
srf89a07,"Yuzo Kojima, K. Akai, M. Arinaga, K. Asano, E. Ezura, T. Furuya, K. Hara, K. Hosoyama, A. Kabe, E. Kako, Yuuji Kojima, K. Kubo, S. Kurokawa, S. Mitsunobu, H. Nakai, S. Noguchi, T. Ogitsu, K. Saito, Y. Sakamoto, T. Shishido, T. Suzuki, T. Tajima, T. Takahashi, T. Takashima, KEK, Ibaraki","Superconducting RF Activities at KEK",
srf89a08,"A. Mosnier, B. Aune, J.M. Cavedon, S. Chel, A. Curtoni, P. Damsin, J. Fagot, J. Gastebois, A. Godin, F. Guemas, M. Juillard, E. Klein, F. Koechlin, P. Leconte, C. Magne, A. Veyssiere, CEN Saclay, Gif-sur-Yvette; J. Arianer, R. Brizzi, M. Fouaidy, T. Junquera, IN2P3-CNRS, Orsay; L. Wartski, IEF, Orsay","Superconducting RF Activities at SACLAY : Status Report",
srf89b01,"H. Piel, A. Brust, H. Chaloupka, M. Hein, S. Haindl, H. Heinrichs, M. Jansen, M. Jeck, N. Klein, S. Lauterjung, E. Mahner, A. Michalke, N. Minatti, G. Müller, B. Mönter, A. Pischke, D. Reschke, R.W. Röth, S. Orbach, M. Peiniger, J. Schurr, N. Tellmann, D. Wehler, F. Zander, University of Wuppertal, Wuppertal; D. Opie, College of William  Mary, Williamsburg, Virginia; M. Becks, U. Klein, Interatom GmbH, Bergisch Gladbach; L. Ponto, Polytechnical Institute Warsaw, Warsaw","Superconducting Cavities and their Applications - Recent Work at the University of Wuppertal",
srf89b02,"K.W. Shepard, ANL, Argonne","Status of RF Superconductivity at Argonne",
srf89b03,"S. Takeuchi, JAERI, Ibaraki","Status Report on JAERI Activities",
srf89b04,"D.W. Cooke, E.R. Gray, R.J. Houlton, G.P. Lawrence, J.A. McGill, E. Meyer, C. Morris, B. Rusnak, T.P. Starke, LANL, Los Alamos, New Mexico","RF Superconductivity Research and Development at Los Alamos National Laboratory",
srf89b05,"T. Grundey, G. Hinderer, U. Trinks, TU München, Garching","The Superconducting RF Cavities for the TRITRON",
srf89b06,"B. Cauvin, J.P. Fouan, CEN Saclay, Gif-sur-Yvette","Status Report on the Saclay Heavy Ion Superconducting Linac",
srf89c01,"K. Akai, KEK, Ibaraki","Beam Tests and Operation of Superconducting Cavities",
srf89c02,"H. Padamsee, J. Kirchgessner, D. Moffat, R. Noer, D. Rubin, J. Sears, Q.S. Shu, Cornell University, Ithaca, New York","New Results on RF and DC Field Emission",
srf89c03,"J.R. Delayen, ANL, Argonne","Low-Velocity Superconducting Accelerating Structures",
srf89d01,"G. Müller, University of Wuppertal, Wuppertal","Microwave Properties of High-Tc Oxide Superconductors",
srf89d02,"T. Furuya, KEK, Ibaraki","Preparation and Handling of Superconducting RF Cavities",
srf89d03,"R.A. Byrns, Lawrence Berkeley Laboratory, Berkeley","Review of SC/RF Refrigeration Systems",
srf89e01,"L.R. Doolittle, CEBAF, Newport News, Virginia","Tuners, Microphonics, and Control Systems in Superconducting Accelerating Structures",
srf89e02,"B. Dwersteg, DESY, Hamburg","High Power Couplers",
srf89e03,"A. Mosnier, CEN Saclay, Gif-sur-Yvette","Developments of HOM Couplers for Superconducting Cavities",
srf89e04,"S. Noguchi, E. Kako, K. Kubo, KEK, Ibaraki","Couplers - Experience at KEK",
srf89f01,"D. Rubin, Cornell University, Ithaca, New York","Linear Collider Applications of Superconducting RF",
srf89g01,"J.R. Delayen, C.L. Bohn, ANL, Argonne","Prototype Niobium Resonators for High-Current Ion Beams",
srf89g02,"R.W. Röth, H. Heinrichs, G. Müller, H. Piel, J. Pouryamout, University of Wuppertal, Wuppertal","Results of Postpurified 3 GHz Accelerator Structures",
srf89g03,"D. Moffat, T. Flynn, J. Kirchgessner, H. Padamsee, D. Rubin, J. Sears, Q.S. Shu, Cornell University, Ithaca, New York","Superconducting Niobium RF Cavities Designed to Attain High Surface Electric Fields",
srf89g04,"G. Bassato, R. Ponchia, INFN/LNL, Legnaro, Padova; I. Ben-Zvi, Weizmann Institute of Science, Rehovot","A Microprocessor Based Controller for Superconducting Resonators",
srf89g05,"S. Takeuchi, T. Ishii, H. Ikezoe, JAERI, Ibaraki","Progress in RF-Superconductivity for Heavy-Ion Acceleration at JAERI",
srf89g06,"D. Bloess, G. Cavallari, E. Chiaveri, I. Gorine, R. Stierlin, J. Tückmantel, W. Weingarten, CERN, Geneva","Manufacturing and Testing of the First Four Superconducting Nb Cavities for LEP",
srf89g07,"E. Haebel, Stanford University, Stanford","Conditions for SC Cavity Matching and their Relations to the Robinson Stability Criterion",
srf89g08,"U. Klein, M. Peiniger, H. Vogel, Interatom GmbH, Bergisch Gladbach","RF Superconductivity at Interatom",
srf89g09,"J. Graber, J. Kirchgessner, D. Moffat, H. Padamsee, D. Rubin, J. Sears, Q.S. Shu, Cornell University, Ithaca, New York","High Peak Power Processing of Superconducting Cavities",
srf89g10,"Q.S. Shu, T. Flynn, K. Gendreau, W. Hartung, J. Kirchgessner, D. Moffat, R. Noer, H. Padamsee, S. Rubel, D. Rubin, J. Sears, Cornell University, Ithaca, New York","The Effects of Exposing Well Processed RF Surfaces of Superconducting Cavities to Various Media",
srf89g11,"J. Tückmantel, CERN, Geneva","One Point Multipacting Levels Determined without Electron Tracking",
srf89g12,"H. Chaloupka, H. Heinrichs, M. Jeck, A. Michalke, H. Piel, University of Wuppertal, Wuppertal; C.K. Sinclair, CEBAF, Newport News, Virginia; F. Ebeling, T. Weiland, DESY, Hamburg; U. Klein, H. Vogel, Interatom GmbH, Bergisch Gladbach","A Proposed Superconducting Photoemission Source of High Brightness",
srf89g13,"T. Friesen, A. Matheisen, D. Proch, DESY, Hamburg","Nb-Cu Sputter Activities at DESY",
srf89g14,"B. Dwersteg, DESY, Hamburg","SC-Cavity Operation via WG-Transformer",
srf89g15,"B. Dwersteg, Y. Qiao, DESY, Hamburg","High Power Input Coupler Developments at DESY",
srf89g16,"J. Sekutowicz, Y. Chen, DESY, Hamburg","Damping of Higher Order Modes by HERA Coaxial Line Type Coupler Applied to 1.5 GHz Accelerating Structure",
srf89g17,"A. Baron, E. Haebel, Stanford University, Stanford","HOM Couplers for a 1mA Linac FEL Driver",
srf89g18,"K. Saito, Yuzo Kojima, T. Furuya, S. Mitsunobu, S. Noguchi, K. Hosoyama, T. Nakazato, T. Tajima, K. Asano, KEK, Ibaraki; K. Inoue, Y. Iino, MHI Nagoya, Nagoya; H. Nomura, Nomura Plating Co. Ltd., Osaka; K. Takeuchi, Tokyo Denkai Ltd., Tokyo","RD of Superconducting Cavities at KEK",
srf89g19,"E. Minehara, JAERI, Ibaraki; R. Nagai, M. Takeuchi, Ibaraki University, Ibaraki","Fabrication and RF Properties of High-Tc Superconducting Microwave Passive Elements",
srf89g20,"C.L. Bohn, J.R. Delayen, C.T. Roche, ANL, Argonne","RF Performance of Polycrystalline High-Tc Superconductors",
srf89g21,"K. Kato, K. Takahashi, S. Yamakawa, K. Kumakura, M. Yamazaki, H. Mitera, K. Minami, Niigata University, Niigata; M. Awano, Tokyo Engineering University, Hachiohji","Measurements of Microwave Cavities Made of Bulk Superconductor YBa2Cu3O7-x",
srf89g22,"K. Asano, KEK, Ibaraki; K. Yoshihara, National Research Institute for Metals, Ibaraki","High Tc Oxide Superconducting Films for RF Cavities",
srf89g23,"J. Fang, B. Wu, D. Proch, DESY, Hamburg","Measurements of the Surface Resistance of YBCO at 500 MHz",
srf89g24,"C.H. Rode, CEBAF, Newport News, Virginia; D. Proch, DESY, Hamburg","Cryogenic Optimization for Cavity Systems",
