SRF97A01,"B. Rusnak, K. C. Chan, B. M. Campbell, B. Gentzlinger, B. Haynes, F. Krawczyk, A. Shapiro, R. Bibeau, D. Montoya, B. Smith, R. Lujan, T. Hargenradter, D. Hammon, LANL, Los Alamos; H. Safa, CEN-Saclay, Gif-Sur-Yvette","High Intensity Proton Linac Activities at Los Alamos",99 98,
SRF97A02,"N. Ouchi, J. Kusano, N. Akaoka, S. Takeuchi, B. Fechner, K. Hasegawa, M. Mizumoto, JAERI, Ibaraki-Ken; H. Inoue, E. Kako, S. Noguchi, M. Ono, K. Saito, KEK, Ibaraki-Ken; K. Mukugi, Mitsubishi Electric Corporation, Hyogo-ken; Y. Honda, Mitsubishi Heavy Industries Ltd., Aichi-ken","Proton Linac Activities in JAERI",12 21,
SRF97A03,"N. Ouchi, J. Kusano, N. Akaoka, S. Takeuchi, B. Fechner, K. Hasegawa, M. Mizumoto, JAERI, Ibaraki-Ken; H. Inoue, E. Kako, S. Noguchi, M. Ono, K. Saito, KEK, Ibaraki-Ken; K. Mukugi, Mitsubishi Electric Corporation, Hyogo-ken; Y. Honda, Mitsubishi Heavy Industries Ltd., Aichi-ken","Design and Development Work for a Superconducting Proton Linac at JAERI",22 26,
SRF97A04,"K. W. Shepard, M. Kedzie, J. E. Kuzminski, ANL, Argonne","Accelerator Development for a Radioactive Beam Facility Based on Atlas",27 31,
SRF97A05,"C. Pagani, INFN/LASA, Segrate (MI)","Superconducting RF Activities at INFN Milano-LASA",32 35,
SRF97A06,"C. Pagani, G. Bellomo, P. Pierini, D. Barni, A. Bosotti, A. Martino, INFN/LASA, Segrate (MI); R. Parodi, S. Visonà, INFN Genova, Genova","A 100-1600 MeV High Current SC Proton Linac for Waste Transmutation and Energy Amplification",36 43,
SRF97A07,"A. Pisent, M. Comunian, INFN/LNL, Legnaro, Padova","Beam Dynamics Issues of a 100 MeV Superconducting Proton Linac",44 53,
SRF97A08,"B. H. Wiik, DESY, Hamburg","The TESLA Project",54 78,
SRF97A09,"K. Akai, KEK, Ibaraki-Ken","Application of Superconducting Cavities to Factories",79 96,
SRF97A10,"A. Lombardi, INFN/LNL, Legnaro, Padova","The Superconducting Radio Frequency Quadrupole Structures Review",97 106,
SRF97A11,"C. L. Bohn, S. V. Benson, TJNAF, Newport News, Virginia","Radiofrequency Superconductivity Applied to Free-Electron Lasers",107 115,
SRF97A12,"J. P.H. Sladen, CERN, Geneva","Status of Superconducting Cavities in LEP",116 121,
SRF97A13,"G. Cavallari, Ph. Gayet, G. Geschonke, D. Kaiser, J. M. Jimenez, CERN, Geneva","Beam Related Thermal Losses on the Cryogenic and Vacuum Systems of LEP",122 132,
SRF97A14,"O. Brunner, A. Butterworth, G. Cavallari, N. Hilleret, J. M. Jimenez, J. Tückmantel, CERN, Geneva","First Experience with in situ Helium Processing of the LEP Superconducting Modules",133 137,
SRF97A15,"C. E. Reece, TJNAF, Newport News, Virginia","Operating Experience with Superconducting Cavities at Jefferson Lab",138 144,
SRF97A16,"D. Proch, DESY, Hamburg","Status of the TESLA Test Facility (TTF)",145 158,
SRF97A17,"P. Hülsmann, H. Klein, C. Peschke, W. F.O. Müller, Institut für Angewandte Physik, Frankfurt am Main","The Influence of Wakefields on Superconducting TESLA Cavities in FEL-Operation",159 175,
SRF97A18,"S. Döbert, R. Eichhorn, H. Genz, H.-D. Gräf, R. Hahn, S. Kostial, H. Loos, A. Richter, S. Richter, B. Schweizer, A. Stascheck, O. Titze, T. Wesp, Institut für Kernphysik, Darmstadt","Operating Experience with SC Resonators at the S-DALINAC",176 183,
SRF97A19,"S. Döbert, R. Eichhorn, H. Genz, H.-D. Gräf, R. Hahn, S. Kostial, H. Loos, A. Richter, S. Richter, B. Schweizer, A. Stascheck, O. Titze, T. Wesp, Institut für Kernphysik, Darmstadt","The Darmstadt FEL Using the Superconducting CW Accelerator S-DALINAC",184 189,
SRF97A20,"G. Bisoffi, INFN/LNL, Legnaro, Padova","Operational Experience with Superconducting Low Beta Cavities",190 203,
SRF97A21,"T. Junquera, IPN, Orsay","SRF Activities at the IPN-LAL (CNRS Orsay) Laboratories",204 208,
SRF97A22,"P. Bosland, CEN-Saclay, Gif-Sur-Yvette","CEA Saclay Laboratory Report",209 217,
SRF97A23,"R. Parodi, A. Daccà, G. Gemme, R. Musenich, S. Pittaluga, INFN Genova, Genova; V. Buscaglia, ICFAM-CNR, Genova","RF Superconductivity in Genoa",218 223,
SRF97A24,"C. Chen, K. Zhao, Peking University, Beijing","The Status of RF Superconductivity RD in China",224 232,
SRF97A25,"S. Takeuchi, M. Matsuda, E. Minehara, M. Sugimoto, M. Sawamura, R. Nagai, N. Kikuzawa, N. Nishimori, N. Ouchi, J. Kusano, N. Akaoka, M. Mizumoto, JAERI, Ibaraki-Ken","Superconducting RF Activities at JAERI",233 236,
SRF97A26,"S. Takeuchi, M. Matsuda, JAERI, Ibaraki-Ken","First Three Year Operational Experience with the JAERI Tandem-Booster",237 247,
SRF97A27,"Y. Matsubara, H. Saito, H. Masaki, Sumitomo Heavy Industries Ltd., Tokyo; H. Inoue, M. Ono, S. Noguchi, K. Saito, T. Shishido, JAERI, Ibaraki-Ken","Development on Superconducting Cavities at SHI",248 253,
SRF97A28,"T. Ota, S. Sukenobu, Y. Tanabe, K. Takaishi, M. Yamada, S. Kawatsu, Toshiba Corporation, Yokohama; H. Inoue, S. Noguchi, M. Ono, K. Saito, T. Shishido, Y. Yamazaki, JAERI, Ibaraki-Ken","Activities on Superconducting Cavities at Toshiba",254 260,
SRF97A29,"G. C. Harper, D. W. Storm, University of Washington, Seattle","A Beat Frequency Buncher",261 264,
SRF97A30,"A. Roy, P. N. Prakash, B. P. Ajithkumar, S. Ghosh, T. Changrani, A. Sarkar, R. Mehta, B. K. Sahu, A. Choudhury, J. Chacko, J. Anthony, M. V. Suresh Babu, M. Kumar, S. A. Krishnan, A. Mandal, G. O. Rodrigues, R. Kumar, R. K. Bhowmik, G. K. Mehta, Nuclear Science Centre, New Delhi; K. W. Shepard, ANL, Argonne","Status of Superconducting Linac Booster for NSC Pelletron",265 268,
SRF97A31,"V. Komarova, L. Sevryukova, M. Tchernov, I. Zvonarev, IHEP Protvino, Moscow","The Influence of the Injection Energy on the Acceleration RF Structure Geometry and the Beam Dynamics of SVAAP",269 275,
SRF97A32,"A. Cazan, P. Schütz, U. Trinks, Technische Universität München, Garching","Commissioning of the TRITRON",276 281,
SRF97B01,"I. O. Kulik, Bilkent University, Ankara","Superconductivity in High Frequency Fields",283 294,
SRF97B02,"M. Golosovsky, Hebrew University of Jerusalem, Jerusalem","Physical Mechanisms Causing Nonlinear Microwave Losses in High -Tc Superconductors",295 308,
SRF97B03,"I. O. Kulik, Bilkent University, Ankara; V. Palmieri, INFN/LNL, Legnaro, Padova","Theory of Q-Degradation and Nonlinear Effects in Nb-Coated Superconducting Cavities",309 315,
SRF97B04,"E. Mahner, W. Weingarten, CERN, Geneva","A Feasibility Study of a Triaxial Cavity to Determine the Surface Resistance of Superconducting Samples",316 330,
SRF97B05,"C. Benvenuti, S. Calatroni, I. E. Campisi, P. Darriulat, C. Durand, M. Peck, R. Russo, A.-M. Valente, CERN, Geneva","Magnetic Flux Trapping in Superconducting Niobium",331 336,
SRF97B06,"J. Knobloch, H. Padamsee, Cornell University, Ithaca","Flux Trapping in Niobium Cavities During Breakdown Events",337 344,
SRF97B07,"J. Knobloch, H. Padamsee, Cornell University, Ithaca","Reduction of the Surface Resistance in Superconducting Cavities due to Gas Discharge",345 351,
SRF97B08,"V. N. Apakina, V. A. Dravin, Yu. F. Eltsev, I. A. Istomin, A. L. Karuzskii, V. N. Murzin, A. V. Perestoronin, Lebedev Physical Institute, Moscow","Spatial Dispersion and Negative Permittivity Effects in Superconductors",352 356,
SRF97B09,"V. N. Apakina, V. A. Dravin, Yu. F. Eltsev, I. A. Istomin, A. L. Karuzskii, V. N. Murzin, A. V. Perestoronin, Lebedev Physical Institute, Moscow","Microwave Dielectric Resonance Effect in the YBa2Cu3O7 Single Crystal",357 361,
SRF97B10,"A. L. Karuzskii, Lebedev Physical Institute, Moscow","Local Electric Field Microwave Electrodynamics of High -Tc Superconducting Metal Oxides",362 365,
SRF97B11,"N. I. Balalykin, A. B. Kuznetsov, JINR, Dubna","About the Amplitude Dependence of the Surface Resistance of Niobium Coated Copper Cavities",366 373,
SRF97B12,"J. Lesrel, S. Bousson, T. Junquera, A. Caruette, M. Fouaidy, IPN, Orsay","Study of Thermal Effects in SRF Cavities",374 384,
SRF97B13,"D. Reschke, DESY, Hamburg","Thermal Model Calculations for 1.3 GHz TTF Accelerator Cavities",385 396,
SRF97B14,"S. M. Anlage, C. P. Vlahacos, D. E. Steinhauer, S. K. Dutta, B. J. Feenstra, A. Thanawalla, F. C. Wellstood, University of Maryland, College Park, Maryland","Low Power Superconducting Microwave Applications and Microwave Microscopy",397 406,
SRF97B15,"S. Kolesov, H. Chaloupka, A. Baumfalk, University of Wuppertal, Wuppertal","High Temperature Superconductor High Power RF-Devices",407 412,
SRF97B16,"Ph. Bernard, CERN, Geneva; G. Gemme, R. Parodi, INFN Genova, Genova; E. Picasso, Scuola Normale Superiore, Pisa","Coupled Superconducting Cavities for the Detection of Weak Forces",413 421,
SRF97C01,"A. Matheisen, DESY, Hamburg","Improvements on Standard Fabrication Methods",423 433,
SRF97C02,"J. Knobloch, H. Padamsee, Cornell University, Ithaca","Enhanced Susceptibility of Nb Cavity Equator Welds to the Hydrogen Related Q-virus",434 439,
SRF97C03,"P. D. Gall, A. Gössel, J. Graber, V. Gubarev, M. Pekeler, DESY, Hamburg","Superconducting Cavity Database for TTF",440 446,
SRF97C04,"A. Gössel, G. Grygiel, R. Lange, DESY, Hamburg; L. Lilje, Universität Hamburg, Hamburg; W. D. Möller, M. Pekeler, DESY, Hamburg","Vertical and Horizontal Cavity Test Results in Comparison with Performance in the TTF Linac",447 451,
SRF97C05,"A. Brinkmann, A. Gössel, W. D. Möller, M. Pekeler, D. Proch, DESY, Hamburg","Performance Degradation in Several TESLA 9-cell Cavities due to Weld Imperfections",452 456,
SRF97C06,"K. Zapfe-Düren, F. C. Herrmann, D. Hubert, P. Schmüser, DESY, Hamburg","A New Flange Design for the Superconducting Cavities for TESLA",457 462,
SRF97C07,"P. Kneisel, TJNAF, Newport News, Virginia; K. Saito, KEK, Ibaraki-Ken; R. Parodi, INFN Genova, Genova","Performance of 1300 MHz KEK-Type Single Cell Niobium Cavities",463 471,
SRF97C08,"M. Ono, E. Kako, S. Noguchi, K. Saito, T. Shishido, H. Inoue, T. Fujino, KEK, Ibaraki-Ken; H. Umezawa, K. Takeuchi, Tokyo Denkai Co. Ltd., Tokyo; T. Suzuki, T. Higuchi, Nomura Plating Co. Ltd., Tochigi-ken","Achievement of 40 MV/m Accelerating Field in L- Band SCC at KEK",472 484,
SRF97C09,"M. Matsuoka, K. Ohkubo, T. Yamanaka, MHI, Kobe; E. Kako, S. Noguchi, M. Ono, K. Saito, T. Shishido, KEK, Ibaraki-Ken","Development of the L-Band Superconducting Cavities at MHI",485 490,
SRF97C10,"E. Kako, KEK, Ibaraki-Ken; M. Bolore, Y. Boudigou, J. P. Charrier, B. Coadou, E. Jacques, M. Juillard, J. P. Poupeau, H. Safa, CEN-Saclay, Gif-sur-Yvette; S. Noguchi, M. Ono, K. Saito, T. Shishido, KEK, Ibaraki-Ken","Cavity Performances in the 1.3 GHz Saclay / KEK Nb Cavities",491 502,
SRF97C11,"H. Safa, CEN-Saclay, Gif-sur-Yvette","Statistical Analysis of the Quench Fields in SCRF Cavities",503 509,
SRF97C12,"A. Mosnier, SOLEIL, Gif-sur-Yvette; P. Bosland, P. Brédy, S. Chel, X. Hanus, M. Juillard, M. Maurier, F. Orsini, CEN-Saclay, Gif-sur-Yvette; D. Boussard, E. Chiaveri, CERN, Geneva; G. Périlhous, LURE, Orsay","General Layout of the Soleil SRF Unit",510 517,
SRF97C13,"J. Brawley, J. Mammosser, L. Phillips, TJNAF, Newport News, Virginia","Electron Beam Weld Parameter Set Development and Cavity Cost",518 522,
SRF97C14,"W. B. Haynes, B. Rusnak, K. C. Chan, F. Krawczyk, A. Shapiro, R. Bibeau, B. Gentzlinger, D. Montoya, LANL, Los Alamos; H. Safa, CEN-Saclay, Gif-sur-Yvette","Medium-Beta Superconducting Cavity Tests at Los Alamos National Lab for High-Current, Proton Accelerators",523 533,
SRF97C15,"K. Saito, S. Noguchi, H. Inoue, M. Ono, T. Shishido, Y. Yamazaki, KEK, Ibaraki-Ken; N. Ouchi, J. Kusano, M. Mizumoto, JAERI, Ibaraki-Ken; M. Matsuoka, MHI, Kobe","Development of 1.3 GHz Medium- Structure with High Gradient",534 539,
SRF97C16,"Y. Morita, K. Hosoyama, K. Hara, A. Kabe, Y. Kojima, H. Nakai, KEK, Ibaraki-Ken","RF Test of the 1/3 Scale Model Crab Cavity",540 546,
SRF97C17,"K. Hosoyama, K. Hara, A. Kabe, Y. Kojima, Y. Morita, H. Nakai, KEK, Ibaraki-ken; K. Ohkubo, H. Hattori, M. Inoue, MHI, Kobe","Fabrication of a Full Scale Crab Cavity for KEKB",547 552,
SRF97C18,"V. Palmieri, INFN/LNL, Legnaro, Padova","Seamless Cavities: the Most Creative Topic in RF Superconductivity",553 589,
