FRM101,"G.N. Kulipanov, V.P. Bolotin, N.A. Vinokurov, A.V. Davydov, D.A. Kayran, B.A. Knyazev, E.I. Kolobanov, V.V. Kubarev, A.N. Matveenko, L.E. Medvedev, S.V. Miginsky, L.A. Mironenko, A.D. Oreshkov, V.K. Ovchar, V.M. Popik, T.V. Salikova, S.S. Serednyakov, A.N. Skrinsky, O.A. Shevchenko, M.A. Scheglov (BINP)","Status of the Novosibirsk High Power Free Electron Laser",
FRM103,"Y.U. Jeong, S.H. Park, B.C. Lee, H.J. Cha  (KAERI), G.M. Kazakevitch (BINP)","Compact Terahertz Free-Electron Laser as a Users Facility",
FRM201,"P. Pearce (TERA Foundation), L. Shen (IHEP)","A Dual Klystron Solid-State Modulator for the TERA-LIBO 30 Medical Accelerator System",
FRM202,"J.S. Oh (KEK and PAL/POSTECH), W. Namkung (PAL/POSTECH), H. Matsumoto (KEK)","Lifetime Issue of a Thyratron for a Smart Modulator in the C-Band Linear Collider",
FRM203,"V.K. Bhatnagar, A.K. Jain (CAT)","Fabrication of Dipole Vacuum Chamber",
FRM303,"T. Shaftan, A. Doyuran, E.D. Johnson, S. Krinsky, H. Loos, J.B. Murphy, G. Rakowsky, J. Rose, B. Sheehy, J. Skaritka, X.J. Wang, Z. Wu, L.H. Yu (NSLS/BNL)","Seeded Harmonic Generation Schemes",
MOA101,"M.S. de Jong, L.O. Dallin, R.M. Silzer, X.-F. Shen (CLS)","Canadian Light Source Status",
MOA102,"J. Safranek, S. Allison, P. Bellomo, W.J. Corbett, M. Cornacchia, E. Guerra, R. Hettel, D. Keeley, N. Kurita, D. Martin, P. McIntosh, H. Morales, G. Portmann, F. Rafael, H. Rarback, J. Sebek, T. Straumann, A. Terebilo, J. Wachter, C. Wermelskirchen, M. Widmeyer, R. Yotam (SSRL), M. Yoon (PAL), J. Byrd, D. Robin, T. Scarvie, C. Steier (ALS), L. Nadolski (SOLEIL), H.P. Chang, C.C. Kuo, H.J. Tsai (NSRRC), S. Krinsky, B. Podobedov (NSLS/BNL), W. Decking (DESY), M. Boege (SLS), A. Ropert (ESRF), M. Boland, E. Tan (ASP), M. Fedurin, P. Jines (CAMD), K. Harkay, V. Sajaev (APS)","SPEAR3 Commissioning",
MOA201,"Z.Y. Guo, Y.D. Liu, Q. Qin, J.Q. Wang, J. Xing (IHEP)","The Studies of Electron Cloud Instability",
MOA202,"M. Takao, M. Masaki, S. Matsui, T. Ohshima, K. Soutome, S. Takano, H. Tanaka (SPring-8)","Progress toward Brightness Improvements at the SPring-8 Storage Ring",
MOM101,"Z.T. Zhao, H.J. Xu (SSRF)","Progress of the Shanghai Synchrotron Radiation Facility",
MOM102,"T. Shintake (RIKEN)","Status of SCSS Project",
MOM201,"D.J. Wang, C.K. Kuan, H.C. Ho, S.Y. Perng, J.R. Chen (NSRRC)","Mechanical Improvement in Beam Stability at NSRRC",
MOM202,"C.M. Chu, S. Cousineau, J. Galambos, T. Pelaia, A. Shishlo (ORNL), C.K. Allen, C. McChesney (LANL), D. Ottavio (BNL), W.-D. Klotz (ESRF), I. Krisnar, A. Zupanc (Cosylab)","SNS Application Programming Infrastructure and Physics Applications",
MOM301,"C. Zhang (IHEP)","Performance of the BEPC and Progress of the BEPCII",
MOM303,"Y.K. Ho, P.X. Wang, J. Pang, N. Cao, Q. Kong, Y.J. Xie, Z. Chen (Fudan Univ.)","Progress in Vacuum Laser Acceleration",
MOM401,"K. Zhao, S. Huang, S. Quan, Y. Ding, B. Zhang, X. Lu, L. Wang, L. Lin, J. Chen (Peking Univ.)","Progress of FEL Based on RF Superconducting Accelerator at Peking University",
MOM402,"S.H. Kim, D. Jeon, D. Stout, I. Campisi (SNS/ORNL), M. Doleans (NSCL/MSU)","Physics of the SNS SRF Cavity",
MOM403,"Y. Kang, S. Aleksandrov, D. Anderson, J. Ball, M. Cardinal, M. Champion, M. Clemmer, M. Crofford, T. Davidson, C. Deibele, M. Ferguson, R. Fuja, P. Gibson, B. Gross, P. Gurd, M. Hechler, D. Heidenreich, J. Hicks, G. Johnson, P. Ladd, H. Ma, M. McCarthy, R. McPherson, R. Morton, S. Murray, T. Owens, R. Peglow M. Piller, R. Savino, J. Schubert, M. Stockli, S. Vassioutchenko, R. Welton (ORNL)","Status of the SNS Linac RF Systems",
MOP10001,"Y.T. Oganessian, G.G. Gulbekyan, B.N. Gikal,  I.V. Kalagin, V.B. Kutner , S.L. Bogomolov, I.V. Kolesov, V.V. Bekhterev, A.I. Ivanenko, O.N. Borisov, I.A. Ivanenko (JINR)","Status Report of the U400 Cyclotron at the FLNR JINR",
MOP10002,"Y. Hu, C. Tang, H. Chen, D. Tong, Y. Lin (Tsinghua Univ.)","The Research of Electron RF Gun Based on X-Band DAW(Disk-and-Washer)  Accelerating Structure",
MOP10003,"X.M. Yu, Y.W. Chen, X.H. Wang, M.S. Liu (IHEP)","Operation Status of the Beijing Electron-Positron Collider",
MOP10004,"P. Bellomo, M. Berndt, A. de Lira, G. Leyh, J.J. Lipari (SLAC), F. Rafael, M. Widmeyer (SSRL)","SPEAR 3 DC Magnet Power Supplies - An Overview",
MOP10005,"C. Mallik, G. Pal, P.Y. Nabhiraj, S. Bhattacharya, G.S. Taki, S. Som, D.L. Bandyopadhyaya, S. Saha, K. Kundu, A.S. Banerjee, C.V.S. Rao, B. Mukhopadhyaya, D.P. Hazra, K.G. Biswas, S.K. Mitra, M. Dutta, P.S. Chakraborty, A. Polley, R.C. Yadav, S. Chattopadhyaya, B. Soor, S. Pattanayak, J.S. Prasad, S. Dasgupta, M. Das, S. Pal, S.K. Das, T.K. Dey, R. Dey, N.K. Mukhopadhyaya, R.K. Bhandari, B. Sinha (VECC)","Heavy Ion Acceleration Using 224 CM Cyclotron at Kolkata",
MOP10006,"J.S. Chai, D.H. An, H.S. Chang, B.H. Hong, S.S. Hong, I.S. Jung, J. Kang, J.H. Kim, Y.S. Kim, M.Y. Lee, J.Y. Suk, H.H. Shim, C.S. Park, T.K. Yang (KIRAMS)","Operation Experiences of MC50 Cyclotron, KIRAMS",
MOP10007,"H.S. Chang, D.H. An, J.S. Chai, B.H. Hong, S.S. Hong, M.G. Hur, W.T. Hwang, I.S. Jung, J. Kang, Y.S. Kim, J.H. Kim, S.W. Kim, M.Y. Lee, K.E. Lim, C.S. Park, H.H. Shim, W.Y. So, J.Y. Suk, T.K. Yang, Y.K. Yun (KIRAMS)","Negative Hydrogen Acceleration in the Cyclone-30 at KIRAMS",
MOP10008,"D. Kanjilal, C.P. Safvan, G.O. Rodrigues, P. Kumar, U.K. Rao, A. Mandal, A. Roy (NSC)","High Current Injector at Nuclear Science Centre",
