FRAP01,"F. Zimmermann, CERN, Geneva; A.V. Burov, Fermilab, Batavia, Illinois","SUMMARY OF WORKING GROUP A AND A+B+D JOINT SESSION",358 362,
FRAP02,"S.M. Cousineau, ORNL, Oak Ridge, Tennessee","Summary of Working Gropu B",363 364,
FRAP03,"N.V. Mokhov, Fermilab, Batavia, Illinois; K. Hasegawa, JAEA, Ibaraki-ken; S. Henderson, ORNL, Oak Ridge, Tennessee; R. Schmidt, CERN, Geneva; M. Tomizawa, KEK, Ibaraki; K. Wittenburg, DESY, Hamburg","Summary of Working Group C+G (Part I)",365 371,
FRAP04,"K. Hasegawa, JAEA/LINAC, Ibaraki-ken","Summary of Working Group C+G (Part II)",99 98,
FRAP05,"A.V. Fedotov, BNL, Upton, Long Island, New York; I.N. Meshkov, JINR, Dubna, Moscow Region; J. Wei, BNL, Upton, Long Island, New York","Summary of Working Group D",372 374,
FRAP06,"R. Garoby, CERN, Geneva; W.-T. Weng, BNL, Upton, Long Island, New York","Summary of Working Group E",99 98,
FRAP07,"S.R. Koscielniak, TRIUMF, Vancouver","Summary of Working Group F",375 378,
FRAP08,"J. Wei, BNL, Upton, Long Island, New York; I. Hofmann, GSI, Darmstadt; E.N. Shaposhnikova, F. Zimmermann, CERN, Geneva","Summary of General Working Group A+B+D with a Focus on Code Benchmarking",379 382,
MOAP01,"Y. Yamazaki, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken","Approach to a very high intensity beam at J-PARC",99 98,
MOAP02,"S. Henderson, ORNL, Oak Ridge, Tennessee","Recent Beam Commissioning Results from the Spallation Neutron Source",6 10,
MOAP03,"W.-T. Weng, BNL, Upton, Long Island, New York","Comparative Studies of Proton Accelerators for High Power Applications",11 15,
MOAP04,"Y. Mori, KURRI, Osaka","Recent progresses on FFAG accelerators",16 19,
MOBP01,"D.J.S. Findlay, CCLRC/RAL/ISIS, Chilton, Didcot, Oxon","ISIS Upgrades  A Status Report",20 23,
MOBP02,"P.J. Spiller, GSI, Darmstadt","FAIR at GSI",24 28,
MOBP03,"A.G. Ruggiero, BNL, Upton, Long Island, New York","Upgrade of BNL Accelerator Facility",29 33,
MOCP01,"A. Marchionni, Fermilab, Batavia, Illinois","Beam intensity upgrade at Fermilab",34 38,
MOCP02,"J. Wei, BNL, Upton, Long Island, New York; S.X. Fang, S. Fu, IHEP Beijing, Beijing","High-power accelerators in China: status and outlook",39 43,
MOCP03,"R. Schmidt, CERN, Geneva","Status of the LHC",44 48,
MOCP04,"F. Zimmermann, CERN, Geneva","LHC Upgrade Options and CARE-HHH Activities",49 53,
THAW01,"J.-L. Vay, LBNL, Berkeley, California; R.H. Cohen, A. Friedman, LLNL, Livermore, California; M.A. Furman, LBNL, Berkeley, California; D.P. Grote, M. Kireeff Covo, A.W. Molvik, LLNL, Livermore, California; P.A. Seidl, LBNL, Berkeley, California; P. Stoltz, S.A. Veitzer, Tech-X, Boulder, Colorado; J. Verboncoeur, UCB, Berkeley, California","New simulation capabilities of electron clouds in ion beams with large tune depression",279 282,
THAW02,"A.W. Molvik, LLNL, Livermore, California; F.M. Bieniosek, LBNL, Berkeley, California; R.H. Cohen, A. Friedman, M. Kireeff Covo, LLNL, Livermore, California; P.A. Seidl, J.-L. Vay, LBNL, Berkeley, California","New experimental measurements of electron clouds in ion beams with large tune depression*",288 292,
THAW03,"J.A. Holmes, S.M. Cousineau, V.V. Danilov, A.P. Shishlo, ORNL, Oak Ridge, Tennessee","RF Barrier Cavity Option for the SNS Ring Beam Power Upgrade",298 302,
THAW04,"R.J. Macek, A. A. Browman, D.H. Fitzgerald, R.C. McCrady, T. Spickermann, J. Zaugg, LANL, Los Alamos, New Mexico","Experimental Characterization of the 1st Pulse e-p Instability at the LANL PSR",311 313,
THAW05,"R.M. Zwaska, W. Chou, I. Kourbanis, A. Marchionni, V.D. Shiltsev, X. Zhang, Fermilab, Batavia, Illinois","Electron Cloud Investigations in the Fermilab Main Injector",99 98,
THAW06,"K. Ohmi, KEK, Ibaraki","Electron cloud effect in J-PARC",99 98,
THAW07,"A.V. Burov, Fermilab, Batavia, Illinois","Transverse electron-antiproton instability in the Recycler Ring",334 336,
THAY01,"K. Takayama, KEK, Ibaraki","Progress in induction synchrotrons",99 98,
THAY02,"K. Seiya, T. Berenc, B. Chase, W. Chou, J.E. Dey, P.W. Joireman, I. Kourbanis, J. Reid, D. Wildman, Fermilab, Batavia, Illinois","Progress in slip stacking and barrier-RF",293 297,
THAY03,"A.G. Ruggiero, BNL, Upton, Long Island, New York","Challenges for hadron (and leptons) nonscaling FFAGs",303 305,
THAY04,"J. Fuchs, University of Nevada, Reno, Reno, Nevada","Review of high-brightness proton and ion acceleration using pulsed lasers",319 323,
THAY05,"H. Qin, PPPL, Princeton, New Jersey","Progress in Accelerator Ramp;D for High Energy Density Physics and Warm Dense Matter Applications",99 98,
THAY06,"C. Muehle, GSI, Darmstadt","Fast-Pulsed Superconducting Magnets",324 328,
THAY07,"M.P. Kelly, ANL, Argonne, Illinois","SC Spoke Cavity",337 340,
THAZ01,"P.A. Schmelzbach, PSI, Villigen","Experience with high-power operation of the PSI proton accelerator facility",274 278,
THAZ02,"J. Galambos, ORNL, Oak Ridge, Tennessee","SNS Commissioning Strategies and Tuneup Algorithms",283 287,
THAZ03,"J.A. Uythoven, R. Schmidt, CERN, Geneva","Safe LHC Beam Commissioning",306 310,
THAZ04,"E.B. Holzer, CERN, Geneva","Commissioning and Operational Scenarios of the LHC Beam Loss Monitor System",314 318,
THAZ05,"C. Sibley, J. Galambos, ORNL, Oak Ridge, Tennessee","Beam Loss Management and Machine Protection in Beam Commissioning",99 98,
THAZ06,"T. Koseki, KEK, Ibaraki","Commissioning scenarios for the J-PARC accelerator complex",329 333,
THBW01,"G. Franchetti, I. Hofmann, GSI, Darmstadt; S. Machida, CCLRC/RAL/ASTeC, Chilton, Didcot, Oxon","Code benchmarking on induce space charge particle trapping",344 346,
THBW02,"F. Zimmermann, CERN, Geneva","Electron-Cloud Benchmarking amp; CARE-HHH Codes",350 352,
THBY01,"A. Kondrashev, ITEP, Moscow; R.A. Jameson, RIKEN, Saitama; T. Kanesue, Kyushu University, Fukuoka; H. Kashiwagi, JAEA/ARTC, Gunma-ken; M. Okamura, RIKEN, Saitama; K. Sakakibara, RLNR, Tokyo; J. Tamura, TIT, Yokohama","Acceleration of Intense Beams of Highly-Charged Ions using Direct Plasma Injection Scheme",341 343,
THBY02,"I. Yamane, KEK, Ibaraki","Present status of POP experiment of lasaer stripping at BNL",99 98,
THBZ01,"S. Redaelli, R.W. Assmann, C.B. Bracco, M. Jonker, G. Robert-Demolaize, Th. Weiler, CERN, Geneva","Commissioning of the LHC collimation system",99 98,
THBZ02,"M. Ikegami, KEK, Ibaraki; Y. Kondo, JAEA, Ibaraki-ken; S. Lee, KEK, Ibaraki; T. Ohkawa, JAEA, Ibaraki-ken; A. Ueno, JAEA/LINAC, Ibaraki-ken","Commissioning strategies for J-PARC linac and L3BT",347 349,
THBZ03,"R.M. Zwaska, Fermilab, Batavia, Illinois","Commissioning of the Fermilab NuMI Neutrino Beam",99 98,
THBZ04,"E. Fagotti, l. Boscagli, INFN/LNL, Legnaro, Padova; L. Celona, G. Ciavola, INFN/LNS, Catania; M. Comunian, A. Galatà, INFN/LNL, Legnaro, Padova; S. Gammino, INFN/LNS, Catania; M. Lollo, S. Marigo, A. Palmieri, A. Pisent, INFN/LNL, Legnaro, Padova","Installation and first beam of SPES source at INFN-LNL",99 98,
THBZ05,"D.-O. Jeon, ORNL, Oak Ridge, Tennessee","The SNS linac commissioning  comparison of measurement and model*",353 355,
THCX02,"A.G. Ruggiero, BNL, Upton, Long Island, New York","Cost Comparison of Linear and Circular Accelerators",356 357,
TUAX01,"V.V. Danilov, A.V. Aleksandrov, S. Assadi, W. Blokland, S.M. Cousineau, C. Deibele, S. Henderson, J.A. Holmes, M.A. Plum, A.P. Shishlo, ORNL, Oak Ridge, Tennessee","Accumulation of High Intensity Beam and First Observations of Instabilities in the SNS Accumulator Ring*",59 63,
TUAX02,"V.A. Lebedev, W. Pellico, X. Yang, Fermilab, Batavia, Illinois","Coherent Instabilities at the Fermilab Booster",69 73,
TUAX03,"E. Benedetto, CERN, Geneva; G. Franchetti, GSI, Darmstadt; K. Ohmi, KEK, Ibaraki; F. Zimmermann, CERN, Geneva","Beam loss, emittance growth and halo formation due to the pinched electron cloud",84 88,
TUAX04,"R.J. Macek, LANL, Los Alamos, New Mexico; S. Assadi, ORNL, Oak Ridge, Tennessee; J.M. Byrd, LBNL, Berkeley, California; C. Deibele, S. Henderson, ORNL, Oak Ridge, Tennessee; R.C. McCrady, LANL, Los Alamos, New Mexico; M.T.F. Pivi, SLAC, Menlo Park, California; M.A. Plum, ORNL, Oak Ridge, Tennessee; S.B. Walbridge, J. Zaugg, LANL, Los Alamos, New Mexico","Test of a prototype active damping system for the e-p instability at the LANL PSR",94 98,
TUAX05,"M.A. Furman, LBNL, Berkeley, California","Studies of e-cloud build up for the FNAL main injector and for the LHC",102 106,
TUAX06,"J. Wei, M. Bai, M. Blaskiewicz, P. Cameron, R. Connolly, A. Della Penna, W. Fischer, H.-C. Hseuh, H. Huang, BNL, Upton, Long Island, New York; U. Iriso, CELLS, Bellaterra (Cerdanyola del Vallès); R.C. Lee, R.J. Michnoff, V. Ptitsyn, T. Roser, T. Satogata, S. Tepikian, BNL, Upton, Long Island, New York; L. Wang, SLAC, Menlo Park, California; S.Y. Zhang, BNL, Upton, Long Island, New York","Electron cloud and single-bunch instabilities in the Relativistic Heavy Ion Collider",117 121,
TUAY01,"W. Chou, Fermilab, Batavia, Illinois","Overview of proton driver studies for neutrino and muon factories",64 68,
TUAY02,"A.M. Lombardi, CERN, Geneva; M.A. Baylac, LPSC, Grenoble; G. Bellodi, CERN, Geneva; R. Duperrier, CEA, Gif-sur-Yvette; J.-B. Lallement, S. Lanzone, E.Zh. Sargsyan, CERN, Geneva; D. Uriot, CEA, Gif-sur-Yvette","End-to-end beam dynamics for CERN Linac4",79 83,
TUAY03,"P.N. Ostroumov, J.A. Nolen, K.W. Shepard, ANL, Argonne, Illinois","Design of the Driver Linac for the Rare Isotope Accelerator",89 93,
TUAY04,"J.-H. Jang, Y.-S. Cho, K.Y. Kim, Y.-H. Kim, H.-J. Kwon, KAERI, Daejon","Beam Dynamics Design of the PEFP 100 MeV Linac",99 101,
TUAY05,"R. Duperrier, D. Uriot, CEA, Gif-sur-Yvette","Application of the extreme value theory to estimate beam loss in an ion linac, using large scale Monte Carlo simulations",107 111,
TUAY06,"M.S. Champion, ORNL, Oak Ridge, Tennessee","Stability Issues in Superconducting Radio-Frequency Linear Accelerators",99 98,
TUAZ01,"K. Wittenburg, DESY, Hamburg","Overview of recent halo diagnosis and non-destructive beam profile monitoring",54 58,
TUAZ02,"N.V. Mokhov, Fermilab, Batavia, Illinois","High-Intensity Beam Collimation and Targetry",74 78,
TUAZ03,"S. Redaelli, CERN, Geneva","The LHC beam collimation",99 98,
TUAZ04,"B. Goddard, CERN, Geneva","Safe disposal of the LHC beams by extraction onto the beam dumping blocks",99 98,
TUAZ05,"T. Spickermann, M.J. Borden, LANL, Los Alamos, New Mexico; C.S. Feigerle, University of Tennessee, Knoxville, Tennessee; R.J. Macek, LANL, Los Alamos, New Mexico; R.W. Shaw, ORNL, Oak Ridge, Tennessee; I. Sugai, KEK, Ibaraki","Comparison of Graphite and Diamond Structured Carbon Stripper Foils under Operational Conditions at the Los Alamos PSR",112 116,
TUAZ06,"I. Sugai, Y. Arakida, Z. Igarashi, K.I. Ikegami, Y. Irie, H. Kawakami, M. Oyaizu, A. Takagi, Y. Takeda, KEK, Ibaraki","Development of hybrid typoe carbon stripper foils with high durability against 1800K for RCS of J-PARC",122 124,
TUBX01,"Y.H. Chin, S. Lee, KEK, Ibaraki; Y. Shobuda, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; K. Takata, T. Toyama, KEK, Ibaraki; H. Tsutsui, SHI, Tokyo","Impedance and radiation generated by a ceramic chamber with RF shields and TiN coating",125 127,
TUBX02,"V. Kornilov, O. Boine-Frankenheim, I. Hofmann, GSI, Darmstadt","Collective Transverse Instabilities in the GSI Synchrotrons",131 133,
TUBX03,"T. Toyama, Y. Hashimoto, KEK, Ibaraki; J. Kamiya, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken; E. Nakamura, Y. Shirakabe, KEK, Ibaraki; Y. Shobuda, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken","Coupling impedance of the J-PARC kicker magnets",140 142,
TUBX05,"E.N. Shaposhnikova, CERN, Geneva","Cures for beam instabilities in the CERN SPS and their limitations",153 155,
TUBX06,"F. Zimmermann, CERN, Geneva","Betatron Tune Shift due to Nonlinear Resistive-Wall Wake Field",159 161,
