cyc69a01,"J. A. Martin, ORNL, Oak Ridge","Innovations in Isochronous Cyclotrons",
CYC69A02,"F. O. Purser, H. W. Newson, N. R. Roberson, E. G. Bilpuch, R. L. Walter, TUNL, Durham","The Cyclo-Graaff, Concept and Practice",
cyc69a03,"M. E. Rickey, M. B. Sampson, B. M. Bardin, Indiana University, Bloomington","The Indiana University 200 MeV Cyclotron Project",
cyc69a04,"T. K. Khoe, J. J. Livingood, W. J. Ramler, ANL, Argonne","Proposed Midwest Tandem Cyclotron (MTC)",
cyc69a05,"S. W. Mosko, J. A. Martin, E. D. Hudson, L. N. Howell, M. L. Mallory, ORNL, Oak Ridge","A Heavy-ion Accelerator Facility Featuring a Separated-Sector Isochronous Cyclotron",
cyc69a06,"H. G. Blosser, M. M. Gordon, D. A. Johnson, MSU, East Lansing, Michigan","Proposed Michigan State University Trans-uranic Accelerator Facility",
cyc69a07,"H. A. Willax, SIN, Zürich","Status Report on SIN",
cyc69a08,"J. B. Warren, TRIUMF, Vancouver","The TRIUMF Project",
cyc69a09,"M. K. Craddock, J. R. Richardson, TRIUMF, Vancouver","Beam Quality and Expected Energy Resolution from the TRIUMF Cyclotron",
cyc69a10,"R. Smythe, University of Colorado, Boulder, Colorado","A Fractional Turn Injector Cyclotron",
cyc69a11,"R. E. Berg, University of Maryland, College Park, Maryland","Beam Transport System Optics Studies for the University of Maryland Cyclotron",
cyc69a12,"K. L. Erdman, A. Prochazka, TRIUMF, Vancouver; O. K. Fredriksson, R. Thomas, William M. Brobeck  Associates, Berkeley, California; W. A. Grundman, Dilworth, Secord, Meagher  Associates Ltd, Vancouver","A 'Square Wave' RF System Design for the TRIUMF Cyclotron",
cyc69a13,"E. G. Auld, S. Oraas, A. J. Otter, G. H. Mackenzie, J. R. Richardson, J. J. Burgerjon, TRIUMF, Vancouver","Design of the 4000 ton Magnet for the TRIUMF Cyclotron",
cyc69a14,"R. E. Pollock, Princeton University, Princeton","Design Features of the Princeton A. V.F. Cyclotron Facility",
cyc69a15,"P. Macq, Catholic University of Louvain, Héverlé-Louvain; P. Delphin, A. Dupuis, P. Peironet, Thomson-CSF, Orsay","The UCL Isochronous Cyclotron Conceptual Design and Status Report",
cyc69a16,"S. W. Mosko, ORNL, Oak Ridge","RF System for a Proposed Heavy Ion Cyclotron",
cyc69a17,"L. W. Put, University of Groningen, Groningen","The External Beam Handling System for the A. V.F. Cyclotron of the University of Groningen",
cyc69a18,"J. Fermé, F. Ripouteau, J. L. Belmont, G. Laborie, G. Goin, Institut des Sciences Nucléaires, Grenoble","Grenoble Cycloton Progress Report",
cyc69b01,"R. A. de Forest, MSU, East Lansing, Michigan","The Cyclotron and the Computer: A Look at the Present and the Future",
cyc69b02,"Yu. N. Denisov, A. N. Lyubenko, P. T. Shishlyanikov, JINR, Dubna, Moscow","The Control System of the Dubna Monoenergy Cyclotron",
cyc69c01,"W. Joho, SIN, Zürich","Extraction from Medium and High Energy Cyclotrons",
cyc69c02,"E. D. Hudson, F. E. McDaniel, ORNL, Tennesse","A Magnetically Self-shaping Septum for Beam Deflection",
cyc69c03,"P. Wucherer, H. Thimmel, AEG Telefunken, Frankfurt","Results of Beam Extraction at the Jülich 90 MeV Deuteron AEG Isochronous Cyclotron",
cyc69c04,"E. J. Jones, K. J. Howard, AERE, Harwell","Extraction Performance of the Harwell Variable Energy Cyclotron",
cyc69c05,"S. W. Oh, W. B. Powell, University of Birmingham, Birmingham","A Magnetic Regenerator",
cyc69c06,"J. M. Van Nieuwland, Philips Research Laboratories, Geldrop, Eindhoven","First and Second Harmonic Extraction",
cyc69c07,"K. Ziegler, E. Martin, R. Cohen, Columbia University, New York","Design Studies for an Ultra-thin Septum Extraction Channel for the Modified NEVIS Synchrocyclotron",
cyc69c08,"H. Liesem, AEG Telefunken, Frankfurt","Resonance Free or Precessional Extraction - A Comparison",
cyc69c09,"S. Lindbäck, CERN, Geneva","A Study of the Regenerative Extraction System in the CERN Synchrocyclotron",
cyc69c10,"L. P. Robertson, E. G. Auld, G. H. Mackenzie, A. J. Otter, TRIUMF, British Columbia","Extraction of Multiple Beams of Various Energies from the TRIUMF Negative Ion Isochronous Cyclotron",
cyc69c11,"G. Burton, MRC Cyclotron Unit, London","Cyclotron Beam Sharing for Multiple Target Irradiations",
cyc69d01,"H. G. Blosser, MSU, East Lansing, Michigan","Optimisation of the Cyclotron Central Region for the Nuclear Physics User",
cyc69d02,"H. L. Hagedoorn, Technological University, Eidenhoven; N. Hazewindus, J. M. Van Nieuwland, Philips Research Laboratories, Geldrop","Some Factors Determining the Beam Quality of A. V.F. Cyclotrons",
cyc69d03,"M. P. Reiser, University of Maryland, College Park, Maryland","The Effects of Central-region Conditions on Time Structure and Quality of Cyclotron Beams",
cyc69d04,"M. M. Gordon, MSU, East Lansing, Michigan","The Longitudinal Space Charge Effect and Energy Resolution",
cyc69d05,"K. J. Howard, E. J. Jones, AERE, Harwell","Harmonic Operation of the Harwell Variable Energy Cyclotron",
cyc69d06,"W. P. Johnson, University of Maryland, Maryland; H. G. Blosser, P. Sigg, MSU, East Lansing, Michigan","Cyclotron Beam Pulser for Particle Time-of-flight Experiments",
cyc69d07,"K. V. Ettinger, J. F.B. Dealler, F. R. Stewart, University of Birmingham, Birmingham","Phase-space Volume Measurements on the Nuffield 60in Cyclotron",
cyc69d08,"N. I. Venikov, Kurchatov Atomic Energy Institute, Moscow; Yu. G. Basargin, V. I. Bogdanova, Yu. P. Severgin, Efremov Research Institute, Leningrad; K. N. Korol, N. N. Poselsky, Kurchatov Atomic Energy Institute, Moscow","The External Beam Mono-chromatisation System in the 2.4m Isochronous Cyclotron at the Kurchatov Atomic Energy Institute",
cyc69d09,"W. Kuhlmann, J. Bojowald, C. Mayer-Böricke, J. Reich, Institut für Kernphysik, Jülich","Emittance Measurements at the Jülich Isochronous Cyclotron (JULIC)",
cyc69d10,"B. T. Wright, UCLA, California","Proposed Use of a Storage Ring to Improve the Microscopic Duty Factor of a Cyclotron",
cyc69d11,"R. N. Litunovsky, Yu. G. Basargin, O. A. Minyaev, Efremov Research Institute, Leningrad","On the Production of Monochromatic Beams Using Cyclotron Acceleration",
cyc69d12,"V. P. Dmitrievsky, V. V. Kolga, N. I. Polumordvinova, JINR, Dubna, Moscow","Peculiarities of Charged Particle Motion in the Monoenergetic Cyclotron",
cyc69d13,"A. A. Kolomensky, Lebedev Physical Institute, Moscow; I. Ya. Barit, Lebedev Physical Institute and Efremov Institute, ; G. A. Vasilyev, Efremov Research Institute, Leningrad; V. N. Kanunnikov, L. N. Katsaurov, E. M. Moroz, L. N. Netchaeva, A. P. Fataev, Lebedev Physical Institute and Efremov Institute, ; Yu. K. Khokhlov, Lebedev Physical Institute, Moscow; I. V. Shtranikh, Lebedev Physical Institute and Efremov Institute, ; Yu. G. Basargin, Efremov Research Institute, Leningrad; O. A. Gusev, R. N. Litunovsky, I. F. Malishev, O. A. Minyaev, M. P. Svinyin, Lebedev Physical Institute and Efremov Institute,","Spectometric Isochronous Cyclotron",
cyc69d14,"E. Kashy, G. F. Trentelman, R. K. Jolly, MSU, East Lansing, Michigan","High Resolution Nuclear Studies Using Cyclotron Beams",
cyc69d15,"G. Dutto, E. Acerbi, INFN, Milan; C. Birattari, M. Castiglioni, G. Fait, University of Milan, Milan; G. Strini, C. Succi, INFN, Milan","Operational Experience with the H- Beam of the Milan Cyclotron",
cyc69d16,"J. K. Bird, R. E. Berg, University of Maryland, College Park, Maryland","Multi-Channel Non-Intercepting Phase Probe for the University of Maryland Cyclotron",
cyc69d17,"K. V. Ettinger, F. R. Stewart, University of Birmingham, Birmingham","A Non-intercepting Cyclotron Beam Monitor",
cyc69d18,"A. A. Glazov, V. A. Kochkin, D. L. Novikov, L. M. Onischenko, JINR, Dubna, Moscow","The RF System of the Monoenergetic Cyclotron",
cyc69d19,"S. B. Vorozhtsov, B. I. Zamolodchikov, N. L. Zaplatin, JINR, Dubna, Moscow","The Magnetic System of the Monoenergetic Cyclotron",
cyc69e01,"R. S. Livingston, ORNL, Oak Ridge","A Survey of Methods of Accelerating Heavy Ions",
cyc69e02,"R. W. Müller, AEG Research, Frankfurt; O. Böttger, AEG Telefunken, Frankfurt","Acceleration of Very Heavy Ions By Means of a Two-cyclotron Facility",
cyc69e03,"R. S. Lord, B. L. Duelli, E. D. Hudson, M. L. Mallory, E. Newman, M. J. Saltmarsh, W. R. Smith, S. S. Stevens, A. Zucker, ORNL, Oak Ridge","Heavy Ion Acceleration at ORIC",
cyc69e04,"K. D. Jenkins, University of Maryland, College Park, Maryland","On the Generation and Injection of Heavy-ions into Cyclotrons",
cyc69e05,"J. R.J. Bennett, Rutherford High Energy Laboratory, Didcot","Ion sources for Multiply Charged Heavy Ions",
