a-01,"K. Ziegler, HMI, Berlin, Germany","Invited Paper: Running in of VICKSI and First Operating Experience",1872 1878,
a-02,"Yu.G. Basargin, V.A. Belyakov, A.S. Fedorov, V.A. Glukhikh, O.A. Gusev, L.E. Korolev, R.N. Litunovsky, I.F. Malishev, O.A. Minyaev, A.V. Stepanov, D.V. Efremov Scientific Research Institute of Electrophysical Apparatus, Leningrad, USSR; A.F. Linev, A.I. Malofeev, O.F. Nemets, K.J. Ol'khovsky, V.A. Pashin, Nuclear Research Institute of the Ukrainian Academy of Sciences, Kiev, USSR","Invited Paper: Status of the Kiev 240-cm Cyclotron Facility",1879 1881,
A-03,"A.S. Divatia, Bhabha Atomic Research Centre, Calcutta, India","Invited Paper: Operation of the Variable Energy Cyclotron at Calcutta",1882 1888,
a-04,"J. Fermé, GANIL, Caen, France","Invited Paper: Status Report on GANIL",1889 1895,
a-05,"A.H. Botha, National Accelerator Centre, Faure, Republic of South Africa","Invited Paper: The Status of the South African National Accelerator Centre",1896 1903,
a-06,"M. Kondo, Osaka University, Osaka, Japan","Invited Paper: Recent Developments at the Osaka RCNP 230-cm Cyclotron and a Proposal for a New Ring Accelerator",1904 1911,
a-07,"O.K. Anisimov, A.A. Arzumanov, V.N. Batischev, V.I. Gerasimov, M.S. Gorkovets, V.G. Kruglov, B.A. Volkov, A.M. Voronin, Kazakhstan Academy of Sciences, Alma-Ata, USSR","Status of Cyclotron Facility in Alma-Ata",1912 1914,
a-08,"J.L. Belmont, M. Lieuvin, J.M. Loiseaux, Institut des Sciences Nucléaires, Grenoble, France","Status of the Separated Sector Booster at Grenoble",1915 1918,
a-09,"A. Laisné, P. Debray, S.C. Conversion Staff, IPN, Orsay, France","The Orsay 200 MeV Synchrocyclotron",1919 1922,
a-10,"L. Bimbot, IPN, Orsay, France","First Studies of the External Beam from the Orsay S.C. 200 MeV",1923 1926,
a-11,"G. Goin, CNRS, Orléans, France","Status Report on the C.N.R.S. Orleans' Cyclotron",1927 1929,
a-12,"S. Morita, M. Fujioka, H. Orihara, Tohoku University, Sendai, Japan; J. Abe, K. Fujii, M. Maruyama, T. Mita, T. Takayama, S. Tazawa, M. Yamamoto, C. Yoshimura, Sumitomo Heavy Industries, Ltd., Niihama, Japan","The Tohoku University 680 Model Cyclotron and Facility",1930 1933,
a-13,"F.J. Mumford, P.G. Blaine, H.N. Jungwirth, National Accelerator Centre, Stellenbosch, Republic of South Africa","Design of a Vacuum Chamber for the Magnets of a Separated Sector Cyclotron",1934 1937,
a-14,"J.M. Baze, P. Bernard, M. Feldmann, C. Lecoeur, GANIL, Caen, France","The Vacuum Chamber of the GANIL SSC",1938 1939,
a-15,"D. Bibet, A. Dael, M. Ohayon, GANIL, Caen, France","The GANIL Magnet",1940 1943,
a-16,"P. Attal, E. Baron, C. Bieth, M.P. Bourgarel, GANIL, Caen, France; R. Gayraud, IPN, Orsay, France; C. Pagani, University of Milan  INFN Milan, Milan, Italy","The GANIL Injector Design",1944 1947,
b-01,"W. Joho, SIN, Villigen, Switzerland","Invited Paper: Recent and Future Developments at S.I.N.",1950 1957,
b-02,"K.L. Erdman, TRIUMF, Vancouver, B.C., Canada","Invited Paper: Recent Developments at TRIUMF",1958 1964,
b-03,"R.E. Pollock, Indiana University, Bloomington, Indiana, USA","Invited Paper: IUCF Status Report",1965 1969,
b-04,"D.W. Storm, Columbia University, Irvington, New York, USA","Invited Paper: A Survey of Synchrocyclotron Projects",1970 1975,
b-05,"J. Anderson, R. Batten, J. Bruckshaw, M. de Jong, M.I. Gusdal, G. Knote, F. Konopasek, A. McIlwain, J.S.C. McKee, S. Oh, R. Pogson, University of Manitoba, Winnipeg, Canada","Status Report on the University of Manitoba Cyclotron",1976 1978,
b-06,"B.W. Allardyce, A. Fiebig, G. Le Dallic, J.H.B. Madsen, P.H. Standley, CERN, Geneva, Switzerland","Status Report on CERN SC",1979 1983,
b-07,"K. Sato, M. Fujita, Y. Hirao, T. Honma, Y. Ohshiro, Y. Sakurada, M. Sekiguchi, T. Tanabe, N. Yamazaki, T. Yamazaki, University of Tokyo, Tokyo, Japan","Status of the INS 176 cm Sector Focusing Cyclotron",1984 1987,
b-08,"H. Ogawa, T. Hiramoto, Y. Kumamoto, Y. Sato, T. Yamada, NIRS, Chiba, Japan","Status Report on the NIRS-CHIBA Isochronous Cyclotron Facility",1988 1991,
b-09,"O.C. Dermois, A.G. Drentje, H.W. Schreuder, KVI, Groningen, The Netherlands","Status Report on the K.V.I. Cyclotron",1992 1995,
b-10,"N. Venikov, N. Chumakov, E. Hodakov, L. Judin, Ju. Jupinov, S. Latushkin, V. Rezvov, V. Unezhev, Kurchatov Institute of Atomic Energy, Moscow, USSR","Heavy Ion Acceleration in the Kurchatov Institute Cyclotron",1996 1999,
b-11,"T. Wada, J. Fujita, H. Kamitsubo, I. Kohno, N. Kumagai, S. Motonaga, H. Nakajima, N. Nakanishi, T. Nomura, K. Ogiwara, H. Takebe, F. Yoshida, RIKEN, Saitama, Japan","The Injection in IPCR Separated Sector Cyclotron",2000 2003,
b-12,"G. Bavaria, J.E. Crawford, R.B. Moore, McGill University, Montreal, Canada","McGill Synchrocyclotron Improvements",2004 2006,
b-13,"J. Reich, R. Brings, J. Linz, P. Wucherer, KFA, Jülich, Germany","Beam Quality Improvement at JULIC",2007 2011,
b-14,"S. Holm, P.-U. Renberg, University of Uppsala, Uppsala, Sweden","Magnetic Field Design for a Combined Fixed Frequency and Frequency Modulated Cyclotron",2012 2015,
b-15,"V. Bechtold, L. Friedrich, L. Wiss, FZK, Karlsruhe, Germany","Design of the New Trim Coils at the Karlsruhe Isochronous Cyclotron",2016 2019,
b-16,"D.E. Lobb, TRIUMF, Vancouver, B.C., Canada","An Axi-Symmetric High Flux Muon Channel",2020 2023,
b-17,"A.A. Vasilyev, Yu.N. Denisov, V.P. Dmitrievsky, V.P. Dzhelepov, A.A. Glazov, V.V. Kolga, N.B. Rubin, N.L. Zaplatin, JINR, Dubna, USSR","A Cyclotron Complex for Accelerating Multicharged Ions up to Relativistic Energies",2024 2029,
b-18,"P.V. Bogdanov, M.S. Davydov, A.N. Galayev, A.V. Gal'chuk, E.B. Krymov, I.F. Malyshev, V.G. Mudrolyubov, G.M. Pavlov, A.V. Stepanov, Yu.I. Stogov, D.V. Efremov Scientific Research Institute of Electrophysical Apparatus, Leningrad, USSR","103 and 60 cm Compact Cyclotron Engineering",2030 2032,
c-01,"J.H. Ormrod, C.B. Bigham, K.C. Chan, E.A. Heighway, C.R. Hoffmann, J.A. Hulbert, H.R. Schneider, Q.A. Walker, Atomic Energy of Canada, Chalk River, Ontario, Canada","Invited Paper: The Chalk River Superconducting Cyclotron",2034 2039,
c-02,"H.G. Blosser, NSCL, East Lansing, Michigan, USA","Invited Paper: The Michigan State University Superconducting Cyclotron Program",2040 2047,
c-03,"E. Acerbi, G. Bellomo, M. Castiglioni, C. de Martinis, E.M. Fabrici, C. Pagani, F. Resmini, University of Milan  INFN Milan, Milan, Italy","Invited Paper: Model Studies for the Superconducting Cyclotron Project in Milan",2048 2054,
c-04,"J.B. Ball, E.D. Hudson, R.S. Lord, J.A. Martin, G.S. McNeilly, S.W. Mosko, ORNL, Oak Ridge, Tennessee, USA","Invited Paper: Status of the Holifield Heavy Ion Research Facility Phase II Booster",2055 2060,
c-05,"G.U. Behrsing, D.J. Clark, E.H. Hoyer, C.W. Leemann, F. Voelker, R.B. Yourd, LBL, Berkeley, California, USA","Cyclotron Design Studies for a Medical Ion Accelerator",2061 2064,
c-06,"M.K. Craddock, C.J. Kost, J.R. Richardson, TRIUMF, Vancouver, B.C., Canada","A Ring Cyclotron Kaon Factory",2065 2069,
c-07,"H. Kamitsubo, J. Fujita, I. Kohno, N. Kumagai, S. Motonaga, H. Nakajima, N. Nakanishi, T. Nomura, K. Ogiwara, H. Takebe, T. Wada, F. Yoshida, RIKEN, Saitama, Japan","A Proposed Multi-Purpose Separated-Sector Cyclotron at IPCR",2070 2073,
c-08,"I. Miura, K. Hosono, M. Inoue, T. Itahashi, M. Kondo, T. Saito, A. Shimizu, S. Yamabe, T. Yamazaki, Osaka University, Osaka, Japan","Proposal for a New Ring Accelerator",2074 2077,
c-09,"F. Resmini, G. Bellomo, H.G. Blosser, E.M. Fabrici, D. Johnson, NSCL, East Lansing, Michigan, USA","Design Characteristics of the K=800 Superconducting Cyclotron at M.S.U.",2078 2085,
c-10,"W.G. Davies, A.R. Rutledge, Atomic Energy of Canada, Chalk River, Ontario, Canada","Design of the Injection System for the Chalk River Superconducting Cyclotron Project",2086 2089,
c-11,"G. Bellomo, E.M. Fabrici, F. Resmini, NSCL, East Lansing, Michigan, USA","Injection Studies for the K=800 Superconducting Cyclotron at M.S.U.",2090 2094,
c-12,"G. Bellomo, F. Resmini, NSCL, East Lansing, Michigan, USA","A Method for Minimizing Trim Coil Power Requirements in Superconducting Cyclotrons",2095 2100,
c-13,"M.M. Gordon, E.M. Fabrici, NSCL, East Lansing, Michigan, USA","Beam Extraction System for the K=500 Superconducting Cyclotron",2101 2106,
c-14,"E. Liukkonen, University of Jyväskylä, Jyväskylä, Finland; T. Antaya, J. Bishop, S. Motzny, NSCL, East Lansing, Michigan, USA","Design of the Central Regions for the MSU 500 MeV Superconducting Cyclotron",2107 2110,
c-15,"P.S. Miller, H.G. Blosser, D. Gossman, B. Jeltema, D. Johnson, P. Marchand, NSCL, East Lansing, Michigan, USA","Magnetic Field Measurements in the MSU MeV Superconducting Cyclotron",2111 2113,
c-16,"E. Acerbi, G. Bellomo, C. Birattari, M. Castiglioni, C. de Martinis, E.M. Fabrici, L. Grillo, F. Resmini, A. Salomone, University of Milan  INFN Milan, Milan, Italy","Field Measurements on the Milan Superconducting Model Magnet",2114 2117,
d-01,"R. Geller, CEN-Grenoble, Grenoble, France","Invited Paper: Electron Cyclotron Resonance (E.C.R.) Multiply Charged Ion Sources",2120 2127,
d-02,"C. Benvenuti, CERN, Geneva, Switzerland","Invited Paper: Cryopumping for Cyclotrons",2128 2132,
d-03,"J. Riedel, NSCL, East Lansing, Michigan, USA","Invited Paper: R.F. Systems",2133 2137,
d-04,"M.L. Mallory, NSCL, East Lansing, Michigan, USA","Operating Experience With the Michigan State University Superconducting Cyclotron Cryogenic System",2138 2141,
d-05,"C.B. Bigham, Atomic Energy of Canada, Chalk River, Ontario, Canada","The Chalk River Superconducting Heavy-Ion Cyclotron RF Structure",2142 2145,
d-06,"S. Adam, J. Cherix, W. Joho, M. Olivo, SIN, Villigen, Switzerland","Determination of Effective Acceleration Voltages in Cyclotrons Using the Phase Compression - Phase Expansion Effect",2146 2150,
d-07,"A. Roy, R.H. Davis, Florida State University, Tallahassee, Florida, USA","Proton Beam Heavy Ion Source",2151 2155,
d-08,"M. Agena, K. Euler, B. Franczak, F. Hinterberger, H.D. Rosendaal, H.U. Schmidt, University of Bonn, Bonn, Germany","External Ion Sources and Injection Lines at the Bonn Isochronous Cyclotron",2156 2159,
d-09,"Y. Jongen, C. Pirart, G. Ryckewaert, J. Steyaert, Université Catholique de Louvain, Louvain-la-Neuve, Belgium","An Electron Cyclotron Resonance Source for CYCLONE",2160 2163,
d-10,"R.A. Gough, D.J. Clark, L.R. Glasgow, LBL, Berkeley, California, USA","Recent Developments in High Charge State Heavy Ion Beams at the LBL 88-Inch Cyclotron",2164 2166,
d-11,"R.A. Kenefick, Texas AM University, College Station, Texas, USA","Report on EBIS Development at Texas AM",2167 2170,
d-12,"W. Diamond, R.C. Cohen, D.W. Storm, Columbia University, Irvington, New York, USA","A Pulsed Synchrocyclotron Ion Source Using a Single Cold Cathode",2171 2174,
d-13,"Y. Sakurada, S.M. Bielamowicz, G.D. DeHaven, R.L. Haisler, H.W. Peeler, W.J. Walterscheid, Texas AM University, College Station, Texas, USA","Heavy-Ion Source for the Texas AM 88-Inch Cyclotron",2175 2178,
d-14,"D. Elo, D.J. Clark, R.A. Gough, D. Morris, LBL, Berkeley, California, USA","Cryogenic Vacuum Pumping at the LBL 88-Inch Cyclotron",2179 2181,
d-15,"C. Pagani, G. Varisco, University of Milan  INFN Milan, Milan, Italy","Model Study of the RF Cavity for the Milan Superconducting Cyclotron",2182 2185,
d-16,"B. Bischof, SIN, Villigen , Switzerland","The RF System of the Flattop-Acceleration Structure in the SIN 590-MeV Ring Cyclotron",2186 2189,
d-17,"M. Märki, R. Häussler, P. Lanz, H.P. Leber, N. Schmid, U. Schryber, SIN, Villigen , Switzerland","Generation of a High Voltage Trapezoidal Wave Form for a us-Pulsed Beam System at S.I.N.",2190 2193,
d-18,"N. Schmid, SIN, Villigen , Switzerland","Design of a Fixed Frequency Delta Resonator with Positive Gradient Radial Voltage Distribution",2194 2197,
d-19,"I. Miura, T. Saito, A. Shimizu, Osaka University, Osaka, Japan","RF System for the RCNP Cyclotron",2198 2201,
d-20,"W. Pelzer, HMI, Berlin, Germany","Stability Measurements at the VICKSI RF Systems",2202 2204,
d-21,"H.W. Schreuder, R.J. Vader, KVI, Groningen, The Netherlands","New Methods for Stabilizing Dee Voltage and Beam RF Phase",2205 2208,
d-22,"G.C.L. van Heusden, Eindhoven University of Technology, Eindhoven, The Netherlands; R. Ahgren, Scanditronix, Uppsala, Sweden; G. Hinderer, HMI, Berlin, Germany; W.M. Schulte, Eindhoven University of Technology, Eindhoven, The Netherlands","A Multi-Input Phase Measuring System",2209 2211,
d-23,"L.R. Carroll, G.O. Hendry, K.D. Jenkins, The Cyclotron Corporation, Berkeley, California, USA","A Pulse Selection and Shortening System for Cyclotrons",2212 2215,
d-24,"H.M. Butler, C.B. Fulmer, S.W. Mosko, W.F. Ohnesorge, ORNL, Oak Ridge, Tennessee, USA","Fast Neutron Dose Equivalent Rates in Heavy Ion Target Areas",2216 2218,
e-01,"R.R. Highfill, B.W. Wieland, ORNL, Oak Ridge, Tennessee, USA","Invited Paper: The Medical Applications of Short-Lived, Cyclotron-Produced Radionuclides",2220 2223,
e-02,"S.J. Arnott, Western General Hospital, Edinburgh, Scotland; M. Catterall, Hammersmith Hospital, London, England","Invited Paper: Practical Requirements for the Treatment of Patients with Cancer",2224 2228,
e-03,"J.L. Debrun, CNRS, Orléans, France","Invited Paper: The Role of Charged Particle Activation for Materials Analysis",2229 2235,
e-04,"J.L. Need, New England Nuclear Corporation, N. Billerica, Massachusetts, USA","A Survey of Some Applications of Cyclotrons",2236 2240,
e-05,"M.S. Al-Ghazi, J.S.C. McKee, W.D. Ramsay, University of Manitoba, Winnipeg, Manitoba, Canada","Feasibility Study and Design of a Proton Microprobe",2241 2243,
e-06,"M.A. Chaudhri, M.M. Lee, J.L. Rouse, B.M. Spicer, University of Melbourne, Victoria, Australia","Cyclotron Analysis of Australian Atmospheric Contamination Before and After the 1974 French Nuclear Tests in the Pacific",2244 2247,
e-07,"C.D. Goodman, ORNL, Oak Ridge, Tennessee, USA; C.A. Goulding, M.B. Greenfield, Florida AM University, Tallahassee, Florida, USA; C.C. Foster, Indiana University, Bloomington, Indiana, USA; J. Rapaport, Ohio University, Athens, Ohio, USA; D.A. Lind, University of Colorado, Boulder, Colorado, USA","A Facility for Studying Neutron Energy Spectra at Intermediate Energies",2248 2252,
e-08,"K. Johnson, A.M. Koehler, Harvard University, Cambridge, Massachusetts, USA","Clinical Experience with the 160 MeV Proton Beam and Some Implications for Designers",2253 2256,
