a-01,"D.P. May, R.C. Rogers, P. Smelser, D.H. Youngblood, Texas AM University, College Station, Texas, USA","First Beams from the Texas AM Superconducting Cyclotron",99 98,
a-02,"J.A. Nolen, T.A. Antaya, H.G. Blosser, T.S. Kuo, F. Marti, B.M. Sherrill, A.F. Zeller, NSCL, East Lansing, Michigan, USA","Commissioning Experience with the NSCL K1200 Superconducting Cyclotron",5 8,
a-03,"B.-W. Wei, Institute of Modern Physics, Lanzhou, China","Invited Paper: Commissioning of HIRFL",9 12,
a-04,"Y. Yano, RIKEN, Saitama, Japan","Status Report on RIKEN Ring Cyclotron",13 16,
a-05,"S. Holm, Svedberg Laboratory, Uppsala, Sweden","Operational Experience of the Reconstructed Uppsala Synchrocyclotron",17 20,
b-01,"H.W. Schreuder, KVI, Groningen, The Netherlands","Invited Paper: The AGOR Cyclotron Past the Half-Way Mark",21 25,
b-02,"E. Acerbi, F. Alessandria, G. Baccaglioni, G. Bellomo, C. Birattari, A. Bosotti, F. Broggi, C. De Martinis, M. Di Giacomo, E. Fabrici, A. Ferrari, D. Giove, A. Giussani, W. Giussani, P. Michelato, C. Pagani, G.C. Rivoltella, L. Rossi, A. Sussetto, G. Varisco, INFN/LASA  University of Milan, Segrate, Milan, Italy; G. Cuttone, INFN/LNS, Catania, Italy; S. Zhou, Institute of Modern Physics, Lanzhou, China; P. Gmaj, University of Warsaw, Warsaw, Poland","Progress Report on the Milan Superconducting Cyclotron",26 29,
b-03,"H. Ikegami, Osaka University, Osaka, Japan","Invited Paper: The RCNP Ring Cyclotron Facilities",30 39,
b-04,"E. Liukkonen, University of Jyväskylä, Jyväskylä, Finland","The Jyväskylä K130 Cyclotron Project",40 42,
b-05,"J.I.M. Botman, H.L. Hagedoorn, Eindhoven University of Technology, Eindhoven, The Netherlands","General Purpose Storage Ring as Post Accelerator for the ILEC Cyclotron",43 46,
b-06,"W. Assmann, U. Buhl, A. Cazan, T. Grundey, G. Hinderer, J. Junger, H.-J. Körner, R. Kratz, M. Leu, C. Rieß, L. Rohrer, P. Schütz, U. Trinks, Ch. Yan, TU  University of Munich, Garching, Germany","Tritron Progress Report",47 50,
b-07,"A. Goto, K. Hatanaka, K. Ikegami, T. Kageyama, M. Kase, S. Kohara, M. Nagase, N. Nakanishi, M. Saito, H. Takebe, Y. Yano, RIKEN, Saitama, Japan; Y. Kumata, T. Tachikawa, Sumitomo Heavy Industries, Ehime, Japan","Injector AVF Cyclotron at RIKEN",51 54,
c-01,"H. Ikegami, Osaka University, Osaka, Japan","Invited Paper: Cyclotron Maser Cooling of Electron and Ion Beams",55 61,
c-02,"D. Reistad, Svedberg Laboratory, Uppsala, Sweden","Status of the CELSIUS Cooler-Storage Ring Project",62 65,
c-03,"H. Beuscher, W. Bräutigam, R. Brings, H. Lawin, R. Maier, S. Martin, J. Reich, M. Rogge, P. Wucherer, FZJ, Jülich, Germany; H.L. Hagedoorn, Eindhoven University of Technology, Eindhoven, The Netherlands","The Characteristics of the Cyclotron JULIC as Injector for COSY",66 69,
c-04,"D.K. Olsen, W.H. Atkins, D.T. Dowling, J.W. Johnson, R.S. Lord, J.M. McConnell, W.T. Milner, S.W. Mosko, B.A. Tatum, ORNL, Oak Ridge, Tennessee, USA","HISTRAP Prototype Hardware Studies",70 75,
c-05,"T. Katayama, K. Chida, T. Honma, A. Mizobuchi, M. Nakai, A. Noda, K. Noda, M. Sekiguchi, F. Soga, T. Tanabe, N. Ueda, S. Watanabe, T. Watanabe, M. Yoshizawa, University of Tokyo, Tokyo, Japan; T. Hattori, Tokyo Institute of Technology, Tokyo, Japan","Status of Heavy Ion Cooler Synchrotron TARN II",76 79,
d-01,"A.H. Botha, S.J. Burger, P.J. Celliers, J.L. Conradie, J.C. Cornell, J.W. Carstens, P.M. Cronje, Z.B. du Toit, R.E. Fenemore, D.T. Fourie, H.N. Jungwirth, J.E. Kriel, J.J. Kritzinger, P.G. Molteno, W.A.G. Nel, D. Reitmann, L.M.M. Roels, P.F. Rohwer, M.J. van Niekerk, D.M. van Rooyen, H.F. Weehuizen, National Accelerator Centre, Faure, Republic of South Africa","Operation and Development of the NAC Accelerator Facilities",80 83,
d-02,"G.H. Mackenzie, TRIUMF, Vancouver, B.C., Canada","Injection into a High-Intensity Synchrotron from a Cyclotron",84 87,
d-03,"H. Schmeing, C.B. Bigham, N.C. Bray, W.G. Davies, B.F. Greiner, C.R. Hoffmann, J.A. Hulbert, P.I. Hurley, E.H. Lindqvist, J.E. McGregor, R.E. Milks, G.R. Mitchel, J.F. Mouris, J.H. Ormrod, L.W. Shankland, E.P. Stock, L.W. Thomson, R.R. Tremblay, X.H. Zhou, Atomic Energy of Canada, Chalk River, Ontario, Canada","Current Status of the Superconducting Cyclotron at Chalk River",88 92,
d-04,"U. Schryber, PSI, Villigen, Switzerland","Status Report on the PSI-Accelerator Facility",93 96,
d-05,"P. Arndt, W. Busse, B. Martin, R. Michaelsen, W. Pelzer, D. Renner, K. Ziegler, HMI, Berlin, Germany","Status Report on VICKSI",97 100,
d-06,"A. Joubert, GANIL, Caen, France","Status Report on the First Six Years of GANIL Operation",101 105,
d-07,"T. Yamada, Y. Hirao, T. Kanai, H. Ogawa, Y. Sato, K. Suzuki, NIRS, Chiba, Japan","Recent Developments of the NIRS-Chiba Isochronous Cyclotron",106 110,
d-08,"M.P. Bourgarel, P. Attal, E. Baron, GANIL, Caen, France","Modification of the GANIL Injectors",111 115,
d-09,"J.L. Belmont, M. Fruneau, P. Martin, . SARA Staff, Institut des Sciences Nucléaires, Grenoble, France","New Developments at SARA",116 120,
d-10,"J.A. van der Heide, P. Magendans, R.J.L.J. de Regt, Eindhoven University of Technology, Eindhoven, The Netherlands; W.J. Kleeven, TRIUMF, Vancouver, B.C., Canada","The Eindhoven Minicyclotron ILEC",121 124,
d-11,"B.N. Gikal, G.G. Gulbekyan, V.B. Kutner, JINR, Dubna, USSR","The Present Status of the U-400 Isochronous Cyclotron",125 128,
d-12,"G. Goin, J. Briaud, L. Le Polotec, CNRS, Orléans, France","Status Report on the CNRS Orleans' Cyclotron",129 132,
d-13,"S.B. Vorozhtsov, V.P. Dmitrievsky, A.A. Glazov, V.V. Kalinichenko, L.M. Onishchenko, N.L. Zaplatin, JINR, Dubna, USSR","High-Current Cyclotron Injector",133 136,
e-01,"H.G. Blosser, NSCL, East Lansing, Michigan, USA","Invited Paper: Applications of Superconducting Cyclotrons",137 144,
e-02,"B.F. Milton, G. Dutto, W.J. Kleeven, R.E. Laxdal, L.S. Milinkovic, J.B. Pearson, R.L. Poirier, P.W. Schmor, H.R. Schneider, TRIUMF, Vancouver, B.C., Canada; R. Dawson, K.L. Erdman, W. Gyles, Q. Walker, Ebco Industries Ltd., Richmond, B.C., Canada","A 30 MeV H Cyclotron for Isotope Production",145 148,
e-03,"J.L. Bol, A. Chevalier, E. Conard, Y. Jongen, M. Ladeuze, G. Lannoye, T. Ledocte, Ion Beam Applications SA, Louvain-la-Neuve, Belgium; M. Lacroix, A. Ninane, G. Ryckewaert, S. Zaremba, University of Louvain-la-Neuve, Louvain-la-Neuve, Belgium","High Intensity H Cyclotrons for Radioisotope Production",149 151,
e-04,"P. Mandrillon, Ch. Rocher, Centre Antoine Lacassagne, Nice, France; R. Ostojic, Boris Kidriccaron; Institute, Belgrade, Yugoslavia; A. Susini, CERN, Geneva, Switzerland; G. Ryckewaert, University of Louvain-la-Neuve, Louvain-la-Neuve, Belgium","Status of the Feasibility Studies of the European Light Ion Medical Accelerator",152 155,
e-05,"P. Mandrillon, N. Brassart, F. Farley, J. Herault, . MEDICYC Team, Centre Antoine Lacassagne, Nice, France; R. Ostojic, Boris Kidriccaron; Institute, Belgrade, Yugoslavia; A. Susini, CERN, Geneva, Switzerland","Commissioning and Implementation of the MEDICYC Cyclotron Programme",156 159,
