a-01,"R. Bimbot, IPN, Orsay, France","From the Discovery of Radioactivity to the Production of Radioactive Beams",5 12,
a-02,"D.T.L. Jones, National Accelerator Centre, Faure, Republic of South Africa","Present Status and Future Trends of Heavy Particle Radiotherapy",13 20,
a-03,"R. Hentschel, P. Meissner, J. Rassow, H. Sack, W. Sauerwein, C. Streffer, University Hospital Essen, Essen, Germany","Plans for the German National Neutron Therapy Centre with a Hospital-Based 70 MeV Proton Cyclotron at University Hospital Essen / Germany",21 23,
a-04,"S. Meyroneinc, J.-C. Boucault, R. Ferrand, J. Gosnet, A. Mazal, C. Nauraye, Centre de Protonthérapie d'Orsay, Orsay, France","Beam Quality for Protontherapy at C.P.O.",24 27,
a-05,"H. Vera Ruiz, International Atomic Energy Agency, Vienna, Austria; R.M. Lambrecht, University of Wollongong, New South Wales, Australia","Trends in Cyclotrons for Radionuclide Production",28 30,
a-06,"D.K. Li, H.P. Cui, M.W. Fan, Y.Sh. Wang, J.R. Zhang, China Institute of Atomic Energy, Beijing, China","A Productive Cyclotron and its Applications",31 33,
a-07,"C. Deutsch, Université Paris-Sud, Orsay, France","Beam Dynamics for Heavy Ion Inertial Fusion",34 41,
a-08,"C.K. Gelbke, NSCL, East Lansing, Michigan, USA","Physics with Cyclotrons",42 47,
a-09,"P.A. Schmelzbach, PSI, Villigen, Switzerland","Production and Uses of Heavy Ions Beams at the PSI Philips Cyclotron",48 51,
a-10,"M.F. Stroosnijder, K. Abbas, Joint Research Centre of the European Commission, Ispra (Va), Italy","Thin Layer Activation for Materials Research Development at IAM of the European Commission",52 57,
a-11,"A.A. Arzumanov, V.N. Batischev, V.D. Berger, G.N. Chumikov, V.J. Gerasimov, E.T. Kravchenko, S.N. Lukashenko, Yu.S. Popov, G.I. Sychikov, Kazakstan Academy of Sciences, Almaty, Kazakstan","Radioisotope Production at the Isocronous Cyclotron in Almaty",58 61,
a-12,"S. Khujaev, A.I. Muminov, A. Vasidov, TEZLATGICH, Institute of Nuclear Physics, Tashkent, Uzbekistan","Cyclotron Production of 139Ce from Lanthanum Targets",62 64,
a-13,"M. Mirzaei, H. Afarideh, K. Ardaneh, S.M. Hadji-Saeid, Nuclear Research Center for Agriculture and Medicine, Karadj, Iran","Production of 111In by Irradiation of Natural Cadmium with Deuterons and Protons in NRCAM Cyclotron",65 67,
a-14,"M. Panico, Nuclear Medicine CNR-Center, Napoli, Italy; G. Randazzo, M. Salvatore, Università degli Studi Federico II, Napoli, Italy; G.F. Calicchio, A. Green, R. Roma, National Cancer Institute ''Fond. G. Pascale'', Napoli, Italy","An Increased 18F- Radionuclide Production",68 69,
a-15,"L.M. Solin, V.A. Jakovlev, V.G. Khlopin Radium Institute, St Petersburg, Russia; O.N. Godisov, A.K. Kaliteevsky, L.P. Mjazin, P.K. Shepelev, SEC Centrotech-CDBMB, St Petersburg, Russia","High Purity Iodine-123 Produced Via P, N Reaction",70 73,
a-16,"G. Wolber, W. Konowalczyk, W. Weber, F. Helus, F. Oberdorfer, German Cancer Research Center, Heidelberg, Germany","The DKFZ Cyclotron - Status Report",74 75,
a-17,"B. Constantinescu, R. Bugoi, S. Dima, C. Garlea, I. Garlea, V. Labau, M. Macovei, T. Paunica, L. Radu, A. Sasianu, Institute of Atomic Physics, Bucharest, Romania","Bucharest Cyclotron as Intense Fast Neutron Source for Radiobiological and Analytical Applications",76 79,
a-18,"P. Frezza, M. Elmo, G. Silvestro, National Cancer Institute ''Fond. G. Pascale'', Napoli, Italy; M. Panico, Nuclear Medicine CNR-Center, Napoli, Italy; C. Mainolfi, Università degli Studi Federico II, Napoli, Italy","Evaluation of Radiosensitivity by Positron Emission Tomography with 18-Fluoro-2-Deoxy-D-Glucose in Patients Affected by Uterine Neoplasms",80 82,
a-19,"F. Spurny, Nuclear Physics Institute, ASCR, Rez, Czech Republic; A.G. Molokanov, JINR, Dubna, Russia","Dosimetry and Microdosimetry of Phasotron Therapy Proton Beams",83 86,
a-20,"O.V. Bespalova, Institute of Nuclear Physics, Moscow State University, Moscow, Russia; N.G. Goryaga, A.B. Korshunov, V.S. Kulikauskas, E.A. Romanovsky, B.V. Shemaev, V.V. Zatekin, Moscow State University, Moscow, Russia; A.M. Borisov, V.G. Sukharev, MATI - Russian State Technology University, Moscow, Russia","Certification of the Hardsurfaced Tools by the Nuclear Backscattering of the Protons Accelerated by the Cyclotron",87 89,
a-21,"W.Z. Gelbart, N.R. Stevenson, TRIUMF, Vancouver, Canada","Solid Targetry Systems: A Brief History",90 93,
a-22,"I. Al-Jammez, R.M. Lambrecht, King Faisal Specialist Hospital and Research Center, Riyadh, Saudi Arabia","Alternative Design of a Target Changer for Radionuclide Production",94 96,
a-23,"B. Mukherjee, ANSTO, Menai, Australia","Utilisation of the Stray Neutron Field Produced by a Compact Medical Cyclotron",97 100,
a-24,"R. Risler, R. Emery, J. Jacky, I. Kalet, D. Reid, University of Washington, Seattle, Washington, USA","Present and Future Operation of the Seattle Clinical Cyclotron Facility",101 104,
a-25,"H. Tochon-Danguy, G. Egan, J.I. Sachinidis, P. U, Austin and Repatriation Medical Centre, Heidelberg, Australia; B. Mukherjee, ANSTO, Menai, Australia","Occupational Radiation Exposure at the Self-Shielded IBA cyclone 10/5 Cyclotron of the ARMC, Melbourne Australia",105 107,
a-26,"J. Stursa, M. Cihák, M. Krivánek, J. Kucera, J. Lacman, Nuclear Physics Institute, ASCR, Rez, Czech Republic","New Radionuclides Production on the Isochronous Cyclotron U-120 M",108 111,
a-27,"F. Tárkányi, L. Andó, F. Ditrói, A. Fenyvesi, Z. Kormány, Z. Kovács, I. Mahunka, F. Szelecsényi, Z. Szücs, S. Takács, Institute of Nuclear Research of the Hungarian Academy of Sciences, Debrecen, Hungary; L. Trón, Medical University School, Debrecen, Hungary","Developments at the Debrecen MGC-20E Type Low Energy Multiparticle Cyclotron for Medical Radioisotope Production",112 115,
a-28,"A. Vasidov, K.M. Mukimov, A.I. Muminov, Institute of Nuclear Physics, Tashkent, Republic of Uzbekistan","The Formation of Strip Domains in Bubble Garnet Films by Proton Irradiation",116 118,
