FRM1C02,"M. H. Bussmann, LMU, München; K. Beckert, P. Beller, B. Franzke, GSI, Darmstadt; Ch. Geppert, Johannes Gutenberg University Mainz, Mainz; D. Habs, LMU, München; S. Karpuk, Johannes Gutenberg University Mainz, Mainz; C. Kozhuharov, T. Kuehl, W. Noertershaeuser, F. Nolden, GSI, Darmstadt; C. Novotny, Johannes Gutenberg University Mainz, Institut für Physik, Mainz; S. Reinhardt, MPI-K, Heidelberg; G. Saathoff, MPQ, Garching, Munich; U. Schramm, FZD, Dresden; M. Steck, GSI, Darmstadt","Schottky Noise Signal and Momentum Spread for Laser-Cooled Beams at Relativistic Energies",226 229,
FRM1C03,"D. Orlov, H. Fadil, M. Grieser, J. Hoffmann, C. Krantz, O. Novotny, S. Novotny, A. Wolf, MPI-K, Heidelberg","Electron Cooling with Photocathode Electron Beams Applied to Slow Ions at TSR and CSR",230 233,
FRM1I01,"A. Noda, Kyoto ICR, Uji, Kyoto; M. Grieser, MPI-K, Heidelberg; M. Ikegami, T. Ishikawa, Kyoto ICR, Uji, Kyoto; I. N. Meshkov, JINR, Dubna, Moscow Region; M. Nakao, Kyoto ICR, Uji, Kyoto; K. Noda, NIRS, Chiba-shi; T. Shirai, Kyoto ICR, Uji, Kyoto; A. V. Smirnov, JINR, Dubna, Moscow Region; H. Souda, M. Tanabe, H. Tongu, Kyoto ICR, Uji, Kyoto","Present Status and Recent Activity on Laser Cooling at S-LSR",221 225,
FRM2C04,"H. Danared, A. Källberg, A. Simonsson, MSL, Stockholm","Studies of Cooling and Deceleration at CRYRING for FLAIR",234 237,
FRM2C05,"T. Katayama, C. Dimopoulou, B. Franzke, GSI, Darmstadt; T. Kikuchi, Utsunomiya University, Utsunomiya; D. Möhl, CERN, Geneva; M. Steck, GSI, Darmstadt","Simulation Study of Beam Accumulation with Moving Barrier Buckets and Electron Cooling",238 242,
FRM2C06,"A. V. Fedotov, I. Ben-Zvi, X. Chang, D. Kayran, T. Satogata, BNL, Upton, Long Island, New York","Electron Cooling Simulations for Low-energy RHIC Operation",243 246,
MOA1C02,"H. Stockhorst, FZJ, Jülich; T. Katayama, CNS, Saitama; R. Maier, D. Prasuhn, R. Stassen, FZJ, Jülich; L. Thorndahl, CERN, Geneva","Stochastic Cooling for the HESR at FAIR",30 34,
MOA1C03,"F. Nolden, A. Dolinskii, C. Peschke, GSI, Darmstadt","Stochastic Cooling for the FAIR Project",35 38,
MOA1I01,"J. M. Brennan, M. Blaskiewicz, BNL, Upton, Long Island, New York","Bunched Beam Stochastic Cooling at RHIC",25 29,
MOA2C05,"D. Reistad, B. Gålnander, K. Rathsman, TSL, Uppsala; A. O. Sidorin, JINR, Dubna, Moscow Region","Calculations on High-energy Electron Cooling in the HESR",44 48,
MOA2I04,"V. A. Lebedev, Fermilab, Batavia, Illinois","Antiproton Production and Accumulation",39 43,
MOA2I06,"L. R. Prost, A. V. Burov, K. Carlson, A. V. Shemyakin, M. Sutherland, A. Warner, Fermilab, Batavia, Illinois","Electron Cooling Status and Characterization at Fermilab's Recycler",49 54,
MOM1I01,"P. Derwent, Fermilab, Batavia, Illinois","Status of the Recycler Ring",99 98,
MOM1I02,"P. Belochitskii, CERN, Geneva","Status of the Antiproton Decelerator and of the ELENA Project at CERN",6 10,
MOM2C05,"C. Dimopoulou, B. Franzke, T. Katayama, GSI, Darmstadt; D. Möhl, CERN, Geneva; G. Schreiber, M. Steck, GSI, Darmstadt","Longitudinal Accumulation of Ion Beams in the ESR Supported by Electron Cooling",21 24,
MOM2I03,"A. V. Fedotov, BNL, Upton, Long Island, New York","Progress of High-energy Electron Cooling for RHIC",11 15,
MOM2I04,"A. O. Sidorin, JINR, Dubna, Moscow Region","Cooling Simulations with the BETACOOL Code",16 20,
THAP01,"A. O. Sidorin, JINR, Dubna, Moscow Region; I. Ben-Zvi, A. V. Fedotov, D. Kayran, BNL, Upton, Long Island, New York; A. V. Smirnov, JINR, Dubna, Moscow Region","Electron Cooling Simulation for Arbitrary Distribution of Electrons",159 162,
THAP02,"A. V. Smirnov, JINR, Dubna, Moscow Region; O. Boine-Frankenheim, GSI, Darmstadt; A. O. Sidorin, G. V. Trubnikov, JINR, Dubna, Moscow Region","Implementation of Synchrotron Motion in Barrier Buckets in the BETACOOL Program",163 166,
THAP03,"J. Hoffmann, MPI-K, Heidelberg; A. S. Jaroshevich, ISP, Novosibirsk; D. Orlov, MPI-K, Heidelberg; A. S. Terekhov, ISP, Novosibirsk; A. Wolf, C. Krantz, MPI-K, Heidelberg","An Ultracold Cryogenic Photoelectron Source for the TSR Electron Target",99 98,
THAP04,"A. V. Bubley, V. M. Panasyuk, V. V. Parkhomchuk, V. B. Reva, BINP SB RAS, Novosibirsk","Optimization of the Magnet System for Low Energy Coolers",167 170,
THAP05,"A. D. Goncharov, Ya. G. Kruchkov, V. V. Parkhomchuk, V. B. Reva, D. N. Skorobogatov, BINP SB RAS, Novosibirsk; J. Dietrich, FZJ, Jülich","Prototype of the High Voltage Section for the 2 MeV Electron Cooler at COSY",99 98,
THAP06,"A. V. Shemyakin, C. M. Bhat, D. R. Broemmelsiek, A. V. Burov, M. Hu, Fermilab, Batavia, Illinois","Cooling in a Compound Bucket",171 174,
THAP08,"A. V. Shemyakin, Fermilab, Batavia, Illinois; A. V. Fedotov, BNL, Upton, Long Island, New York; L. R. Prost, Fermilab, Batavia, Illinois; A. O. Sidorin, JINR, Dubna, Moscow Region","Electron Cooling in the Recycler Cooler",175 178,
THAP09,"L. R. Prost, A. V. Shemyakin, Fermilab, Batavia, Illinois","Beam-based Field Alignment of the Cooling Solenoids for Fermilab's Electron Cooler",179 181,
THAP10,"B. Gålnander, T. Bergmark, O. Byström, TSL, Uppsala; H. Danared, MSL, Stockholm; S. Johnson, T. Johnson, T. Lofnes, G. Norman, T. Peterson, K. Rathsman, D. Reistad, TSL, Uppsala","Status of Design Work Towards an Electron Cooler for HESR",182 186,
THAP12,"Y. S. Derbenev, Jefferson Lab, Newport News, Virginia","Electron Cooling Design for ELIC - a High Luminosity Electron-Ion Collider *",187 190,
THAP13,"R. Stassen, P. B. Brittner, R. Greven, H. Singer, H. Stockhorst, FZJ, Jülich; L. Thorndahl, CERN, Geneva","Recent Developments for the HESR Stochastic Cooling System",191 193,
THAP14,"C. Peschke, F. Nolden, GSI, Darmstadt","Pick-Up Electrode System for the CR Stochastic Cooling System",194 197,
THAP15,"V. A. Lebedev, R. J. Pasquinelli, S. J. Werkema, Fermilab, Batavia, Illinois","Beam Based Measurements for Stochastic Cooling Systems at Fermilab",198 201,
THAP16,"V. A. Lebedev, R. J. Pasquinelli, D. Sun, Fermilab, Batavia, Illinois","New Equalizers for Antiproton Stochastic Cooling at Fermilab",202 205,
THAP19,"T. Kikuchi, Utsunomiya University, Utsunomiya; T. Katayama, GSI, Darmstadt; S. Kawata, Utsunomiya University, Utsunomiya","Influences of Space Charge Effect during Ion Accumulation Using Moving Barrier Bucket Cooperated with Beam Cooling",206 209,
THAP20,"V. Gostishchev, C. Dimopoulou, A. Dolinskii, F. Nolden, M. Steck, GSI, Darmstadt","Internal Target Effects in the ESR Storage Ring with Cooling",210 212,
THAP21,"R. W. Hasse, GSI, Darmstadt","Longitudinal Schottky Signals of Cold Systems with Low Number of Particles",213 216,
THAP22,"M. Steck, K. Beckert, P. Beller, C. Dimopoulou, F. Nolden, GSI, Darmstadt","Limitations of the Observation of Beam Ordering",217 220,
THM1I01,"C. Carli, CERN, Geneva","Commissioning and Performance of LEIR",134 138,
THM1I02,"T. Shirai, Kyoto ICR, Uji, Kyoto; H. Fadil, MPI-K, Heidelberg; S. Fujimoto, Kyoto ICR, Uji, Kyoto; T. Fujimoto, AEC, Chiba; M. Grieser, MPI-K, Heidelberg; M. Ikegami, Kyoto ICR, Uji, Kyoto; S. I. Iwata, AEC, Chiba; I. N. Meshkov, JINR, Dubna, Moscow Region; A. Noda, Kyoto ICR, Uji, Kyoto; K. Noda, NIRS, Chiba-shi; S. Shibuya, AEC, Chiba; A. V. Smirnov, JINR, Dubna, Moscow Region; H. Souda, Kyoto ICR, Uji, Kyoto; E. Syresin, JINR, Dubna, Moscow Region; M. Tanabe, H. Tongu, Kyoto ICR, Uji, Kyoto","Electron Cooling Experiments at S-LSR",139 143,
THM2I04,"V. Kamerdzhiev, Y. Alexahin, G. F. Kuznetsov, V. D. Shiltsev, X. Zhang, Fermilab, Batavia, Illinois","Progress with Tevatron Electron Lenses",144 148,
THM2I05,"Y. S. Derbenev, Jefferson Lab, Newport News, Virginia","Use of an Electron Beam for Stochastic Cooling*",149 153,
THM2I06,"V. B. Reva, A. V. Ivanov, V. V. Parkhomchuk, BINP SB RAS, Novosibirsk","Electron Beams as Stochastic 3D Kickers",154 158,
TUA1C03,"A. V. Smirnov, JINR, Dubna, Moscow Region; J. Dietrich, FZJ, Jülich; I. N. Meshkov, JINR, Dubna, Moscow Region; A. Noda, Kyoto ICR, Uji, Kyoto; K. Noda, NIRS, Chiba-shi; T. Shirai, Kyoto ICR, Uji, Kyoto; A. O. Sidorin, JINR, Dubna, Moscow Region; H. Souda, H. Tongu, Kyoto ICR, Uji, Kyoto","Necessary Condition for Beam Ordering",87 90,
TUA1I02,"H. Okamoto, Hiroshima University, Higashi-Hiroshima; K. Kaneta, HU/AdSM, Higashi-Hiroshima; A. Sessler, LBNL, Berkeley, California","Theoretical Study of Emittance Transfer",82 86,
TUA1I04,"J. Wei, BNL, Upton, Long Island, New York; H. Okamoto, Hiroshima University, Higashi-Hiroshima; A. Sessler, LBNL, Berkeley, California; H. Sugimoto, Y. Yuri, HU/AdSM, Higashi-Hiroshima","High-Energy Colliding Crystals -- A Theoretical Study",91 95,
TUA2C05,"D. Möhl, CERN, Geneva","Introduction to the Session on Lattice Optimization for Stochastic Cooling",96 98,
TUA2C06,"J. Wei, BNL, Upton, Long Island, New York; S. Wang, IHEP Beijing, Beijing","A Split-Function Lattice for Stochastic Cooling",99 101,
TUA2C07,"Y. Senichev, FZJ, Jülich","Advanced HESR Lattice with Non-Similar Arcs for Improved Stochastic Cooling",102 105,
TUA2C08,"A. Dolinskii, F. Nolden, M. Steck, GSI, Darmstadt","Lattice Considerations for the Collector and the Accumulator Rings of the FAIR Project",106 109,
TUA2C09,"V. P. Nagaslaev, V. A. Lebedev, S. J. Werkema, Fermilab, Batavia, Illinois","Lattice Optimization for the Stochastic Cooling in the Accumulator Ring at Fermilab",110 112,
TUM1I01,"G. Tranquille, CERN, Geneva","Cooling Results from LEIR",55 58,
TUM1I02,"X. D. Yang, D. Q. Gao, Y. He, G. H. Li, J. Li, Y. Liu, L. J. Mao, R. S. Mao, IMP, Lanzhou; V. V. Parkhomchuk, BINP SB RAS, Novosibirsk; M. T. Song, J. W. Xia, G. Q. Xiao, J. C. Yang, X. T. Yang, Y. J. Yuan, W.-L. Zhan, W. Zhang, H. W. Zhao, T. C. Zhao, J. H. Zheng, Z. Z. Zhou, IMP, Lanzhou","Commissioning of Electron Cooling in CSRm",59 63,
TUM1I03,"V. V. Parkhomchuk, BINP SB RAS, Novosibirsk","Comparison of Hollow Electron Devices and Electron Heating",64 67,
TUM2I04,"R. P. Johnson, Muons, Inc, Batavia","Ionization Cooling",68 72,
TUM2I05,"A. P. Blondel, J. S. Graulich, DPNC, Genève","MICE: The International Muon Ionization Cooling Experiment",73 76,
TUM2I06,"R. B. Palmer, BNL, Upton, Long Island, New York; Y. Alexahin, Fermilab, Batavia, Illinois; J. S. Berg, R. C. Fernow, J. C. Gallardo, BNL, Upton, Long Island, New York; S. A. Kahn, Muons, Inc, Batavia; H. G. Kirk, BNL, Upton, Long Island, New York; D. V. Neuffer, Fermilab, Batavia, Illinois; D. J. Summers, UMiss, University, Mississippi","Cooling Scheme for a Muon Collider",77 81,
WEM1C01,"A. G. Kobets, E. V. Ahmanova, V. Bykovsky, I. I. Korotaev, V. I. Lokhmatov, V. N. Malakhov, I. N. Meshkov, V. Pavlov, R. Pivin, A. Yu. Rudakov, A. O. Sidorin, A. V. Smirnov, G. V. Trubnikov, S. Yakovenko, JINR, Dubna, Moscow Region","Status of the LEPTA Project",113 116,
