moa12,"M.A. Uchida [Imperial College of Science and Technology, Department of Physics, London, United Kingdom] ","The Muon Ionization Cooling Experiment",99 98,
moa13,"F. Drielsma [DPNC, GenÃ¨ve, Switzerland] D. M. Maletic [Belgrade Institute of Physics, Belgrade, Serbia] ","Measurement of Phase Space Density Evolution in MICE",6 10,
moa21,"M.A. Uchida [Imperial College of Science and Technology, Department of Physics, London, United Kingdom] ","Emittance Evolution in MICE",11 15,
moa22,"J.C. Nugent, P. Soler [University of Glasgow, Glasgow, United Kingdom] R. Bayes [Laurentian University, Campus Sudbury, Sudbury, Ontario, Canada] ","Recent Results from MICE on Multiple Coulomb Scattering and Energy Loss",16 21,
tha11,"R. Stassen, B. Breitkreutz, N. Shurkhno, H. Stockhorst [FZJ, JÃ¼lich, Germany] L. Thorndahl [CERN, Geneva, Switzerland] ","The HESR Stochastic Cooling System, Design, Construction and Test Experiments in COSY",89 93,
thm13,"F. Herfurth, Z. Andelkovic, M. Bai, A. Braeuning-Demian (A. Bräuning-Demian), V. Chetvertkova, O. Geithner, W. Geithner, O.E. Gorda, M. Lestinsky, S.A. Litvinov, G. Vorobjev, U. Weinrich [GSI, Darmstadt, Germany] A. KÃ¤llberg [Stockholm University, Stockholm, Sweden] T. Stoehlker (T. Stöhlker) [HIJ, Jena, Germany] ","Commissioning of the Low Energy Storage Ring Facility CRYRING@ESR",81 83,
thm21,"I.N. Meshkov, G.V. Trubnikov [JINR, Dubna, Moscow Region, Russia] ","NICA Project: Three Stages and Three Coolers",84 88,
tum11,"A.V. Bubley, M.I. Bryzgunov, V.A. Chekavinskiy, A.D. Goncharov, K. Gorchakov, I.A. Gusev, V.M. Panasyuk, V.V. Parkhomchuk, V.B. Reva, D.V. Senkov [BINP SB RAS, Novosibirsk, Russia] A.V. Smirnov [JINR, Dubna, Moscow Region, Russia] ","Low Energy Electron Cooler for the NICA Booster",22 24,
tum21,"V.B. Reva, M.I. Bryzgunov, A.V. Bubley, A.D. Goncharov, N.S. Kremnev, V.M. Panasyuk, V.V. Parkhomchuk, V.A. Polukhin, A.A. Putmakov [BINP SB RAS, Novosibirsk, Russia] ","High Voltage Cooler NICA Status and Ideas",25 27,
tum22,"A.J. Halama, V. Kamerdzhiev [FZJ, JÃ¼lich, Germany] ","Model Development for the Automated Setup of the 2 MeV Electron Cooler Transport Channel",28 31,
tup04,"D.V. Neuffer, J. Bradley, D. Stratakis [Fermilab, Batavia, Illinois, USA] ","Muon Intensity Increase by Wedge Absorbers for low-E Muon Experiments",32 36,
tup06,"N. Shurkhno [FZJ, JÃ¼lich, Germany] ","Stochastic Cooling as Wiener Process",37 39,
tup08,"J. Li, Z. Huang, L.J. Mao, M.T. Tang, S. X. Wang, J.C. Yang, X.D. Yang, H. Zhao, L.X. Zhao [IMP/CAS, Lanzhou, People's Republic of China] ","Preliminary Design of Electron Target for SRing at HIAF",40 43,
tup09,"V.B. Reva, A.P. Denisov, V.V. Parkhomchuk, A.A. Putmakov, D.N. Skorobogatov [BINP SB RAS, Novosibirsk, Russia] J. Li, X. Ma, L.J. Mao [IMP/CAS, Lanzhou, People's Republic of China] ","Project of High-Voltage System with Fast Changing Potential for DR Experiment",44 46,
tup11,"V.A. Britten, M. Droba, O. Meusel, H. Podlech, A. Schempp, K. Schulte [IAP, Frankfurt am Main, Germany] ","The Interaction Between Electrons and Ions in Comoving and Static Electron Columns",47 49,
tup12,"H. Zhao, J. Li, L.J. Mao, M.T. Tang, J.C. Yang, X.D. Yang [IMP/CAS, Lanzhou, People's Republic of China] ","Simulation of Low Enery Ion Beam Cooling With Pulsed Electron Beam on CSRm",50 53,
tup13,"M.T. Tang, J. Li, H.J. Lu, X.M. Ma, L.J. Mao, T.L. Yan, X.D. Yang, H. Zhao, L.X. Zhao [IMP/CAS, Lanzhou, People's Republic of China] A.V. Ivanov [BINP SB RAS, Novosibirsk, Russia] ","Calculations of the Gun and Collector for Electron Cooling Systems of HIAF",54 57,
tup14,"X.D. Yang, J. Li, X.M. Ma, L.J. Mao, M.T. Tang, T.L. Yan, H. Zhao [IMP/CAS, Lanzhou, People's Republic of China] ","Investigation on the Suppression of Intrabeam Scattering in the High Intensity Heavy Ion Beam with the help of Longitudinal Multi-bunch Chain of Electron",58 60,
tup15,"L.J. Mao, J. Li, X.M. Ma, M.T. Tang, J.C. Yang, X.D. Yang, H. Zhao, H.W. Zhao [IMP/CAS, Lanzhou, People's Republic of China] A. Hutton, K. Jordan, T. Powers, R.A. Rimmer, M. Spata, H. Wang, S. Wang, H. Zhang, Y. Zhang [JLab, Newport News, Virginia, USA] ","Experimental Demonstration of Electron Cooling with Bunched Electron Beam",61 63,
tup16,"R. Hettrich, A. Bardonner, R.M. BÃ¶hm, C. Dimopoulou, C. Peschke, A. Stuhl, S. Wunderlich [GSI, Darmstadt, Germany] F. Caspers [ESI, Archamps, France] F. Caspers [CERN, Geneva, Switzerland] ","Latest News from Stochastic Cooling Developments for the Collector Ring at FAIR",64 67,
tup17,"B. Breitkreutz, R. Stassen, H. Stockhorst [FZJ, JÃ¼lich, Germany] ","Design of Stochastic Pick-Ups and Kickers for Low Beta Particle Beams",68 71,
wem12,"S.V. Benson, Y.S. Derbenev, D. Douglas, F.E. Hannon, A. Hutton, R. Li, R.A. Rimmer, Y. Roblin, C. Tennant, H. Wang, H. Zhang, Y. Zhang [JLab, Newport News, Virginia, USA] ","Development of a Bunched Beam Electron Cooler Based on ERL and Circulator Ring Technology for the Jefferson Lab Electron-Ion Collider",72 76,
wem22,"I. Pinayev, Z. Altinbas, R. Anderson, S.A. Belomestnykh, K.A. Brown, J.C.B. Brutus, A.J. Curcio, A. Di Lieto, C. Folz, D.M. Gassner, T. Hayes, R.L. Hulsart, P. Inacker, J.P. Jamilkowski, Y.C. Jing, D. Kayran, R. Kellermann, R.F. Lambiase, V. Litvinenko, G.J. Mahler, M. Mapes, A. Marusic, W. Meng, K. Mernick, R.J. Michnoff, K. Mihara, T.A. Miller, M.G. Minty, G. Narayan, P. Orfin, D. Phillips, T. Rao, D. Ravikumar, J. Reich, G. Robert-Demolaize, T. Roser, S.K. Seberg, F. Severino, B. Sheehy, K. Shih, J. Skaritka, L. Smart, K.S. Smith, L. Snydstrup, V. Soria, R. Than, C. Theisen, J.E. Tuozzolo, J. Walsh, E. Wang, G. Wang, D. Weiss, B. P. Xiao, T. Xin, W. Xu, A. Zaltsman, Z. Zhao [BNL, Upton, Long Island, New York, USA] C.H. Boulware, T.L. Grimm [Niowave, Inc., Lansing, Michigan, USA] J. Ma [SBU, Stony Brook, New York, USA] I. Petrushina [SUNY SB, Stony Brook, New York, USA] ","Status of Proof-of-Principle Experiment of Coherent Electron Cooling at BNL",77 80,
