fra01,"P. Mandrillon, M. Conjat [AIMA, Nice, France] ","Single Stage Cyclotron for an ADS Demonstrator",387 393,
fra03,"M. Maggiore, P. Antonini, D. Benini, G. Bisoffi, E. Boratto, M. Calderolla, A. Calore, D. Campo, N. Ciatara, J. Esposito, P. Favaron, A. Lombardi, L. Pranovi, G.P. Prete, L. Sarchiapone, D. Scarpa, D. Zafiropoulos, L. de Ruvo [INFN/LNL, Legnaro (PD), Italy] ","Status of the High Intensity Proton Beam Facility at LNL",394 397,
frb02,"O. Kamalou, F. Chautard, A. Savalle [GANIL, Caen, France] ","Stable and Exotic Beams Produced at GANIL",398 400,
frb03,"J.J. Yang, H.R. Cai, L.C. Cao, T. Ge, Z.G. Li, Y.L. Lv, F. Wang, S.M. Wei, L.P. Wen, S.P. Zhang, T.J. Zhang, Y.W. Zhang, X. Zhen [CIAE, Beijing, People's Republic of China] ","Proton Radiography Experiment Based on a 100 MeV Proton Cyclotron",401 404,
moa01,"H. Okuno, T. Dantsuka, M. Fujimaki, N. Fukunishi, H. Hasebe, Y. Higurashi, E. Ikezawa, H. Imao, O. Kamigaito, M. Kidera, M. Komiyama, K. Kumagai, T. Maie, M. Nagase, T. Nagatomo, T. Nakagawa, M. Nakamura, J. Ohnishi, K. Ozeki, N. Sakamoto, K. Suda, A. Uchiyama, S. Watanabe, T. Watanabe, Y. Watanabe, K. Yamada, H. Yamasawa [RIKEN Nishina Center, Wako, Japan] ","Operational Experience and Upgrade Plans of the RIBF Accelerator Complex",99 98,
moa02,"L. Calabretta, A. Calanna, G. Cuttone, G. D'Agostino, D. Rifuggiato, A.D. Russo [INFN/LNS, Catania, Italy] ","Upgrade of the LNS Superconducting Cyclotron for Beam Power Higher than 2-5 kW",7 10,
mob01,"S. Kurashima, H. Kashiwagi, N. Miyawaki, S. Okumura, T. Satoh, K. Yoshida, T. Yuyama [QST/Takasaki, Takasaki, Japan] M. Fukuda [RCNP, Osaka, Japan] ","Cyclotron Technology and Beam Dynamics for Microbeam Applications",16 20,
mob02,"C.R. Wolf [FZJ, JÃ¼lich, Germany] M. Prechtl, R. RueÃ [HS Coburg, Coburg, Germany] ","Simulation and Detection of the Helical Ion-Paths in a Small Cyclotron",21 23,
mobs02,"E.W. Blackmore [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] ","In Memorium: Mike Craddock",11 15,
moc01,"D.C. Kiselev, R.M. Bergmann, R. Sobbia, V. Talanov, M. Wohlmuther [PSI, Villigen PSI, Switzerland] ","Radiation Damage of Components in the Environment of High-Power Proton Accelerators",24 29,
mod01,"Z.K. Liang, W. Chen, X. Liu, J. Zha [Huazhong University of Science and Technology, State Key Laboratory of Advanced Electromagnetic Engineering and Technology,, Hubei, People's Republic of China] K.F. Liu, B. Qin [HUST, Wuhan, People's Republic of China] ","Design of the Energy Selection System for Proton Therapy Based on GEANT4",30 32,
modm01,"W. Chen, Z.K. Liang, X. Liu [Huazhong University of Science and Technology, State Key Laboratory of Advanced Electromagnetic Engineering and Technology,, Hubei, People's Republic of China] K. Fan, K.F. Liu, B. Qin [HUST, Wuhan, People's Republic of China] ","Design Study of the 250 MeV Isochronous Superconducting Cyclotron Magnet",33 35,
modm02,"N. Rahimpour Kalkhoran, H. Afarideh, M. Afkhami Karaei, S. Sabounchi [AUT, Tehran, Iran] M. Ghergherehchi [SKKU, Suwon, Republic of Korea] ","Magnet Optimization and Beam Dynamic Calculation of the 18 MeV Cyclotron by TOSCA and CYCLONE Codes",36 38,
modm03,"M. Mohamadian, H. Afarideh, S. Sabounchi, M. Salehi [AUT, Tehran, Iran] M. Ghergherehchi [SKKU, Suwon, Republic of Korea] ","Equivalent Circuit Model of Cyclotron RF System",39 41,
modm04,"X. Liu, W. Chen, Z.K. Liang [Huazhong University of Science and Technology, State Key Laboratory of Advanced Electromagnetic Engineering and Technology,, Hubei, People's Republic of China] Q.S. Chen, K.F. Liu, B. Qin [HUST, Wuhan, People's Republic of China] ","Design of the Fast Scanning Magnets for HUST Proton Therapy Facility",42 44,
moe01,"A. Garonna, U. Amaldi, V. Bencini, D. Bergesio, C. Cuccagna, E. Felcini, M. Varasteh Anvar, M. R. Vaziri Sereshk [TERA, Novara, Italy] ","Coupling of Cyclotrons to Linacs for Medical Applications",114 117,
moe02,"S. Seidel, J. Bundesmann, T. Damerow, A. Denker, C.S.G. Kunert [HZB, Berlin, Germany] A. Weber [Charite, Berlin, Germany] ","A Multi-leaf Faraday Cup Especially for Proton Therapy of Ocular Tumors",118 120,
mop02,"J. Stursa, M. Cihak, M. Gotz, V. Zach [NPI, Rez near Prague, Czech Republic] ","Physical Design of External Two-Stage Beam Chopping System on the TR 24 Cyclotron",45 48,
mop03,"M. Afkhami Karaei, H. Afarideh, S. Azizpourian, M. Mousavinia, R. Solhju, F. Taft [AUT, Tehran, Iran] J.-S. Chai, M. Ghergherehchi [SKKU, Suwon, Republic of Korea] ","Developed Numerical Code Based on the Effects of Space Charge in Central Region of 10 MeV Cyclotron",49 52,
mop04,"D. Campo, P. Antonini, A. Calore, A. Lombardi, M. Maggiore, L. Pranovi [INFN/LNL, Legnaro (PD), Italy] ","SPES Cyclotron Beamlines",53 56,
mop05,"S.G. Hou, Shizhong. An, Z.W. Liu, G.F. Song, F. Wang, L.P. Wen, T.J. Zhang [CIAE, Beijing, People's Republic of China] ","An Air Ionization Chamber Simulation using Monte Carlo Method",57 60,
mop06,"D.S. Zhang, M. Li, C. Wang, J.J. Yang, T.J. Zhang [CIAE, Beijing, People's Republic of China] ","Physical Design of the Extraction Trim-Rods in a 230 MeV Superconducting Cyclotron",61 63,
mop08,"J.C. Lee, J.-S. Chai, Kh.M. Gad, M. Ghergherehchi, D.H. Ha, H.S. Kim, S.C. Mun, H. Namgoong [SKKU, Suwon, Republic of Korea] ","Investigation of Minimized Consumption Power about 10 MeV Cyclotron for Acceleration of Negative Hydrogen",64 67,
mop09,"C.U. Choi, M. Chung [UNIST, Ulsan, Republic of Korea] G. Hahn [KIRAMS, Seoul, Republic of Korea] J. Lee, T.-Y. Lee, S. Shin [PAL, Pohang, Republic of Korea] ","Simulation Code Development for High-Power Cyclotron",68 70,
