CT01,"M. Wendt Hamburg, Germany","BPM Read-Out Electronics Based on the Broadband AM/PM Normalization Schema",,"instrumentation, diagnostics, pick-up, closed-orbit"
CT02,"D. Bulfone, C.J. Bocchetta, R. Bressanutti, A. Carniel, G. Cautero, A. Fabris, A. Gambitta, D. Giuressi, G. Loda, M. Lonza, F. Mazzolini, G. Mian, N. Pangos, R. Sergo, V. Smaluk, R. Tommasini, L. Tosi, L. Zambon Sincrotrone Trieste, Trieste, Italy; M. Dehler, R. Urunhbox voidb@x group let unhbox voidb@x setbox @tempboxa hbox {sglobal mathchardef accent@spacefactor spacefactor }accent 20 segroup spacefactor accent@spacefactor iunhbox voidb@x group let unhbox voidb@x setbox @tempboxa hbox {cglobal mathchardef accent@spacefactor spacefactor }accent 20 cegroup spacefactor accent@spacefactor  Paul Scherrer Institut, Villigen, Switzerland","First Commissioning Results of the ELETTRA Transverse Multi-Bunch Feedback",,"instrumentation, diagnostics, feedback, ELETTRA"
CT03,"V. Schlott, M. Dach, M. Dehler, R. Kramert, P. Pollet, T. Schilcher Paul Scherrer Institut, Villigen, Switzerland; M. Ferianis, R. DeMonte Sincrotrone Trieste, Trieste, Italy; A. Kounhbox voidb@x group let unhbox voidb@x setbox @tempboxa hbox {sglobal mathchardef accent@spacefactor spacefactor }accent 20 segroup spacefactor accent@spacefactor iunhbox voidb@x group let unhbox voidb@x setbox @tempboxa hbox {cglobal mathchardef accent@spacefactor spacefactor }accent 20 cegroup spacefactor accent@spacefactor ek, R. Urunhbox voidb@x group let unhbox voidb@x setbox @tempboxa hbox {sglobal mathchardef accent@spacefactor spacefactor }accent 20 segroup spacefactor accent@spacefactor iunhbox voidb@x group let unhbox voidb@x setbox @tempboxa hbox {cglobal mathchardef accent@spacefactor spacefactor }accent 20 cegroup spacefactor accent@spacefactor  Instrumentation Technologies, Solkan, Slovenia","Performance of the Digital BPM System for the Swiss Light Source",,"instrumentation, diagnostics, pick-up, PSI, closed-orbit"
CT04,"H. Henschel Euskirchen, Germany; M. Körfer Hamburg, Germany; F. Wulf Hahn-Meitner Institut, Berlin, Germany","Fibre Optical Radiation Sensing System for TESLA",,"instrumentation, diagnostics, beam-losses, linear-collider, fibre-optics, TESLA, TTF"
CT05,"J.D. Gilpatrick, D. Barr, L. Day, D. Kerstiens, M. Stettler, R. Valdiviez Los Alamos National Laboratory, Los Alamos, NM, USA; M. Gruchalla, J. O'Hara Honeywell Corporation, USA; J. Kamperschroer General Atomics Corporation, San Diego, CA, USA","Beam-Profile Instrumentation for a Beam-Halo Measurement: Overall Description, Operation, and Beam Data",,"instrumentation, diagnostics, emittance"
CT06,"R. Jones, H. Schmickler Geneva, Switzerland","The Measurement of Q' And Q'' in the CERN-SPS by Head-Tail Phase Shift Analysis",,"instrumentation, diagnostics, chromatic-effects, SPS"
CT07,"O. Berrig, W. Höfle, R. Jones, J. Koopman, J.-P. Koutchouk, F. Schmidt Geneva, Switzerland","Excitation of Large Transverse Beam Oscillations without Emittance Blow-Up Using the \"AC-Dipole\" Principle",,"instrumentation, diagnostics, emittance, SPS"
CT08,"O. Berrig, C. Fischer, H. Schmickler Geneva, Switzerland","Measuring Beta-Functions with K-Modulation",,"instrumentation, diagnostics, emittance, SPS"
CT09,"O. Chubar, A. Snigirev, S. Kuznetsov, T. Weitkamp Grenoble, France; V. Kohn Russian Research Center 'Kurchatov Institute', Moscow","X-Ray Interference Methods of Electron Beam Diagnostics",,"instrumentation, diagnostics, emittance, synchrotron-radiation, ESRF"
CT10,"C. Cuevas, J.-C. Denard, A.P. Freyberger, Y. Sharabian Jefferson Lab., Virginia, USA","Beam Charge Asymmetry Monitors for Low Intensity Continuous Electron Beam",,"instrumentation, diagnostics, JLAB, synchrotron-radiation"
CT11,"E. Rossa, H. Schmickler Geneva, Switzerland; A. Brambilla, L. Verger, F. Mongellaz Grenoble, France","New Development of a Radiation-Hard Polycrystalline CDTE Detector for LHC Luminosity Monitoring",,"instrumentation, diagnostics, collider, storage-ring, LHC, luminosity"
