CT01,"M. Gasior Geneva, Switzerland","An Inductive Pick-Up for Beam Position and Current Measurements",,"pick-up, instrumentation, CLIC"
CT02,"L. Groening, W. Barth Gesellschaft für Schwerionenforschung, Darmstadt, Germany; D.A. Liakin Institute for Theoretical and Experimental Physics, Moscow, Russia","Single Shot Measurements of the 4-Dimensional Transverse Phase Space Distribution of Intense Ion Beams at the UNILAC at GSI",,"diagnostics, instrumentation, linac, ion, transverse-dynamics"
CT03,"G. Mazzitelli, F. Sannibale, P. Valente, M. Vescovi Laboratori Nazionali di Frascati dell'INFN, Frascati, Italy; P. Privitera, V. Verzi Istituto Nazionale di Fisica Nucleare, Sez. di Roma, Roma, Italy","Beam Instrumentation for the Single Electron DA$Phi $NE Beam Test Facility",,"diagnostics, instrumentation, linac, controls, electron, positrons"
CT04,"D. Nölle, P. Göttlicher, R. Neumann, D. Pugachov, K. Wittenburg, M. Wendt, M. Werner, H. Schlarb, M. Staack Deutsches Elektronen-Synchrotron, Hamburg, Germany; M. Desmons, A. Hamdi, M. Jablonka, M. Loung Commissariat à l'Energie Atomique, Saclay, France","The Beam Inhibit System for TTF II",,"diagnostics, instrumentation, linac, electron, free-electron-laser"
CT05,"P. Michel, J. Teichert, R. Schurig, H. Langenhagen Forschungszentrum Rossendorf, Dresden, Germany","Beam Loss Detection at Radiation Source ELBE",,"diagnostics, instrumentation, linac, electron, radiation, beam-losses, beam-transport"
CT06,"M. Werner Deutsches Elektronen-Synchrotron, Hamburg, Germany","Timing Sicknesses in Control Systems: Causes, Cure and Prevention",,"instrumentation"
CT07,"G.A. Naylor European Synchrotron Radiation Facility, Grenoble, France","Fast DSP Using FPGAs and DSOs for Machine Diagnostics",,"diagnostics, injection, ESRF, digital-signal-processing"
CT08,"M. Dehler, R. Kramert, P. Pollet, D. Bulfone, M. Lonza Paul Scherrer Institut, Villigen, Switzerland","Capabilities of the ELETTRA/SLS Multibunch Feedback Electronics",,"diagnostics, instrumentation, feedback, transverse-dynamics"
CT09,"L. Badano, O. Ferrando, M. Pezzetta Fondazione TERA, Università delgi Studi Milano, Milano, Italy; G. Molinari Geneva, Switzerland","SLIM (SEM for Low Interception Monitoring) - An Innovative Non-Destructive Beam Monitor for the Extraction Lines of a Hadrontherapy Centre",,"medical accelerators, hadron, diagnostics, instrumentation, monitoring, electrostatic devices"
CT10,"S. Brandenburg, W.K. van Asselt, H. Post, H.W. Schreuder Kernfysisch Versneller Instituut, Groningen, The Netherlands; B. Launé Institut de Physique Nucléaire, Orsay, France","Beam Diagnostics in the AGOR Cyclotron",,"diagnostics, instrumentation, cyclotron, ion"
CT11,"M. Wendt, S. Schreiber, A. Gössel Deutsches Elektronen-Synchrotron, Hamburg, Germany; M. Hüning Fermi National Accelerator Laboratory, Batavia, IL, USA; G. Devanz, M. Jablonka, C. Magne, O. Napoly Commissariat à l'Energie Atomique, Saclay, France; N. Baboi Stanford Linear Accelerator, Stanford, CA, USA","Beam Based HOM Analysis of Acceleating Structures at the TESLA Test Facility LINAC",,"diagnostics, instrumentation, linac, higher-order-mode, wakefield"
DW01,"K. Wittenburg Deutsches Elektronen-Synchrotron, Hamburg, Germany; K. Scheidt European Synchrotron Radiation Facility, Grenoble, France","Machine Protection And Interlock Systems",,"diagnostics, instrumentation, controls, man-machine-interface, operational performance"
DW02,"U. Raich, H. Schmickler Geneva, Switzerland","Global Accelerator Network, Control Systems And Beam Diagnostics",,"diagnostics, instrumentation, controls, man-machine-interface, operational performance"
