CTMM01,"P. Cameron, BNL, Upton, Long Island, New York; M. Conte, INFN Genova, Genova; N. D'Imperio, BNL, Upton, Long Island, New York; W.A. Franklin, MIT, Middleton, Massachusetts; D.A. Goldberg, LBNL, Berkeley, California; E. Ihloff, MIT, Middleton, Massachusetts; A.U. Luccio, W.W. MacKay, BNL, Upton, Long Island, New York; T. Zwart, MIT, Middleton, Massachusetts","Design and Testing of the MIT-Bates Stern-Gerlach Polarimeter Cavity",
CTMM02,"V.M. Pugatch, V.E. Aushev, NASU/INR, Kiev; C. Bauer, MPI-K, Heidelberg; M. Braeuer, DESY, Hamburg; O.A. Fedorovitch, NASU/INR, Kiev; H. Franz, DESY, Hamburg; V.G. Karengin, NASU/IM, Kiev; A.V. Mikhailenko, NASU/INR, Kiev; V.L. Perevertailo, NASU/IM, Kiev; S.V. Prystupa, Y.V. Pylypchenko, NASU/INR, Kiev; M.T. Schmelling, MPI-K, Heidelberg; K. Wittenburg, DESY, Hamburg","Micro-strip Metal Foil Detectors for the Beam Profile Monitoring",
CTTM01,"J.M. Belleman, CERN, Geneva","A New Trajectory Measurement System for the CERN Proton Synchrotron",
CTTM02,"B. Keil, P.-A. Duperrex, G.G. Gamma, G. Janser, R. Kramert, U. Müller, P. Pollet, V. Schlott, N. Schlumpf, E. Schmid, P. Spuhler, PSI, Villigen","The PSI quot;VPCquot; Board - First Applications of a Common Digital Back-End for Electron and Proton Beam Instrumentation at PSI",
CTWA01,"M. Gasior, O.R. Jones, CERN, Geneva","High Sensitivity Tune Measurement by Direct Diode Detection",
CTWA02,"S.C. Hutchins, M. Facchini, E. Tsoulou, CERN, Geneva","Radiation Tests on Solid State Cameras for Instrumentation",
CTWM01,"B.K. Scheidt, ESRF, Grenoble","Detection of Hard X-Rays in Air for Precise Monitoring of Vertical Position amp; Emittance in the ESRF Dipoles",
CTWM02,"S. Takano, M. Masaki, H. Ohkuma, JASRI/SPring-8, Hyogo","The X-Ray Beam Imager for Transversal Profiling of Low-Emittance Electron Beam at the SPring-8",
ITMA01,"B. Dehning, CERN, Geneva","Beam loss Monitor Systems for Machine Protection",
ITMA02,"H. Fukuma, KEK, Ibaraki","Diagnostics of Accelerator Performance under the Impact of Electron Cloud Effects",
ITMM01,"U. Raich, CERN, Geneva","Instrumentation in Small Low Energy Machines",
ITMM02,"T.J. Shea, ORNL, Oak Ridge, Tennessee","Commissioning of SNS Beam Instrumentation*",
ITMM03,"T. Mitsuhashi, KEK, Ibaraki","Beam Halo Observation by Coronagraph",
ITMM04,"A. Freyberger, Jefferson Lab, Newport News, Virginia","Large Dynamic Range Beam Profile Measurements",
ITTA01,"P. Forck, A. B. Bank, T. Giacomini, A. Peters, GSI, Darmstadt","Profile Monitors Based on Residual Gas Interaction",
ITTA02,"R. Dölling, P.-A. Duperrex, R. Erne, U.P. Frei, M. Graf, U. Müller, L. Rezzonico, U. Rohrer, K. Thomsen, PSI, Villigen","Beam Diagnostics at High Power Proton Beam Lines and Targets at PSI",
ITTM01,"A. Boscolo, DEEI, Trieste","Analog Front-End Electronics in Beam Instrumentation",
ITTM02,"J. Serrano, CERN, Geneva","FPGA Technology in Instrumentation and Related Tools",
ITWA01,"J.W. Bähr, DESY, Hamburg","Low Energy High Brilliance Beam Characterization",
ITWM01,"G. Decker, ANL, Argonne, Illinois","Beam Stability in Synchrotron Light Sources*",
POM001,"B.K. Scheidt, ESRF, Grenoble","Detailled Experience of Synchrotron Light Extraction System with Slotted Mirror at the ESRF",
POM002,"B.K. Scheidt, ESRF, Grenoble","Dipole Light Monitor System for the ESRF Injector",
POM003,"P. Cameron, J. Cupolo, C. Degen, A. Della Penna, BNL, Upton, Long Island, New York; M. Gasior, CERN, Geneva; L.T. Hoff, BNL, Upton, Long Island, New York; O.R. Jones, CERN, Geneva; J. Mead, BNL, Upton, Long Island, New York; H. Schmickler, CERN, Geneva; R. Sikora, BNL, Upton, Long Island, New York; C.-Y. Tan, Fermilab, Batavia, Illinois","Advances Towards the Measurement and Control of LHC Tune and Chromaticity",
POM004,"P. Cameron, I. Ben-Zvi, J. Kewisch, V. Litvinenko, BNL, Upton, Long Island, New York","A First Look at Beam Diagnostics for the RHIC Electron Cooling Project",
POM005,"P. Cameron, BNL, Upton, Long Island, New York; M. Gasior, O.R. Jones, CERN, Geneva; C.-Y. Tan, Fermilab, Batavia, Illinois","The Effects and Possible Origins of Mains Ripple in the Vicinity of the Betatron Spectrum",
POM006,"A. Freyberger, M.E. Bevins, A.R. Day, P. Degtiarenko, Jefferson Lab, Newport News, Virginia; R. Gilman, Rutgers University, The State University of New Jersey, Piscataway, New Jersey; A. Saha, S. Slachtouski, Jefferson Lab, Newport News, Virginia","Absolute Current Calibrations of 1A CW Electron Beam",
POM007,"J.-C. Denard, L. Cassinari, F. Dohou, N. Hubert, N.L. Leclercq, D. Pedeau, SOLEIL, Gif-sur-Yvette","Preliminary Tests of a New Kind of BPM System for SOLEIL",
POM008,"O.I. Meshkov, A. Bogomyagkov, V. F. Gurko, A.D. Khilchenko, V. Kiselev, N.Yu. Muchnoi, A.N. Selivanov, A. N. Zhuravlev, P.V. Zubarev, BINP SB RAS, Novosibirsk","Application of the Beam Profile Monitor for VEPP-4M Tuning",
POM009,"M. Moles, CERN, Geneva","ROSALI: An Application Allowing Online/Offline Algorithm Implementation to Assess Beam Instrumentation Performance.",
POM010,"P. Forck, C. Dorn, GSI, Darmstadt","Measurements with a Novel Non-Intercepting Bunch Shape Monitor at the High Current GSI-LINAC",
POM011,"A.F.D. Morgan, Diamond, Oxfordshire","Design of the Faraday Cups in Diamond",
POM012,"C.P. Welsch, H.-H. Braun, E. Bravin, R. Corsini, T. Lefevre, D. Schulte, F. Tecker, CERN, Geneva","Design Alternatives for Beam Halo Monitors in High Intensity Accelerators",
POM013,"T. Lefevre, C.B. Bal, E. Bravin, R. Scrivens, M. Taborelli, CERN, Geneva","Scintillating Screens Study for LEIR/LHC Heavy Ion Beams",
POM014,"T. Lefevre, H.-H. Braun, E. Bravin, N.C. Chritin, R. Corsini, C.D. Dutriat, F. Tecker, C.P. Welsch, CERN, Geneva","Time Resolved Energy Measurement at CTF3",
POM015,"S.C. Hutchins, CERN, Geneva; G.S. Buller, Heriot-Watt, Edinburgh; S. Cova, M. Ghioni, Politecnico/Milano, Milano; K.J. Gordon, Heriot-Watt, Edinburgh; A. Gulinatti, I. Labanca, Politecnico/Milano, Milano; S. Pellegrini, Heriot-Watt, Edinburgh; I. Rech, Politecnico/Milano, Milano","Single Photon Detector Tests For The LHC Synchrotron Light Diagnostics",
POM016,"J.R. Rönsch, Uni HH, Hamburg; K. Abrahamyan, G. Asova, J.W. Bähr, G. Dimitrov, H.-J. Grabosch, J.H. Han, DESY Zeuthen, Zeuthen; M.V. Hartrott, BESSY GmbH, Berlin; S. Khodyachykh, M. Krasilnikov, DESY Zeuthen, Zeuthen; D. Lipka, BESSY GmbH, Berlin; S. Liu, H.L. Lüdecke, V. Miltchev, A. Oppelt, B. Petrosyan, DESY Zeuthen, Zeuthen; R. Richter, BESSY GmbH, Berlin; S. Riemann, L. Staykov, F. Stephan, DESY Zeuthen, Zeuthen","Measurement of the Longitudinal Phase Space at the Photo Injector Test Facility at DESY in Zeuthen (PITZ)",
POM017,"G. Berden, FOM Rijnhuizen, Nieuwegein; W.A. Gillespie, University of Dundee, Nethergate, Dundee, Scotland; S.P. Jamison, Strathclyde University, Glasgow; A. MacLeod, UAD, Dundee; B. Redlich, A.F.G. van der Meer, FOM Rijnhuizen, Nieuwegein","Real-Time, Single-Shot Temporal Measurements of Short Electron Bunches, Terahertz CSR and FEL Radiation",
POM018,"S. Takano, M. Masaki, T. Masuda, A. Yamashita, JASRI/SPring-8, Hyogo","OTR Based Monitor of Injection Beam for Top-Up Operation of the SPring-8",
