mooa01,"B.J. Holzer, CERN, Geneva","Instrumentation Requirements for Different Accelerator Types",99 98,
mooa02,"O.R. Jones, CERN, Geneva","Performance of and First Experience with the LHC Beam Diagnostics",6 10,
mooa03,"H. Maesaka, RIKEN/SPring-8, Hyogo; H. Ego, JASRI/SPring-8, Hyogo-ken; A. Higashiya, S.I. Inoue, S.M. Matsubara, T. Ohshima, Y. Otake, T. Shintake, RIKEN/SPring-8, Hyogo; H. Tomizawa, JASRI/SPring-8, Hyogo-ken; M. Yabashi, RIKEN/SPring-8, Hyogo; K. Yanagida, JASRI/SPring-8, Hyogo-ken","Beam Diagnostic System of XFEL/SPring-8",11 13,
moob01,"F. Sannibale, LBNL, Berkeley, California","Highlights from BIW'08",14 18,
moob02,"K. Balewski, A. Brenger, H.T. Duhme, V. Gharibyan, J. Klute, K.K. Knaack, I. Krouptchenkov, G. Kube, T. Lensch, J. Liebing, Re. Neumann, Ru. Neumann, G. Priebe, F. Schmidt-Föhre, H.-Ch. Schröder, R. Susen, S. Vilcins, M. Werner, Ch. Wiebers, K. Wittenburg, DESY, Hamburg","Commissioning Results of Beam Diagnostics for the PETRA III Light Source",19 23,
moob03,"Y.B. Leng, Y.Z. Chen, K.R. Ye, W.M. Zhou, SSRF, Shanghai","SSRF Beam Diagnostics System Commissioning",24 26,
mooc01,"N. Hubert, L. Cassinari, J. Denard, A. Nadji, L.S. Nadolski, SOLEIL, Gif-sur-Yvette","Global Fast Orbit Feedback System Down to DC using Fast and Slow Correctors",27 31,
mooc02,"J.M. Belleman, S. Bart Pedersen, G. Kasprowicz, U. Raich, CERN, Geneva","Digital BPM Systems for Hadron Accelerators",32 34,
mooc03,"P. Kowina, P. Forck, W. Kaufmann, P. Moritz, GSI, Darmstadt; T. Weiland, F. Wolfheimer, TEMF, TU Darmstadt, Darmstadt","FEM Simulations - a Powerful Tool for BPM Design",35 37,
mooc04,"T.J. Shea, ORNL, Oak Ridge, Tennessee; D.W. Feldman, R.B. Fiorito, UMD, College Park, Maryland; C. Maxey, T.J. McManamy, ORNL, Oak Ridge, Tennessee; A.G. Shkvarunets, UMD, College Park, Maryland","Status of Beam Imaging Developments for the SNS Target",38 40,
mopd01,"D.T. Fourie, L.S. Anthony, A.H. Botha, J.L. Conradie, J.G. De Villiers, J.L.G. Delsink, iThemba LABS, Somerset West; J. Dietrich, FZJ, Jülich; P.F. Rohwer, P.A. van Schalkwyk, iThemba LABS, Somerset West","Non-Destructive Beam Position Measurement in a Proton Therapy Beam Line",41 43,
mopd02,"D. Lipka, DESY, Hamburg; F. Caspers, CERN, Geneva; H. Maesaka, RIKEN/SPring-8, Hyogo; D. Nölle, DESY, Hamburg; T. Shintake, RIKEN/SPring-8, Hyogo; M. Siemens, DESY, Hamburg; M. Stadler, D.M. Treyer, PSI, Villigen; S. Vilcins, DESY, Hamburg","Orthogonal Coupling in Cavity BPM with Slots",44 46,
mopd04,"M. M. Dehler, A. Citterio, PSI, Villigen; G. D'Auria, M.M. El-Ashmawy, ELETTRA, Basovizza; A. Falone, PSI, Villigen; A. Grudiev, D. Gudkov, CERN, Geneva; J.-Y. Raguin, PSI, Villigen; G. Riddone, A. Samoshkin, W. Wuensch, R. Zennaro, CERN, Geneva","Alignment Monitors for an X Band Accelerating Structure",47 49,
mopd05,"K.B. Scheidt, F. Epaud, ESRF, Grenoble","Installation and Commissioning of a Complete Upgrade of the BPM System for the ESRF Storage Ring",50 52,
mopd06,"I. Podadera Aliseda, B. Brañas, A. Ibarra, CIEMAT, Madrid; J. Marroncle, CEA, Gif-sur-Yvette","Design of Beam Position Monitors for the IFMIF-EVEDA accelerator",53 55,
mopd07,"H. Maesaka, RIKEN/SPring-8, Hyogo; H. Ego, JASRI/SPring-8, Hyogo-ken; S.I. Inoue, S.M. Matsubara, T. Ohshima, Y. Otake, T. Shintake, RIKEN/SPring-8, Hyogo","Development of the RF Cavity BPM of XFEL/SPring-8",56 58,
mopd08,"M. Tobiyama, J.W. Flanagan, T.M. Mitsuhashi, T. Obina, M. Tadano, R. Takai, KEK, Ibaraki","Bunch by Bunch Feedback System using iGp at KEK-PF",59 61,
mopd09,"J.L. Gonzalez, E. Calvo Giraldo, D. Cocq, O.R. Jones, CERN, Geneva","The Measurement of Beam Intensity using the LHC BPM System",62 64,
mopd10,"M. Ruf, L. Schmidt, U. Erlangen-Nurnberg LHFT, Erlangen; S. Setzer, Siemens Med, Erlangen","Experimental Verification of Particle-in-Cell Simulation Results Concerning Capacitive Pickup Devices",65 67,
mopd11,"A. Kalinin, STFC/DL/ASTeC, Daresbury, Warrington, Cheshire; S. Artinian, BERGOZ Instrumentation, Saint Genis Pouilly","Investigation of Precise Pipeline-Type ADCs in a Burst Regime for a Single-Shot BPM",68 70,
mopd12,"A. Citterio, M. M. Dehler, B. Keil, V. Schlott, L. Schulz, D.M. Treyer, PSI, Villigen","Design of a Resonant Stripline Beam Position Pickup for the 250 MeV PSI XFEL Test Injector",71 73,
mopd13,"P. Towalski, P. Hartmann, S. Khan, D. Schirmer, G. Schmidt, G. Schünemann, T. Weis, DELTA, Dortmund","Implementation of an FPGA-Based Local Fast Orbit Feedback at the DELTA Storage Ring",74 76,
mopd14,"M. Hüning, R. Jonas, J. Lund-Nielsen, F. Schmidt-Föhre, DESY, Hamburg","A Resonant First Turn BPM for the Positron Intensity Accumulator (PIA) at DESY",77 79,
mopd16,"O. Singh, BNL, Upton, Long Island, New York; G. Decker, ANL, Argonne, Illinois; I. Pinayev, BNL, Upton, Long Island, New York; B.X. Yang, ANL, Argonne, Illinois","Comparative Studies of RF Beam Position Monitor Technologies for NSLS II",80 82,
mopd17,"R. de Maria, BNL, Upton, Long Island, New York; J.D. Fox, SLAC, Menlo Park, California; W. Höfle, G. Kotzian, G. Rumolo, B. Salvant, U. Wehrle, CERN, Geneva","Performance of Exponential Coupler in the SPS with LHC Type Beam for Transverse Broadband Instability Analysis",83 85,
mopd18,"U. Iriso, T.F. Günzel, F. Peréz, CELLS-ALBA Synchrotron, Cerdanyola del Vallès","Design of the Stripline Kickers for ALBA",86 88,
mopd19,"M. Wendt, C.I. Briegel, N. Eddy, B.J. Fellenz, E. Gianfelice-Wendt, P.S. Prieto, R. Rechenmacher, Fermilab, Batavia; N. Terunuma, J. Urakawa, KEK, Ibaraki; D.C. Voy, Fermilab, Batavia, Illinois","High Resolution BPMs with Integrated Gain Correction System",89 91,
mopd20,"F. Schmidt-Föhre, A. Brenger, G. Kube, Ru. Neumann, K. Wittenburg, DESY, Hamburg","BPM System Upgrades in the PETRA III Pre-Accelerator Chain during the 2008 Shutdown",92 94,
mopd21,"A.V. Aleksandrov, ORNL, Oak Ridge, Tennessee","SNS Beam Diagnostics: Present Status and Future Plans",95 97,
mopd23,"P. Kyberd, Brunel University, Middlesex","Emittance Measurement Devices in the Muon Ionization Cooling Experiment (MICE)",98 100,
mopd24,"J.S. Nielsen, N. Hertel, S.P. Møller, ISA, Aarhus","An Overview of the Proposed Beam Diagnostic for ASTRID2",101 103,
mopd25,"O. Mete, E. Chevallay, A.E. Dabrowski, S. Döbert, CERN, Geneva; D. Egger, EPFL, Lausanne; K. Elsener, V. Fedosseev, T. Lefèvre, CERN, Geneva; O. Mete, EPFL, Lausanne; M. Petrarca, CERN, Geneva; R. Roux, LAL, Orsay","TheTransverse and Longitudinal Beam Characteristics of the PHIN Photo-Injector at CERN",104 106,
mopd26,"S. Rimjaem, J.W. Bähr, Ye. Ivanisenko, DESY Zeuthen, Zeuthen; M. Joré, LAL, Orsay; M. Krasilnikov, J. Rönsch, F. Stephan, DESY Zeuthen, Zeuthen; A. Variola, LAL, Orsay","Physics and Technical Design for the Second High Energy Dispersive Section at PITZ",107 109,
mopd27,"P. Ausset, IPN, Orsay; T.A. André, C. Doutresssoulles, B. Ducoudret, C. Jamet, W. Le Coz, F. Lepoittevin, GANIL, Caen; C. Maazouzi, C.O. Olivetto, C. Ruescas, IPHC, Strasbourg Cedex 2; E. Swartvagher, J.L. Vignet, GANIL, Caen","SPIRAL2 Injector Diagnostics",110 112,
