CT01,"P. Forck, P. Strehl Gesellschaft für Schwerionenforschung, Darmstadt, Germany","Measurements with a versatile Test Bench for Commissioning of the new GSI High Current Linac",
CT02,"R. Dölling Institut für angewandte Physik der Johann Wolfgang Goethe Universität","Determination of Radial Ion Beam Profile from the Energy Spectrum of Residual Gas Ions Accelerated in the Beam Potential",
CT03,"K. Scheidt, G.A. Naylor The European Synchrotron Radiation Facility, Grenoble, France","500 fs Streak Camera for UV-Hard X-Rays in 1 kHz Accumulating Mode with Optical 'Jitter Free' Synchronisation",
CT04,"A.J. Burns, H. Schmickler Geneva, Switzerland","Bunch Length Measurements in LEP",
CT05,"S.L. Smith, S.F. Hill Daresbury Laboratory, Warrington, UK","Daresbury SRS Positional Feedback Systems",
CT06,"C.M. Warsop, D.J. Adams, K. Tilley Rutherford Appleton Laboratory","Developments and Plans for Diagnostics on the ISIS Synchrotron",
CT07,"M. Ferianis Sincrotrone Trieste, Trieste, Italy","The ELETTRA Streak Camera: System Set-Up and First Results",
CT08,"G. Burtin, R.J. Colchester, G. Ferioli, J.J. Gras, R. Jung, J.M. Vouillot Geneva, Switzerland","Adaptive Optics for the LEP 2 Synchrotron Light Monitors",
CT09,"F. Sannibale Laboratori Nazionali di Frascati dell'INFN, Frascati, Italy","Luminosity Optimization in DANE",
CT10,"R. Jones, A. Manarin, G. Pignard, E. Rossa, H. Schmickler, M. Sillanoli, C. Surback Geneva, Switzerland","Real Time Display of the Vertical Beam Sizes in LEP Using the BEXE X-Ray Detector and Fast VME Based Computers",
CT11,"C. Bovet, R.J. Colchester, G. Ferioli, J.J. Gras, R. Jung, J.M. Vouillot Geneva, Switzerland","The OTR Screen Betatron Matching Monitor of the CERN SPS",
CT12,"J. Camas, R.J. Colchester, G. Ferioli, R. Jung, J. Koopman Geneva, Switzerland","Preliminary Test of a Luminescence Profile Monitor in the CERN SPS",
IT03,"B. Joly, U. Weinrich, G.A. Naylor The European Synchrotron Radiation Facility, Grenoble, France","Beam Loss Monitors at the ESRF",
IT04,"E. Plouviez The European Synchrotron Radiation Facility, Grenoble, France","Fast Positional Global Feedback for Storage Rings",
IT05,"G. Vismara Geneva, Switzerland","The Comparison of signal Processing Systems for Beam Position Monitors",
IT07,"M. Geitz Deutsches Elektronen Synchrotron, Hamburg, Germany","Bunch Length Measurements",
IT08,"H. Eickhoff Gesellschaft für Schwerionenforschung, Darmstadt, Germany","Controls and Beam Diagnostics for Therapy-Accelerators",
IT09,"P. Strehl Gesellschaft für Schwerionenforschung, Darmstadt, Germany","Diagnostics in Heavy Ion Machines",
IT11,"H. Koziol Geneva, Switzerland","Beam Diagnostics, Old and New",
IT12,"N. Marks Daresbury Laboratory, Warrington, UK","Use of Superimposed Alternating Currents in Quadrupoles to Measure Beam Position with Respect to their Magnetic Centre",
PS02,"M. Wendt, F. Willeke Deutsches Elektronen-Synchrotron, Hamburg, Germany; A. Boudsko Vancouver, Canada; O.R. Jones, H. Schmickler Geneva, Switzerland","Chromaticity Measurements at HERA-P Using the Head-Tail Technique with Chirp Excitation",
PS04,"A. Jankowiak, T. Weis Institute for Accelerator Physics and Synchrotron Radiation, University of Dortmund, Germany","Influence of transverse beam dimensions on beam position monitor signals",
PS05,"A. Peters, H. Reeg, P. Forck Gesellschaft für Schwerionenforschung, Darmstadt, Germany; W. Vodel, R. Neubert Institut für Festkörperphysik, Friedrich Schiller Universität, Jena, Germany","Recent Improvements of a Cryogenic Current Comparator for nA Ion Beams with High Intensity Dynamics",
PS06,"A. Kalinin, V. Smaluk Budker Institute of Nuclear Physics, Novosibirsk, Russia","Turn-By-Turn Phase Space Diagram Construction for Non-Linear Betatron Oscillation",
PS07,"A. Stella, C. Milardi, M. Serio Laboratori Nazionali di Legnaro, Legnaro, Italy","Trajectory Measurements in the DANE Transfer Lines",
PS09,"A. Källberg, A. Simonsson Manne Siegbahn Laboratory Of Physics, Stockholm, Sweden","Beam Steering With Image Processing In The Cryring Injection Beamline",
PS10,"C. Fischer Geneva, Switzerland","Ionisation losses and wire scanner heating: evaluation, possible solutions, application to the LHC.",
PS11,"C. Fischer, J. Koopman Geneva, Switzerland","Ionisation profile monitor tests in the SPS",
PS12,"C. Boccard, T. Bogey, J. de Vries, S. Jackson, R. Jones, J.P. Papis, W. Rawnsley, K. Rybaltchenko, H. Schmickler Geneva, Switzerland","Performance of the new SPS beam position orbit system (MOPOS)",
PS13,"F. Solodovnik, T. Limberg, K. Wittenburg Institute for High Energy Physics, Protvino, Russia","Analysis of the proton beam in the DESY transport lines by video readout",
PS14,"J. Bosser, G. Ferioli Geneva, Switzerland","Comparative test results of various beam loss monitors in preparation for LHC",
PS15,"G. Ferioli, J.J. Gras, H. Hiller, R. Jung Geneva, Switzerland","Beam profile measurements at 40 MHz in the PS to SPS transfer channel",
PS16,"G. Karpov, V. Kiselev, V. Smaluk, N. Zinvich Budker Institute of Nuclear Physics, Novosibirsk, Russia","The fast head-tail instability suppression in multibunch mode at VEPP-4M",
PS17,"G. Tassotto, J. Zagel Fermi National Accelerator Laboratory, Batavia, IL, USA","Beam Profile Detectors at the new fermilab injector and associated beamlines",
PS19,"H.L. Owen Daresbury Laboratory, Warrington, UK","Photon counting detectors for fill structure measurements at visible wavelengths",
PS20,"H. Reeg Gesellschaft für Schwerionenforschung, Darmstadt, Germany","A current digitizer for ionisation chambers/SEMS with high resolution and fast resoponse",
PT01,"J. Dietrich, I. Mohos, J. Keil Forschungszentrum Jülich GmbH, Jülich, Germany","Closed-orbit correction using the new beam position monitor electronic of Elsa Bonn",
PT02,"J. Dietrich, I. Mohos Forschungszentrum Jülich GmbH, Jülich, Germany","Real-time betatron tune measurement in the accelerator ramp at COSY-Jülich",
PT03,"R. Bakker, R. Georgen, P. Kuske, J. Kuszynski Berliner Speicherring-Gesellschaft für Synchrotronstrahlung mbH, Berlin, Germany","Measuring beam intensity and lifetime in BESSY II",
PT04,"J.E. Wilmarth, M.T. Smith, T.L. Tomei Los Alamos National Laboratory, Los Alamos, NM, USA","Radiation protection system installation for the accelerator production of tritium/low energy demonstration accelerator project (APT/LEDA)",
PT05,"L. Jensen, O.R. Jones, H. Schmickler Geneva, Switzerland","First results on closed-loop tune control in the CERN-SPS",
PT06,"M. Dehler, A. Jaggi, P. Pollet, T. Schilcher, V. Schlott, R. Uršic, R. deMonte Paul Scherrer Institut, Villigen, Switzerland","New digital BPM system for the Swiss light source",
PT07,"M. Dolinska, M. Domke, P. Forck, T. Hoffmann, D. Liakin, A. Peters, P. Strehl Gesellschaft für Schwerionenforschung, Darmstadt, Germany","Emittance measurements at the new UNILAC-pre-stripper using a pepper-pot with a PC-controlled CCD-camera",
PT08,"M.J. Dufau, R.J. Smith Daresbury Laboratory, Warrington, UK","A fast protection system for narrow-gap insertion device vessels",
PT09,"M. LeGras, L. Søby, D.J. Williams Geneva, Switzerland","The closed-orbit measurement system for the CERN antiproton decelerator",
PT10,"M. Castellano, A. Cianchi, V.A. Verzilov Laboratori Nazionali di Frascati dell'INFN, Frascati, Italy","Emittance and dispersion measurements at TTF",
PT11,"N. Baboi, M. Dohlus, A. Jöstingmeier, N. Holtkamp, M. Wendt, M. Nagl, J. Boster, H. Hartwig Deutsches Elektronen Synchrotron, Hamburg, Germany","Dipole modes study by means of HOM couplers at SBTF",
PT12,"P. Forck, F. Heymach, U. Meyer, P. Moritz, P. Strehl Gesellschaft für Schwerionenforschung, Darmstadt, Germany","Aspects of bunch shape measurements for low, intense ions beams",
PT14,"P. Castro, P. Patteri, F. Tazzioli Deutsches Elektronen Synchrotron, Hamburg, Germany","Experience with stripline beam position monitors on the TESLA test facility LINAC",
PT15,"S.D. Nelson, Y.J. Chen, T. Fessenden, C. Holmes Lawrence Livermore National Laboratory, Livermore, CA, USA","High current precision long pulse electron beam position monitor",
PT16,"U. Berges, K. Wille Institute for Accelerator Physics and Synchrotron Radiation, University of Dortmund, Germany","Status of the delta synchrotron light-monitoring-system",
PT17,"V.A. Verzilov Laboratori Nazionali di Frascati dell'INFN, Frascati, Italy","Role of pre-wave zone effects in TR-based beam diagnostics",
PT19,"V. Kiselev, V. Smaluk Budker Institute of Nuclear Physics, Novosibirsk, Russia","A method for measurement of transverse impedance distribution along storage ring",
