FRXE01,"D. Trines","Experimental Results and Technical Research and Development at TTF ",
FRXE02,"H.H. Braun","Experimental Results and Technical Research and Development at CTF II",
FRXE04,"J. Urakawa","Experimental Results and Technical Research and Development at ATF KEK",
FRXE05,"R.P. Walker et al ","The European UV/VUV Storage Ring FEL Project at ELETTRA",
FRXE06,"J. Rossbach","Recent SASE Free Electron Laser Results",
FRYE02,N/A,N/A,
MOP1B01,"D.P. Barber, R.A. Melikian","On the Possibility of Precise Measurement of Electron Beam Energy using Resonance Absorption of Laser Light by Electrons in a Static Magnetic Field",
MOP1B02,"D. Dinev","Kinetic Treatment of the Heavy Ion Charge Exchange Injection",
MOP1B03,"P. Bowe, S.P. Møller, J.S. Nielsen, U.V. Pedersen","Intensity Limitations of the Electrostatic Storage Ring ELISA",
MOP1B04,"S.P. Møller, Yu. Senichev","Beam Dynamics in Electrostatic Rings",
MOP1B05,"B. Anderberg, Å. Andersson, M. Demirkan, M. Eriksson, S. Werin","A New 3 GHz RF-gun Structure for MAX-lab",
MOP1B06,"B. Anderberg, Å. Andersson, M. Demirkan, M. Eriksson, M. Georgsson, G. LeBlanc, L.-J. Lindgren, S. Werin","The 500 MeV Injector for MAX-lab using a Recirculated Linac",
MOP1B07,"M. af Ugglas, G. Andler, L. Bagge, M. Björkhage, H. Danared, A. Källberg, L. Liljeby, P. Löfgren, A. Lundqvist, F. Österdahl, A. Paál, K.-G. Rensfelt, A. Simonsson","Extending the Use of the CRYRING Storage Ring",
MOP1B08,"R. Becker, M. Björkhage, D.E. Donets, E.D. Donets, E.E. Donets, M. Kleinod, O.K. Kultashev, L. Liljeby, A. Lundqvist, K.-G. Rensfelt, V.V. Salnikov, V.B. Shutov, B. Zipfel","A Study of Electron Strings and their Use for Efficient Production of Highly Charged Ions",
MOP1B09,"M. Bengtsson, T. Bergmark, T. Lofnes, V. Ziemann","A Fast Beam Position Measurement System for CELSIUS",
