FRXGB001,"O. Boine-Frankenheim, GSI, Darmstadt","Accelerator Challenges of Proposed Radioactive Beam Facilities",
FRXGB002,"T. Stammbach, S. Adam, A. Mezger, P.A. Schmelzbach, P. Sigg, PSI, Villigen","Cyclotron Performance and New Developments",
FRXGB003,"G. Jackson, Hbar Technologies, LLC, West Chicago","Commercial Production and Use of Antiprotons",
FRYGB001,"J.C. Dran, Centre de recherche et de restauration des musées de France, Paris","Accelerators in Art and Archaeology",
MOPDO001,"V. Ayvazyan, K. Rehlich, S.N. Simrock, DESY, Hamburg; G. Amatuni, A. Yayloyan, CANDLE, Yerevan","The Design of the Control System for CANDLE",
MOPDO002,"N. Kanaya, Y. Tahara, University of Ibaraki, Ibaraki; S. Sato, S. Suzuki, Tohoku University, Sendai","Design of the Distributed Computer Control System for the 1.8 GeV Synchrotron Radiation Source TSRF at Tohoku University",
MOPDO003,"N. Kanaya, Y. Tahara, University of Ibaraki, Ibaraki; S. Sato, S. Suzuki, Tohoku University, Sendai","Remote Equipment as Distributed Remote Objects using JAVA Remote Method Invocation for the 1.8 GeV TSRF Synchrotron Radiation Source",
MOPDO004,"N. Kanaya, Y. Tahara, University of Ibaraki, Ibaraki; S. Sato, S. Suzuki, Tohoku University, Sendai","Design of the Remote Data Acquisition System using Java Jini for the 1.8 GeV Synchrotron Radiation Beamlines at TSRF",
MOPDO005,"J. Chen, C.K. Chang, K.-T. Hsu, S.-Y. Hsu, K.-H. Hu, C.-S. Hwang, D. Lee, C.-Y. Liu, SRRC, Hsinchu","Control System for the Superconducting Wavelength Shifter of SRRC",
MOPDO007,"P. Léaux, M. Lalot, M. Luong, M. Poitevin, CEA, Gif-sur-Yvette","Design and Integration of a Low Cost Node for a Distributed DAQ/Control System based on the WorldFIP Protocol",
MOPDO008,"T. Tanabe, M. Kase, T. Masuoka, RIKEN, Saitama","XML-Based Integration for VMEs, an Application Server and RDBMS",
MOPDO009,"T. Satogata, I. Campbell, G. Marr, P. Sampson, BNL, Upton, Long Island, New York","Operations Electronic Logbook Experience at BNL",
MOPDO010,"T. Ladzinski, R. Saban, R. Schmidt, CERN, Geneva","STRICT: STRing2 Instrumentation and Configuration Tool",
MOPDO012,"A. Raimondo, C.-H. Sicard, CERN, Geneva; Y.S. Mayya, BARC, Mumbai","The LHC String2 Supervision System",
MOPDO013,"A. Rijllart, P. Coutinho-Ferreira, A. Raimondo, H. Reymond, CERN, Geneva; E. Gorskaia, JINR, Dubna, Moscow Region","Orchestrating the Measurements on Twelve Magnet Test Benches",
MOPDO014,"M. Zerlauth, A. Jimeno, G. Morpurgo, R. Schmidt, CERN, Geneva","The Electrical Circuit Description for the LHC",
MOPDO020,"M. Mouat, E. Klassen, K.S. Lee, J. Pon, P. Yogendran, TRIUMF, Vancouver","Disk Storage Upgrade in TRIUMF's Central Control System",
MOPDO022,"N.Y. Mutchnoi, M.G. Fedotov, D.S. Filimonov, S.E. Karnaev, V.A. Kiselev, O.I. Meshkov, N.Y. Mutchnoi, A.N. Selivanov, BINP, Novosibirsk","Transverse Beam Profile Measurement at the VEPP-4M Collider",
MOPDO023,"E.-S. Kim, K.-M. Ha, S.-H. Nam, J.-H. Seo, PAL, Pohang","Energy Ramping System in PLS Storage Ring",
MOPDO024,"I.-H. Yu, M.-H. Chun, K.-M. Ha, Y.J. Han, J.-Y. Huang, W.H. Hwang, H.-S. Kang, D.-T. Kim, S.-H. Nam, M.K. Park, J.-S. Yang, PAL, Pohang","Upgraded Low Level RF System of the PLS Storage Ring*",
MOPDO027,"A. Butterworth, L. Arnaudon, G. Beetham, E. Ciapala, J.-C. Juillard, R. Olsen, CERN, Geneva","The LEP RF Trip and Beam Loss Diagnostics System",
MOPDO028,"E. Carlier, A. Antoine, A. Marchand, H. Verhagen, CERN, Geneva","The New Control System of the SPS Injection Kicker",
MOPDO030,"P. Gayet, J. Casas-Cubillos, P. Gomes, M. Pezzetti, C.-H. Sicard, CERN, Geneva; F.J. Varas, GTD Ingenieria de Sistemas y Software Industrial, SA, Barcelona","Application of Object-based Industrial Controls for Cryogenics",
MOPDO031,"K. Kostro, V. Baggiolini, F. Calderini, F. Chevrier, S. Jensen, R. Swoboda, CERN, Geneva; N. Trofimov, IHEP, Protvino, Moscow Region","Controls Middleware - The New Generation",
