FRXBCH01,"K.J. Peach, CCLRC/RAL/ASTeC, Chilton, Didcot, Oxon","Novel Ideas and Ramp;D for High Intensity Neutrino Beams",
FRXBCH02,"P. Raimondi, INFN/LNF, Frascati (Roma)","Towards Higher Luminosities in B and Phi Factories",
FRXCH01,"G.S. Bauer, FZJ/ESS, Jülich","Development of High Power Targets",
FRYACH01,"H. Eickhoff, T. Haberer, B. Schlitt, U. Weinrich, GSI, Darmstadt","HICAT - The German Hospital-Based Light Ion Cancer Therapy Project",
FRYBCH01,"C. Llewellyn Smith, UKAEA Culham, Culham, Abingdon, Oxon","Clean Energy and the Fast Track to Fusion Power",
MESHKOV,"","EPS-AG Accelerator Prize",
MOOCH01,"M. Woodley, SLAC, Menlo Park, California; K. Kubo, KEK, Ibaraki; J. Nelson, M.C. Ross, J.L. Turner, SLAC, Menlo Park, California; A. Wolski, LBNL/AFR, Berkeley, California","Beam Based Alignment at the KEK-ATF Damping Ring",
MOOCH02,"R. Corsini, CERN, Geneva; M. Bernard, G. Bienvenu, LAL, Orsay; H.-H. Braun, G. Carron, CERN, Geneva; A. Ferrari, Uppsala University, Uppsala; O. Forstner, CERN, Geneva; T. Garvey, LAL, Orsay; G. Geschonke, CERN, Geneva; L. Groening, GSI, Darmstadt; E. Jensen, CERN, Geneva; R.F. Koontz, SLAC, Menlo Park, California; T. Lefevre, NU, Evanston; R.H. Miller, SLAC, Menlo Park, California; L. Rinolfi, CERN, Geneva; R. Roux, LAL, Orsay; R.D. Ruth, SLAC, Menlo Park, California; D. Schulte, F. Tecker, L. Thorndahl, CERN, Geneva; A.D. Yeremian, SLAC, Menlo Park, California","First Full Beam Loading Operation with the CTF3 Linac",
MOOCH03,"D.C. Schultz, C. Adolphsen, SLAC, Menlo Park, California; D.P. Atkinson, LLNL, Livermore, California; D.L. Burke, J. Chan, SLAC, Menlo Park, California; Y.H. Chin, KEK, Ibaraki; S. Doebert, V.A. Dolgashev, J.C. Frisch, R.K. Jobe, SLAC, Menlo Park, California; S. Kazakov, A. Lounine, KEK, Ibaraki; D.J. McCormick, C.D. Nantista, J. Nelson, SLAC, Menlo Park, California; T. Okugi, KEK, Ibaraki; M.C. Ross, T.J. Smith, S.G. Tantawi, SLAC, Menlo Park, California; N. Toge, KEK, Ibaraki","Status of a Linac RF Unit Demonstration for the NLC/GLC X-band Linear Collider",
MOPKF003,"M.J. Ferreira, R.O. Ferraz, H.G. Filho, M.B. Silva, LNLS, Campinas","Design of 2 T Wiggler Vacuum Chamber for the LNLS Storage Ring",
MOPKF004,"X.R. Resende, R.M. Dias, LNLS, Campinas","Magnet Sorting Algorithm Applied to the LNLS EPU",
MOPKF005,"R. Ganter, A.E. Candel, M. Dehler, G.J. Gobrecht, C. Gough, S.C. Leemann, K.L. Li, M. Paraliev, M. Pedrozzi, J.-Y. Raguin, L. Rivkin, V. Schlott, L. Schulz, A. Streun, A. Wrulich, PSI, Villigen","Preliminary Results on a Low Emittance Gun Based on Field Emission",
MOPKF006,"B. Kalantari, T. Korhonen, A. Lüdeke, C. Quitmann, PSI, Villigen","Enhancements of Top-up Operation at the Swiss Light Source",
MOPKF008,"D. Krämer, BESSY GmbH, Berlin","The BESSY Soft X-ray FEL User Facility",
MOPKF009,"F. Marhauser, BESSY GmbH, Berlin","Photoinjector Studies for the BESSY Soft X-ray FEL",
MOPKF010,"A. Meseck, M. Abo-Bakr, B.C. Kuske, BESSY GmbH, Berlin","The Output Performance of the BESSY Multi-stage HGHG-FEL",
MOPKF011,"A. Meseck, M. Abo-Bakr, B.C. Kuske, BESSY GmbH, Berlin","Output Variability of the BESSY Soft X-ray FEL",
MOPKF012,"E. Weihreter, BESSY GmbH, Berlin; D. Berger, HMI, Berlin; J. Feikes, P. Kuske, BESSY GmbH, Berlin; N.A. Mezentsev, BINP SB RAS, Novosibirsk; R. Müller, BESSY GmbH, Berlin; V. Shkaruba, BINP SB RAS, Novosibirsk; G. Wustefeld, BESSY GmbH, Berlin","A 7T Multipole Wiggler in BESSY II: Implementation and Commissioning Results",
MOPKF013,"D. Janssen, FZR, Dresden; M. Dohlus, DESY, Hamburg","The Influence of the Main Coupler Field on the Transverse Emittance of a Superconducting RF Gun",
MOPKF014,"D. Janssen, FZR, Dresden; V. Volkov, BINP SB RAS, Novosibirsk","Emittance Compensation of a Superconducting RF Photoelectron Gun by a Magnetic RF Field",
MOPKF015,"J. Teichert, H. Buettig, P. Evtushenko, D. Janssen, FZR, Dresden; W.-D. Lehmann, IfE, Dresden; U. Lehnert, P. Michel, Ch. Schneider, FZR, Dresden; J. Stephan, IKST, Drsden; V. Volkov, BINP SB RAS, Novosibirsk; I. Will, MBI, Berlin","A Superconducting Photo-Injector with 3+1/2- Cell Cavity for the ELBE Linac",
MOPKF016,"Y. Kim, CHEP, Daegu; K. Floettmann, DESY, Hamburg; Y. Kim, CHEP, Daegu; T. Limberg, DESY, Hamburg; D. Son, CHEP, Daegu","S2E Simulations on Jitter for European XFEL Project",
MOPKF017,"Y. Kim, CHEP, Daegu; K. Floettmann, DESY, Hamburg; Y. Kim, D. Son, CHEP, Daegu","New Simulations on Microbunching Instability at TTF2",
MOPKF018,"Y. Kim, CHEP, Daegu; M. Dohlus, K. Floettmann, DESY, Hamburg; Y. Kim, CHEP, Daegu; T. Limberg, DESY, Hamburg; D. Son, CHEP, Daegu","Injector and Bunch Compressor for the European XFEL Project",
MOPKF020,"H. Schlarb, DESY, Hamburg; P.H. Bucksbaum, A. Cavalieri, Michigan University, Ann Arbor, Michigan; S. Düsterer, J. Feldhaus, DESY, Hamburg; D. Fritz, Michigan University, Ann Arbor, Michigan; J. Hauschildt, R. Ischebeck, DESY, Hamburg; S. Lee, Michigan University, Ann Arbor, Michigan; K. Ludwig, DESY, Hamburg; D. Reis, Michigan University, Ann Arbor, Michigan; B. Schmidt, P. Schmüser, S. Simrock, B. Steffen, F. Van den Berghe, A. Winter, DESY, Hamburg","Proposal for a Sub-100 fs Electron Bunch Arrival-time Monitor for the VUV-FEL at DESY",
MOPKF021,"S. Schreiber, DESY, Hamburg; J.H. Han, DESY Zeuthen, Zeuthen; P. Michelato, L. Monaco, D. Sertore, INFN/LASA, Segrate (MI)","Properties of Cathodes Used in the Photoinjector RF Gun at the DESY VUV-FEL",
MOPKF022,"S. Schreiber, DESY, Hamburg","Commissioning of the VUV-FEL Injector at TTF",
MOPKF025,"R. Rossmanith, A. Bernhard, FZK-ISS-ANKA, Karlsruhe; D. Dölling, A. Hobl, ACCEL, Bergisch Gladbach; B.K. Kostka, FZK-ISS-ANKA, Karlsruhe; D. Krischel, S. Kubsky, ACCEL, Bergisch Gladbach; U. Schindler, Erlangen University, Erlangen; T. Schneider, FZ Karlsruhe, Karlsruhe; E. Steffens, Erlangen University, Erlangen","Planar and Planar Helical Superconductive Undulators for Storage Rings, State of the Art",
MOPKF026,"J.H. Han, K. Abrahamyan, DESY Zeuthen, Zeuthen; I. Bohnet, DESY, Hamburg; J. Bähr, DESY Zeuthen, Zeuthen; J.-P. Carneiro, K. Floettmann, DESY, Hamburg; H.-J. Grabosch, DESY Zeuthen, Zeuthen; M.V. Hartrott, BESSY GmbH, Berlin; M. Krasilnikov, D. Lipka, DESY Zeuthen, Zeuthen; P. Michelato, INFN/LASA, Segrate (MI); V. Miltchev, DESY Zeuthen, Zeuthen; L. Monaco, INFN/LASA, Segrate (MI); A. Oppelt, B. Petrosyan, D. Pose, DESY Zeuthen, Zeuthen; R. Richter, BESSY GmbH, Berlin; S. Schreiber, DESY, Hamburg; D. Sertore, INFN/LASA, Segrate (MI); L. Staykov, F. Stephan, DESY Zeuthen, Zeuthen","Conditioning and High Power Test of the RF Guns at PITZ",
