,"M. Jacob","Physics with Accelerators: Opening Talk",7 13,
,"S. Myers","The Performance of LEP and Future Developments",13 18,
,"D. Boehne, K. Blasche, B. Franczak, B. Franzke, H. Prange, R. Steiner","The Performance of SIS and Developments at GSI",18 20,
,"Y. Kimura","The Performance of TRISTAN and Accelerator Development at KEK",23 28,
,"R. D. Ruth","Progress Towards the Design of a Next Linear Collider",28 31,
,"T. Weiland, N. Holtkamp, P. Schuett, R. Wanzenberg","The Resonant Wake Field Transformer (RWT) - Collider",31 34,
,"E. B. Akubakirov, O.V. Arkhipov, L.V. Bobyleva, I. E. Botvinnik, V.L. Bratman, G.G. Denisov, V.I. Kazacha, G. I. Konnov, A. K. Krasnyh, I. V. Kuznetsov, A. Yu Nikitsky, M. M. Ofitserov, E. A. Perelstein, A. I. Sidorov, S. Vinogradov","Generation and Acceleration of High-current Annular Electron Beam in Linear Induction Accelerator and Microwave Power from Cherenkov TWT",34 37,
,"P. Girault, G. Bienvenu, D. Tronc","Power Tests Results of4pi/5 Backward TW Structure Without and With Sled RF Pulse Compressor",37 40,
,"A. Schempp, U. Bessler, J. Dehen, H. Deitinghoff, J. Friedrich, M.J. Gaillard, R. Genre, G. Hadinger, J. Madlung, J. Martin, H.O. Moser, R. Veit","Development of a Variable Energy RFQ for Cluster Acceleration",40 43,
,"R. Pengo, L. Badano, G. Bassato, A. Battistella, G. Bisoffi, G. Buso, M. Cavenago, F. Cervellera, A. Dainelli, A. Facco, P. Favaron, G. Fortuna, J.D. Larson, A. Lombardi, S. Marigo, M.F. Moisio, V. Palmieri, M. Poggi, A.M. Porcellato, R. Preciso, K. Rudol","A Heavy Ion Superconducting Linear Post-Accelerator Called ALPI",43 46,
,"B. Franzke, K. Beckert, H. Eickhoff, B. Franczak, F. Nolden, H. Poth, U. Schaaf, H. Schulte, P. Spaedtke","Commissioning of the Heavy Ion Storage Ring ESR",46 49,
,"D. Brandt, E. Brouzet, R. Cappi, J. Gareyte, R. Garoby, H. Haseroth, P. Lefevre, D Moehl, S. Maury, F. Pedersen, K. Schindl, T.R. Sherwood, L. Thorndahl, D. Warner","High Intensity Options for the CERN Heavy Ion Programme",49 52,
,"M. Harrison, R. Schmidt","The Performance of Proton Antiproton Colliders",55 60,
,"Y. Yarba","The Status and developement of the UNK",60 65,
,"G. Muelhaupt","Status of the ESRF",65 70,
,"S. Ozaki","The Relativistic Heavy Ion Collider RHIC at Brookhaven",70 74,
,"E. Jaeschke","Heavy Ion Storage Rings",77 82,
,"H. W. Schreuder","Review of Superconducting Cyclotrons",82 87,
,"H. G. Price","Review of Electrostatic Accelerators and LINAC Boosters",87 92,
,"J. R. Alonso","Review of Ion Accelerators",95 100,
,"M. Tigner","Electron-Positron Particle Factories",100 104,
,"A. Astbury","Review of Kaon factories",107 112,
,"N. A. Vinokurov","Free-electron Lasers with Electron Storage Rings",112 115,
,"J. M. Ortega","Single-pass FELs",115 119,
,"Hui Zhongxi","FEL Studies in China",121 125,
,"J. Buon","Final Focus Test Beam for the Next Linear Collider",125 128,
,"D. Reistad","Status of the CELSIUS Project",128 131,
,"R. Maier, U. Pfister, R. Theenhaus,  for the COSY-Team","The COSY-Juelivh Project - May 1990 Status",131 134,
,"P. D. Quinn, J.N. Corlett, M.W. Poole, S.L. Thomson","Beam Position Stability in the SRS",134 137,
,"G. Baribaud, J. Borer, C. Bovet, D. Brahy, D. Cocq, H. Kropf, A. Manarin, F. Momal, C. Paillard, M. Rabany, R. Saban, G. Vismara","The LEP Beam Orbit Measurement System: Status and Running-in Results",137 140,
,"S. Joly, P. Balleyguier, CI. Bonetti, J. P. De Brion, R. Dei-Cas, J. Di Crescenzo, P. Fourdin, G. Haouat, S. Striby,  the FEL Team","Progress Report on the BRC Photo-injector",140 143,
,"L. Serafini, P. Michelato, C. Pagani, A. Peretti","Design of the SC Laser Driven Injector for ARES",143 146,
,"M. A. Allen, J. K. Boyd, R.S. Callin, G. Caryotakis, H. Deruyter, K.R. Eppley, K.S. Fant, Z. D. Farkas, J. Feinstein, W.R. Fowkes, J. Haimson, H. A. Hoag, D.B. Hopkins, T. Houk, K. Ko, R.F. Koontz, N.M. Kroll, T.L. Lavine, T.G. Lee, G.A. Loew, B. Mecklenb","RF Power Sources for Linear Colliders",146 149,
,"G. Conciauro, P. Arcioni","A New HOM-free Accelerating Resonator",149 152,
,"C. Arnaud, Ph. Bernard, D. Bloess, P. Brown, G. Cavallari, E. Chiaveri, E. Ciapala, P. Collier, W. Erdt, H. Frischholz, D. Guesewell, G. Geschonke, E. Haebel, N. Hilleret, H. Lengeler, E. Peschardt, J. Schmid, R. Stierlin, J. Tueckmantel, W. Weingarten, G","First Operation of a Full-size Superconducting Cavity Unit in LEP",152 155,
,"Ph. Leconte, B. Aune, J.M. Cavedon, J. Fagot, J. Gastebois, J. M. Hisleur, A. Mosnier, M. Prome","MACSC:\PAC A Superconducting Accelerator Module",155 157,
,"A. Tkatchenko","Review of Polarized Hadron Beams",159 164,
,"D. P. Barber","A Review of Polarized Electron and Positron Beams",164 169,
,"F. Caspers","Recent Developments in Stochastic Cooling",169 174,
,"H. Henke","Review of Linear Colliders",174 179,
,"T. Weis","Injection Systems for High Current Ion Accelerators",181 186,
,"W. A. Barletta","Electron Accelerators with Pulsed Power Drives",186 191,
,"D. H. H. Hoffmann, E. Boggasch, K.-G. Dietrich, V. Dubenkov, A. Golubev, B. Heimrich, J. Jacoby, K. Mahrt-Olt, M. Winkler","Heavy Ion Beams for Intertial Confinement Fusion and Recent Experimental Results",191 196,
,"G. P. Jackson","Beam Diagnostics in Circular Machines:  Review of New Developments",196 200,
,"J. L. Finney","Condensed Matter Research using Particle Beams",203 208,
,"H. Andersen","Accelerators in Applied Research and Technology - A Report on the First European Conference, Frankfurt A/M, September 1989",208 213,
,"C. Bieth,  the SAIF Group","Industrial Applications of Heavy Ion Beams at GANIL",213 216,
,"F. Willeke","Dynamic Aperture, A Review of Theory and Experiment",219 224,
,"K. Yokoya","Review of Beam-beam Interaction in Electron-Positron Circular Colliders",224 229,
,"I. Hofmann, K. Beckert, S. Cocher, U. Schaaf","Diagnostics and Instability Studies of Cooled Ion Beams",229 234,
,"E. Weihreter, G.v. Egan-Krieger, M. v. Hartrott, H. Lehr, M. Martin, D. Oertel, M. Schmidt, L. Schulz","Status of the Superconducting Compact Storage Ring Cosy",237 240,
,"D. Brandt, K. Cornelis, T. Fieguth, A. Hofmann, J.M. Jowett, S. Myers, E. Peschardt, M. Placidi, L. Rivkin, B. Zotter","Intensity Limitations and the Impedance of LEP",240 243,
,"M. Rosing, W. Gai","The Transverse Forces in Wakefield Accelerators",243 246,
,"A. V. Aleksandrov, N.S. Dikansky, N.Ch. Kot, V.I. Kudelainen, V.A. Lebedev, P.V. Logachov, B. M. Smirnov","Temperature Relaxation and Adiabatic Acceleration at Magnetized Electron Flux",246 249,
,"M. Bartsch, M. Dehler, M. Dohlus, F. Ebeling, G. Fischerauer, P. Hahne, R. Klatt, F. Krawczyk, M. Marx, T. Proepper, P. Schuett, B. Steffen, T. Weiland, S. G. Wipf, Min Zhang","MAFIA Release 3: The New Version of the General Purpose Electromagnetic Design Code Family",249 252,
,"J. M. Kats","Density Waves Driven by a High Harmonic Cavity",252 255,
,"S. V. Milton, L. Rivkin","Disruption Limitation to the Beam-Beam Tune Shift in Circular Colliders",255 258,
,"J. Billan, D. Brandt, A.M. Fauchet, T. Fieguth, J.P. Gourber, G. Guignard, K. Huebner, L. Hand, A. Hofmann, J. Jowett, E. Keil, J.P. Koutchouk, A. Millich, H. Moshammer, T. Risselada, L. Rivkin, F. Ruggiero, R. Schmidt, E. Weihreter","Measurements of the LEP Coupling Source",258 261,
,"P. Mandrillon","High-energy Medical Accelerators",263 268,
,"Prof. A. Wambersie","Radiobiological and Clinical Bases of Particle Therapy (Review)",268 271,
,"A. C. A. Aro, D. Bonnet, V. Cosgrove, S. Green, A. Kacperek, M. C. Scott, G. C. Taylor","Microdosimetric Measurements on the Clatterbridge Proton Therapy Beam",271 274,
,"Y. Jongen, A. Laisne, G. Lannoye","Preliminary Design of a Reduced Cost Proton Therapy Facility Using a Compact, High Field Isochronous Cyclotron",274 277,
,"E. Pedroni, R. Bacher, H. Blattmann, T. Boehringer, A. Coray, M. Phillips, S. Scheib","Cancer Therapy with 200 MeV Protons at PSI. Development of a Fast Beam Scanning Method and Future Plans for a Hospital Based Facility",277 280,
,"Y. Hirao, K. Endo, M. Endo, A. Itano, T. Kanai, M. Kanazawa, K. Kawachi, A. Kitagawa, T. Kohno, M. Kumada, T. Matsumoto, S. Minohara, K. Noda, H. Ogawa, K. Sato, Y. Sato, F. Soga, M. Sudou, E. Takada, S. Watanabe, S. Yamada, T. Yamada","HIMAC Project at NIRS-Japan",280 283,
,"D. Gabel","Aproach to BORON Neutron Capture Therapy in EuropC:\PAC Goals of a European Collaboration on BORON Neutron Capture Therapy",283 286,
,"J. M. Slater","Applying Charged Particle Physics Technology for Cancer Control at Loma Linda Univ. Medical Center, USA",286 289,
,"R. Coisson","Insertion Devices for the Production of Electromagnetic Radiation",291 295,
,"M. N. Wilson","Compact Synchrotron X-Ray Sources",295 300,
,"S. Noguchi","Review of Progress in the Field of Superconducting Cavities",303 308,
,"A. M. Sessler","New Techniques for Particle Accelerators",308 314,
,"S. Tazzari,  The ARES Des. Study Group","The ARES Project",317 320,
,"V. Chohan, F. Pedersen, D.J. Williams, S. van der Meer","Measurement of Coherent Quadrupole Oscillations at Injection into the Antiproton Accumulator",320 323,
,"A. F. Jacob, G.R. Lambertson, F. Voelker","On the Beam Impedance of Shallow Tapered Cavities",323 326,
,"D. Leroy, R. Perin,  The CERN LHC Magnet Team","Development of High-field Superconducting Magnets for the Large Hadron Collider",326 329,
,"H. Brueck, D. Gall, G. Knies, J. Krzywinski, R. Lange, R. Meinke, H. Preissner, P. Schmueser, Y. Zhao","Time Dependence of Persistent-Current Field Distortions in the Superconducting HERA Magnets",329 332,
,"B. I. Grishanov, A.I. Drozhdin, Yu. G. Karshev, G.I. Silvestrov","Fast Bunch by Bunch Ejection of 3 TeV Proton Beam from UNK Storage Ring",332 334,
,"M. Clausen, P. D. Duval, Chr. Gerke, K.-H. Mess, S. Rettig, B. Schoeneburg","Cryogenic Controls at HERA",334 337,
,"O. Groe","The Performance of the Ultra-high Vacuum System of LEP and the Experience Gained during the First Year of Operation",337 340,
,"R. Bonifacio, E. Acerbi, F. Casagrande, G. Cerchioni, C. De Martinis, L. De Salvo Souza, B. Mc Neil, P. Pierini, T. Scharlemann, N. Sterpi","The ELFA Project",340 343,
,"G. Le Dallic, J. Christiansen, K. Frank, R. Kowalewicz, M. Lubrano di Scampamorte, S. Milner, H. Riege, M. Stetter, R. Tkotz","First Test Results from the New CERN Plasma Lens",343 346,
,"M. Mizumoto, H. Akabori, K. Hasegawa, R. A. Jameson, Y. Kaneko, I. Kanno, Y. Nakahara, Y. Nishida, Y. Okumura, H. Shirakata, M. Sugimoto, H. Takada, T. Takizuka, H. Yasuda","Transmutation of Transuranium Waste with High Energy Proton Induced Spallation Reaction",346 349,
,"B. Wiik","The Status of HERA",351 356,
