FRX01A,"D.M. Lewis","Accelerators in Industry",
FRX03A,"R. Bingham","Laser Plasma Accelerators",
FRX04A,"E.J.N. Wilson","Fifty Years of Synchrotrons",
FRY01A,"U. Amaldi","Accelerators for Medical Applications",
FRY02A,"J. Gareyte","Accelerator Physics Issues of the LHC",
MOO01A,"D.A. Finley","Fermilab Accelerators: Status and Plans",
MOO02A,"G.L. Arduini, R. Bailey, T. Bohl, F. Bordry, H. Burkhardt, P. Collier, K. Cornelis, A. Faugier, V. Hatton, M. Jonker, M. Lamont, J. Miles, G. Roy, H. Schmickler, J. Wenninger, G. de Rijk","LEP1 Operation, 1989-1995",
MOO03A,"W. Bialowons, D.R.C. Kelly, K. Wittenburg","HERA Electron-Beam Lifetime Disruption Machine Studies and Observations",
MOO04A,"D.J. Simon","The CERN PS Complex: A Versatile Particle Factory",
MOO05A,"J. Gardelle, J. Labrouche, J.L. Rullier","First Optical Measurement of a Bunched Beam Produced by a 35 GHz Free Electron Laser",
MOO06A,"A. Dainelli, et al.","First Year Operation of the ALPI Post-accelerator",
MOO07A,"K. Kaspar, E. Malwitz, S. Minaev, U. Ratzinger, R. Tiede","The RFQ Section of the New Unilac Prestripper Accelerator at GSI",
MOO08A,"K.R. Crandall, F.W. Guy, D.A. Swenson","Merits of the RFD Linac Structure for Proton and Light-Ion Acceleration Systems",
MOP001L,"P. Kuske, K. Ott","Beam-Based Alignment at BESSY",
MOP002G,"M. Blaskiewicz, J.M. Brennan","A Barrier Bucket Experiment for Accumulating De-bunched Beam in the AGS",
MOP002L,"K. Ott","Quadrupole Misalignment Determination at BESSY",
MOP003G,"R. Gupta","Field Quality in Superconducting Magnets for Large Particle Accelerators",
MOP004G,"R. Lambiase","Overview of the Power Conversion Systems for the RHIC Project",
MOP005G,"W.W. Mackay, et al.","AGS to RHIC Transfer Line: Design and Commissioning",
MOP005L,"A.G. Ruggiero, W.T. Weng, S.Y. Zhang","Space Charge and Coherent Effects in the NSNS Storage Ring",
MOP006G,"T. Satogata, et al.","Physics of the AGS-To-RHIC Transfer Line Commissioning",
MOP006L,"V.V. Danilov, E.A. Perevedentsev","Analytical 1D Method of Increasing the Dynamic Aperture in Storage Rings",
MOP007G,"G. Ganetis, R. Gupta, M. Harrison, M. Hemmer, A. Jain, F. Karl, S. Peggs, S. Tepikian, P. Thompson, D. Trbojevic, P. Wanderer, J. Wei","Misalignment Evaluation of Superconducting Magnets in the Relativistic Heavy Ion Collider",
MOP007L,"V.V. Danilov, P.M. Ivanov, I.A. Koop, I.N. Nesterenko, E.A. Perevedentsev, D.N. Shatilov, Yu.M. Shatunov, A.N. Skrinsky","The Concept of Round Colliding Beams",
MOP008G,"J. Belorgey, J. Billan, J. Deregel, A. Devred, B. Gallet, P. Genevey, J.M. Rifflet, J.Cl. Sellier, P. Vedrine","Field Quality of LHC/Saclay Arc Quadrupole Magnet Prototype",
MOP009G,"F. Bordry, A. Dupaquier","High Current, Low Voltage Power Converters for LHC. Present Development Directions",
MOP010G,"L. Bottura, A. Faus-Golfe, L. Walckiers, R. Wolf","Field Quality of the Main Dipole Magnets for the LHC Accelerator",
MOP010L,"V. Kiselev, E. Levichev, I. Protopopov, V. Sajaev, V.V. Smaluk","Non-Linear Beam Dynamics Experiments at VEPP-4M Ring",
MOP011G,"K. Dahlerup-Petersen, F. Schmidt","Evaluation of Impact from Ripple and Transient Phenomena in the LHC Dipole Strings.",
MOP012G,"G. Catanesi, V. Falaleev, A. Gugliemi, V. Palladino, S. Peraire, H. Plothow-Besch, S. Tovey, E. Tsesmelis, L. Winton, G. de Rijk","CERN West Area Neutrino Facility Beam Alignment",
MOP014G,"C. Biino, M. Clement, N. Doble, K. Elsener, L. Gatignon, P. Grafstrom, K. Kirsebom, U. Mikkelsen, S.P. Moller, E. Uggerhoj, T. Worm","The Influence of Radiation Damage on the Deflection of High Energy Beams in Bent Silicon Crystals",
MOP015G,"V. Berland, H. Gerstenberg, D. Hagedorn, F. Rodriguez-Mateos","Annealing of Superconducting Magnet Protection Diodes for the LHC After Irradiation at Liquid Helium Temperatures",
