mooth1,"K. Oide [KEK, Ibaraki, Japan] ","Overview of High Energy e+e- Factories",99 98,
mooth2,"Y. Funakoshi [KEK, Ibaraki, Japan] ","Commissioning of SuperKEKB",4 8,
mooth3,"Q. Qin [IHEP, Bejing, People's Republic of China] ","Overview on Low Energy Collider",9 16,
mooth4,"D. Einfeld [ESRF, Grenoble, France] ","Performance and Perspective of Modern Synchrotron Light Sources",17 24,
mot3ah2,"F. Zimmermann [CERN, Geneva, Switzerland] ","Higgs Factory Concepts",25 31,
mot3ah3,"D.B. Shwartz, D.E. Berkaev, I. Koop, E. Perevedentsev, Yu. A. Rogovsky, P.Yu. Shatunov, Y.M. Shatunov [BINP SB RAS, Novosibirsk, Russia] E. Perevedentsev, Yu. A. Rogovsky, Y.M. Shatunov [NSU, Novosibirsk, Russia] ","Implementation of Round Colliding Beams Concept at VEPP-2000",32 38,
mot3bh3,"H. Geng, J. Gao, Q. Qin, D. Wang, Y. Wang, Y. Zhang [IHEP, Beijing, People's Republic of China] F. Su [Institute of High Energy Physics (IHEP), People's Republic of China] ","Issues in CEPC Pretzel and Partial Double Ring Scheme Design",39 42,
mot4h6,"E. Gianfelice-Wendt [Fermilab, Batavia, Illinois, USA] ","Simulations of Polarization Levels and Spin Tune Biases in High Energy Leptons Storage Rings",43 46,
mot4h7,"S.R. Mane [Convergent Computing, Shoreham, New York, USA] ","Ideas for Siberian Snakes and Spin Rotators in Very High Energy e+e- Rings",47 48,
ths1h1,"F. Zimmermann, R.W. Assmann (R.W. Aßmann) [CERN, Geneva, Switzerland] A.P. Blondel [DPNC, GenÃ¨ve, Switzerland] ","Summary of Design Concepts",195 198,
ths1h2,"K. Oide [KEK, Ibaraki, Japan] ","Summary of Optics Issues",199 199,
ths1h4,"Y. Funakoshi [KEK, Ibaraki, Japan] ","Summary of IR and MDI Session",200 202,
ths1h5,"A. Chao [SLAC, Menlo Park, California, USA] ","Summary Beam-beam Session, eeFACT2016 Workshop",203 205,
ths1h6,"J.T. Seeman [SLAC, Menlo Park, California, USA] ","Summary of Injector and Beam Injection",206 209,
ths2h1,"F. Zimmermann [CERN, Geneva, Switzerland] ","Summary of Impedance Issues and Beam Instabilities",210 215,
ths2h2,"M.E. Biagini [INFN/LNF, Frascati (Roma), Italy] ","Summary of Machine Tuning Session",216 219,
ths2h3,"H. Fukuma [KEK, Ibaraki, Japan] ","Summary of Beam Instrumentation and Beam Diagnostics Session",220 222,
ths2h4,"R.A. Rimmer [JLab, Newport News, Virginia, USA] ","SRF Working Group Summary",223 230,
ths2h6,"W. Chou [Fermilab, Batavia, Illinois, USA] ","Summary: Joint Session of Other Technologies and Energy Efficiency",231 233,
tut1ah1,"Y. Ohnishi [KEK, Ibaraki, Japan] ","Issues on IR Design at SuperKEKB",49 52,
tut1ah2,"Q.L. Xiu, J. Gao, X.C. Lou, B. Sha, D. Wang, Y. Wang, H. Zhu [IHEP, Bejing, People's Republic of China] ","Design of Interaction Region and MDI at CEPC",53 56,
tut1ah3,"M. Koratzinos [DPNC, GenÃ¨ve, Switzerland] ","The FCC-ee Interaction Region Magnet Design",57 60,
tut1bh2,"K. Ohmi [KEK, Ibaraki, Japan] ","Study of Coherent Head-tail Instablility Due to Beam-beam Interaction in Cirular Colliders Based on Crab Waist Scheme",61 65,
tut2h1,"J.T. Seeman [SLAC, Menlo Park, California, USA] ","Top-up Injection for a Future Electro-positron Collider",66 73,
tut2h2,"T. Natsui, D. Satoh, M. Yoshida, R. Zhang, X. Zhou [KEK, Ibaraki, Japan] ","Injector Linac Upgrade and New RF Gun Development for SuperKEKB",74 78,
tut2h3,"T.J. Bian, X. Cui, J. Gao, B. Sha, D. Wang, Y. Wang, M. Xiao, C. Zhang [IHEP, Beijing, People's Republic of China] Y. Cai [SLAC, Menlo Park, California, USA] M. Koratzinos [DPNC, GenÃ¨ve, Switzerland] F. Su [Institute of High Energy Physics (IHEP), People's Republic of China] ","Design study of CEPC Booster",79 84,
tut2h4,"Z. Duan, J. Chen, Y. Jiao, Y.M. Peng, Q.Y. Wang, G. Xu, P. Zhang [IHEP, Beijing, People's Republic of China] ","Top-up Injection Schemes for HEPS",85 89,
