1,"A. Burril, BNL, ; M. Poelker, JLab","ERL07 Working Group 1 Summary: Electron Guns and Injector Designs",139 144,
10,"N. Nishimori, R. Hajima, H. Iijima, R. Nagai, Japan Atomic Energy Agency (JAEA), ; T. Nishitani, RIKEN","Development of an Electron Gun for the ERL Light Source in Japan",11 14,
11,"J. Smedley, T. Rao, J. Warren, Brookhaven National Laboratory (BNL), ; P. Kneisel, Thomas Jefferson National Accelerator Facility (JLAB), ; J. Sekutowicz, J. Iversen, D. Klinke, D. Kostin, W. Möller, A. Muhs, Deutsches Elektronen-Synchrotron (DESY), ; P. Strzyzewski, A. Soltan, The Andrzej Soltan Institute for Nuclear Studies Centre Swierk","QE Measurements of a Nb-Pb SRF Photoinjector",95 98,
12,"L. Jones, ASTeC, STFC Daresbury Laboratory","Status of the ERLP Photoinjector Drive Laser",112 114,
13,"I. Will, Max Born Institute","Drive Lasers for Photoinjectors",99 98,
14,"H. Owen, B. Muratori, P. Williams, ASTeC, STFC Daresbury Laboratory","Optics Issues for the 4GLS High-Current ERL",19 25,
15,"S. Sakanaka, High Energy Accelerator Research Organisation (KEK)","Investigation of Bunch-Gap Effects for Curing Ion Trapping in Energy Recovery Linacs",41 44,
16,"N. Nakamura, Institute for Solid State Physics, University of Tokyo","Study of Resistive-Wall Beam Breakup",45 49,
17,"M. Tobiyama, K. Haga, S. Hiramatsu, T. Kasuga, T. Mitsuhashi, T. Naito, T. Obina, M. Satoh, M. Tadano, K. Furukawa, High Energy Accelerator Research Organisation (KEK), ; N. Nakamura, Institute for Solid State Physics, University of Tokyo","Beam Instrumentation for the KEK ERL Test Facility",50 52,
18,"C. Wang, J. Noonan, J. Lewellen, Argonne National Laboratory (ANL)","Dual-Axis Energy Recovery Linac",122 125,
19,"E. Wooldridge, B. Muratori, ASTeC, STFC Daresbury Laboratory","4GLS Cavity Considerations for BBU",126 128,
2,"R. Hajima, Japan Atomic Energy Agency (JAEA), ; H. Owen, CCLRC/DL/ASTeC","ERL07 Working Group 2 Summary: Optics and Beam Transport",145 152,
20,"S. Smith, ASTeC, STFC Daresbury Laboratory","The Status of the Daresbury Energy Recovery Linac Prototype (ERLP)",6 10,
21,"B. Militsyn, ASTeC, STFC Daresbury Laboratory","Injection System of 4GLS Light Source",15 18,
22,"S. Lidia, F. Sannibale, J. Staples, S. Virostek, R. Wells, Lawrence Berkeley National Laboratory (LBNL)","Development of a High-Brightness VHF Electron Source at LBNL",37 40,
23,"F. Staufenbiel, A. Arnold, D. Janssen, P. Michel, R. Xiang, FZD, ; T. Kamps, Berliner Elektronenspeicherring-Gesellschaft für Synchrotronstrahlung m.b. H. (BESSY), ; D. Lipka, Deutsches Elektronen-Synchrotron (DESY), ; J. Teichert, U. Lehnert, FZD","Beam Parameter Simulation of the Rossendorf SRF Gun and Comparison with Other SRF Photoinjectors",65 69,
24,"J. Han, K. Flottmann, Deutsches Elektronen-Synchrotron (DESY)","Half Cell Length Optimization of Photocathode RF Gun",70 74,
25,"J. Teichert, H. Buettig, M. Justus, K. Moeller, P. Murcek, C. Schneider, R. Schurig, FZD, ; J. Stephan, IKS, ; W. Lehmann, SGE, ; G. Klemz, Max Born Institute, ; A. Matheisen, B. Horst, Deutsches Elektronen-Synchrotron (DESY), ; P. vom Stein, ACCEL Instruments, ; V. Volkov, Budker Institute of Nuclear Physics, ; A. Arnold, D. Janssen, U. Lehnert, P. Michel, K. Moeller, F. Staufenbiel, R. Xiang, FZD, ; T. Kamps, Berliner Elektronenspeicherring-Gesellschaft für Synchrotronstrahlung m.b. H. (BESSY), ; I. Will, Max Born Institute, ; D. Lipka, Deutsches Elektronen-Synchrotron (DESY)","Status of the Superconducting RF Photo-Injector Development",99 107,
