FROA001,"P.H. Bucksbaum, Michigan University, Ann Arbor, Michigan","What to Do with Femtosecond Pulses?",
FROA002,"A. Winter, DESY, Hamburg; dc. Cheever, J. Chen, F.O. Ilday, F.X. Kaertner, J. Kim, MIT, Cambridge, Massachusetts; H. Schlarb, DESY, Hamburg; P. Schmuser, Uni HH, Hamburg; D. Wang, T. Zwart, MIT, Middleton, Massachusetts","Synchronization of Femtosecond Pulses",
FROA003,"C.J. Bocchetta, D. Bulfone, ELETTRA, Basovizza, Trieste; J.N. Corlett, LBNL, Berkeley, California; M. Cornacchia, SLAC, Menlo Park, California; P. Craievich, G. D'Auria, M.B. Danailov, G. De Ninno, S. Di Mitri, B. Diviacco, ELETTRA, Basovizza, Trieste; P. Emma, SLAC, Menlo Park, California; W.M. Fawley, LBNL, Berkeley, California; M. Ferianis, A. Gomezel, ELETTRA, Basovizza, Trieste; W. Graves, MIT, Middleton, Massachusetts; Z. Huang, SLAC, Menlo Park, California; F. Iazzourene, ELETTRA, Basovizza, Trieste; F.O. Ilday, F.X. Kaertner, MIT, Cambridge, Massachusetts; E. Karantzoulis, ELETTRA, Basovizza, Trieste; S.M. Lidia, LBNL, Berkeley, California; F. Parmigiani, Universita Cattolica-Brescia, Brescia; G. Penco, ELETTRA, Basovizza, Trieste; G. Penn, A. Ratti, J.W. Staples, LBNL, Berkeley, California; M. Trovo, ELETTRA, Basovizza, Trieste; D. Wang, MIT, Middleton, Massachusetts; R.B. Wilcox, LBNL, Berkeley, California; J. Wu, SLAC, Menlo Park, California; A. Zholents, LBNL, Berkeley, California; T. Zwart, MIT, Middleton, Massachusetts","FERMI @ Elettra: A Seeded Harmonic Cascade FEL for EUV and Soft X-Rays",
FROA004,"J.W. Staples, R.B. Wilcox, LBNL, Berkeley, California","Fiber Transmission Stabilization by Optical Heterodyning Techniques and Synchronization of Mode-Locked Lasers Using Two Spectral Lines",
FROA005,"I. Will, MBI, Berlin; S. Düsterer, J. Feldhaus, E. Plönjes, H. Redlin, DESY, Hamburg","Optical Laser Synchronized to the DESY VUV-FEL for Two-Color Pump-Probe Experiments",
FROB001,"T. Ishikawa, RIKEN Spring-8 Harima, Hyogo","Nano-Focusing of XFEL",
FROB002,"J. Miao, UCLA, Los Angeles, California","3D Coherent X-Ray Diffraction Microscopy: the Present and the Future",
FROB003,"J. Bahrdt, BESSY GmbH, Berlin","Tracking of Wavefronts",
FROB004,"S. Reiche, UCLA, Los Angeles, California","Diffraction Simulations of the LCLS FEL Pulse on Crystals",
MOOA001,"H. Hama, LNS, Sendai","Dream of Isochronous Ring Again",
MOOA002,"V. Litvinenko, BNL, Upton, Long Island, New York","Optics-Free FEL Oscillator",
MOOB001,"A. Sessler, LBNL, Berkeley, California","Einstein: His Impact on Accelerators; His Impact on the World",
MOOB002,"S. Schreiber, DESY, Hamburg","First Lasing at 32 nm of the VUV-FEL at DESY",
MOOB003,"H. Yamada, SLLS, Shiga","First Lasing of the Photon Storage Ring FIR Laser Based on an Exact Circular Tabletop Synchrotron",
MOOB004,"S.V. Benson, K. Beard, C.P. Behre, G.H. Biallas, J. Boyce, D. Douglas, H.F.D. Dylla, R. Evans, A.G. Grippo, J.G. Gubeli, D. Hardy, C. Hernandez-Garcia, K. Jordan, L. Merminga, G. Neil, Jefferson Lab, Newport News, Virginia; N. Nishimori, JAEA/FEL, Ibaraki-ken; J.P. Preble, M.D. Shinn, T. Siggins, R.L. Walker, G.P. Williams, S. Zhang, Jefferson Lab, Newport News, Virginia","Recent Results from the IR Upgrade FEL at Jefferson Lab",
MOOB005,"M. Li, X. Jin, Z. Xu, CAEP/IAE, Mianyang, Sichuan","First Lasing of the CAEP FIR-FEL",
MOOC001,"L. Giannessi, ENEA C.R. Frascati, Frascati (Roma); P. Musumeci, Universita di Roma I La Sapienza, Roma; S. Spampinati, ENEA C.R. Frascati, Frascati (Roma)","Non Linear Pulse Evolution in Seeded and Cascaded FELs",
MOOC002,"I.S. Ko, PAL, Pohang, Kyungbuk","PAL-XFEL Project",
MOOC003,"T.V. Shaftan, S. Krinsky, D.F.L. Liu, BNL, Upton, Long Island, New York; H. Loos, SLAC, Menlo Park, California; J.B. Murphy, J. Rose, X.J. Wang, T. Watanabe, L.-H. Yu, BNL, Upton, Long Island, New York","Radiation Spectrum Statistics in a High-Gain Free-Electron Laser at 266 nm",
MOOC004,"G. Lambert, M. Bougeard, W. Boutu, P. Breger, CEA/DSM/DRECAM/SPAM, Gif-sur-Yvette; B. Carre, CEA/Saclay, Gif-sur-Yvette; M.-E. Couprie, D. Garzella, CEA/DSM/DRECAM/SPAM, Gif-sur-Yvette; T. Hara, H. Kitamura, RIKEN Spring-8 Harima, Hyogo; H. Merdji, P. Monchicourt, P. Salieres, CEA/DSM/DRECAM/SPAM, Gif-sur-Yvette; T. Shintake, RIKEN Spring-8 Harima, Hyogo","Seeding the FEL of the SCSS Phase 1 Facility with the 13th Laser Harmonic of a Ti: Sa Laser (61.5 nm) Produced in Xe Gas",
MOOC005,"E. Saldin, E. Schneidmiller, M.V. Yurkov, DESY, Hamburg","Properties of the Radiation from VUV-FEL at DESY (Femtosecond Mode of Operation)",
MOPP001,"M. Abo-Bakr, R. Follath, A. Meseck, BESSY GmbH, Berlin","Coherence Improvement of the BESSY HGHG FEL Radiation",
MOPP002,"K. Goldammer, M. Abo-Bakr, R. Follath, A. Meseck, BESSY GmbH, Berlin","Prospects of the BESSY High-Energy FEL",
MOPP003,"K. Goldammer, A. Meseck, BESSY GmbH, Berlin","Benefits from the BESSY FEL Higher Harmonic Radiation",
MOPP004,"K. Goldammer, BESSY GmbH, Berlin; P. Emma, Z. Huang, SLAC, Menlo Park, California","Effects of Tapered Betafunction in the LCLS Undulators",
MOPP005,"B.C. Kuske, M. Abo-Bakr, A. Meseck, BESSY GmbH, Berlin","Impact of Realistic Bunch Profiles and Timing Jitter on the Output of the BESSY Low Energy FEL Line",
MOPP006,"B.C. Kuske, M. Abo-Bakr, K. Goldammer, A. Meseck, BESSY GmbH, Berlin","Start-to-End Simulations for the BESSY Low and Medium Energy FEL Line Including Errors",
MOPP007,"A. Meseck, M. Abo-Bakr, J. Bahrdt, B.C. Kuske, BESSY GmbH, Berlin","Source Characterization of BESSY Soft X-Ray FEL",
MOPP008,"A. Meseck, J. Bahrdt, BESSY GmbH, Berlin","Tolerance Studies of a Seeded REVOLVER-Undulator FEL",
MOPP010,"E. Saldin, E. Schneidmiller, M.V. Yurkov, DESY, Hamburg","Properties of the Third Harmonic of the SASE FEL Radiation",
MOPP011,"M.-E. Couprie, CEA/DSM/DRECAM/SPAM, Gif-sur-Yvette; B. Carre, CEA/Saclay, Gif-sur-Yvette; O.V. Chubar, SOLEIL, Gif-sur-Yvette; D. Garzella, CEA/Saclay, Gif-sur-Yvette; M. Jablonka, CEA/DSM/DAPNIA, Gif-sur-Yvette; M. LABAT, CEA/DSM/DRECAM/SPAM, Gif-sur-Yvette; G. Lambert, CEA/Saclay, Gif-sur-Yvette; A. Loulergue, SOLEIL, Gif-sur-Yvette; J.-R. Marques, LULI, Palaiseaux; F. Meot, CEA/DSM/DAPNIA, Gif-sur-Yvette; P. Monot, CEA/DSM, Gif-sur-Yvette; A. Mosnier, CEA/DSM/DAPNIA, Gif-sur-Yvette; L. Nahon, SOLEIL, Gif-sur-Yvette; J.-M. Ortega, LURE, Orsay; A. Rousse, LOA, Palaiseau","The ARC-EN-CIEL FEL Proposal",
MOPP012,"G. Lambert, CEA/DSM/DRECAM/SPAM, Gif-sur-Yvette","Seeding the FEL of the SCSS Phase 1 Facility with the 13th Laser Harmonic of a Ti:Sa Laser Produced in Xe Gas",
MOPP013,"G. De Ninno, ELETTRA, Basovizza, Trieste; W.M. Fawley, LBNL, Berkeley, California; W. Graves, MIT, Middleton, Massachusetts","Optimization Studies of the FERMI at ELETTRA FEL Design",
