FRAAU01,"O. V. Chubar, M. Labat, G. Lambert, O. Marcouillé, M.-E. Couprie, SOLEIL, Gif-sur-Yvette","Source of Radiation on ARC-EN-CIEL Proposal",505 512,
FRAAU02,"M. Abo-Bakr, J. Bahrdt, BESSY GmbH, Berlin; M. Brandin, MAX-lab, Lund; K. Goldammer, BESSY GmbH, Berlin; A. L'Huillier, Lund University, Division of Atomic Physics, Lund; F. Lindau, D. Pugachov, S. Thorin, S. Werin, MAX-lab, Lund","Status of the FEL Test Facility at MAX-lab",513 516,
FRAAU03,"A. N. Matveenko, N. Vinokurov, O. A. Shevchenko, BINP SB RAS, Novosibirsk","Compact Ring FEL as a Source of High Power Infrared Radiation",517 520,
FRAAU04,"T. Igo, S. Kashiwagi, R. Kato, M. Morio, G. Isoyama, ISIR, Osaka","Re-Commissioning of the Far-Infrared Free Electron Laser for Stable and High Power Operation after the Renewal of the L-Band Linac at ISIR, Osaka University",521 524,
MOBAU01,"E. Saldin, DESY, Hamburg","Self-Force-Derived Mass of an Electron Bunch",99 98,
MOBAU02,"J. Rossbach, Uni HH, Hamburg","Technology Challenges Towards Short-Wavelength FELs",9 13,
MOCAU01,"D. J. Dunning, STFC/DL/ASTeC, Daresbury, Warrington, Cheshire; B. W.J. McNeil, USTRAT/SUPA, Glasgow; N. Thompson, STFC/DL/ASTeC, Daresbury, Warrington, Cheshire","Short Wavelength Regenerative Amplifier FELs",182 187,
MOCAU02,"N. Vinokurov, O. A. Shevchenko, BINP SB RAS, Novosibirsk","Numerical Solution of the FEL Correlation Function Equation",188 191,
MOCAU03,"M.-E. Couprie, M. Labat, G. Lambert, SOLEIL, Gif-sur-Yvette; O. Tcherbakoff, CEA, Gif-sur-Yvette; O. V. Chubar, SOLEIL, Gif-sur-Yvette","Numerical Propagation Simulations and Coherence Analysis of SASE Wavefronts",192 195,
MOCAU04,"E. Saldin, E. Schneidmiller, M. V. Yurkov, G. Geloni, DESY, Hamburg","Impact of Longitudinal Space-charge Wake from FEL Undulators on Current-enhanced SASE Schemes",196 199,
MOCAU05,"Z. Huang, G. V. Stupakov, SLAC, Menlo Park, California","Space Charge Effect in an Accelerated Beam",200 203,
MOPPH003,"S. Sytova, Belarussian State University, Scientific Research Institute of Nuclear Problems, Minsk","VOLC: Volume Free Electron Laser Simulation Code",14 17,
MOPPH004,"W. Decking, T. Limberg, M. Roehrs, B. Beutner, DESY, Hamburg","Measurement and Analysis of CSR effects at FLASH",18 21,
MOPPH005,"S. M. Meykopff, L. Fröhlich, DESY, Hamburg","Improvements of the Tracking Code Astra for the Simulation of Dark Current Losses in the FLASH Linac",22 25,
MOPPH006,"E. Saldin, E. Schneidmiller, M. V. Yurkov, G. Geloni, DESY, Hamburg","Longitudinal Wake Field for an Electron Beam Accelerated through a Ultra-High Field Gradient",26 29,
MOPPH007,"E. Saldin, E. Schneidmiller, M. V. Yurkov, G. Geloni, DESY, Hamburg","Theory of Nonlinear Harmonic Generation in Free-Electron Lasers with Helical Wigglers",30 33,
MOPPH009,"E. Saldin, E. Schneidmiller, M. V. Yurkov, G. Geloni, DESY, Hamburg","Undulator Radiation in a Waveguide",34 37,
MOPPH010,"K.-J. Kim, ANL, Argonne, Illinois; V. Kumar, RRCAT, Indore (M. P.)","Three-Dimensional Analysis of the Surface Mode Supported by a Reflection Grating",38 41,
MOPPH011,"S. Babaei, B. Maraghechi, AUT, Tehran","Comparison Between Kinetic and Fluid Description of Plasma-Loladed Free-Electron Laser",42 45,
MOPPH012,"A. Chakhmachi, AEOI, Tehran; B. Maraghechi, AUT, Tehran","Conservation Laws in Quasilinear Theory of Raman Free-Electron Laser",46 49,
MOPPH015,"G. De Ninno, E. Allaria, ELETTRA, Basovizza, Trieste","Limit for Harmonic Conversion in a Single Cascade of Coherent Harmonic Generation",50 53,
MOPPH017,"V. Petrillo, Universita' degli Studi di Milano, Milano; L. Serafini, C. Maroli, INFN-Milano, Milano","1D Linear Intensity Spiking Evolution in a Single Shot of a SASE FEL",54 57,
MOPPH019,"Y. H. Dou, X. J. Shu, IAP, Beijing","Optimized Designs for CAEP IR Free-electron Laser",58 60,
MOPPH020,"R. Ando, Kanazawa University, Kanazawa; N. S. Ginzburg, IAP/RAS, Nizhny Novgorod; K. Kamada, Kanazawa University, Kanazawa; N. Yu. Peskov, R. M. Rozental, A. Sergeev, V. Yu. Zaslavsky, A. Malkin, IAP/RAS, Nizhny Novgorod","FEL with Orotron Type Feedback",61 64,
