MOACH01,"C.Zhang","An overview of the BEPCII project",
MOACH02,"J.Q. Wang; L. Ma; C. Zhang","The Second phase COMMISSIONIng of BEPCII",
MOACH03,"Q. Qin; N. Huang; W.B. Liu; Y.D. Liu; Y.M. Peng; J. Qiu; D. Wang; X.H. Wang; N. Wang; J.Q. Wang; Y.Y. Wei; X.M. Wen; J. Xing; G. Xu; C.H. Yu; C. Zhang; Y. Zhang; Z. Zhao; D.M. Zhou","Beam dynamics studies in the BEPCII storage rings",
MOACH05,"M.Sullivan; K. Bertsche; M. Browne; Y. Cai; W. Cheng; W. Colocho; F.-J. Decker; M. Donald; S. Ecklund; R. Erickson; A. S. Fisher; J. Fox; S. Heifets; T. Himel; R. Iverson; A. Kulikov; A. Novokhatski; V. Pacak; M. Pivi; C. Rivetta","PEP-II status",
MOACH06,"Y.Funakoshi; T.Agho; K.Akai; K.Ebihara; K.Egawa; A.Enomoto; J.Flanagan; H.Fukuma; K.Furukawa; T.Furuya; J.Haba; S.Hiramatsu; T.Ieiri; N.Iida; H.Ikeda; T.Kageyama; S.Kamada; T.Kamitani; S.Kato; M.Kikuchi; E.Kikutani; H.Koiso; M.Masuzawa; T.Mimashi; A.Morita; T.T.Nakamura; K.Naka","KEKB Status",
MOACH07,"Y.Ohnishi","UPGRADE PLAN OF KEKB",
TUACH01,"M.Zobov","OVERVIEW OF BEAM DYNAMICS STUDIES AT DAFNE",
TUACH03,"D. Berkaev; A. Kirpotin; I. Koop; A. Lysenko; I. Nesterenko; E. Perevedentsev; Yu. Rogovsky; A. Romanov; P. Shatunov; D. Shwartz; A. Skrinsky; Yu. Shatunov","VEPP-2000 ELECTRON-POSITRON COLLIDER COMMISSIONING",
TUACH04,"K.Nakanishi; K.Hara; A.Honma; K.Hosoyama; A.Kabe; Y.Kojima; H.Nakai; K.Akai; K.Ebihara; T.Furuya; S.Mitsunobu; Y.Morita; M.Ono; Y.Yamamoto","COMMISSIONING OF CRAB CAVITY SYSTEM",
TUACH05,"K.Ohmi","BEAM-BEAM EFFECTS AT CRAB CROSSING IN KEKB - I",
TUACH06,"D.Pestrikov","COLLECTIVE BEAM-BEAM INSTABILITIES OF BUNCHES WITH TUNESPREADS",
TUACH08,"D.P. Jin; N. Huang; S.M. Yang; J. Xing; J.S. Cao; X.Y. Zhao; Q.J. Zhang; Q.B. Wu; Q. Qin; G. Xu; Y.Z. Wu; W.G. Li; Y.F. Wang; C. Zhang; J.Q. Wang; L. Ma; Y.N. Guo","EXPERIMENTAL BACKGROUND STUDY IN THE BEPCII/BESIII",
TUACH09,"C. H. Yu; Y. Z. Wu; Z. S. Yin; J. F. Zhang; M. T. Wang; Q. L. Peng; J. B. Pang; Y. Yang; X. W. Dai","INTERACTION REGION DESIGN AND REALIZATION FOR BEPCII",
TUACH11,"Y.Y. Wei; Q. Qin; G. Xu; W.B. Liu; D.M. Zhou; Y. Chen","Optics Correction in BEPCII using response matrix",
TUACH12,"A.Drago","TRENDS IN FAST FEEDBACK R&D",
TUACH13,"Junhui Yue; Li Ma; Jianshe Cao; Lin Wang","PERFORMANCE OF THE TRANSVERSE COUPLED-BUNCH FEEDBACK SYSTEM IN THE BEPCII STORAGE RING",
WEACH02,"M.Biagini","The SuperB Accelerator: Overview and Lattice studies",
WEACH04,"D.Shatilov","BEAM-BEAM RESONANCES FOR DIFFERENT COLLISION SCHEMES",
WEACH09,"A.Blinov; A.Bogomyagkov; A.Bondar; V.Kiselev; I.Koop; G.Kurkin; E.Levichev; P.Logachev; S.Nikitin; I.Okunev; V.M.Petrov; P.Piminov; Yu.Pupkov; D.Shatilov; S.Sinyatkin; V.Smaluk; A.Skrinsky; P.Vobly","THE PROJECT OF T-CHARM FACTORY WITH CRAB WAIST",
WEACH10,"A.Bogomyagkov","IR design for Super-ct-factory",
