frb01,"P. Baxevanis, Z. Huang, A. Marinelli [SLAC, Menlo Park, California, USA] ","Time-Domain Analysis of Attosecond Pulse Generation in an X-Ray Free-Electron Laser",561 563,
frb03,"R. Ianconescu, A. Gover [University of Tel-Aviv, Faculty of Engineering, Tel-Aviv, Israel] C. Emma, P. Musumeci [UCLA, Los Angeles, USA] A. Friedman [Ariel University, Ariel, Israel] ","Dynamics of Superradiant Emission by a Prebunched E-Beam and its Spontaneous Emission Self-Interaction",564 567,
frb04,"P.M. Anisimov [LANL, Los Alamos, New Mexico, USA] ","Canonical Formulation of 1D FEL Theory Revisited, Quantized and Applied to Electron Evolution",568 572,
frb05,"L.T. Campbell, B.W.J. McNeil (B.W.J. MᶜNeil) [USTRAT/SUPA, Glasgow, United Kingdom] ","Wide Bandwidth, Frequency Modulated Free Electron Laser",573 577,
moa01,"L.R. Elias [University of Hawaii at Manoa, Honolulu, USA] ","John Madey: A Short History of My Friend and Colleague",99 98,
moba02,"M.V. Yurkov, E. Schneidmiller [DESY, Hamburg, Germany] ","Coherence Limits of X-ray FEL Radiation",5 8,
moc03,"H. Weise, W. Decking [DESY, Hamburg, Germany] ","Commissioning and First Lasing of the European XFEL",9 13,
mod02,"K. Honkavaara [DESY, Hamburg, Germany] ","Status of the FLASH FEL User Facility at DESY",14 18,
mod04,"L. Giannessi, E. Allaria, L. Badano, F. Bencivenga, C. Callegari, F. Capotondi, F. Cilento, P. Cinquegrana, M. Coreno, I. Cudin, G. D'Auria, M.B. Danailov, R. De Monte, G. De Ninno, P. Delgiusto, A.A. Demidovich, M. Di Fraia, S. Di Mitri, B. Diviacco, A. Fabris, R. Fabris, W.M. Fawley, M. Ferianis, P. Furlan Radivo, G. Gaio, D. Gauthier, F. Gelmetti, F. Iazzourene, S. Krecic, M. Lonza, N. Mahne, M. Malvestuto, C. Masciovecchio, M. Milloch, N.S. Mirian, F. Parmigiani, G. Penco, A. Perucchi, L. Pivetta, O. Plekan, M. Predonzani, E. Principi, L. Raimondi, P. Rebernik Ribic (P. Rebernik Ribič), F. Rossi, E. Roussel, L. Rumiz, C. Scafuri, C. Serpico, P. Sigalotti, S. Spampinati, C. Spezzani, M. Svandrlik, M. Trovo (M. Trovò), A. Vascotto, M. Veronese, R. Visintini, D. Zangrando, M. Zangrando [Elettra-Sincrotrone Trieste S.C.p.A., Basovizza, Italy] ","Status and Perspectives of the FERMI FEL Facility",19 23,
mod06,"R.L. Sheffield, C.W. Barnes, J.P. Tapia [LANL, Los Alamos, New Mexico, USA] ","Matter-Radiation Interactions in Extremes (MaRIE) Project Overview",24 28,
mop001,"Yu. Shvyd'ko, J.W.J. Anton, S.P. Kearney, K.-J. Kim, T. Kolodziej, D. Shu [ANL, Argonne, Illinois, USA] V.D. Blank, S. Terentiev [TISNCM, Troitsk, Russia] H.-S. Kang, C.-K. Min, B.G. Oh [PAL, Pohang, Kyungbuk, Republic of Korea] P. Vodnala [Northern Illinois University, DeKalb, Illinois, USA] ","Diamond Double-Crystal System for a Forward Bragg Diffraction X-Ray Monochromator of the Self-Seeded PAL XFEL",29 33,
mop003,"C. Lechner, R.W. Assmann (R.W. Aßmann), J. Boedewadt (J. Bödewadt), M. Dohlus, N. Ekanayake, G. Feng, I. Hartl, T. Laarmann, T. Lang, L. Winkelmann, I. Zagorodnov [DESY, Hamburg, Germany] A. Azima, M. Drescher, Th. Maltezopoulos, T. Plath, J. Rossbach (J. Roßbach), W. Wurth [University of Hamburg, Institut fuer Experimentalphysik, Hamburg, Germany] S. Khan, T. Plath [DELTA, Dortmund, Germany] ","Concept for a Seeded FEL at FLASH2",34 37,
mop005,"N.S. Mirian, L. Giannessi [Elettra-Sincrotrone Trieste S.C.p.A., Basovizza, Italy] S. Spampinati [Private Address, warrigton, United Kingdom] ","FEL Pulse Shortening by Superradiance at FERMI",38 41,
mop008,"G. Geloni, S. Karabekyan, L. Samoylova, S. Serkez, H. Sinn [XFEL.EU, Hamburg, Germany] V.D. Blank, S. Terentiev [TISNCM, Troitsk, Russia] W. Decking, C. Engling, N. Golubeva, V. Kocharyan, B. Krause, S. Lederer, S. Liu, A. Petrov, E. Saldin, T. Wohlenberg [DESY, Hamburg, Germany] X. Dong [European X-Ray Free-Electron Laser Facility GmbH, Schelefeld, Germany] D. Shu [ANL, Argonne, Illinois, USA] ","Status of the Hard X-Ray Self-Seeding Project at the European XFEL",42 45,
mop010,"G. Penn [LBNL, Berkeley, California, USA] B.W. Garcia, E. Hemsing, G. Marcus [SLAC, Menlo Park, California, USA] ","Constraints on Pulse Duration Produced by Echo-Enabled Harmonic Generation",46 48,
mop011,"Y. Park, P. Musumeci, N.S. Sudar [UCLA, Los Angeles, USA] D.L. Bruhwiler, C.C. Hall, S.D. Webb [RadiaSoft LLC, Boulder, Colorado, USA] A.Y. Murokh [RadiaBeam, Santa Monica, California, USA] Y. Sun, A. Zholents [ANL, Argonne, Illinois, USA] ","Strongly Tapered Undulator Design for High Efficiency and High Gain Amplification at 266 nm",49 52,
mop013,"L. Zeng, S. Huang, K.X. Liu, W. Qin, G. Zhao [PKU, Beijing, People's Republic of China] Y. Ding, Z. Huang [SLAC, Menlo Park, California, USA] ","Hundred-Gigawatt X-Ray Self-Seeded High-Gain Harmonic Generation",53 56,
mop014,"L. Zeng, S. Huang, K.X. Liu, W. Qin, G. Zhao [PKU, Beijing, People's Republic of China] Y. Ding, Z. Huang [SLAC, Menlo Park, California, USA] ","Harmonic Lasing Towards Shorter Wavelengths in Soft X-Ray Self-Seeding FELs",57 59,
mop016,"B.W. Garcia, G. Marcus [SLAC, Menlo Park, California, USA] L.T. Campbell [STFC/DL/ASTeC, Daresbury, Warrington, Cheshire, United Kingdom] B.W.J. McNeil (B.W.J. MᶜNeil) [USTRAT/SUPA, Glasgow, United Kingdom] S. Reiche [PSI, Villigen PSI, Switzerland] ","Comparing FEL Codes for Advanced Configurations",60 63,
mop017,"B.W. Garcia, M.P. Dunning, C. Hast, E. Hemsing, T.O. Raubenheimer, G. Stupakov [SLAC, Menlo Park, California, USA] D. Xiang [Shanghai Jiao Tong University, Shanghai, People's Republic of China] ","Echo-Enabled Harmonic Generation Results with Energy Chirp",64 67,
mop018,"C. Yang, Y. Feng, T.O. Raubenheimer, C.-Y. Tsai, J. Wu, M. Yoon, G. Zhou [SLAC, Menlo Park, California, USA] B. Yang [University of Texas at Arlington, Arlington, USA] ","Distributed Self-Seeding Scheme for LCLS-II",68 71,
mop019,"J. Wu [SLAC, Menlo Park, California, USA] B. Yang [University of Texas at Arlington, Arlington, USA] ","Transient Thermal Stress Wave Analysis of a Thin Diamond Crystal Under Laser Heat Load",72 75,
mop020,"C.-Y. Tsai [Virginia Polytechnic Institute and State University, Blacksburg, Virginia, USA] J. Wu, C. Yang [SLAC, Menlo Park, California, USA] M. Yoon [POSTECH, Pohang, Kyungbuk, Republic of Korea] G. Zhou [IHEP, Beijing, People's Republic of China] ","Sideband Instability in a Tapered Free Electron Laser",76 79,
mop021,"C.-Y. Tsai [Virginia Polytechnic Institute and State University, Blacksburg, Virginia, USA] J. Wu, C. Yang [SLAC, Menlo Park, California, USA] M. Yoon [POSTECH, Pohang, Kyungbuk, Republic of Korea] G. Zhou [IHEP, Beijing, People's Republic of China] ","Sideband Suppression in Tapered Free Electron Lasers",80 83,
mop023,"Z. Qi, C. Feng, B. Liu, W.Y. Zhang, Z.T. Zhao [SINAP, Shanghai, People's Republic of China] ","Two-Color Soft X-Ray Generation at the SXFEL User Facility Based on the EEHG Scheme",84 86,
mop024,"K.Q. Zhang, C. Feng, D. Wang, Z.T. Zhao [SINAP, Shanghai, People's Republic of China] ","Simulation and Optimization for Soft X-Ray Self-Seeding at SXFEL User Facility",87 90,
mop026,"E. Roussel, M.-E. Couprie, A. Ghaith, A. Loulergue [SOLEIL, Gif-sur-Yvette, France] C. Evain [PhLAM/CERLA, Villeneuve d'Ascq, France] D. Garzella [CEA, Gif-sur-Yvette, France] ","Study of an Echo-Enabled Harmonic Generation Scheme for the French FEL Project LUNEX5",91 93,
mop027,"S. Khan, B. Büsing, N.M. Lockmann, C. Mai, A. Meyer auf der Heide, R. Niemczyk, B. Riemann, B. Sawadski, M. Suski, P. Ungelenk [DELTA, Dortmund, Germany] ","Seeding of Electron Bunches in Storage Rings",94 97,
mop028,"T. Plath, Ph. Amstutz, L.L. Lazzarino, Th. Maltezopoulos, V. Miltchev, J. Rossbach (J. Roßbach) [University of Hamburg, Institut fuer Experimentalphysik, Hamburg, Germany] J. Boedewadt (J. Bödewadt), N. Ekanayake, T. Laarmann, C. Lechner [DESY, Hamburg, Germany] S. Khan [DELTA, Dortmund, Germany] ","Extraction of the Longitudinal Profile of the Transverse Emittance From Single-Shot RF Deflector Measurements at sFLASH",98 101,
mop031,"E. Schneidmiller, B. Faatz, M. Kuhlmann, J. Roensch-Schulenburg (J. Rönsch-Schulenburg), S. Schreiber, M. Tischer, M.V. Yurkov [DESY, Hamburg, Germany] ","First Operation of a Harmonic Lasing Self-Seeded FEL",102 105,
mop032,"E. Schneidmiller, M.V. Yurkov [DESY, Hamburg, Germany] ","Reverse Undulator Tapering for Polarization Control and Background-Free Harmonic Production in XFELs: Results from FLASH",106 108,
mop033,"E. Schneidmiller, M.V. Yurkov [DESY, Hamburg, Germany] ","Baseline Parameters of the European XFEL",109 112,
mop035,"E. Schneidmiller, M.V. Yurkov [DESY, Hamburg, Germany] ","Optimum Undulator Tapering of SASE FEL: Theory and Experimental Results From FLASH2",113 116,
mop036,"M. Kuhlmann, E. Schneidmiller, M.V. Yurkov [DESY, Hamburg, Germany] ","Frequency Doubling Mode of Operation of Free Electron Laser FLASH2",117 120,
mop037,"S. Serkez, G. Geloni, T. Mazza, M. Meyer [XFEL.EU, Schenefeld, Germany] V. Kocharyan, E. Saldin [DESY, Hamburg, Germany] ","Opportunities for Two-Color Experiments at the SASE3 Undulator Line of the European XFEL",121 124,
mop038,"R. Ganter, S. Bettoni, H.-H. Braun, M. Calvi, P. Craievich, R. Follath, C.H. Gough, F. Loehl (F. Löhl), M. Paraliev, L. Patthey, M. Pedrozzi, E. Prat, S. Reiche, T. Schmidt, A.Z. Zandonella [PSI, Villigen PSI, Switzerland] ","Overview of the Soft X-Ray Line Athos at SwissFEL",125 128,
mop039,"N. Thompson [STFC/DL/ASTeC, Daresbury, Warrington, Cheshire, United Kingdom] ","Possible Method for the Control of SASE Fluctuations",129 131,
mop041,"V. Litvinenko, Z. Altinbas, R. Anderson, S.A. Belomestnykh, K.A. Brown, J.C.B. Brutus, A.J. Curcio, A. Di Lieto, C. Folz, D.M. Gassner, T. Hayes, R.L. Hulsart, P. Inacker, J.P. Jamilkowski, Y.C. Jing, D. Kayran, R. Kellermann, R.F. Lambiase, G.J. Mahler, M. Mapes, A. Marusic, W. Meng, K. Mernick, R.J. Michnoff, T.A. Miller, M.G. Minty, G. Narayan, P. Orfin, D. Phillips, I. Pinayev, T. Rao, D. Ravikumar, J. Reich, G. Robert-Demolaize, T. Roser, S.K. Seberg, F. Severino, B. Sheehy, J. Skaritka, L. Smart, K.S. Smith, L. Snydstrup, V. Soria, R. Than, C. Theisen, J.E. Tuozzolo, J. Walsh, E. Wang, G. Wang, D. Weiss, B. P. Xiao, T. Xin, A. Zaltsman, Z. Zhao [BNL, Upton, Long Island, New York, USA] C.H. Boulware, T.L. Grimm [Niowave, Inc., Lansing, Michigan, USA] K. Mihara [Stony Brook University, Stony Brook, USA] I. Petrushina [SUNY SB, Stony Brook, New York, USA] K. Shih [SBU, Stony Brook, New York, USA] W. Xu [PKU, Beijing, People's Republic of China] ","Commissioning of FEL-Based Coherent Electron Cooling System",132 135,
mop042,"V. Grattoni, R.W. Assmann (R.W. Aßmann), J. Boedewadt (J. Bödewadt), I. Hartl, T. Laarmann, C. Lechner, M.M. Mohammad Kazemi, A. Przystawik [DESY, Hamburg, Germany] A. Azima, M. Drescher, W. Hillert, L.L. Lazzarino, V. Miltchev, J. Rossbach (J. Roßbach) [University of Hamburg, Institut fuer Experimentalphysik, Hamburg, Germany] S. Khan, N.M. Lockmann, T. Plath [DELTA, Dortmund, Germany] ","Status of Seeding Development at sFLASH",136 139,
mop043,"P. Niknejadi, A. Aschikhin, C. Behrens, S. Bohlen, R.T.P. D'Arcy, J. Dale, L. Di Lucchio, M. Felber, B. Foster, L. Goldberg, J.-N. Gruse, Z. Hu, S. Karstensen, A. Knetsch, O. S. Kononenko, V. Libov, K. Ludwig, A. Martinez de la Ossa, F. Marutzky, T.J. Mehrling, J. Osterhoff, C.A.J. Palmer, K. Poder, P. Pourmoussavi, M. Quast, J.-H. Roeckemann (J.-H. Röckemann), J. Schaffran, L. Schaper, H. Schlarb, B. Schmidt, S. Schreiber, S. Schroeder (S. Schröder), J.-P. Schwinkendorf, B. Sheeran, M.J.V. Streeter, G.E. Tauscher, V. Wacker, S. Weichert, S. Wesch, P. Winkler, S. Wunderlich, J. Zemella [DESY, Hamburg, Germany] A.R. Maier [CFEL, Hamburg, Germany] A.R. Maier, A. Martinez de la Ossa, M. Meisel, J.-H. Röckemann [University of Hamburg, Institut fuer Experimentalphysik, Hamburg, Germany] C.B. Schroeder [LBNL, Berkeley, California, USA] V. Wacker [University of Hamburg, Hamburg, Germany] ","Plasma Wakefield Accelerated Beams for Demonstration of FEL Gain at FLASHForward",140 143,
mop044,"F. Le Pimpec [XFEL.EU, Hamburg, Germany] ","Commissioning Status of the European XFEL Photon Beam System",144 148,
mop046,"S. Ghosh, S. R. Abhilash, R.K. Bhandari, G.K. Chaudhari, V.J. Joshi, D. Kabiraj, D. Kanjilal, B. Karmakar, J. Karmakar, N. Kumar, S. Kumar, A. Pandey, P. Patra, G.O. Rodrigues, B.K. Sahu, A. Sharma, S. Tripathi [IUAC, New Delhi, India] A. Aryshev, M.K. Fukuda, S. Fukuda, N. Terunuma, J. Urakawa [KEK, Ibaraki, Japan] U. Lehnert, P. Michel [HZDR, Dresden, Germany] V. Naik, A. Roy [VECC, Kolkata, India] T. Rao [BNL, Upton, Long Island, New York, USA] M. Tischer [DESY, Hamburg, Germany] ","Progress of Delhi Light Source at IUAC, New Delhi",149 152,
mop047,"V.J. Joshi, R.K. Bhandari, S. Ghosh, D. Kanjilal, B. Karmakar, J. Karmakar, N. Kumar, S. Tripathi [IUAC, New Delhi, India] A. Aryshev [KEK, Ibaraki, Japan] U. Lehnert [HZDR, Dresden, Germany] ","Design Calculation on Beam Dynamics and THz Radiation of Delhi Light Source",153 155,
