mo1ab1,"J. Wei, H. Ao, S. Beher, N.K. Bultman, F. Casagrande, J. Chen, S. Cogan, C. Compton, L.R. Dalesio, K.D. Davidson, A. Facco, F. Feyzi, V. Ganni, A. Ganshyn, P.E. Gibson, T. Glasmacher, L. Hodges, K. Holland, H.-C. Hseuh, A. Hussain, M. Ikegami, S. Jones, R.E. Laxdal, J. LeTourneau, S.M. Lidia, G. Machicoane, I.M. Malloch, F. Marti, S.J. Miller, D.G. Morris, J.A. Nolen, P.N. Ostroumov, J.T. Popielarski, L. Popielarski, G. Pozdeyev, T. Russo, K. Saito, S. Stanley, H. Tatsumoto, R.C. Webber, T. Xu, Y. Yamazaki [FRIB, East Lansing, USA] A.V. Aleksandrov [ORNL, Oak Ridge, Tennessee, USA] K. Dixon, M. Wiseman [JLab, Newport News, Virginia, USA] N. Eddy [Fermilab, Batavia, Illinois, USA] A. Facco [INFN/LNL, Legnaro (PD), Italy] K. Hosoyama [KEK, Ibaraki, Japan] H.-C. Hseuh [BNL, Upton, Long Island, New York, USA] M.P. Kelly, J.A. Nolen [ANL, Argonne, USA] R.E. Laxdal [TRIUMF, Canada's National Laboratory for Particle and Nuclear Physics, Vancouver, Canada] S. Prestemon [LBNL, Berkeley, California, USA] ","FRIB Project Status and Beam Instrumentation Challenges",99 98,
mo2ab2,"T.J. Shea, R.A. Baron, B. Cheymol, T.J. Grandsaert, H. Hassanzadegan, A. Jansson, I. Kittelmann, H. Kocevar, S. Molloy, C.A. Thomas [ESS, Lund, Sweden] P. Aden [STFC/DL, Daresbury, Warrington, Cheshire, United Kingdom] E. Adli [University of Oslo, Oslo, Norway] I. Bustinduy [ESS Bilbao, Zamudio, Spain] M. Ferianis [Elettra-Sincrotrone Trieste S.C.p.A., Basovizza, Italy] A.J. Johansson [Lund University, Lund, Sweden] J. Marroncle, L. Segui [CEA/IRFU, Gif-sur-Yvette, France] T. Papaevangelou [CEA, Gif-sur-Yvette, France] M. Poggi [INFN/LNL, Legnaro (PD), Italy] S. Vilcins [DESY, Hamburg, Germany] ","Overview and Status of Diagnostics for the ESS Project",8 15,
mo2ab3,"H. Al-Mohammad, K. Manukyan [SESAME, Allan, Jordan] ","SESAME Storage Ring Diagnostics and Commissioning",16 20,
mo3ab1,"K.C. Harkay, T.G. Berenc, L. Emery, U. Wienands [ANL, Argonne, Illinois, USA] J.M. Byrd [LBNL, Berkeley, California, USA] R.T. Dowd [ASCo, Clayton, Victoria, Australia] D. Teytelman [Dimtel, San Jose, USA] ","Characterizing the Coupled Bunch Driving Terms in a Storage Ring",21 27,
mo3ab2,"V.V. Smaluk [BNL, Upton, Long Island, New York, USA] ","Review of Beam-Based Techniques of Impedance Measurement",28 31,
mo3ab3,"S.Z. Green, M.J. Hogan, N. Lipkowitz, B.D. O'Shea, G.R. White, V. Yakimenko, G. Yocky [SLAC, Menlo Park, California, USA] ","Beam Diagnostic Challenges for FACET-II",32 36,
mopcc01,"C.P. Welsch [The University of Liverpool, Liverpool, United Kingdom] C.P. Welsch [Cockcroft Institute, Warrington, Cheshire, United Kingdom] ","Advances in Diagnostics for Medical Accelerators",37 40,
mopcc03,"V.V. Smaluk, A. Blednykh, K. Ha, Y. Tian, X. Yang [BNL, Upton, Long Island, New York, USA] ","A Method of Local Impedance Measurement by Sine-wave Beam Excitation",41 43,
mopcc04,"Y. Luo, W. Fischer, X. Gu [BNL, Upton, Long Island, New York, USA] ","Simulation of Beam-Beam Tune Spread Measurement With Beam Transfer Function in RHIC",44 46,
mopcc05,"I. Pinayev, D. Kayran, V. Litvinenko, G. Wang [BNL, Upton, Long Island, New York, USA] ","Measuring Beam Energy with Solenoid",47 49,
mopcc06,"I. Pinayev, Y.C. Jing, D. Kayran, V. Litvinenko, K. Shih, G. Wang [BNL, Upton, Long Island, New York, USA] K. Shih [SBU, Stony Brook, New York, USA] ","Beam Based Alignment of Solenoid",50 52,
mopcc07,"P.N. Lu, A. Arnold, P. Murcek, J. Teichert, H. Vennekate, R. Xiang [HZDR, Dresden, Germany] ","Diagnostics of ELBE SRF Gun - Status and Future Design",53 56,
mopcc08,"T. Bahlo, M. Arnold, J. Pforr, N. Pietralla, F. Schließmann [TU Darmstadt, Darmstadt, Germany] ","Time-of-Flight Measurements and Analysis of the Longitudinal Dispersion at the S-DALINAC",57 60,
mopcc11,"U. Iriso, A.A. Nosych, A. Olmos, L. Torino [ALBA-CELLS Synchrotron, Cerdanyola del Vallès, Spain] ","Diagnostics for Transverse Coupled Bunch Instabilities at ALBA",61 64,
mopcc12,"U. Iriso, M. Alvarez, G. Benedetti, A.A. Nosych, A. Olmos, X.I. Rodriguez [ALBA-CELLS Synchrotron, Cerdanyola del Vallès, Spain] ","Upgrade of BPMs and SRMs for the BTS Transfer Line at ALBA",65 67,
mopcc13,"M. Marongiu, D. Cortis [INFN-Roma, Roma, Italy] E. Chiadroni, F. Cioeta, G. Di Pirro, G. Franzini, V. Shpakov, A. Stella, C. Vaccarezza, A. Variola [INFN/LNF, Frascati (Roma), Italy] A. Cianchi [Università di Roma II Tor Vergata, Roma, Italy] A. Giribono, M. Pompili [Sapienza University of Rome, Rome, Italy] A. Mostacci, L. Palumbo [Rome University La Sapienza, Roma, Italy] ","Beam Energy Measurements With a Optical Transition Radiation for the ELI-NP Compton Gamma Source",68 71,
mopcc14,"C.Y. Wong [NSCL, East Lansing, Michigan, USA] S. Cogan, Y. Hao, S.M. Lidia, S.M. Lund, T. Maruta, D.O. Omitto, P.N. Ostroumov, G. Pozdeyev, H.T. Ren, R. Shane, T. Yoshimoto, Q. Zhao [FRIB, East Lansing, USA] ","Physics Model of an Allison Phase-Space Scanner, with Application to the FRIB Front End",72 76,
mopcf01,"C.P. Welsch [The University of Liverpool, Liverpool, United Kingdom] C.P. Welsch [Cockcroft Institute, Warrington, Cheshire, United Kingdom] ","Beam Diagnostics for Low Energy Antiproton Beams",77 80,
mopcf03,"X. Liu, Q.S. Chen, B. Qin, K. Tang [HUST, Wuhan, People's Republic of China] W. Chen [Huazhong University of Science and Technology, State Key Laboratory of Advanced Electromagnetic Engineering and Technology,, Hubei, People's Republic of China] ","Preliminary Design of Beam Diagnostic System in the HUST-PTF Beamline",81 84,
mopcf05,"W.L. Huang, J. Peng, R.Y. Qiu, J.L. Sun, T. Yang [CSNS, Guangdong Province, People's Republic of China] S. Fu, F. Li, P. Li, M. Meng, J.M. Tian, S. Wang, T.G. Xu, Zh.H. Xu, L. Zeng [IHEP, Beijing, People's Republic of China] ","Beam Instrumentations and Commissioning of Linac in CSNS",85 88,
mopcf09,"S.R. Marques [LNLS, Campinas, Brazil] ","Beam Diagnostics Systems for Sirius Light Source",89 93,
mopcf10,"V.S. Anashin [United Rocket and Space Corporation, Institute of Space Device Engineering, Moscow, Russia] P.A. Chubunov, G.A. Protopopov [ISDE, Moscow, Russia] S.V. Mitrofanov, V.A. Skuratov, Yu.G. Teterev [JINR, Dubna, Moscow Region, Russia] ","Estimation of Heavy Ion Beam Parameters During Single Event Effects Testing",94 97,
mopwc01,"H. Vennekate, A. Arnold, P.N. Lu, P. Murcek, J. Teichert, R. Xiang [HZDR, Dresden, Germany] ","Building the Third SRF Gun at HZDR",98 100,
mopwc02,"M. Kuntzsch, R. Schurig, R. Steinbrück [HZDR, Dresden, Germany] L. Butkowski (Ł. Butkowski), M. Hierholzer, M. Hoffmann, M. Killenberg, Ch. Schmidt [DESY, Hamburg, Germany] M.G. Grzegrzolka, I. Rutkowski [Warsaw University of Technology, Institute of Electronic Systems, Warsaw, Poland] C.P. Iatrou, J. Rahm [TU Dresden, Dresden, Germany] ","MicroTCA.4-Based LLRF for CW Operation at ELBE - Status and Outlook",101 103,
