FRAT001,"R. Nelson, B. Oerter, T. Shea, C. Sibley","SNS Timing System",
FRAT002,"Cindy Cassady","Beam Diagnostics Systems for the National Ignition Facility",
FRAT003,"F. Nedeoglo, O. Novojilov, S. Dudnikov, A. Chepurnov, I. Gribov, V. Shvedunov","Distributed CAN-bus Based Beam Diagnostic System for Pulse Race-Track Microtron",
FRAT004,"T. Korhonen, M. Heiniger","Timing System of the Swiss Light Source",
FRAT005,"Y. Ohashi, T. Asaka, H. Ego, M. Hara, Y. Kawashima, T. Ohshima, T. Takashima, H. Yonehara","Performance of the Reference and Timing Systems at SPring-8",
FRBI001,"P. Czarapata, D. Hartill, S. Myers, S. Peggs, N. Phinney, N. Toge, F. Willeke, C. Zhang","How to Commission, Operate and Maintain a Large Future Accelerator Complex from Far Remote Sites",
FRBT002,"A. Luedeke","System Integration of High Level Applications during the Commissioning of the Swiss Light Source",
FRBT003,"R. Chestnut, A. Fisher","The Bunch Injection Controller for the PEP-II Storage Rings",
FRBT004,"J. vanZeijts, Brookhaven National Laboratory","Model Driven Ramp Control at RHIC",
FRBT005,"R. Bakker, T. Birke, R. Mueller","Signal Archiving and Retrieval: Essential Long Term Performance Tuning Tool {*}",
THAI001,"R.W. Carey, K.W. Fong, R.J. Sanchez, J.D. Tappero, J.P. Woodruff","Large-Scale CORBA-Distributed Software Framework for NIF Controls",
THAP002,"S. Canella, G. Bassato","Design of a Distributed Control System Based on CORBA and JAVA for a New RIB Facility at LNL",
THAP003,"V. Baggiolini, S. Jensen, K. Kostro, F. DiMaio, A. Risso, N. Trofimov","Remote Device Access in the New CERN Accelerator Controls Middleware",
THAP004,"A. Bertocchi, V. Bozzolan, G. Buceti, C. Centioli, D. Di Muzio, F. Iannone, G. Mazza, M. Panella, V. Vitale","Technology Update of a Control System Through CORBA",
THAP005,"G. Milcinski, M. Plesko, M. Sekoranja","Experiences with Advanced CORBA Services",
THAP009,"Kenneth Evans, Jr.","EPICS for PDAs {*}",
THAP011,"M. Clausen, R. MacKenzie, R. Sass, H. Shoaee, K. Underwood, G. White","AIDA - Accelerator Integrated Data Access",
THAP012,"Y.R. Roblin, T. Larrieu","Online Model Server for the Jefferson Lab Accelerator{*}",
