fraauio05,"L. Hatton [Kingston University, Kingston on Thames, United Kingdom] ","High-Integrity Software, Computation and the Scientific Method",1297 1301,
fraault02,"S. Lueders [CERN, Geneva, Switzerland] ","STUXNET and the Impact on Accelerator Control Systems",1285 1288,
fraault03,"M.C. Wilson, A.G. Price [Diamond, Oxfordshire, United Kingdom] ","Development of the Diamond Light Source PSS in conformance with EN 61508",1289 1292,
fraault04,"A.V. Stephen, G. Arnoux, T. Budd, P. Card, R.C. Felton, A. Goodyear, J. Harling, D. Kinna, P.J. Lomas, P. McCullen, P.D. Thomas, I.D. Young, K-D. Zastrow [CCFE, Abingdon, Oxon, United Kingdom] D. Alves, D.F. Valcárcel [IST, Lisboa, Portugal] S. Devaux [MPI/IPP, Garching, Germany] S. Jachmich [RMA, Brussels, Belgium] A. Neto [IPFN, Lisbon, Portugal] ","Centralised Coordinated Control to Protect the JET ITER-like Wall.",1293 1296,
fraaust01,"J.E. Dusatko, M. Boyes, P. Krejcik, S.R. Norum, J.J. Olsen [SLAC, Menlo Park, California, USA] ","Development of the Machine Protection System for LCLS-I",1281 1284,
frbhault01,"M. Pereira, X. Buffat, K. Fuchsberger, M. Lamont, G.J. Müller, S. Redaelli, R.J. Steinhagen, J. Wenninger [CERN, Geneva, Switzerland] ","Feed-forward in the LHC",1302 1305,
frbhault02-2,"J.G. Cogan, R. Bartoldus, D.W. Miller, E. Strauss [SLAC, Menlo Park, California, USA] ","ATLAS Online Determination and Feedback of LHC Beam Parameters",1306 1309,
frbhault02,"J.G. Cogan, R. Bartoldus, D.W. Miller, E. Strauss [SLAC, Menlo Park, California, USA] ","ATLAS Online Determination and Feedback of LHC Beam Parameters",1306 1309,
frbhault03,"D. Fairley, K.H. Kim, K. Luchini, P. Natampalli, L. Piccoli, D. Rogind, T. Straumann [SLAC, Menlo Park, California, USA] ","Beam-based Feedback for the Linac Coherent Light Source",1310 1313,
frbhault04,"G. Gaio, M. Lonza, R. Passuello, L. Pivetta, G. Strangolino [ELETTRA, Basovizza, Italy] ","Commissioning of the FERMI@Elettra Fast Trajectory Feedback",1314 1317,
frbhmult04,"R. Karban, N. Kornweibel [ESO, Garching bei Muenchen, Germany] D.L. Dvorak, M.D. Ingham, D.A. Wagner [JPL, Pasadena, California, USA] ","Towards a State Based Control Architecture for Large Telescopes: Laying a Foundation at the VLT",1330 1333,
