frapl01,"J. Santander-Vela, L. Pivetta, N.P. Rees [SKA Organisation, Macclesfield, United Kingdom] ","Status of the Square Kilometre Array",1982 1988,
frapl02,"C.J. Mayer, B.D. Goodrich, W. McBride [Advanced Technology Solar Telescope, National Solar Observatory, Tucson, USA] ","Commisioning and Calibration of the Daniel K. Inouye Solar Telescope",1989 1994,
frapl03,"T. Fukui, N. Hosoda [RIKEN SPring-8 Center, Innovative Light Sources Division, Hyogo, Japan] A. Gimenez [RIKEN, Japan] M. Ishii, Y. Ishizawa, K. Okada, C. Saji, T. Sugimoto, M.T. Takeuchi [JASRI/SPring-8, Hyogo-ken, Japan] H. Maesaka, T. Ohshima [RIKEN SPring-8 Center, Sayo-cho, Sayo-gun, Hyogo, Japan] T. Maruyama, M. Yamaga [RIKEN/SPring-8, Hyogo, Japan] ","Status of the Control System for the SACLA/SPring-8 Accelerator Complex",1995 1999,
frapl05,"P. Bastl [Institute of Physics of the ASCR, Prague, Czech Republic] V. Gaman, O. Janda, P. Pivonka, B. PlÃ¶tzeneder, J. Sys, J. Trdlicka [ELI-BEAMS, Prague, Czech Republic] ","Hardware Architecture of the ELI Beamlines Control and DAQ System",2000 2006,
frapl06,"H. Durandeau [CEA, LE BARP cedex, France] ","The Laser MegaJoule Facility: Control System Status Report",2007 2009,
frapl07,"J.M. Chaize, R. Bourtembourg, F. Epaud, A. Gotz (A. Götz), S. James, G. Mugerin, F. Poncet, J.L. Pons, N.T. Tappret, E.T. Taurel, P.V. Verdier [ESRF, Grenoble, France] ","The ESRF's Extremely Brilliant Source - a 4th Generation Light Source",2010 2015,
moapl01,"T. Wilksen, A. Aghababyan, R. Bacher, P.K. Bartkiewicz, C. Behrens, T. Delfs, P. Duval, L. Froehlich (L. Fröhlich), W. Gerhardt, C. Gindler, O. Hensler, K. Hinsch, J.M. JÃ¤ger, R. Kammering, S. Karstensen, H. Kay, H. Kay, V. Kocharyan, A. Labudda, T. Limberg, S.M. Meykopff, A. Petrosyan, G. Petrosyan, L.P. Petrosyan, V. Petrosyan, P. Pototzki, K.R. Rehlich, G. Schlesselmann, E. Sombrowski, M. Staack, J. Szczesny, M. Walla, J. Wilgen, H. Wu [DESY, Hamburg, Germany] ","The Control System for the Linear Accelerator at the European XFEL: Status and First Experiences",99 98,
moapl02,"V.H. Hardion, A. Barsek, P.J. Bell, F. Bolmsten, Y. Cerenius, F. H. Hennies, J.J. Jamroz (J.J. Jamróz), K. Larsson, J. Lidon-Simon (J. Lidón-Simon), M. Lindberg, Z. Matej, P. SjÃ¶blom, M. SjÃ¶strÃ¶m, D.P. Spruce [MAX IV Laboratory, Lund University, Lund, Sweden] ","The First Operation of the MAX IV Laboratory Synchrotron Facilities",6 13,
moapl03,"G.K. Brunton, Y.W. Abed, M.A. Fedorov, B.T. Fishler, D.W. Larson, A.P. Ludwigsen, D.G. Mathisen, V.J. Miller Kamm, M. Paul, R.K. Reed, D.E. Speck, E.A. Stout, S.L. Townsend, B.M. Van Wonterghem, S. Weaver, E.F. Wilson [LLNL, Livermore, California, USA] ","Status of the National Ignition Facility (NIF) Integrated Computer Control and Information Systems",14 18,
moapl04,"E. Zimoch, A.D. Alarcon, D. Anicic, A.G. Bertrand, R. Biffiger, K. Bitterli, M. Boccioli, H. Brands, P. Bucher, T. Celcer, P. Chevtsov, E.J. Divall, S.G. Ebner, M. Gasche, F. Haemmerli, C.E. Higgs, T. Humar, M. Janousch, G. Janser, G. Jud, B. Kalantari, R. Kapeller, R.A. Krempaska (R.A. Krempaská), D.J. Lauk, M.P. Laznovsky, H. Lutz, D. Maier-Manojlovic, F. MÃ¤rki, V. Ovinnikov, T. Pal, W. Portmann, S.G. Rees, T. Zamofing, C. Zellweger, D. Zimoch [PSI, Villigen PSI, Switzerland] ","SwissFEL Control System - Overview, Status, and Lessons Learned",19 21,
mobpl01,"L.R. Dalesio, M.A. Davidsaver [Osprey DCS LLC, Ocean City, USA] S.M. Hartman, K.-U. Kasemir [ORNL, Oak Ridge, Tennessee, USA] A.N. Johnson [ANL, Argonne, Illinois, USA] H. Junkes [FHI, Berlin, Germany] T. Korhonen [ESS, Lund, Sweden] M.R. Kraimer [Self Employment, Private address, USA] R. Lange [ITER Organization, St. Paul lez Durance, France] G. Shen [FRIB, East Lansing, USA] K. Shroff [BNL, Upton, Long Island, New York, USA] ","EPICS 7 Provides Major Enhancements to the EPICS Toolkit",22 26,
