MOA1MP01,"R. Schuhmann, UPB, Paderborn","EM Field Simulation Based on Volume Discretization: Finite Integration and Related Approaches",41 41,
MOA1MP02,"L. Kettunen, A. Tarhasaari, TUT, Tampere","Geometry of Electromagnetism and its Implications in Field and Wave Analysis",42 46,
MOA1MP03,"S. Kurz, Robert Bosch GmbH, Frankfurt; B. Flemisch, B. Wohlmuth, IANS, Stuttgart","A Framework for Maxwell's Equations in Non-Inertial Frames Based on Differential Forms",47 52,
MOA2IS01,"A. P. Shishlo, S. M. Cousineau, V. V. Danilov, J. Galambos, S. Henderson, J. A. Holmes, M. A. Plum, ORNL, Oak Ridge, Tennessee","The ORBIT Simulation Code: Benchmarking and Applications",53 58,
MOA2IS02,"G. Rumolo, E. Métral, CERN, Geneva","Simulations of Single Bunch Collective Effects Using HEADTAIL",59 64,
MOA2IS03,"G. Franchetti, I. Hofmann, GSI, Darmstadt; S. Machida, CCLRC/RAL/ASTeC, Chilton, Didcot, Oxon","Towards the Description of Long Term Self Consistent Effects in Space Charge Induced Resonance Trapping",65 69,
MOAPMP01,"C. W. Trowbridge, J. Simkin, S. Taylor, E. Xu, Vector Fields Ltd., Oxford","Coupled Transient Thermal and Electromagnetic Finite Element Simulation of Quench in Superconducting Magnets",70 73,
MOAPMP02,"J. R. Cary, CIPS, Boulder, Colorado","High-Performance Self-Consistent Electromagnetic Modeling of Beams",74 74,
MOAPMP03,"A. Bossavit, LGEP, Gif-sur-Yvette","Geometrical Methods in Computational Electromagnetism",75 80,
MOM1MP01,"E. McIntosh, F. Schmidt, CERN, Geneva; F. de Dinechin, ENS LYON, Lyon","Massive Tracking on Heterogeneous Platforms",13 16,
MOM1MP02,"E. Forest, Y. Nogiwa, KEK, Ibaraki; F. Schmidt, CERN, Geneva","The FPP and PTC Libraries",17 21,
MOM1MP03,"R. Bartolini, Diamond, Oxfordshire","Resonance Driving Term Experiments: An Overview",22 27,
MOM2IS01,"S. L. Manikonda, M. Berz, K. Makino, MSU, East Lansing, Michigan","A Highly Accurate 3-D Magnetic Field Solver",28 28,
MOM2IS02,"E. Gjonaj, X. Dong, R. Hampel, M. Kärkkäinen, T. Lau, W. F.O. Müller, T. Weiland, TEMF, Darmstadt","Large Scale Parallel Wake Field Computations for 3D-Accelerator Structures with the PBCI Code",29 34,
MOM2IS03,"M. Kärkkäinen, E. Gjonaj, T. Lau, T. Weiland, TEMF, Darmstadt","Low-Dispersion Wake Field Calculation Tools",35 40,
MOMPMP01,"J. A. Holmes, ORNL, Oak Ridge, Tennessee; D. A. Bartkoski, UTK, Knoxville, Tennessee; S. M. Cousineau, V. V. Danilov, S. Henderson, D.-O. Jeon, M. A. Plum, A. P. Shishlo, Y. Zhang, ORNL, Oak Ridge, Tennessee","Computational Beam Dynamics for SNS Commissioning and Operation",99 98,
MOMPMP02,"D. Schulte, CERN, Geneva; K. Kubo, KEK, Ibaraki","Computational Needs for the ILC",7 12,
