FR101,"Simon Yu (LBNL)","Overview of International Heavy Ion Fusion Experiments",,"heavy-ion, space-charge-dominated-beams, experiments"
FR102,"H. Haseroth (CERN)","Neutrino Factory / Cooling Experiment",,"linac, neutral-beams, factory, recirculation, beam-cooling"
FR103,"Tsutomu Nakanishi (Nagoya Univ.)","Polarized Electron Sources  Using NEA-GaAs Photocathode",,"electron, gun, cathode, laser, emittance"
FR104,"L. Serafini (INFN-Milan and Univ. of Milan)","Prospective of Coherent X-Ray Source in Italy",,"free-electron-laser, brightness, emittance, linac, collective-effects"
FR201,"A. Mosnier (CEA-Saclay)","Survey of High-Power Proton Linacs",,"proton, linac"
FR202,"G. W. Foster, J. A. MacLachlon (FNAL)","An Multi-Mission 8 GeV Injector Linac As A Fermilab Booster Replacement",,"electron, h-minus, linac, superconducting-rf"
MO101,"Marion M. White (ORNL)","The Spallation Neutron Source (SNS)",,"SNS, superconducting-rf, SNS, h-minus linac"
MO201,"John N. Galayda (SLAC)","The Linac Coherent Light Source Project",,"free-electron-laser, synchrotron-radiation, brightness, brilliance, undulator"
MO202,"M. Borland (ANL)","Coherent Synchrotron Radiation and Microbunching in Bunch Compressors",,"collective-effects, bunching/chopping, free-electron-laser"
MO203,"Yu-Jiuan Chen, L. R. Bertolini, G. J. Caporaso, F. W. Chambers, E. G. Cook, S. Falabella, F. J. Goldin, G. Guethlein, D. D.-M. Ho, J. F. McCarrick, S. D. Nelson, R. Neurath, A. C. Paul, P. A. Pincosy, B. R. Poole, R. A. Richardson, S. Sampayan, L.-F. Wang, J. A. Watson, G. A. Westenskow, J. T. Weir (LLNL)","Downstream System for The Second Axis of The DARHT Facility",,"beam-transport, linac, electron, induction, plasma, kicker, focusing"
MO204,"R. Connolly, P. Cameron, J. Cupolo, C. Dawson, C. Degen, A. Della Penna, D. Gassner, M. Grau, M. Kesselman, S. Peng, R. Sikora (BNL)","Laser Beam-Profile Monitor Development at BNL for SNS",,"diagnostics, emittance, h-minus, instrumentation, laser"
MO301,"B. H. Choi, P. K. Joo, K. R. Kim, J. Y. Kim, J. H. Lee, J. M. Han, Y. S. Cho, H. J. Kwon (KAERI)","High Power Proton Linac Program in Korea",,"proton, ion-source, radio-frequency-quadrupole, rf-structure, beam-transport"
MO302,"J. A. Nolen (ANL)","The U. S. Rare Isotope Accelerator Project",,"radioactive-beam, superconducting-linac, heavy-ion, nuclear-physics"
MO401,"E. Jensen (CERN)","CTF3 Drive Beam Accelerating Structures",,"acceleration, radio-frequency, linac, rf-structure, higher-order-mode"
MO402,"Kaizhi Zhang, Long Wen, Hong Li, Jin Li, Zhiyong Dai, Wenwei Zhang, Yutong Xie, Meng Wang, Huacen Wang, Guangsen Dai, Linwen Zhang, Jianjun Deng, Bonan Ding (CAEP)","3.5 MeV Injector for An Induction Linac",,"LIA, injector, diode, radial-insulator, accelerating-cavity"
MO403,"J. J. Deng, B. N. Ding, L. W. Zhang, H. C. Wang, G. S. Dai, N. A. Chen, Z. Y. Dai, K. Z. Zhang, J. S. Shi, W. W. Zhang, J. Li, X. P. Liu, Y. T. Xie, M. Wang, L. Wen, H. Li, J. S. Wang, Z. C. Xie, M. H. Wang (CAEP)","Design of The Dragon-I Linear Induction Accelerator",,"electron, induction, linac, pulsed-power, beam-transport"
MO404,"H. Matsumoto, S. Takeda (KEK), T. Shintake, H. Baba, T. Inagaki, Y. J. Kim, K. Togawa, H. Kitamura (RIKEN)","The C-Band (5712-MHz) Linac for The Spring-8 Compact SASE Source (SCSS)",,"linac, free-electron-laser, linear-collider, electron, rf-structure"
MO405,"Shu-Hong Wang, Jiu-Qing Wang, Qiang Ye, and Qi Le (IHEP)","Minimization of Primary Electron Beam Radius on The Positron Production Target",,"positron-production, electron-beam-radius"
MO406,"G. Pei (IHEP)","Overview of BEPCII Linac Design",,"positron-source, electron-linac, BEPCII-injector"
MO408,"S. S. Park, S. C. Kim, S. H. Kim, Y. J. Han, S. H. Nam (PAL), S. W. Park, K. T. Lee (Dong-A Tech)","Operational Characteristics and Availability of Klystron-Modulator System for PLS 2-GeV Electron Linac",,"klystron, modulator, thyratron, system-availability"
MO409,"S. C. Kim, S. S. Park, S. H. Kim, Y. J. Han, and S. H. Nam (PAL)","A New Modulator Controller of The PLS Linac",,"klystron-modulator, modulator-control"
MO410,"H. S. Kang, Y. J. Han, J. Y. Huang, S. H. Nam (PAL), W. Namkung (POSTECH)","Current Status and R&D Plan of PAL Test Linac",,"electron, gun, linac, bunching"
MO411,"N. Y. Vinogradov, P. Billquist, P. N. Ostroumov, R. C. Pardo, M. Portillo, S. I. Sharamentov, G. P. Zinkann (ANL)","Bunch Shape Measurement of CW Heavy-Ion Beam",,"heavy-ion, monitoring, collimation"
MO412,"P. N. Ostroumov (ANL)","Design Features of High-Intensity Medium-Energy Superconducting Heavy-Ion Linac",,"beam-dynamics, superconductivity,ion, lattice"
MO413,"Y. Y. Lee, M. Blaskiewicz, A. Fedotov, D. Raparia, J. Beebe-Wang, W. T. Weng and J. Wei (BNL)","Linac Energy Manipulation for Longitudinal Phase Space Painting for SNS Ring",,"beam-losses, energy-calibration, optical-matching, storage-ring"
MO414,"D. D. Bhawalkar, A. G. Bhujle, P. Fatnani, P. R. Hannurkar, S. C. Joshi, M. G. Karmarkar, S. Kotaiah, S. Krishnagopal, S. P. Mhaskar, S. A. Pande, S. S. Prabhu, S. K. Shukla, G. Singh (CAT)","Indian Programe to Develop High Current Proton Linac for ADSS",,"proton, linac, injector, synchrotron,"
