FR1001,"E. Esarey, LBNL, Berkeley, California","High-Quality GeV-Level Electron Beams from Laser Plasma Accelerators",,""
FR1002,"T. Shintake, RIKEN Spring-8 Harima, Hyogo","SPring-8 Compact SASE Source",,"emittance, electron, undulator, cathode, radiation"
FR1003,"A. P. Letchford, CCLRC/RAL/ISIS, Chilton, Didcot, Oxon","Front-End Development for High-Power Proton Accelerators in Europe",,""
FR1004,"G. Ciovati, Jefferson Lab, Newport News, Virginia","Recent Developments in SRF Cavity Science and Performance",,"superconductivity, linear-collider, collider, controls, cathode"
FR2001,"P. G. Bricault, TRIUMF, Vancouver","Targets and Ion Sources Development at ISAC-TRIUMF",,"target, ion, ion-source, laser, proton"
FR2002,"I. E. Campisi, ORNL, Oak Ridge, Tennessee","2K or Not 2K",,""
FR2003,"R. L. Madrak, Fermilab, Batavia, Illinois; E. E. Cherbak, D. Horan, ANL, Argonne, Illinois; D. Sun, D. Wildman, Fermilab, Batavia, Illinois","New Materials and Designs for High-Power, Fast-Phase Shifters",,"klystron, linac, resonance, impedance, rfq"
FR2004,"S. M. Gruner, Cornell University, Department of Physics, Ithaca, New York","Science Case for Energy Recovery Linac X-Ray Sources",,""
MO1002,"S. Henderson, ORNL, Oak Ridge, Tennessee","Commissioning and Initial Operating Experience with the SNS 1-GeV Linac",,"linac, SNS, target, emittance, beam-transport"
MO1003,"Y. Yamazaki, JAEA/J-PARC, Tokai-Mura, Naka-Gun, Ibaraki-Ken","Commissioning of the J-PARC Linac",,"linac, rfq, klystron, focusing, ion-source"
MO2001,"G. Geschonke, CERN, Geneva","Status of the CLIC Test Facility (CTF3)",,"linac, acceleration, klystron, beam-loading, extraction"
MO2002,"R. Ischebeck, M. K. Berry, I. Blumenfeld, SLAC, Menlo Park, California; C. E. Clayton, UCLA, Los Angeles, California; F.-J. Decker, SLAC, Menlo Park, California; S. Deng, USC, Los Angeles, California; P. Emma, M. J. Hogan, SLAC, Menlo Park, California; C. Huang, UCLA, Los Angeles, California; R. H. Iverson, SLAC, Menlo Park, California; C. Joshi, UCLA, Los Angeles, California; T. C. Katsouleas, USC, Los Angeles, California; N. A. Kirby, P. Krejcik, SLAC, Menlo Park, California; W. Lu, K. A. Marsh, W. B. Mori, UCLA, Los Angeles, California; P. Muggli, E. Oz, USC, Los Angeles, California; R. Siemann, D. R. Walz, SLAC, Menlo Park, California; M. Zhou, UCLA, Los Angeles, California","Energy Doubling in a Plasma Wakefield Accelerator",,""
MO2003,"E. L. Wright, CPI, Palo Alto, California","High-Power RF Sources",,""
MO3001,"S. Gammino, INFN/LNS, Catania; S. Barbarino, Catania University, Catania; L. Celona, G. Ciavola, F. Consoli, INFN/LNS, Catania; F. Maimone, Catania University, Catania; D. Mascali, INFN/LNS, Catania","Intense Heavy-Ion Beam Production with ECR Sources",,"plasma, ion, electron, ion-source, coupling"
MO3002,"M. P. Kelly, ANL, Argonne, Illinois","Overview of TEM-Class Superconducting Cavities for Proton and Ion Acceleration",,"linac, proton, ion, vacuum, cryogenics"
MOP001,"R. P. Johnson, M. Alsharo'a, Muons, Inc, Batavia; C. M. Ankenbrandt, Fermilab, Batavia, Illinois; P. M. Hanlet, R. E. Hartline, Muons, Inc, Batavia; D. M. Kaplan, Illinois Institute of Technology, Chicago, Illinois; V. Kashikhin, V. S. Kashikhin, Fermilab, Batavia, Illinois; M. Kuchnir, Muons, Inc, Batavia; A. Moretti, M. Popovic, K. Yonehara, Fermilab, Batavia, Illinois","Pressurized Hydrogen-Filled Linacs for Muon Cooling",,"emittance, linac, collider, radiation, scattering"
MOP002,"P. Urschütz, H.-H. Braun, R. Corsini, S. Doebert, E. Jensen, F. Tecker, CERN, Geneva","Efficient Long-Pulse, Fully Loaded CTF3 Linac Operation",,"linac, beam-loading, acceleration, klystron, gun"
MOP003,"M. Popovic, C. M. Ankenbrandt, Fermilab, Batavia, Illinois; S. A. Bogacz, Jefferson Lab, Newport News, Virginia; R. P. Johnson, Muons, Inc, Batavia","A Shared Superconducting Linac for Protons and Muons",,"linac, proton, factory, target, collider"
MOP005,"S. H. Kim, M.-H. Cho, S.-I. Moon, W. Namkung, POSTECH, Pohang, Kyungbuk; J.-S. Oh, PAL, Pohang, Kyungbuk; B. Park, POSTECH, Pohang, Kyungbuk","Beam Dynamics for Intense L-band Electron Linac",,"electron, linac, bunching, simulation, focusing"
MOP006,"F. Stulle, A. Adelmann, M. Pedrozzi, PSI, Villigen","A Bunch Compressor for the CLIC Main Beam",,"emittance, radiation, electron, synchrotron, synchrotron-radiation"
MOP007,"F. Stulle, A. Adelmann, M. Pedrozzi, PSI, Villigen","Turn Around Loop and Chicane for Bunch Compression and Path Length Tuning in the CLIC Drive Beam",,"emittance, electron, kicker, simulation, dipole"
MOP008,"Y. Ohnishi, K. Furukawa, N. Iida, T. Kamitani, M. Kikuchi, Y. Ogawa, M. Satoh, K. Yokoyama, KEK, Ibaraki","Design and Performance of Optics for Multi-Energy Injector Linac",,"injection, optics, electron, linac, quadrupole"
MOP009,"J. Deng, N. Cheng, G. Dai, Z. Dai, B. Ding, J. Li, J. Shi, H. Wang, K. Zhang, L. Zhang, CAEP/IFP, Mainyang, Sichuan","Dragon-I Linear Induction Accelerator",,"induction, emittance, electron, cathode, linac"
MOP010,"W. F.O. Müller, X. Dong, E. Gjonaj, R. Hampel, M. Kärkkäinen, T. Lau, T. Weiland, TEMF, Darmstadt","Massively Parallel Wake Field Computations in Long Accelerator Structures",,"simulation, vacuum, shielding, diagnostics, electron"
MOP012,"G. Pei, IHEP Beijing, Beijing","Upgrade Status and Commissioning of BEPCII Linac",,"linac, positron, gun, klystron, electron"
MOP013,"R. Taniguchi, T. Kojima, S. Okuda, Y. Tanaka, Osaka Prefecture University, Sakai","Low-Intensity, Pulsed-Beam Generation System Using the OPU Linac",,"electron, gun, radiation, linac, cathode"
MOP015,"G. D'Auria, P. Craievich, P. Delgiusto, S. Di Mitri, ELETTRA, Basovizza, Trieste; L. R. Doolittle, LBNL, Berkeley, California; M. Ferianis, E. Menotti, M. M. Milloch, G. C. Pappas, G. Penco, ELETTRA, Basovizza, Trieste; A. Ratti, LBNL, Berkeley, California; M. Trovo, ELETTRA, Basovizza, Trieste","Linac Design for the FERMI Project",,"linac, controls, laser, gun, electron"
MOP016,"P. A. McIntosh, C. D. Beard, D. M. Dykes, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire","SRF Linac Solutions for 4GLS at Daresbury",,"linac, damping, acceleration, electron, superconducting-RF"
MOP017,"E. Wooldridge, P. A. McIntosh, CCLRC/DL/ASTeC, Daresbury, Warrington, Cheshire","4GLS Beam-Break-Up Investigations",,"focusing, linac, recirculation, simulation, quadrupole"
MOP018,"L. Harwood, Jefferson Lab, Newport News, Virginia","Upgrading the CEBAF Accelerator to 12 GeV: Project Status",,"controls, linac, beam-transport, acceleration, dipole"
MOP019,"R. Eichhorn, A. Araz, U. Bonnes, M. Brunken, M. Gopych, H.-D. Gräf, TU Darmstadt, Darmstadt; W. F.O. Müller, TEMF, Darmstadt; S. Paret, M. Platz, A. Richter, TU Darmstadt, Darmstadt; B. Steiner, TEMF, Darmstadt; S. Watzlawik, TU Darmstadt, Darmstadt; T. Weiland, TEMF, Darmstadt","Methods to Reduce the Electron Beam Energy Spread at the S-DALINAC",,"electron, linac, recirculation, controls, feedback"
MOP020,"A. Oppelt, K. Abrahamyan, G. Asova, J. W. Baehr, G. Dimitrov, H.-J. Grabosch, L. Hakobyan, DESY Zeuthen, Zeuthen; J. H. Han, DESY, Hamburg; Ye. Ivanisenko, DESY Zeuthen, Zeuthen; O. Kalekin, Humboldt Universität zu Berlin, Berlin; S. Khodyachykh, S. A. Korepanov, M. Krasilnikov, DESY Zeuthen, Zeuthen; F. Marhauser, BESSY GmbH, Berlin; B. Petrosyan, DESY Zeuthen, Zeuthen; R. Richter, BESSY GmbH, Berlin; J. R. Roensch, Uni HH, Hamburg; R. Spesyvtsev, L. Staykov, F. Stephan, DESY Zeuthen, Zeuthen; E. Weihreter, BESSY GmbH, Berlin","Status of the PITZ Facility Upgrade",,"gun, cathode, emittance, diagnostics, booster"
MOP021,"T. S. Bigelow, C. Ausmus, D. R. Brashear, V. M. Cauley, K. H. Guber, J. A. Harvey, P. Koehler, R. B. Overton, J. A. White, ORNL, Oak Ridge, Tennessee","Recent Operation of the ORELA Electron LINAC at ORNL for Neutron Cross-Section Research",,"gun, electron, klystron, vacuum, target"
MOP023,"N. Iida, M. Kikuchi, KEK, Ibaraki","Beam-Based Optics Correction for New Beam Transport Line from LINAC to Photon Factory in KEK",,"linac, optics, luminosity, beam-transport, quadrupole"
MOP024,"M. Hess, D. Bolton, C. S. Park, L. Zhu, IUCF, Bloomington, Indiana","Electromagnetic Green's-Function-Based Simulations of Photocathode Sources",,"simulation, space-charge, cathode, electromagnetic-fields, gun"
MOP025,"M. Yoshida, H. Katagiri, Y. Ogawa, KEK, Ibaraki","Study on High-Current Multi-Bunch Beam Acceleration for KEKB Injector Linac",,"klystron, linac, beam-loading, acceleration, simulation"
