talks-01,"R. Beringer, Yale University, New Haven, Connecticut, USA","The Yale University 800 MeV Proton Accelerator and Possible Accelerating RF Structures",
talks-02,"R.L. Gluckstern, Yale University, New Haven, Connecticut, USA","Computed Drift Tube Shapes",
talks-03,"F.E. Mills, MURA, Stoughton, Wisconsin, USA","Computed Drift Tube Shapes",
talks-04,"J. Bittner, BNL, Upton, New York, USA","Brookhaven National Laboratory Linear Accelerator Performance",
talks-05,"C. Gould, BNL, Upton, New York, USA","Vacuum Techniques for Linacs",
talks-06,"L.C. Teng, ANL, Argonne, Illinois, USA","Linac Phase Oscillations",
talks-07,"F.E. Mills, MURA, Stoughton, Wisconsin, USA","Linac Phase Oscillations",
talks-08,"J. Walters, BNL, Upton, New York, USA","Linac Tank Flattening and Subdivision",
talks-09,"S. Giordano, BNL, Upton, New York, USA","Harwell Linac Experience",
talks-10,"G.W. Wheeler, Yale University, New Haven, Connecticut, USA","RF Power Sources",
talks-11,"K. Brown, Stanford University, Stanford, California, USA","RF Power Sources",
talks-12,"K. Brown, Stanford University, Stanford, California, USA","Properties of Iris-Loaded Guides",
talks-13,"D.E. Young, MURA, Stoughton, Wisconsin, USA","Buildings and Costs",
talks-14,"I.J. Polk, BNL, Upton, New York, USA","Linear Accelerator Mechanical Construction",
talks-15,"A. van Steenbergen, BNL, Upton, New York, USA","Ion Sources and Pre-accelerators",
talks-16,"R.L. Gluckstern, Yale University, New Haven, Connecticut, USA","Linac Focusing, Based on Work Done at LRL, Berkeley",
talks-17,"H. Blosser, MSU, East Lansing, Michigan, USA","Performance Estimate for a 200 MeV Sector Cyclotron",
