Part1-1,"A. Carne, RHEL, Didcot, Oxfordshire, UK","R.F. Accelerating Structures: The Cross-Bar Structure",99 98,
Part1-2,"D.E. Nagle, LASL, Los Alamos, New Mexico, USA","Coupled Resonator Model of Linear Accelerator Tanks",21 30,
part1-3,"E. Knapp, LASL, Los Alamos, New Mexico, USA","800 MeV RF Structures",31 59,
part1-4,"S. Giordano, BNL, Upton, New York, USA","Characteristics of Slotted Irises",60 74,
part1-5,"T. Nishikawa, BNL, Upton, New York, USA","Fabrication and Measuring Methods for Disk-Loaded Waveguides",75 83,
part1-6,"G.W. Wheeler, Yale University and Brookhaven National Laboratory, Upton, New York, USA","The 500 MeV Linac Proposed as a New Injector for the AGS at the Brookhaven National Laboratory",84 93,
part1-7,"D.E. Nagle, LASL, Los Alamos, New Mexico, USA","The LASL Meson Factory",94 107,
part1-8,"H. Schopper, Technischen Hochschule Karlsruhe, Karlsruhe, Germany","Study for a Superconducting Multi-GeV Proton Linac",108 109,
part1-9,"R. Perry, ANL, Argonne, Illinois, USA","The New ZGS Injector Proposal",110 122,
part2-1,"G. Guilbaud, H. Leboutet, J. Kervizic, J.P. Mangin, D.T. Tran, CSF, Orsay, France","Preliminary Design of a High Energy High Duty Cycle Proton Linear Accelerator",123 130,
part2-2,"G.A. Loew, SLAC, Stanford, California, USA","Progress Report on the Stanford Linear Accelerator Center",131 143,
part2-3,"M. Rich, W.M. Visscher, LASL, Los Alamos, New Mexico, USA","A Green's Function Approach to the Calculation of Drift Tube Cavities",144 152,
part2-4,"H.C. Hoyt, LASL, Los Alamos, New Mexico, USA","Drift Tube Calculations",153 161,
part2-5,"M. Promé, CEN-Saclay, Gif-sur-Yvette, France","The Saclay Design Study of Proton Linear Accelerators",162 176,
part2-6,"D.E. Young, MURA, Stoughton, Wisconsin, USA","Drift Tube and Parameter Selection for Linear Accelerator Structures Below 150 MeV",177 185,
part2-7,"R.L. Gluckstern, Yale University and Brookhaven National Laboratory, Upton, New York, USA","Transverse Beam Blow-up in Standing Wave Linacs",186 203,
part2-8,"F.J. Kriegler, MURA, Stoughton, Wisconsin, USA","Dynamic Effects of Higher RF Harmonics",204 213,
part2-9,"T. Nishikawa, BNL, Upton, New York, USA","An Approach to the Study of Beam Loading for the Linear Accelerator",214 238,
part3-1,"C.S. Taylor, Y. Dupuis, CERN, Geneva, Switzerland","The CERN-PS Linac - Beam Loading and RF Studies",239 251,
part3-2,"S. Giordano, BNL, Upton, New York, USA","Model Measurements and Correction of Beam Loading Effects in Proton Linacs",252 265,
part3-3,"S. Ohnuma, Yale University, New Haven, Connecticut, USA","Particle Motions and the Focusing System in Proton Linacs",266 282,
part3-4,"M. Jakobson, W.M. Visscher, LASL, Los Alamos, New Mexico, USA","Numerical Study of Particle Dynamics in a High-Energy Proton Linear Accelerator",283 300,
part3-5,"J. Parain, CEN-Saclay, Gif-sur-Yvette, France","Constant Phase Velocity Acceleration Sections in a Proton Linac",301 308,
part3-6,"D.T. Tran, CSF, Orsay, France","Focusing of an Alvarez Linac by Use of Magnetic Quadrupoles Oriented at 45o (Presented by M.G. Gilbaud)",309 327,
part3-7,"D.A. Swenson, MURA, Stoughton, Wisconsin, USA","Application of Calculated Fields to the Study of Particle Dynamics",328 340,
part3-8,"M. Rich, LASL, Los Alamos, New Mexico, USA","Beam Dynamics Calculations for Alvarez-Type Linear Accelerators",341 352,
part3-9,"C.S. Taylor, CERN, Geneva, Switzerland","Performance of the PS Linac",353 361,
part4-1,"J.M. Dickson, RHEL, Didcot, Oxfordshire, UK","Performance of the PLA",362 371,
part4-2,"K. Batchelor, A. Carne, J.M. Dickson, D.J. Warner, RHEL, Didcot, Oxfordshire, UK","Beam Energy Measurements on the Rutherford Laboratory PLA",372 383,
part4-3,"P.V. Livdahl, ANL, Argonne, Illinois, USA","ZGS Injector Observations",384 397,
part4-4,"J.T. Keane, BNL, Upton, New York, USA","Experiments on RF Field Patterns in the BNL Linac",398 406,
part4-5,"P. Brunet, L. Burnod, L. Lheritier, Ecole Normale Supérieure, Orsay, France","Automatic Control and Stabilization of the Orsay Linac",407 413,
part4-6,"A. van Steenbergen, BNL, Upton, New York, USA","Progress in High Intensity Ion Source and Accelerator Column Development",414 429,
part4-7,"H. Wroe, RHEL, Didcot, Oxfordshire, UK","Recent Developments in RF Proton Sources",430 446,
part4-8,"L.W. Oleksiuk, BNL, Upton, New York, USA","Recent Measurements on the Duoplasmatron Source",447 455,
part4-9,"G.G. Kelley, O.B Morgan, ORNL, Oak Ridge, Tennessee, USA","Ion Source and Column Performance at ORNL",456 464,
part5-1,"J.M. Dickson, RHEL, Didcot, Oxfordshire, UK","The PLA Polarized Proton Source",465 469,
part5-2,"D.H. Nordby, ANL, Argonne, Illinois, USA","Ion Source Work at ANL",470 473,
part5-3,"R. Perry, ANL, Argonne, Illinois, USA","An Extended RF Ion Source with Small Phase Space Emittance Area",474 479,
part5-4,"H. Wroe, RHEL, Didcot, Oxfordshire, UK","A New Approach to Preinjectors",480 486,
part5-5,"C.D. Curtis, G.M. Lee, MURA, Stoughton, Wisconsin, USA","Preaccelerator Column Design",487 496,
part5-6,"F. Voelker, LRL, Berkeley, California, USA","Thoughts on Mode Distribution in RF Manifolds",497 504,
part5-7,"R.A. Jameson, LASL, Los Alamos, New Mexico, USA","RF Phase and Amplitude Control",505 519,
part5-8,"H.R. Shaylor, BNL, Upton, New York, USA","Recharging Large Capacitor Banks",520 530,
part5-9,"G.W. Wheeler, Yale University and Brookhaven National Laboratory, Upton, New York, USA","Status Report on the Coaxitron Development Program",531 532,
part6-1,"G.W. Wheeler, Yale University and Brookhaven National Laboratory, Upton, New York, USA; T.W. Ludlam, Yale University, New Haven, Connecticut, USA","A Possible Approach to the Initial Adjustment of a Long Linac",533 539,
part6-2,"J.M. Dickson, RHEL, Didcot, Oxfordshire, UK","RF Superconductivity Measurements",540 544,
part6-3,"Th. Sluyters, BNL, Upton, New York, USA","Deuteron Acceleration in the CLA (CERN Linear Accelerator)",545 554,
part6-4,"W. Myers, ANL, Argonne, Illinois, USA","The ANL Second Harmonic Buncher",555 563,
part6-5,"R. Beringer, R.L. Gluckstern, Yale University and Brookhaven National Laboratory, Upton, New York, USA","A Family of Improved Linac Bunchers",564 601,
part6-6,"N.D. West, RHEL, Didcot, Oxfordshire, UK","Nimrod Injector (Presented by H. Wroe)",602 605,
part6-7,"D.A. Swenson, MURA, Stoughton, Wisconsin, USA","Informal Discussion of Sparking Phenomena (Moderated by D.A. Swenson)",606 615,
part6-8,"J.E. O'Meara, MURA, Stoughton, Wisconsin, USA","Summary of Informal Session on Mechanical Engineering Aspects",616 621,
part6-9,"J.E. Leiss, National Bureau of Standards, Washington, DC, USA","Summary of Evening Session on Beam Loading Effects",622 626,
