fr1-01,"N.A. Ebrahim, Atomic Energy of Canada, Chalk River, Ontario, Canada","Review of Current Research in Laser and Plasma-Based Acceleration",825 829,
fr1-02,"S.K. Esin, L.V. Kravchuk, V.A. Matveev, P.N. Ostroumov, V.L. Serov, INR, Moscow, Russia; G.I. Batskikh, A.P. Fedotov, A.I. Kvasha, B.P. Murin, Radiotechnical Institute of the Russian Academy of Sciences, Moscow, Russia","Moscow Meson Factory Linac Status Report",830 832,
fr2-01,"J.B. Rosenzweig, UCLA, Los Angeles, California, USA","Particle Wake-field Accelerators",835 839,
fr2-02,"R.M. Sundelin, CEBAF, Newport News, Virginia, USA","Review of Progress in Superconducting High-Beta Structures",840 844,
fr2-03,"G.-A. Voss, DESY, Hamburg, Germany","The Case for an S-Band Linear Collider",845 849,
mo1-01,"C.K. Sinclair, CEBAF, Newport News, Virginia, USA","CEBAF: Project Status and Front End Test Results",3 7,
mo1-02,"L.W. Funk, SSCL, Dallas, Texas, USA","The SSC Linac",8 12,
mo1-03,"L.M. Bollinger, ANL, Argonne, Illinois, USA","Review of Superconducting Ion Linacs",13 17,
mo2-01,"V.A. Tepliakov, IHEP, Moscow, Russia","RFQ Focusing in Linacs",21 24,
mo2-02,"J. Rossbach, DESY, Hamburg, Germany","An Overview of Linear Collider Plans",25 29,
mo2-03,"N. Phinney, SLAC, Stanford, California, USA","The SLAC Linear Collider",30 34,
mo4-01,"K.C.D. Chan, K.L. Meier, D.C. Nguyen, R.L. Sheffield, T.S. Wang, R.W. Warren, W.L. Wilson, L.M. Young, LANL, Los Alamos, New Mexico, USA","Design of a Compact Application-Oriented Free-Electron Laser",37 39,
mo4-02,"R. Erickson, T. Fieguth, L. Keller, D. Walz, SLAC, Stanford, California, USA","SLAC A-Line Upgrade to 50 GeV",40 42,
mo4-03,"H. Weise, H.-D. Gräf, J. Horn, K.D. Hummel, C. Lüttge, A. Richter, T. Rietdorf, K. Rühl, P. Schardt, E. Spamer, A. Stiller, F. Thomas, O. Titze, J. Töpper, T. Winkler, IFK, Darmstadt, Germany","Results from the S-DALINAC – One Year of Operational Experience from a Superconducting Electron Accelerator",43 45,
mo4-04,"R.L. Sheffield, B.E. Carlsten, L.M. Young, LANL, Los Alamos, New Mexico, USA","High-Brightness Linac for the Advanced Free-Electron Laser Initiative at Los Alamos",46 48,
