fr1a01,"B.L. Cathey [ORNL RAD, Oak Ridge, Tennessee, USA] A.V. Aleksandrov, S.M. Cousineau, A.P. Zhukov [ORNL, Oak Ridge, Tennessee, USA] ","Results From the 6D Diagnostics Test Bench at SNS",966 971,
fr1a02,"M. Huening (M. Hüning) [DESY, Hamburg, Germany] ","Bunch Length Measurements using Transverse Deflecting Systems",972 976,
fr1a03,"A. Cianchi [Università di Roma II Tor Vergata, Roma, Italy] D. Alesini, M.P. Anania, M. Bellaveglia, F.G. Bisesto, M. Castellano, E. Chiadroni, G. Costa, M. Ferrario, F. Filippi, A. Giribono, A. Marocchino, A. Mostacci, R. Pompili, V. Shpakov, C. Vaccarezza, F. Villa [INFN/LNF, Frascati (Roma), Italy] ","Frontiers of Beam Diagnostics in Plasma Accelerators",977 981,
fr1a05,"P. Gerhard, W.A. Barth, M. Bevcic, Ch.E. Duellmann (Ch.E. Düllmann), L. Groening, K.P. Horn, E. Jaeger (E. Jäger), J. Khuyagbaatar, J. Krier, M.T. Maier, P. Scharrer, A. Yakushev [GSI, Darmstadt, Germany] W.A. Barth, Ch.E. Duellmann (Ch.E. Düllmann), J. Khuyagbaatar [HIM, Mainz, Germany] Ch.E. Duellmann (Ch.E. Düllmann) [Johannes Gutenberg University Mainz, Institut of Nuclear Chemistry, Mainz, Germany] ","Development of Pulsed Gas Strippers for Intense Beams of Heavy and Intermediate Mass Ions",982 987,
fr1a06,"H. Maesaka, T. Fukui, T. Hara, Y. Otake [RIKEN SPring-8 Center, Sayo-cho, Sayo-gun, Hyogo, Japan] T. Hasegawa, O. Morimoto, Y. Tajiri, S. Tanaka, M. Yoshioka [SES, Hyogo-pref., Japan] N. Hosoda, S. Matsubara, T. Ohshima [JASRI/SPring-8, Hyogo-ken, Japan] C. Kondo, M. Yamaga [JASRI, Hyogo, Japan] ","Pulse-by-Pulse Beam Parameter Switching of High-Quality Beams for Multi-Beamline Operation at SACLA",988 993,
fr2a02,"D. Noelle (D. Nölle) [DESY, Hamburg, Germany] ","Commissioning of the European XFEL",994 999,
mo1a01,"S. Fu, H.C. Liu, H.F. Ouyang, S. Wang [IHEP, Beijing, People's Republic of China] J. Li, J. Peng [CSNS, Guangdong Province, People's Republic of China] ","CSNS Front End and Linac Commissioning",99 98,
mo1a02,"R.E. Laxdal [TRIUMF, Vancouver, Canada] ","An Overview of Recent Developments in SRF Technology",6 12,
mo1p01,"J. Galambos, M.S. Champion, M.P. Howell, S.-H. Kim, J. Moss, M.A. Plum, B.W. Riemer, K.S. White [ORNL, Oak Ridge, Tennessee, USA] M. S. Connell, R. W. Steffey [ORNL RAD, Oak Ridge, Tennessee, USA] ","Status of the SNS Proton Power Upgrade Project",24 28,
mo1p02,"H. Oguri [JAEA/J-PARC, Tokai-mura, Japan] ","Approaches to High Power Operation of J-PARC Accelerator",29 34,
mo1p03,"A. Sunesson, P. Arnold, S.L. Birch, R. Garoby, M. Jensen, M. Lindroos, C.A. Martins, A. Nordt, T.J. Shea, J.G. Weisend [ESS, Lund, Sweden] ","Status of the ESS Linac",35 39,
mo2a03,"L. Piersanti, D. Alesini, A. Battisti, M. Bellaveglia, S. Bini, F. Cardelli, R.D. Di Raddo, A. Falone, A. Gallo, V.L. Lollo, L. Pellegrino, S. Pioli, S. Tomassini, A. Variola [INFN/LNF, Frascati (Roma), Italy] N. Beaugerard [SEIV, Mérignac, France] K. Cassou, D. Douillet, K. Dupraz, T. Le Barillec, A. Martens, C.F. Ndiaye, Y. Peinaud, Z.F. Zomer [LAL, Orsay, France] L. Ficcadenti, A. Mostacci, L. Palumbo, V. Pettinacci [INFN-Roma, Roma, Italy] M. Migliorati [INFN-Roma1, Rome, Italy] D.T. Palmer, L. Serafini [Istituto Nazionale di Fisica Nucleare, Milano, Italy] H. Rocipon [ALSYOM, Argebteuil, France] ","Technology Developments for ELI-NP Gamma Beam System",13 18,
mo2a04,"K.E. Deitrick, J.R. Delayen, G.A. Krafft, B. Terzic (B. Terzić) [ODU, Norfolk, Virginia, USA] J.R. Delayen, G.A. Krafft [JLab, Newport News, Virginia, USA] ","Compact SRF Linac for High Brilliance Inverse Compton Scattering Light Source",19 23,
mopo004,"W. Xu, A.V. Fedotov, T. Hayes, D. Holmes, G.T. McIntyre, K. Mernick, S.K. Seberg, F. Severino, K.S. Smith, R. Than, Q. Wu, B. P. Xiao, T. Xin, A. Zaltsman [BNL, Upton, Long Island, New York, USA] ","Commissioning of the SRF Booster Cavity for LEReC",40 43,
mopo005,"B. P. Xiao, K. Mernick, F. Severino, K.S. Smith, T. Xin, A. Zaltsman [BNL, Upton, Long Island, New York, USA] ","Commissioning of the Normal Conducting Cavities for LEReC Project",44 46,
