fraa01,"A. Peach, F. Cacho-Nerin, J. Parker, P.D. Quinn [DLS, Oxfordshire, United Kingdom] ","Engineering Challenges on the I14 Nanoprobe Beamline",398 402,
fraa03,"L.R.M. RibÃ³, C. Colldelram, A. Crisol, A.A. Gevorgyan, R. Monge, J. Nicolas (J. Nicolás), L. Nikitina, M. Quispe, I. Sics [ALBA-CELLS Synchrotron, Cerdanyola del VallÃ¨s, Spain] P. Dumas [SOLEIL, Gif-sur-Yvette, France] G. Ellis [CSIC, Madrid, Spain] ","Mechanical Design of MIRAS, Infrared Microspectroscopy Beam Line at ALBA Synchrotron",403 408,
frba01,"M. Magnin-Mattenet, P. Got, V. Honkimaki, A. Vivo [ESRF, Grenoble, France] ","A New Crystal Bender for the ID31 Laue-Laue Monochromator",409 412,
frba02,"C. Colldelram, J. Nicolas (J. Nicolás), P. Pedreira, L. Ribo, C. Ruget, I. Sics [ALBA-CELLS Synchrotron, Cerdanyola del VallÃ¨s, Spain] J.M. Casalta Escuer, C. Martin-NuÃ±o Gonzalez (C. Martín-Nuño Gonzalez), A. Tomas Justribo, D. Ubeda Gonzalez (D. Úbeda Gonzalez) [SENER, Cerdanyola del VallÃ¨s, Spain] ","The Nanobender: A New X-Ray Mirror Bender With Nanometer Figure Correction",413 419,
frba03,"D.J. Butler, J.H. Kelly [DLS, Oxfordshire, United Kingdom] ","Design of the Diamond Light Source DMM for the VMXi Beamline",420 424,
mope01,"C. Colldelram, J. Nicolas (J. Nicolás), C. Ruget [ALBA-CELLS Synchrotron, Cerdanyola del VallÃ¨s, Spain] ","Stabilization Methods for Force Actuators and Flexure Hinges",99 98,
mope02,"R.M. Caliari, O.R. Bagnato, F.R. Francisco, R.R. Geraldes, R.L. Parise, M. Saveri Silva, D.O. Tavares, L., Jr. de Souza [LNLS, Campinas, Brazil] T.A.M. Ruijl [MI-Partners, Eindhoven, The Netherlands] ","Studies on Flow-Induced Vibrations for the New High-Dynamics DCM for Sirius",8 11,
mope05,"H.Y. Yan, C.H. Chang, S.H. Chang, C.Y. Chen, C.Y. Huang, J.M. Lin, D.G. Liu, D.-J. Wang [NSRRC, Hsinchu, Taiwan] ","Mechanical Design of Secondary Source Slits for Hard X-ray Beamlines at Taiwan Photon Source",12 14,
mope07,"D.T. Ziemianski [CUT, Krakow, Poland] M.P. Nowak [Solaris, Krakow, Poland] ","Ground Motions Measurements for Synchrotron",15 16,
mope08,"H.G.P. de Oliveira, C. Esper Neto, P.T. Fonseca, R.R. Geraldes, B.C. Meyer, M.A. Pereira, G.L.M.P. Rodrigues, L. Sanfelici, L.G. da Silva [LNLS, Campinas, Brazil] L. Buccianti, M.H.A. Costa [Biotec Controle Ambiental, SÃ£o JosÃ© dos Campos, SP, Brazil] C. Prudente [Prudente Engenharia Ltda., UberlÃ¢ndia, Minas Gerais, Brazil] ","The LNLS Metrology Building",17 19,
mope09,"K.H. Hsu, M.L. Chen, C.M. Cheng, H.C. Ho, D.-G. Huang, C.K. Kuan, W.Y. Lai, C.J. Lin, S.Y. Perng, T.C. Tseng, H.S. Wang [NSRRC, Hsinchu, Taiwan] ","Preliminary Design and Test of Damping Mechanism for Reducing Vibration of TPS SR Vacuum Chamber",20 23,
mope10,"D.T. Ziemianski [CUT, Krakow, Poland] M.P. Nowak [Solaris National Synchrotron Radiation Centre, Jagiellonian University, Krakow, Poland] ","Dynamic Analysis and Measurement of Ground Motion for the Solaris - National Synchrotron Radiation Centre in Cracow",24 25,
mope11,"T.C. Tseng, M.L. Chen, H.C. Ho, K.H. Hsu, D.-G. Huang, C.K. Kuan, W.Y. Lai, C.J. Lin, S.Y. Perng, C.W. Tsai, H.S. Wang [NSRRC, Hsinchu, Taiwan] ","Preliminary Active Vibration Elimination Study of the TPS Girder System",26 28,
mope13,"J. Herranz [Proactive Research and Development, Barcelona, Spain] W. Andreazza, N. Chritin, B. Dehning, J. Emery, D. Gudkov, P. Magagnin, S. Samuelsson, J.L. Sirvent, R. Veness [CERN, Geneva, Switzerland] A. Barjau [Universitat PolitÃ©cnica de Catalunya, Barcelona, Spain] ","The 20m/s CERN Fast Vacuum Wire Scanner Conceptual Design and Implementation",29 31,
mope15,"J. Kemppinen, Z.S. Kostka, H. Mainaud Durand [CERN, Geneva, Switzerland] J. Kemppinen [ETH, Zurich, Switzerland] ","Cam Mover Alignment System Positioning with Wire Position Sensor Feedback for CLIC",32 34,
mope16,"H. Joehri (H. Jöhri), C. Hess, L. Nue, L. Patthey, T. Schmitt [PSI, Villigen PSI, Switzerland] ","Development of the RIXS Manipulator",35 37,
mope17,"G. Olea, N. Huber [HUBER Diffraktiontechnik GmbHamp;Co.KG, Rimsting, Germany] ","OCTOGLIDE - Table Positioning Device for Diffraction Applications",38 40,
mope18,"C.F. Chang [NSRRC, Hsinchu, Taiwan] ","Real-Time Motor Control System for Beamlines",41 43,
