froama02,"H. Liang, L. Gao, Y.C. Jiang, W.F. Sheng, S. Tang, A.Y. Zhou [IHEP, Beijing, People's Republic of China] G. Cao [University of Chinese Academy of Sciences, Beijing, People's Republic of China] ","A High Heat Load Double Crystal Monochromator and Its Cryo Cooling System for Heps",430 434,
froama05,"Y. Zhu, S. Hulbert, M. Idir, I. Jarrige, S. O'Hara, E. Vescovo [BNL, Upton, Long Island, New York, USA] ","Engineering Design and Commissioning Performance of the ESM and Six Soft X-Ray Beamlines at NSLS-II",435 439,
froama07,"R. Baker, D. Baboulin, R. Barrett, P. Bernard, G. Berruyer, J. Bonnefoy, M. Brendike, P.M. Brumund, Y. Dabin, L. Ducotte, H. Gonzalez, G. Malandrino, P. Marion, O. Mathon, T. Roth, R. Tucoulou [ESRF, Grenoble, France] ","ESRF Double Crystal Monochromator Prototype Project",440 444,
thoama01,"S. Andresen [Alfred-Wegener-Institut, Bremerhaven, Germany] ","Optimizing the PETRA IV Girder by Using Bio-Inspired Structures",297 301,
thoama03,"C. Barthe-Dejean, M. Di Giacomo, P. Gangnant, P. Lecomte, J.F. Leyge, F. Lutton, C. Michel, M. Michel, E. Petit, R.V. Revenko, J.L. Vignet [GANIL, Caen, France] ","Mechanical Engineering Design and Simulation for SPIRAL2 Accelerator @GANIL",302 305,
thoama04,"W. Tizzano, T. Connolley, S. Davies, M. Drakopoulos, G.E. Howell [DLS, Oxfordshire, United Kingdom] ","Design and FEA of an Innovative Rotating Sic Filter for High-Energy X-Ray Beam",306 311,
thoama05,"J.A. Carter [ANL, Argonne, Illinois, USA] ","3D Numerical Ray Tracing for the APS-Upgrade Storage Ring Vacuum System Design",312 315,
thoama06,"Y. Dabin, R. Barrett, SJ. Jarjayes, M. Sanchez del Rio [ESRF, Grenoble, France] ","A New X-Ray Beam for the ESRF Beamlines, Opto-Mechanical Global Survey",316 320,
thopma01,"B. Laluc, T. Maillard, A. Riquer [CTEC, MEYLAN, France] ","Piezo Technology in Synchrotron",321 323,
thopma02,"O.A. Schmidt, E. Benda, D. Capatina, T.K. Clute, J.T. Collins, M. Erdmann, T. Graber, D. Haeffner, Y. Jaski, J.J. Knopp, G. Navrotski, R. Winarski [ANL, Argonne, Illinois, USA] ","Beamline Engineering Overview for the APS Upgrade",324 326,
thopma04,"G.E. Howell, N. Baker, S. Davies, M. Garcia-Fernandez, H.C. Huang, S.M. Scott, A. Walters, K. Zhou [DLS, Oxfordshire, United Kingdom] ","A New Procurement Strategy to Challenge the Supplier Constraints Created When Using a Fully Developed Reference Design",327 330,
thopma06,"J.R. Nasiatka, O. Omolayo, H.A. Padmore, S.S. Soezeri [LBNL, Berkeley, California, USA] ","Development of Low Vibration Cooling Systems for Beamline Optics Using Heat Pipe Technology",331 335,
thph02,"R. Armenta, E.A. Paiser [SLAC, Menlo Park, California, USA] ","LCLS Pulse Selector, A Multifunction Shutter for the LCLS-I 120 Hz FEL",336 339,
thph03,"A. Bartalesi [MAX IV Laboratory, Lund University, Lund, Sweden] ","The XBPM Project at MAX IV Frontends, Overview and First Results",340 342,
thph04,"M. Birri, D. Ferreira Sanchez, D. Grolimund, B. Meyer, V.A. Samson [PSI, Villigen PSI, Switzerland] ","Fast X-Ray Beam Intensity Stabilization for Absorption Spectroscopy and Spectromicroscopic Imaging",343 345,
thph05,"M.H. Burt, S.P. Collins, S. Green, I. Horswell, J. Li, G. Nisbet, R. Pocock, J. Spiers, K.G. Wilkinson [DLS, Oxfordshire, United Kingdom] ","An Improved Polarisation Analyser for the I16 Beamline at Diamond",346 348,
thph06,"J.C. Castagna, L. Amores, M. R. Holmes, J.H. James, T.O. Osipov, P. Walter [SLAC, Menlo Park, California, USA] ","TMO - a New Soft X-Ray Beamline at LCLS II",349 351,
thph07,"R.S. Celestre, K. Nowrouzi, H.A. Padmore, D.A. Shapiro [LBNL, Berkeley, California, USA] K. Nowrouzi [UCB, Berkeley, California, USA] ","Nanosurveyor 2: A Compact Instrument for Nano-Ptychography at the Advanced Light Source",352 354,
thph09,"D.K. Desjardins, A.C. Carcy, J.L. Giorgetta, C. Menneglier, M. Scheel, T. Weitkamp [SOLEIL, Gif-sur-Yvette, France] ","Design of Indirect X-Ray Detectors for Tomography on the Anatomix Beamline",355 357,
thph11,"S. Forcat Oller, Y. Feng, J. Krzywinski, E. Ortiz, M. Rowen, H. Wang [SLAC, Menlo Park, California, USA] ","LCLS-II FEL Photon Collimators Design",358 360,
thph12,"R.R. Geraldes, C.S.N.C. Bueno, G.V. Claudiano, V.Z. Ferreira, M. Saveri Silva, A. Sikorski, M.S. Souza [LNLS, Campinas, Brazil] ","Granite Benches for Sirius X-ray Optical Systems",361 364,
thph14,"N. Gonzalez, C. Colldelram, S. Ferrer, A. Fontsere Recuenco, J.B. GonzÃ¡lez FernÃ¡ndez, G. Jover-MaÃ±as, C. Kamma-Lorger, J. Ladrera FernÃ¡ndez, M.L. Llonch, M. Malfois, J.C. Martinez Guil, I. Sics [ALBA-CELLS Synchrotron, Cerdanyola del VallÃ¨s, Spain] ","Beam Conditioning Optics at the ALBA NCD-SWEET Beamline",365 367,
thph15,"N. Gonzalez, L. Aballe, A. Carballedo, C. Colldelram, M. Foerster [ALBA-CELLS Synchrotron, Cerdanyola del VallÃ¨s, Spain] ","A New High Precision, Fully Motorized 6-DoF Sample Stage for the ALBA PEEM Endstation",368 370,
thph16,"N. Gonzalez, C. Colldelram, J.B. GonzÃ¡lez FernÃ¡ndez, J. Juanhuix, J. Nicolas (J. Nicolás), C. Ruget [ALBA-CELLS Synchrotron, Cerdanyola del VallÃ¨s, Spain] ","Compact Mirror Bender With Sub-Nanometer Adaptive Correction Control",371 373,
thph17,"J.B. GonzÃ¡lez FernÃ¡ndez, C. Colldelram, S. Ferrer, A. Fontsere Recuenco, A.A. Gevorgyan, N. Gonzalez, G. Jover-MaÃ±as, C. Kamma-Lorger, M.L. Llonch, M. Malfois, J.C. Martinez Guil, Y. Nikitin, G. PeÃ±a, L. Ribo, I. Sics, E. Solano, J. Villanueva [ALBA-CELLS Synchrotron, Cerdanyola del VallÃ¨s, Spain] ","NCD-SWEET Beamline Upgrade",374 376,
thph18,"J.B. GonzÃ¡lez FernÃ¡ndez, F. FarrÃ© ParÃ­s, F. Fauth, P. Pedreira, D. Roldan (D. Roldán), X. Serra Gallifa [ALBA-CELLS Synchrotron, Cerdanyola del VallÃ¨s, Spain] ","A Multi-sample Holder for the MSPD Beamline at ALBA",377 378,
thph19,"E. Haas, M. Abeykoon, S. Buda, E.D. Dooryhee, S. Ghose, C. Stelmach, J.T. Trunk [BNL, Upton, Long Island, New York, USA] ","Engineering Design of the XPD & PDF Beamline Sample Environment for Safe Experimental Use of Hazardous Gases",379 381,
thph21,"M. R. Holmes, L. Amores, J.C. Castagna, J.H. James, T. Osipov, P. Walter [SLAC, Menlo Park, California, USA] ","DREAM - A New Soft X-ray (Dynamic REAction Microscopy) COLTRIMS Endstation at LCLS-II",382 384,
thph23,"H. Ishii, J. Adachi, T. Kosuge, H. Tanaka [KEK, Ibaraki, Japan] ","Interlock System for a Magnetic-Bearing Pulse Selector",385 387,
thph24,"Y. Jaski, M. Abliz, J.S. Downey, S.H. Lee, J. Mulvey, S.M. Oprondek, M. Ramanathan, F. Westferro, B.X. Yang [ANL, Argonne, Illinois, USA] ","Front End Designs for the Advanced Photon Source Multi-bend Achromats Upgrade",388 390,
thph26,"S.P. Kearney, E.M. Dufresne, S. Narayanan, A. Sandy, D. Shu [ANL, Argonne, Illinois, USA] ","Mechanical Conversion of a Vertically Reflecting Artificial Channel-cut Monochromator to Horizontally Reflecting",391 393,
thph27,"S.P. Kearney, L. Assoufid, W.C. Grizolli, T. Kolodziej, K. Lang, A. Macrander, X. Shi, D. Shu, Yu. Shvyd'ko, W. Wojcik [ANL, Argonne, Illinois, USA] ","Mechanical Design of a Compact Non-invasive Wavefront Sensor for Hard X-rays",394 396,
thph28,"S.H. Kim, I. Eom, S-M. Hwang, H.J. Hyun, K.S. Kim, M-J. Kim, S. Kim, S.N. Kim, S. Kim, C. Lee, G.S. Park, J. Park, J.K. Park, S.Y. Rah [PAL, Pohang, Republic of Korea] ","The Development of PAL-XFEL Beamline",397 399,
thph31,"D. Meissner, S. Adler, M. Beye, A. BÃ¼hner, H. Krueger, R. Platzer, T. Reuss, M. Roehling, E. Saemann, E. Saithong [DESY, Hamburg, Germany] ","Design of a flexible RIXS Setup",400 402,
thph32,"C. Menneglier, D.K. Desjardins, V. Pinty, D. Roy, D. Vantelon [SOLEIL, Gif-sur-Yvette, France] ","Dual Beam Visualizer - Intensity Monitor for Lucia Beamline at SOLEIL Synchrotron",403 405,
thph33,"T. Mochizuki, K. Akiyama, K. Endo, H. Hara, T. Ohsawa, J. Sonoyama, T. Tachibana, H. Takenaga, K. Tsubota [TOYAMA Co., Ltd., Kanazawa, Japan] K. Attenkofer, E. Stavitski [BNL, Upton, Long Island, New York, USA] ","Direct LN2 Cooled Double Crystal Monochromator",406 408,
thph36,"F.P. O'Dowd, D. Cocco, G.L. Dakovski, J. Defever, S. Guillet, C.L. Hardin, D.S. Morton, T.O. Osier, M.A. Owens, D.W. Rich, L. Zhang [SLAC, Menlo Park, California, USA] ","Engineering Challenges for the NEH2.2 Beamline at LCLS-II",409 411,
thph37,"V. Pinty, N. Jaouen, F. Marteau, H. Popescu, P. Prout [SOLEIL, Gif-sur-Yvette, France] ","MAGSTAT V3: An In-Vacuum Variable-Gap Quadrupole with Rotary Permanent Magnets",412 414,
thph38,"M.F. Purling [DLS, Oxfordshire, United Kingdom] ","Design & Development of an Innovative 6 Axis Sample Manipulator.",415 417,
thph39,"J. Raabe, K. Ederer, R. Grifone, D. Novikov, C. SchlÃ¼ter [DESY, Hamburg, Germany] ","Novel Comprehensive UHV Lens Changer at the PETRA III Beamlines P22, P23 and P24",418 420,
thph40,"S.M. Scott [DLS, Oxfordshire, United Kingdom] ","Training the Next Generation of Engineers for Photon Based Light Sources",421 423,
thph41,"S.K. Sharma, C. Amundsen, F.A. DePaola, J.L. Tuozzolo [BNL, Upton, Long Island, New York, USA] ","Frontend Slits for Closely-Spaced Wiggler Beams",424 426,
thph43,"R. ValcÃ¡rcel, C. Colldelram, N. Gonzalez, E. Pereiro, A.J. Perez-Berna, A. Sorrentino [ALBA-CELLS Synchrotron, Cerdanyola del VallÃ¨s, Spain] ","New Holder for Dual-Axis Cryo Soft X-Ray Tomography of Cells at the Mistral Beamline",427 429,
tuopma03,"H. Joehri (H. Jöhri), M. Calvi, M. Hindermann, L. Huber, A. Keller, M. Locher, T. Schmidt, X. Wang [PSI, Villigen PSI, Switzerland] ","Development of the new UE38 Undulator for the Athos Beamline in SwissFEL",99 98,
tuopma04,"A. Thiel, M. Ebbeni, H. Tarawneh [MAX IV Laboratory, Lund University, Lund, Sweden] ","Apple II Insertion Devices Made at MAXIV",6 10,
tuopma07,"T. Brochard, P.M. Brumund, L. Goirand, J. Pasquaud, S.M. White [ESRF, Grenoble, France] ","RF Fingers for the New ESRF-EBS Storage Ring",11 14,
tuopma08,"S.K. Sharma, F.A. DePaola, F.C. Lincoln, J.L. Tuozzolo [BNL, Upton, Long Island, New York, USA] ","Deformable RF Fingers with Axial Extension",15 19,
tuph01,"T.H. Abu-Hanieh [SESAME, Allan, Jordan] ","Installation and Alignment of SESAME Storage Ring",20 22,
tuph02,"J. Borrel, Y. Dabin, F. Ewald, P. Van Vaerenbergh [ESRF, Grenoble, France] ","Collimator for ESRF-EBS",23 25,
tuph03,"F. Briquez, C.A. Arrachart, N.B. Baron, P. Berteaud, F. Blache, C.B. Bourgoin, N. BÃ©chu, M.-E. Couprie, J. Da Silva Castro, J.M. Dubuisson, J.P. Duval, C. Herbeaux, F. Lepage, A. Lestrade, F. Marteau, A. Mary, F.M. Michel, S.M. Morand, M.-H. Nguyen, A.R. RouquiÃ©, M. Sebdaoui, G. Sharma, K.T. Tavakoli, M. Tilmont, M. VallÃ©au, M.V. Vandenberghe, J. VÃ©tÃ©ran, C. de Oliveira [SOLEIL, Gif-sur-Yvette, France] ","U15 Design and Construction Progress",26 29,
tuph04,"J.A. Carter, B. Billett, B. Brajuskovic, M.A. Lale, A. McElderry, J. R. Noonan, M.M. O'Neill, K. Wakefield, D.R. Walters, G.E. Wiemerslage, J. Zientek [ANL, Argonne, Illinois, USA] ","Progress on the Final Design of the APS-Upgrade Storage Ring Vacuum System",30 32,
tuph05,"A.G. Cedillos, R.C. Field [SLAC, Menlo Park, California, USA] ","Design of a Radiation Tolerant, Indexing Profile Monitor for the LCLS Electron Beam",33 35,
tuph08,"F. Cianciosi, P.M. Brumund, L. Goirand [ESRF, Grenoble, France] ","Aluminium and Bimetallic Vacuum Chambers for the New ESRF Storage Ring (EBS)",36 38,
tuph09,"G.V. Claudiano, P.T. Fonseca, L.M. Volpe [LNLS, Campinas, Brazil] E.B. Fonseca, M. H. S. Silva [LNNano, Campinas, Brazil] ","Friction Stir Welding and Copper-Chromium Zirconium: a New Concept for the Design of Sirius' High-Power Absorbers",39 42,
tuph10,"R.W. Connatser [ANL, Argonne, Illinois, USA] ","Interfaces with Operational Systems APS Upgrade Project Removal and Installation",43 44,
tuph11,"J. Da Silva Castro, N. BÃ©chu, C. Herbeaux, N. Hubert, N. Jobert, M. Labat, F. Lepage, A. Mary, K.T. Tavakoli [SOLEIL, Gif-sur-Yvette, France] ","Retractable Absorber (Mask) and White Beam Imager Diagnostic for Canted Straight Section",45 47,
tuph12,"J. Da Silva Castro, P. Alexandre, R. Ben El Fekih, T. S. Thoraud [SOLEIL, Gif-sur-Yvette, France] ","Multipole Injection Kicker (MIK), a Cooperative Project SOLEIL and MAX IV",48 49,
tuph13,"F.A. DePaola, R. Faussete, S.K. Sharma, C.J. Spataro [BNL, Upton, Long Island, New York, USA] A.K. Jain, M.S. Jaski [ANL, Argonne, Illinois, USA] ","Mechanical Design Challenges Building a Prototype 8-Pole Corrector Magnet",50 52,
tuph14,"C. Steier, A.P. AllÃ©zy, A. Anders, K.M. Baptiste, E.S. Buice, K. Chow, G.D. Cutler, S. De Santis, R.J. Donahue, R.M. Duarte, D. Filippetto, J.P. Harkins, T. Hellert, M.J. Johnson, J.-Y. Jung, S.C. Leemann, D. Leitner, M. Leitner, T.H. Luo, H. Nishimura, T. Oliver, O. Omolayo, J.R. Osborn, G.C. Pappas, S. Persichelli, M. Placidi, G.J. Portmann, S. Reyes, D. Robin, F. Sannibale, C. Sun, C.A. Swenson, M. Venturini, S.P. Virostek, W.L. Waldron, E.J. WallÃ©n [LBNL, Berkeley, California, USA] ","Status of the Conceptual Design of ALS-U",53 56,
tuph15,"A. Ermakov, C. Martens, U. Naujoks [DESY, Hamburg, Germany] ","Friction Stir Welding Attempts for UHV Applications: Stainless Steel/Aluminum",57 59,
