fra1co03,"A. D'Audney, S. Biedron, S.V. Milton [CSU, Fort Collins, Colorado, USA] ","An Ultra-High Resolution Pulsed-Wire Magnet Measurement System",1268 1270,
fra1co04,"B.L. Cathey [ORNL RAD, Oak Ridge, Tennessee, USA] A.V. Aleksandrov, S.M. Cousineau, A.P. Zhukov [ORNL, Oak Ridge, Tennessee, USA] ","6D Phase Space Measurement of Low Energy, High Intensity Hadron Beam",1271 1274,
fra1co05,"K. Yonehara, M. Backfish, A. Moretti, A.V. Tollestrup, A.C. Watts, R.M. Zwaska [Fermilab, Batavia, Illinois, USA] M.A. Cummings, A. Dudas, R.P. Johnson, G.M. Kazakevich, M.L. Neubauer [Muons, Inc, Illinois, USA] B.T. Freemire [IIT, Chicago, Illinois, USA] Q. Liu [Case Western Reserve University, Cleveland, USA] ","Progress of Gas-Filled Multi-RF-Cavity Beam Profile Monitor for Intense Neutrino Beams",1275 1278,
fra1co06,"K. Kan, M. Gohdo, T. Kondoh, I. Nozawa, J. Yang, Y. Yoshida [ISIR, Osaka, Japan] ","Measurement of Coherent Transition Radiation Using Interferometer and Photoconductive Antenna",1279 1281,
fra2co03,"S. Zorzetti, M. Wendt [CERN, Geneva, Switzerland] L. Fanucci [Università di Pisa, Pisa, Italy] ","Study of the Electrical Center of a Resonant Cavity Beam Position Monitor (RF-BPM) and Its Integration With the Main Beam Quadrupole for Alignment Purposes",1297 1299,
fra2io01,"X. Huang [SLAC, Menlo Park, California, USA] ","Development and Application of Online Optimization Algorithms",1287 1291,
fra2io02,"G. Huang, K. Campbell, L.R. Doolittle, J.A. Jones, C. Serrano, V.K. Vytla [LBNL, Berkeley, California, USA] S. Babel, M. Boyes, G.W. Brown, D. Cha, B. Hong, A. Ratti, C.H. Rivetta [SLAC, Menlo Park, California, USA] R. Bachimanchi, C. Hovater, D.J. Seidman [JLab, Newport News, Virginia, USA] B.E. Chase, E. Cullerton, Q. Du, J. Einstein, D.W. Klepec [Fermilab, Batavia, Illinois, USA] ","High Precision RF Control for the LCLS-II",1292 1296,
frb1io02,"D. Ungaro, A. Degiovanni, P. Stabile [ADAM SA, Geneva, Switzerland] ","LIGHT: A Linear Accelerator for Proton Therapy",1282 1286,
frb2io03,"M.A. Cummings, R.J. Abrams, R.P. Johnson, T.J. Roberts [Muons, Inc, Illinois, USA] ","GEM*STAR Accelerator-Driven Subcritical System for Improved Safety, Waste Management, and Plutonium Disposition",1300 1304,
moa2co03,"Y. Hidaka, W.X. Cheng, B. Podobedov [BNL, Upton, Long Island, New York, USA] ","Measurement of Tune Shift with Amplitude from BPM Data with a Single Kicker Pulse",6 9,
moa2co04,"A. Liu [Fermilab, Batavia, Illinois, USA] ","MICE Operation and Demonstration of Muon Ionization Cooling",10 12,
moa2io02,"K. Vetter [ORNL, Oak Ridge, Tennessee, USA] W.X. Cheng, J. Mead, B. Podobedov, Y. Tian [BNL, Upton, Long Island, New York, USA] ","The BNL EBPM Electronics, High Performance for Next Generation Storage Rings",99 98,
moa3co03,"I.N.D. Draganic, D. Baros, C.M. Fortgang, R.W. Garnett, R.C. McCrady, J.F. O'Hara, L. Rybarcyk, C.E. Taylor, H.A. Watkins [LANL, Los Alamos, New Mexico, USA] A. Feschenko, V. Gaidash, Yu.V. Kiselev [RAS/INR, Moscow, Russia] ","Bunch Shape Monitor Measurements at the LANSCE Linac",25 27,
moa3co04,"J.C. Dooling, K.C. Harkay, V. Sajaev, H. Shang [ANL, Argonne, Illinois, USA] ","Operational Experience with Fast Fiber-Optic Beam Loss Monitors for the Advanced Photon Source Storage Ring Superconducting Undulators",28 31,
moa3io01,"P. Thieberger, Z. Altinbas, C. Carlson, C. Chasman, M.R. Costanzo, C. Degen, K.A. Drees, W. Fischer, D.M. Gassner, X. Gu, K. Hamdi, J. Hock, Y. Luo, A. Marusic, T.A. Miller, M.G. Minty, C. Montag, A.I. Pikin [BNL, Upton, Long Island, New York, USA] S.M. White [ESRF, Grenoble, France] ","High Energy Coulomb Scattered Electrons Detected in Air Used as the Main Beam Overlap Diagnostics for Tuning the RHIC Electron Lenses",20 24,
moa4co03,"G.H. Wei, F. Lin, V.S. Morozov, F.C. Pilat, Y. Zhang [JLab, Newport News, Virginia, USA] Y.M. Nosochkov [SLAC, Menlo Park, California, USA] M.-H. Wang [Self Employment, Private address, USA] ","Complete Beam Dynamics of the JLEIC Ion Collider Ring Including Imperfections, Corrections, and Detector Solenoid Effects",57 60,
moa4co04,"P.N. Ostroumov, A. Goel, B. Mustapha, A. Nassiri, A.S. Plastun [ANL, Argonne, USA] L. Faillace, S.V. Kutsaev, E.A. Savin [RadiaBeam, Marina del Rey, California, USA] ","Compact Carbon Ion Linac",61 63,
moa4io01,"M. Okamura, J.G. Alessi, E.N. Beebe, M.R. Costanzo, L. DeSanto, S. Ikeda, J.P. Jamilkowski, T. Kanesue, R.F. Lambiase, D. Lehn, C.J. Liaw, D.R. McCafferty, J. Morris, R.H. Olsen, A.I. Pikin, R. Schoepfer, A.N. Steszyn [BNL, Upton, Long Island, New York, USA] ","Performance of the Low Charge State Laser Ion Source in BNL",49 53,
moa4io02,"M.E. Convery [Fermilab, Batavia, Illinois, USA] ","Recent Progress in High Intensity Operation of the Fermilab Accelerator Complex",54 56,
mob2co03,"P.M. McIntyre, S.P. Bannert, J. Breitschopf, J. Gerity, J.N. Kellams, A. Sattarov [Texas Aamp;M University, College Station, USA] S. Assadi [HiTek ESE LLC, Madison, USA] D. Chavez [DCI-UG, León, Mexico] N. Pogue [LLNL, Livermore, California, USA] ","Collider in the Sea: Vision for a 500 TeV World Laboratory",13 16,
mob2co04,"O. Kononenko, Z. Li [SLAC, Menlo Park, California, USA] R. Calaga, C. Zanoni [CERN, Geneva, Switzerland] ","Multiphysics Analysis of Crab Cavities for High Luminosity LHC Upgrade",17 19,
mob3co03,"X. Gu, J.G. Alessi, E.N. Beebe, M. Blaskiewicz, J.M. Brennan, K.A. Brown, D. Bruno, J.J. Butler, R. Connolly, T. D'Ottavio, K.A. Drees, W. Fischer, C.J. Gardner, D.M. Gassner, Y. Hao, M. Harvey, T. Hayes, H. Huang, R.L. Hulsart, P.F. Ingrassia, J.P. Jamilkowski, J.S. Laster, V. Litvinenko, C. Liu, Y. Luo, M. Mapes, G.J. Marr, A. Marusic, G.T. McIntyre, K. Mernick, R.J. Michnoff, M.G. Minty, C. Montag, J. Morris, C. Naylor, S. Nemesure, I. Pinayev, V.H. Ranjbar, D. Raparia, G. Robert-Demolaize, T. Roser, P. Sampson, J. Sandberg, V. Schoefer, F. Severino, T.C. Shrey, K.S. Smith, S. Tepikian, R. Than, P. Thieberger, J.E. Tuozzolo, G. Wang, Q. Wu, A. Zaltsman, K. Zeno, S.Y. Zhang, W. Zhang [BNL, Upton, Long Island, New York, USA] ","RHIC Au-Au Operation at 100 GeV in Run16",42 44,
mob3co04,"S.J. Oliveros, J.G. Acosta, L.M. Cremaldi, T.L. Hart, D.J. Summers [UMiss, University, Mississippi, USA] ","High Luminosity 100 TeV Proton-Antiproton Collider",45 48,
